context: Hopes and dreams are the power that moves humanity, response:	and keep the Earth turning!
context: Well, if you want to know more about composition,\you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair. response:	We were surprised
context: you should talk to the vice principal.\The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised response:	when they actually finished a real song.
context: The song on that cassette tape\was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised\when they actually finished a real song. response:	It's a sweet song, don't you think?
context: was co-written by her and your mom.\Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised\when they actually finished a real song.\It's a sweet song, don't you think? response:	Yes.
context: Mahiru told us she wanted us to write our own song.\At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised\when they actually finished a real song.\It's a sweet song, don't you think?\Yes. response:	Takakura could be hard to approach at times,
context: At first, we all thought she was joking.\But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised\when they actually finished a real song.\It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times, response:	but I think she was someone we could look up to.
context: But Takakura has always been quite serious,\so she got swept up in the whole affair.\We were surprised\when they actually finished a real song.\It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to. response:	Probably.
context: so she got swept up in the whole affair.\We were surprised\when they actually finished a real song.\It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably. response:	Is that so?
context: We were surprised\when they actually finished a real song.\It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably.\Is that so? response:	Thank you for telling me all this.
context: when they actually finished a real song.\It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably.\Is that so?\Thank you for telling me all this. response:	I'm going to head home now.
context: It's a sweet song, don't you think?\Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably.\Is that so?\Thank you for telling me all this.\I'm going to head home now. response:	Good luck!
context: Yes.\Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably.\Is that so?\Thank you for telling me all this.\I'm going to head home now.\Good luck! response:	What is a song, anyway?
context: Takakura could be hard to approach at times,\but I think she was someone we could look up to.\Probably.\Is that so?\Thank you for telling me all this.\I'm going to head home now.\Good luck!\What is a song, anyway? response:	Hey!
context: but I think she was someone we could look up to.\Probably.\Is that so?\Thank you for telling me all this.\I'm going to head home now.\Good luck!\What is a song, anyway?\Hey! response:	I came up with a concept for the superheroes.
context: Probably.\Is that so?\Thank you for telling me all this.\I'm going to head home now.\Good luck!\What is a song, anyway?\Hey!\I came up with a concept for the superheroes. response:	Concept?
context: Is that so?\Thank you for telling me all this.\I'm going to head home now.\Good luck!\What is a song, anyway?\Hey!\I came up with a concept for the superheroes.\Concept? response:	Western Shopping District Heroes...
context: Thank you for telling me all this.\I'm going to head home now.\Good luck!\What is a song, anyway?\Hey!\I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes... response:	WestStoprangers?
context: I'm going to head home now.\Good luck!\What is a song, anyway?\Hey!\I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes...\WestStoprangers? response:	I think that's a sh.
context: Good luck!\What is a song, anyway?\Hey!\I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes...\WestStoprangers?\I think that's a sh. response:	ShopRangers!
context: What is a song, anyway?\Hey!\I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes...\WestStoprangers?\I think that's a sh.\ShopRangers! response:	Since we represent the Western Shopping District,
context: Hey!\I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes...\WestStoprangers?\I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District, response:	it makes sense.
context: I came up with a concept for the superheroes.\Concept?\Western Shopping District Heroes...\WestStoprangers?\I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District,\it makes sense. response:	So, no twist?
context: Concept?\Western Shopping District Heroes...\WestStoprangers?\I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District,\it makes sense.\So, no twist? response:	The WestShopRangers are here
context: Western Shopping District Heroes...\WestStoprangers?\I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District,\it makes sense.\So, no twist?\The WestShopRangers are here response:	to protect the peace of the galaxy and of our valued customers.
context: WestStoprangers?\I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District,\it makes sense.\So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers. response:	These heroes of justice will ensure you enjoy your visit.
context: I think that's a sh.\ShopRangers!\Since we represent the Western Shopping District,\it makes sense.\So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit. response:	Meat Red? Fruit Pink? Whitebait White?
context: ShopRangers!\Since we represent the Western Shopping District,\it makes sense.\So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White? response:	Actually, I was thinking...
context: Since we represent the Western Shopping District,\it makes sense.\So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking... response:	Are we really wearing these?
context: it makes sense.\So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these? response:	Who's doing which color?
context: So, no twist?\The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these?\Who's doing which color? response:	I like red.
context: The WestShopRangers are here\to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these?\Who's doing which color?\I like red. response:	Sawa, red is for the leader.
context: to protect the peace of the galaxy and of our valued customers.\These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these?\Who's doing which color?\I like red.\Sawa, red is for the leader. response:	Favorite colors don't come into play.
context: These heroes of justice will ensure you enjoy your visit.\Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these?\Who's doing which color?\I like red.\Sawa, red is for the leader.\Favorite colors don't come into play. response:	Huh?
context: Meat Red? Fruit Pink? Whitebait White?\Actually, I was thinking...\Are we really wearing these?\Who's doing which color?\I like red.\Sawa, red is for the leader.\Favorite colors don't come into play.\Huh? response:	Of course, if you think you're ready to be Red,
context: Actually, I was thinking...\Are we really wearing these?\Who's doing which color?\I like red.\Sawa, red is for the leader.\Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red, response:	I will do the right thing and step aside.
context: Are we really wearing these?\Who's doing which color?\I like red.\Sawa, red is for the leader.\Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside. response:	I can do that... I think...
context: Who's doing which color?\I like red.\Sawa, red is for the leader.\Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think... response:	But first,
context: I like red.\Sawa, red is for the leader.\Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think...\But first, response:	I have to ask if you truly are ready to be Red.
context: Sawa, red is for the leader.\Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think...\But first,\I have to ask if you truly are ready to be Red. response:	Red's qualifications are a sense of justice
context: Favorite colors don't come into play.\Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think...\But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice response:	No, no, no, I've got no qualifications at all.
context: Huh?\Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think...\But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all. response:	Are you okay with Pink, Wakana?
context: Of course, if you think you're ready to be Red,\I will do the right thing and step aside.\I can do that... I think...\But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana? response:	You can be Red.
context: I will do the right thing and step aside.\I can do that... I think...\But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red. response:	I want to be Yellow.
context: I can do that... I think...\But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow. response:	Okay, then Miyamoto's Curry Yellow.
context: But first,\I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow. response:	There's no curry place in the shopping district.
context: I have to ask if you truly are ready to be Red.\Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district. response:	I don't like curry.
context: Red's qualifications are a sense of justice\No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry. response:	I was thinking of asking you to make us a theme song, Wakana,
context: No, no, no, I've got no qualifications at all.\Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana, response:	but since you're busy writing our song for the White Festival,
context: Are you okay with Pink, Wakana?\You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival, response:	we can just use the Gambaraijers theme.
context: You can be Red.\I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme. response:	The most important thing is their trademark phrase.
context: I want to be Yellow.\Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase. response:	Full Power!
context: Okay, then Miyamoto's Curry Yellow.\There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power! response:	Energy Charge!
context: There's no curry place in the shopping district.\I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power!\Energy Charge! response:	Meat Red!
context: I don't like curry.\I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power!\Energy Charge!\Meat Red! response:	Taichi, you're up!
context: I was thinking of asking you to make us a theme song, Wakana,\but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power!\Energy Charge!\Meat Red!\Taichi, you're up! response:	Me? Uh, well...
context: but since you're busy writing our song for the White Festival,\we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power!\Energy Charge!\Meat Red!\Taichi, you're up!\Me? Uh, well... response:	Straight from the source!
context: we can just use the Gambaraijers theme.\The most important thing is their trademark phrase.\Full Power!\Energy Charge!\Meat Red!\Taichi, you're up!\Me? Uh, well...\Straight from the source! response:	Bursting with flavor! Whitebait White!
context: The most important thing is their trademark phrase.\Full Power!\Energy Charge!\Meat Red!\Taichi, you're up!\Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White! response:	You need to sound cooler!
context: Full Power!\Energy Charge!\Meat Red!\Taichi, you're up!\Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler! response:	The kids are never gonna buy that!
context: Energy Charge!\Meat Red!\Taichi, you're up!\Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that! response:	Sawa, your turn.
context: Meat Red!\Taichi, you're up!\Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn. response:	Uh...
context: Taichi, you're up!\Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn.\Uh... response:	Vitamins, minerals, and nutrients.
context: Me? Uh, well...\Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients. response:	Veggie Green supports good health!
context: Straight from the source!\Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health! response:	Put more feeling into it!
context: Bursting with flavor! Whitebait White!\You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it! response:	And do a pose with each word!
context: You need to sound cooler!\The kids are never gonna buy that!\Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word! response:	Wakana, go.
context: The kids are never gonna buy that!\Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word!\Wakana, go. response:	You first, Konatsu.
context: Sawa, your turn.\Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word!\Wakana, go.\You first, Konatsu. response:	Curry Yellow loves curry! Try it!
context: Uh...\Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word!\Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it! response:	Try what, some roux?
context: Vitamins, minerals, and nutrients.\Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word!\Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux? response:	You sound like a commercial.
context: Veggie Green supports good health!\Put more feeling into it!\And do a pose with each word!\Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial. response:	Be serious, you guys!
context: Put more feeling into it!\And do a pose with each word!\Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial.\Be serious, you guys! response:	This might just be a small show in a small town,
context: And do a pose with each word!\Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town, response:	but being superheroes for little kids
context: Wakana, go.\You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids response:	is an important mission!
context: You first, Konatsu.\Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids\is an important mission! response:	Serious?
context: Curry Yellow loves curry! Try it!\Try what, some roux?\You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids\is an important mission!\Serious? response:	It's just to draw crowds.
context: Try what, some roux?\You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids\is an important mission!\Serious?\It's just to draw crowds. response:	We'll be fine.
context: You sound like a commercial.\Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids\is an important mission!\Serious?\It's just to draw crowds.\We'll be fine. response:	Did something happen?
context: Be serious, you guys!\This might just be a small show in a small town,\but being superheroes for little kids\is an important mission!\Serious?\It's just to draw crowds.\We'll be fine.\Did something happen? response:	Air mail?
context: This might just be a small show in a small town,\but being superheroes for little kids\is an important mission!\Serious?\It's just to draw crowds.\We'll be fine.\Did something happen?\Air mail? response:	From who?
context: but being superheroes for little kids\is an important mission!\Serious?\It's just to draw crowds.\We'll be fine.\Did something happen?\Air mail?\From who? response:	I'd mailed them to a friend in Wien, but they were sent back.
context: is an important mission!\Serious?\It's just to draw crowds.\We'll be fine.\Did something happen?\Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back. response:	A girl?
context: Serious?\It's just to draw crowds.\We'll be fine.\Did something happen?\Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl? response:	Konatsu!
context: It's just to draw crowds.\We'll be fine.\Did something happen?\Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu! response:	It says there's no person named Jan
context: We'll be fine.\Did something happen?\Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu!\It says there's no person named Jan response:	living there anymore,
context: Did something happen?\Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu!\It says there's no person named Jan\living there anymore, response:	so I should stop sending letters.
context: Air mail?\From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu!\It says there's no person named Jan\living there anymore,\so I should stop sending letters. response:	Have you tried calling their phone or texting them?
context: From who?\I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu!\It says there's no person named Jan\living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them? response:	Jan's just a kid. He'll turn seven this year.
context: I'd mailed them to a friend in Wien, but they were sent back.\A girl?\Konatsu!\It says there's no person named Jan\living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year. response:	We'd watch the Gambaraijers video my grandpa sent, on repeat.
context: A girl?\Konatsu!\It says there's no person named Jan\living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat. response:	Gamba Red was our hero.
context: Konatsu!\It says there's no person named Jan\living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero. response:	But then I had to move back to Japan...
context: It says there's no person named Jan\living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan... response:	Are you really going?
context: living there anymore,\so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going? response:	I'll miss you.
context: so I should stop sending letters.\Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going?\I'll miss you. response:	Don't worry.
context: Have you tried calling their phone or texting them?\Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going?\I'll miss you.\Don't worry. response:	Gamba Red will protect you.
context: Jan's just a kid. He'll turn seven this year.\We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going?\I'll miss you.\Don't worry.\Gamba Red will protect you. response:	Right.
context: We'd watch the Gambaraijers video my grandpa sent, on repeat.\Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going?\I'll miss you.\Don't worry.\Gamba Red will protect you.\Right. response:	Will you write to me, once you're back home?
context: Gamba Red was our hero.\But then I had to move back to Japan...\Are you really going?\I'll miss you.\Don't worry.\Gamba Red will protect you.\Right.\Will you write to me, once you're back home? response:	I'd like to know more about Japan.
context: But then I had to move back to Japan...\Are you really going?\I'll miss you.\Don't worry.\Gamba Red will protect you.\Right.\Will you write to me, once you're back home?\I'd like to know more about Japan. response:	You bet I will!
context: Are you really going?\I'll miss you.\Don't worry.\Gamba Red will protect you.\Right.\Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will! response:	So that's it.
context: I'll miss you.\Don't worry.\Gamba Red will protect you.\Right.\Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will!\So that's it. response:	Did you write about cultivating excellence and saying to arms?
context: Don't worry.\Gamba Red will protect you.\Right.\Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms? response:	And the white rhino in the school's basement?
context: Gamba Red will protect you.\Right.\Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement? response:	Yes, all of it.
context: Right.\Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it. response:	Too bad it all came back.
context: Will you write to me, once you're back home?\I'd like to know more about Japan.\You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back. response:	You know, Wien...
context: I'd like to know more about Japan.\You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back.\You know, Wien... response:	It's okay.
context: You bet I will!\So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back.\You know, Wien...\It's okay. response:	I get the feeling I'll see Jan again, someday.
context: So that's it.\Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back.\You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday. response:	Until then, all I can do is trust Jan is doing his best.
context: Did you write about cultivating excellence and saying to arms?\And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back.\You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best. response:	And I'll do my best, too.
context: And the white rhino in the school's basement?\Yes, all of it.\Too bad it all came back.\You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too. response:	As a West Shopping District Hero. As Red!
context: Yes, all of it.\Too bad it all came back.\You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red! response:	All right!
context: Too bad it all came back.\You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right! response:	I just thought of a new pose.
context: You know, Wien...\It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose. response:	Straight from the source!
context: It's okay.\I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose.\Straight from the source! response:	Bursting with flavor, Whitebait White!
context: I get the feeling I'll see Jan again, someday.\Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White! response:	That's way better!
context: Until then, all I can do is trust Jan is doing his best.\And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White!\That's way better! response:	Yeah, huh?
context: And I'll do my best, too.\As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh? response:	You see the whitebait, right?
context: As a West Shopping District Hero. As Red!\All right!\I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh?\You see the whitebait, right? response:	If you move like this, it'll look even more natural.
context: All right!\I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural. response:	Like this?
context: I just thought of a new pose.\Straight from the source!\Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this? response:	Hey, this doesn't come with a skirt.
context: Straight from the source!\Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt. response:	It'll show everything!
context: Bursting with flavor, Whitebait White!\That's way better!\Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt.\It'll show everything! response:	I guess these characters were supposed to be boys.
context: That's way better!\Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys. response:	Jeez.
context: Yeah, huh?\You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys.\Jeez. response:	Don't worry! You have a great figure.
context: You see the whitebait, right?\If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure. response:	Yep.
context: If you move like this, it'll look even more natural.\Like this?\Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure.\Yep. response:	And you can't actually see underwear through this,
context: Like this?\Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this, response:	so we don't need skirts.
context: Hey, this doesn't come with a skirt.\It'll show everything!\I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this,\so we don't need skirts. response:	This smells like the main hall at my house.
context: It'll show everything!\I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house. response:	Like the temple?!
context: I guess these characters were supposed to be boys.\Jeez.\Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house.\Like the temple?! response:	Can you guys hurry up?
context: Jeez.\Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up? response:	Are you done?
context: Don't worry! You have a great figure.\Yep.\And you can't actually see underwear through this,\so we don't need skirts.\This smells like the main hall at my house.\Like the temple?!\Can you guys hurry up?\Are you done? response:	Open that door and I'll kill you.
