context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: The Diamond Kingdom's Eight Shining Generals Yagos\It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage! response:	I can't wait!
context: It's been so long since my last battle! I can barely contain myself!\The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait! response:	Besides, that location is packed with resources.
context: The Diamond Kingdom's Eight Shining Generals Brocks\Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources. response:	They're wasted on the likes of the Clovers.
context: Those Clover Kingdom weaklings! I'll crush them all!\It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers. response:	The Diamond Kingdom is attacking!
context: It appears that our intel about their border defense being weakened due to\their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking! response:	In the name of the Magic Knights, do not allow them to invade!
context: their struggles with a terrorist group\called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade! response:	Yeah!
context: called the Eye of the Midnight Sun was correct.\If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah! response:	Activate the magical barrier!
context: If we can conquer Kiten, it'll immediately give our forces the advantage!\I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier! response:	That's a magical barrier built with the power of fifty Magic Knights!
context: I can't wait!\Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights! response:	They won't be able to break through that easily!
context: Besides, that location is packed with resources.\They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily! response:	And this barrier doesn't allow attacks from the outside in,
context: They're wasted on the likes of the Clovers.\The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in, response:	but will let spells from the inside out.
context: The Diamond Kingdom is attacking!\In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out. response:	First, we'll attack that lightning magic user,
context: In the name of the Magic Knights, do not allow them to invade!\Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user, response:	one of the Eight Shining Generals, Lagus!
context: Yeah!\Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus! response:	Concentrate all your attacks on him!
context: Activate the magical barrier!\That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him! response:	Such pathetic and ugly magic.
context: That's a magical barrier built with the power of fifty Magic Knights!\They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic. response:	Watch carefully. This is how you use magic.
context: They won't be able to break through that easily!\And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic. response:	Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!
context: And this barrier doesn't allow attacks from the outside in,\but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow! response:	All right! Now we charge!
context: but will let spells from the inside out.\First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge! response:	Don't break formation.
context: First, we'll attack that lightning magic user,\one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation. response:	Stay in squads of ten.
context: one of the Eight Shining Generals, Lagus!\Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation.\Stay in squads of ten. response:	Defense mages, activate barrier spells and watch out for long-range magic.
context: Concentrate all your attacks on him!\Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic. response:	Yes, sir!
context: Such pathetic and ugly magic.\Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir! response:	Close-range and mid-range attack mages,
context: Watch carefully. This is how you use magic.\Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages, response:	scout for enemies and let your magic charge up.
context: Lightning Creation Magic: Thunderbird Warrior Air-Splitting Magic Bow!\All right! Now we charge!\Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up. response:	Yes, sir!
context: All right! Now we charge!\Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir! response:	Long-range attack mages,
context: Don't break formation.\Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages, response:	keep up a barrage of spells with low magic consumption to throw them into confusion!
context: Stay in squads of ten.\Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion! response:	Yes, sir!
context: Defense mages, activate barrier spells and watch out for long-range magic.\Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir! response:	And then
context: Yes, sir!\Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then response:	Go!
context: Close-range and mid-range attack mages,\scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then\Go! response:	Red Clay Creation Magic: Raging Great Boar Charge!
context: scout for enemies and let your magic charge up.\Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge! response:	Long live the Diamond Kingdom!
context: Yes, sir!\Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom! response:	Curse that Brocks! I was still talking!
context: Long-range attack mages,\keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking! response:	What kind of general charges in personally?
context: keep up a barrage of spells with low magic consumption to throw them into confusion!\Yes, sir!\And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally? response:	Also, you should be flying.
context: Yes, sir!\And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying. response:	Oh, well. This is nothing new.
context: And then\Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new. response:	There was very little beauty in it,
context: Go!\Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it, response:	but he was trying to use that attack to make them cower in fear.
context: Red Clay Creation Magic: Raging Great Boar Charge!\Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear. response:	Yagos, we're going after him.
context: Long live the Diamond Kingdom!\Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him. response:	I-It's no use! They're just too powerful!
context: Curse that Brocks! I was still talking!\What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful! response:	Well, that ain't good.
context: What kind of general charges in personally?\Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good. response:	The Magic Knights charged with defending Kiten
context: Also, you should be flying.\Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten response:	have mostly been wiped out.
context: Oh, well. This is nothing new.\There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out. response:	That's
context: There was very little beauty in it,\but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's response:	What? What is it, Mushroom Head?
context: but he was trying to use that attack to make them cower in fear.\Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's\What? What is it, Mushroom Head? response:	It's them.
context: Yagos, we're going after him.\I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's\What? What is it, Mushroom Head?\It's them. response:	The Clover Kingdom's most powerful Magic Knights Squad.
context: I-It's no use! They're just too powerful!\Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's\What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad. response:	The Golden Dawn!
context: Well, that ain't good.\The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's\What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn! response:	All right, everyone. Let's ask our rude guests to take their leave.
context: The Magic Knights charged with defending Kiten\have mostly been wiped out.\That's\What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave. response:	Yuno!
context: have mostly been wiped out.\That's\What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno! response:	My meal-saving prince?!
context: That's\What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?! response:	Weak! Too weak!
context: What? What is it, Mushroom Head?\It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?!\Weak! Too weak! response:	Where are the Magic Knights Captains?! You're all worthless!
context: It's them.\The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless! response:	A message for the generals!
context: The Clover Kingdom's most powerful Magic Knights Squad.\The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals! response:	It appears the Clover Kingdom's reinforcements have arrived!
context: The Golden Dawn!\All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived! response:	The only enemy is the members of the Golden Dawn!
context: All right, everyone. Let's ask our rude guests to take their leave.\Yuno!\My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn! response:	I repeat, the only enemy is the members of the Golden Dawn!
context: Yuno!\My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn! response:	Idiots! Do they think they can stop us with just one squad?!
context: My meal-saving prince?!\Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?! response:	They're all fools!
context: Weak! Too weak!\Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools! response:	Blocking my way? You've got some guts!
context: Where are the Magic Knights Captains?! You're all worthless!\A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts! response:	You fool! I'll blast you to bits!
context: A message for the generals!\It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits! response:	Wind Magic: Tornado Fang!
context: It appears the Clover Kingdom's reinforcements have arrived!\The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang! response:	Who's blasting whom to bits?
context: The only enemy is the members of the Golden Dawn!\I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits? response:	Well, look at you, acting all cool.
context: I repeat, the only enemy is the members of the Golden Dawn!\Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool. response:	Use my powers, too!
context: Idiots! Do they think they can stop us with just one squad?!\They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too! response:	Listen, the reason you can't make any friends is
context: They're all fools!\Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is response:	Wind Spirit Bell
context: Blocking my way? You've got some guts!\You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell response:	because you put on airs like that!
context: You fool! I'll blast you to bits!\Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that! response:	Why don't you try putting on a breezy smile once in a while, Yuno?
context: Wind Magic: Tornado Fang!\Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno? response:	Breezy? Not happening.
context: Who's blasting whom to bits?\Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening. response:	Hey... What do you mean by not happening?
context: Well, look at you, acting all cool.\Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening? response:	I'm one of the Four Great Nature Spirits! Don't ignore me!
context: Use my powers, too!\Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me! response:	Say something, dang it!
context: Listen, the reason you can't make any friends is\Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it! response:	Something.
context: Wind Spirit Bell\because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something. response:	Something?!
context: because you put on airs like that!\Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something.\Something?! response:	You'll never be able to make friends like that, you sourpuss!
context: Why don't you try putting on a breezy smile once in a while, Yuno?\Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something.\Something?!\You'll never be able to make friends like that, you sourpuss! response:	But don't you worry. I'll be staying with you forever!
context: Breezy? Not happening.\Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something.\Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever! response:	Aren't you lucky?
context: Hey... What do you mean by not happening?\I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something.\Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky? response:	Okay, let's hurry up and take care of those guys and go on a date, Yuno!
context: I'm one of the Four Great Nature Spirits! Don't ignore me!\Say something, dang it!\Something.\Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno! response:	Nope.
context: Say something, dang it!\Something.\Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope. response:	How dare you refuse a date with me?! Unbelievable!
context: Something.\Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable! response:	Hey!
context: Something?!\You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable!\Hey! response:	Looks like at least one of you has a spine!
context: You'll never be able to make friends like that, you sourpuss!\But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine! response:	My meal-saving prince!
context: But don't you worry. I'll be staying with you forever!\Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine!\My meal-saving prince! response:	So that's the Wind Spirit? I want to see her in person!
context: Aren't you lucky?\Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person! response:	Looks like you've gotten even stronger, Yuno.
context: Okay, let's hurry up and take care of those guys and go on a date, Yuno!\Nope.\How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno. response:	Damn, Yuno!
context: Nope.\How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno! response:	The Golden Dawn rushed to the scene,
context: How dare you refuse a date with me?! Unbelievable!\Hey!\Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene, response:	but they're up against three of the Eight Shining Generals and that many troops.
context: Hey!\Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops. response:	I'd like to send reinforcements,
context: Looks like at least one of you has a spine!\My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements, response:	but the only ones who can head there immediately are...
context: My meal-saving prince!\So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are... response:	The Crimson Lion Kings went to the Ioto Mountain Range on another mission.
context: So that's the Wind Spirit? I want to see her in person!\Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission. response:	The Silver Eagles are tied up with the Spade Kingdom...
context: Looks like you've gotten even stronger, Yuno.\Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom... response:	You want me to go, Julius?
context: Damn, Yuno!\The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius? response:	I'm pretty sure Finral's been there before, so we can go immediately.
context: The Golden Dawn rushed to the scene,\but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately. response:	Are you sure, Yami? You just returned from the Underwater Temple.
context: but they're up against three of the Eight Shining Generals and that many troops.\I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple. response:	Sure. I'm pretty invincible right now anyway,
context: I'd like to send reinforcements,\but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway, response:	and...
context: but the only ones who can head there immediately are...\The Crimson Lion Kings went to the Ioto Mountain Range on another mission.\The Silver Eagles are tied up with the Spade Kingdom...\You want me to go, Julius?\I'm pretty sure Finral's been there before, so we can go immediately.\Are you sure, Yami? You just returned from the Underwater Temple.\Sure. I'm pretty invincible right now anyway,\and... response:	There's a guy I'm a little concerned about.
