context: In a way, I can turn Jirou's stuff into my stuff! response:	Move it!
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Master Jirou has been hurt!
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Master Jirou has been hurt! response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Master Jirou has been hurt!\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Master Jirou has been hurt!\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Master Jirou has been hurt!\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Master Jirou has been hurt!\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Master Jirou has been hurt!\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Master Jirou has been hurt!\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Master Jirou has been hurt!\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	Scramble
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble response:	How long are you going to weep like that?
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\How long are you going to weep like that? response:	But it was all my fault...
context: Scramble\Scramble\Scramble\Scramble\Scramble\Scramble\How long are you going to weep like that?\But it was all my fault... response:	You needn't worry. He is not going to die.
context: Scramble\Scramble\Scramble\Scramble\Scramble\How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die. response:	We gave him the Peach Pills.
context: Scramble\Scramble\Scramble\Scramble\How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills. response:	He should be fine in two or three days.
context: Scramble\Scramble\Scramble\How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days. response:	If Jirou loses his ability to fly, I don't know how I can ever make it up to him.
context: Scramble\Scramble\How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him. response:	Even if that were to happen,
context: Scramble\How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen, response:	that man would suffer it happily.
context: How long are you going to weep like that?\But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily. response:	Because he was able to save you.
context: But it was all my fault...\You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily.\Because he was able to save you. response:	Oh, it's you, Master Familiar. Lady Nanami.
context: You needn't worry. He is not going to die.\We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami. response:	Oh, Suirou.
context: We gave him the Peach Pills.\He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou. response:	I received word that Jirou had been injured, so I came to see how he's doing.
context: He should be fine in two or three days.\If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing. response:	What is the matter, Master Familiar?
context: If Jirou loses his ability to fly, I don't know how I can ever make it up to him.\Even if that were to happen,\that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar? response:	You look most displeased.
context: Even if that were to happen,\that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased. response:	By the way, where's Shinjurou?
context: that man would suffer it happily.\Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou? response:	He's with the master right now.
context: Because he was able to save you.\Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou?\He's with the master right now. response:	The Third has overcome his illness and will awaken soon.
context: Oh, it's you, Master Familiar. Lady Nanami.\Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon. response:	Please let everyone in the village know.
context: Oh, Suirou.\I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know. response:	The dark clouds will clear, new plants will sprout,
context: I received word that Jirou had been injured, so I came to see how he's doing.\What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout, response:	and the mountain will surely be restored.
context: What is the matter, Master Familiar?\You look most displeased.\By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored. response:	17 years since descending the mountain. See how I have grown.
context: You look most displeased.\By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown. response:	This isn't my freakin' feather.
context: By the way, where's Shinjurou?\He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather. response:	He fell for this?
context: He's with the master right now.\The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this? response:	You're an idiot, my sire.
context: The Third has overcome his illness and will awaken soon.\Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire. response:	Seriously...
context: Please let everyone in the village know.\The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire.\Seriously... response:	The mountain will surely be restored.
context: The dark clouds will clear, new plants will sprout,\and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire.\Seriously...\The mountain will surely be restored. response:	The eternal cherry blossom tree will bloom again too.
context: and the mountain will surely be restored.\17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire.\Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too. response:	Weird. By crushing these leaves I can make a medicinal ointment?
context: 17 years since descending the mountain. See how I have grown.\This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire.\Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment? response:	Their book on medicinal herbs is awesome.
context: This isn't my freakin' feather.\He fell for this?\You're an idiot, my sire.\Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome. response:	It's been two days since then.
context: He fell for this?\You're an idiot, my sire.\Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then. response:	Their master has awakened.
context: You're an idiot, my sire.\Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened. response:	And bit by bit, everything on Mount Kurama has recovered as well.
context: Seriously...\The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well. response:	Everything except Jirou.
context: The mountain will surely be restored.\The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou. response:	Brother Jirou is going to be fine.
context: The eternal cherry blossom tree will bloom again too.\Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine. response:	According to Brother Suirou, his body has been healing exceptionally well.
context: Weird. By crushing these leaves I can make a medicinal ointment?\Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well. response:	If anything, he is a tough crow.
context: Their book on medicinal herbs is awesome.\It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow. response:	You must also return to the mundane world soon, do you not?
context: It's been two days since then.\Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not? response:	I do, but...
context: Their master has awakened.\And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but... response:	I'll stay here until Jirou wakes up.
context: And bit by bit, everything on Mount Kurama has recovered as well.\Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up. response:	Ah, yes. Do you know of the eternal cherry blossom tree on the hill?
context: Everything except Jirou.\Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill? response:	It is in full bloom right now.
context: Brother Jirou is going to be fine.\According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now. response:	Care to go see it with everyone?
context: According to Brother Suirou, his body has been healing exceptionally well.\If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone? response:	Thick, black clouds are lingering over the mountain.
context: If anything, he is a tough crow.\You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain. response:	Dammit! The plants cannot flourish in this condition!
context: You must also return to the mundane world soon, do you not?\I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition! response:	Jirou.
context: I do, but...\I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou. response:	Come on, Jirou. What are you doing?
context: I'll stay here until Jirou wakes up.\Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing? response:	Soujoubou!
context: Ah, yes. Do you know of the eternal cherry blossom tree on the hill?\It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing?\Soujoubou! response:	My deepest apologies, sir.
context: It is in full bloom right now.\Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir. response:	I am entirely to blame for this predicament.
context: Care to go see it with everyone?\Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament. response:	A bad guy came and lead me astray with his foolish words, and I lost sight of myself.
context: Thick, black clouds are lingering over the mountain.\Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself. response:	I cannot stay on the mountain any longer.
context: Dammit! The plants cannot flourish in this condition!\Jirou.\Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer. response:	It is all well and good.
context: Jirou.\Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good. response:	You are hardly the first.
context: Come on, Jirou. What are you doing?\Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first. response:	Everybody makes mistakes.
context: Soujoubou!\My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first.\Everybody makes mistakes. response:	It is the one enduring truth that has not changed throughout the ages.
context: My deepest apologies, sir.\I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages. response:	Shinjurou is no different.
context: I am entirely to blame for this predicament.\A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different. response:	Fumimaru and the other little crows all make mistakes as well.
context: A bad guy came and lead me astray with his foolish words, and I lost sight of myself.\I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well. response:	Even Suirou.
context: I cannot stay on the mountain any longer.\It is all well and good.\You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou. response:	He may seem composed and infallible.
context: It is all well and good.\You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible. response:	Crash
context: You are hardly the first.\Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible.\Crash response:	Crash
context: Everybody makes mistakes.\It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible.\Crash\Crash response:	But he had a nasty habit of knocking over my poor bonsai trees.
context: It is the one enduring truth that has not changed throughout the ages.\Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible.\Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees. response:	Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.
context: Shinjurou is no different.\Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible.\Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him. response:	Of course,
context: Fumimaru and the other little crows all make mistakes as well.\Even Suirou.\He may seem composed and infallible.\Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course, response:	I make mistakes as well.
context: Even Suirou.\He may seem composed and infallible.\Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well. response:	Everybody is the same.
context: He may seem composed and infallible.\Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well.\Everybody is the same. response:	Even you
context: Crash\Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well.\Everybody is the same.\Even you response:	are the same as everybody else.
context: Crash\But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well.\Everybody is the same.\Even you\are the same as everybody else. response:	Yes, sir.
context: But he had a nasty habit of knocking over my poor bonsai trees.\Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well.\Everybody is the same.\Even you\are the same as everybody else.\Yes, sir. response:	The clouds...
context: Absent-minded though he may be, the amazing thing about him is that he never lets these things get to him.\Of course,\I make mistakes as well.\Everybody is the same.\Even you\are the same as everybody else.\Yes, sir.\The clouds... response:	Those thick clouds are clearing up!
context: Of course,\I make mistakes as well.\Everybody is the same.\Even you\are the same as everybody else.\Yes, sir.\The clouds...\Those thick clouds are clearing up! response:	They've cleared up.
context: I make mistakes as well.\Everybody is the same.\Even you\are the same as everybody else.\Yes, sir.\The clouds...\Those thick clouds are clearing up!\They've cleared up. response:	And that maiden...
context: Everybody is the same.\Even you\are the same as everybody else.\Yes, sir.\The clouds...\Those thick clouds are clearing up!\They've cleared up.\And that maiden... response:	I can see her as well.
context: Even you\are the same as everybody else.\Yes, sir.\The clouds...\Those thick clouds are clearing up!\They've cleared up.\And that maiden...\I can see her as well. response:	I, too,
