context: Uprisings are breaking out all over Sistina. response:	What good will it do for the people to make a commotion?
context: Also the Crest of Viscount Rossini's family, and the lives of both you and Phederico.\I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you? response:	It will be very difficult and time-consuming for you to govern them.
context: I want you to know that my demands are the words of the people in this uprising.\I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them. response:	But with me at your side, I think they'll obey you without a word.
context: I'll be sure to take note of that.\I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word. response:	I don't think these terms are unfavorable.
context: I have no problem relinquishing my life, and my father's, to you.\But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable. response:	No.
context: But if you were to execute us, and take over as ruler,\I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No. response:	To subjugate you for the sole purpose of making my rule go smoothly.
context: I doubt that those who pledged loyalty to the Rossinis will remain silent.\And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly. response:	That wouldn't be a convincing argument for those who joined in the revolt.
context: And so I have a proposal.\Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt. response:	I see.
context: Will you allow me to pledge allegiance to you?\It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see. response:	However, I don't wish to annihilate the Rossini family.
context: It will be very difficult and time-consuming for you to govern them.\But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family. response:	During this battle, I realized that a lot of people are loyal to the Rossinis.
context: But with me at your side, I think they'll obey you without a word.\I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis. response:	I would like you to live for their sake.
context: I don't think these terms are unfavorable.\No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake. response:	That doesn't sound any different than using me to your advantage.
context: No.\To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage. response:	Those are my own words, and my decision.
context: To subjugate you for the sole purpose of making my rule go smoothly.\That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision. response:	The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.
context: That wouldn't be a convincing argument for those who joined in the revolt.\I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron. response:	And I'm told that in those days, everyone on this island was happy.
context: I see.\However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy. response:	That's why I want to bring Sistina back to those times.
context: However, I don't wish to annihilate the Rossini family.\During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times. response:	To rebuild anew the Sistina of the good old days, together.
context: During this battle, I realized that a lot of people are loyal to the Rossinis.\I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together. response:	For that reason, I'd like to ask you to pledge allegiance to me.
context: I would like you to live for their sake.\That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me. response:	Sir Theo.
context: That doesn't sound any different than using me to your advantage.\Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo. response:	But Sir Phederico will assume responsibility for what generations of Rossinis have done.
context: Those are my own words, and my decision.\The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done. response:	That's the one thing I can't concede.
context: The most prominent Lord who served the hero, Jude Cornaro, was a Rossini baron.\And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede. response:	Of course, my father is already prepared to do so.
context: And I'm told that in those days, everyone on this island was happy.\That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so. response:	For a long time, the Rossini's way of governing has been reaching its limit.
context: That's why I want to bring Sistina back to those times.\To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit. response:	At the same time, I'd lost hope that it could be changed.
context: To rebuild anew the Sistina of the good old days, together.\For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit.\At the same time, I'd lost hope that it could be changed. response:	But after hearing what you said just now, Sir Theo, I've changed my way of thinking.
context: For that reason, I'd like to ask you to pledge allegiance to me.\Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit.\At the same time, I'd lost hope that it could be changed.\But after hearing what you said just now, Sir Theo, I've changed my way of thinking. response:	For Sistina's sake, I'd like to pledge my loyalty to this Lord by the name of Theo Cornaro.
context: Sir Theo.\But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit.\At the same time, I'd lost hope that it could be changed.\But after hearing what you said just now, Sir Theo, I've changed my way of thinking.\For Sistina's sake, I'd like to pledge my loyalty to this Lord by the name of Theo Cornaro. response:	Understood.
context: But Sir Phederico will assume responsibility for what generations of Rossinis have done.\That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit.\At the same time, I'd lost hope that it could be changed.\But after hearing what you said just now, Sir Theo, I've changed my way of thinking.\For Sistina's sake, I'd like to pledge my loyalty to this Lord by the name of Theo Cornaro.\Understood. response:	THE LIBERATOR OF SISTINA
context: That's the one thing I can't concede.\Of course, my father is already prepared to do so.\For a long time, the Rossini's way of governing has been reaching its limit.\At the same time, I'd lost hope that it could be changed.\But after hearing what you said just now, Sir Theo, I've changed my way of thinking.\For Sistina's sake, I'd like to pledge my loyalty to this Lord by the name of Theo Cornaro.\Understood.\THE LIBERATOR OF SISTINA response:	EPISODE 15 RETURN
