context: Most of the anti-peace forces that had invaded Ctrigall have been suppressed. response:	However, a number of rebels have escaped.
context: In order to get back the people and things you've taken from us.\Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end, response:	waiting for the glory that was promised to both the living and the dead.
context: Are you planning on starting another war?\Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead. response:	But what happened in reality?
context: Do you think the war is over?\It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality? response:	Our leaders do whatever they're told by the south,
context: It seems like you know what I'm talking about.\You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south, response:	and the soldiers who risked their lives to protect the people were scorned,
context: You and I, we both have the memories of violence burned into us like scars,\and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned, response:	and had stones cast against them.
context: and it will never be over.\-But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them. response:	We were betrayed and abandoned by everything.
context: -But the war has ended in the real world. -It has not!\We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything. response:	Then what's wrong with wanting to destroy everything?
context: We fought dreaming for the war to end,\waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything? response:	I do not want to kill anyone anymore.
context: waiting for the glory that was promised to both the living and the dead.\But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore. response:	Get her.
context: But what happened in reality?\Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her. response:	Is this important to you?
context: Our leaders do whatever they're told by the south,\and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her.\Is this important to you? response:	Hey. Are you all right?
context: and the soldiers who risked their lives to protect the people were scorned,\and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her.\Is this important to you?\Hey. Are you all right? response:	What the hell is going on?
context: and had stones cast against them.\We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her.\Is this important to you?\Hey. Are you all right?\What the hell is going on? response:	Major.
context: We were betrayed and abandoned by everything.\Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her.\Is this important to you?\Hey. Are you all right?\What the hell is going on?\Major. response:	Die!
context: Then what's wrong with wanting to destroy everything?\I do not want to kill anyone anymore.\Get her.\Is this important to you?\Hey. Are you all right?\What the hell is going on?\Major.\Die! response:	Major?
context: I do not want to kill anyone anymore.\Get her.\Is this important to you?\Hey. Are you all right?\What the hell is going on?\Major.\Die!\Major? response:	What are you doing?
context: Get her.\Is this important to you?\Hey. Are you all right?\What the hell is going on?\Major.\Die!\Major?\What are you doing? response:	Brigadier general! You bastard!
context: Is this important to you?\Hey. Are you all right?\What the hell is going on?\Major.\Die!\Major?\What are you doing?\Brigadier general! You bastard! response:	Captain Diethard.
context: Hey. Are you all right?\What the hell is going on?\Major.\Die!\Major?\What are you doing?\Brigadier general! You bastard!\Captain Diethard. response:	You cannot even protect yourself,
context: What the hell is going on?\Major.\Die!\Major?\What are you doing?\Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself, response:	so, how did you expect to do this without killing?
context: Major.\Die!\Major?\What are you doing?\Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing? response:	My brother Gil gave his life to protect someone like you?
context: Die!\Major?\What are you doing?\Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you? response:	I do not want to kill anymore.
context: Major?\What are you doing?\Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore. response:	The major's orders were to live, not kill!
context: What are you doing?\Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill! response:	What use is a battle doll that will no longer kill?
context: Brigadier general! You bastard!\Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill? response:	That's why you weren't able to protect Gilbert!
context: Captain Diethard.\You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert! response:	You killed Gil!
context: You cannot even protect yourself,\so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil! response:	That's why you should die, too!
context: so, how did you expect to do this without killing?\My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too! response:	Hurry up and die!
context: My brother Gil gave his life to protect someone like you?\I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too!\Hurry up and die! response:	Even so, the major ordered me...
context: I do not want to kill anymore.\The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too!\Hurry up and die!\Even so, the major ordered me... response:	to live.
context: The major's orders were to live, not kill!\What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too!\Hurry up and die!\Even so, the major ordered me...\to live. response:	I wanted to protect him! I...
context: What use is a battle doll that will no longer kill?\That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too!\Hurry up and die!\Even so, the major ordered me...\to live.\I wanted to protect him! I... response:	I wanted to protect him, too!
context: That's why you weren't able to protect Gilbert!\You killed Gil!\That's why you should die, too!\Hurry up and die!\Even so, the major ordered me...\to live.\I wanted to protect him! I...\I wanted to protect him, too! response:	Brigadier general!
context: You killed Gil!\That's why you should die, too!\Hurry up and die!\Even so, the major ordered me...\to live.\I wanted to protect him! I...\I wanted to protect him, too!\Brigadier general! response:	Isidor!
