context: I can't believe you're a spy. response:	There was no other way to get across the Wall.
context: You're still wet. It will be cold outside.\Outside?\Do you see that turret?\The plates are under that.\I'll go first.\First?\When I pull the wire three times, come after me.\No! I couldn't possibly...! response:	Think of Her Highness.
context: Outside?\Do you see that turret?\The plates are under that.\I'll go first.\First?\When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness. response:	Is that...?
context: Do you see that turret?\The plates are under that.\I'll go first.\First?\When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness.\Is that...? response:	Miss Ange!
context: The plates are under that.\I'll go first.\First?\When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness.\Is that...?\Miss Ange! response:	Miss Ange!
context: I'll go first.\First?\When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness.\Is that...?\Miss Ange!\Miss Ange! response:	Someone's out there!
context: First?\When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness.\Is that...?\Miss Ange!\Miss Ange!\Someone's out there! response:	This is the underboard quarter crow's nest!
context: When I pull the wire three times, come after me.\No! I couldn't possibly...!\Think of Her Highness.\Is that...?\Miss Ange!\Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest! response:	A suspicious person has appeared below the fourth port hatch!
context: No! I couldn't possibly...!\Think of Her Highness.\Is that...?\Miss Ange!\Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch! response:	An intruder?
context: Think of Her Highness.\Is that...?\Miss Ange!\Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder? response:	What's this about, then?
context: Is that...?\Miss Ange!\Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then? response:	Sir!
context: Miss Ange!\Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then?\Sir! response:	There appears to be an intruder on the ship's exterior.
context: Miss Ange!\Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior. response:	Don't give me that nonsense!
context: Someone's out there!\This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense! response:	We're in the middle of the sky!
context: This is the underboard quarter crow's nest!\A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky! response:	Dammit! Shut off that siren!
context: A suspicious person has appeared below the fourth port hatch!\An intruder?\What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren! response:	How in the...?
context: An intruder?\What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...? response:	She's coming this way.
context: What's this about, then?\Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...?\She's coming this way. response:	Dash it all, she IS after the plates!
context: Sir!\There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...?\She's coming this way.\Dash it all, she IS after the plates! response:	Miss Ange...
context: There appears to be an intruder on the ship's exterior.\Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...?\She's coming this way.\Dash it all, she IS after the plates!\Miss Ange... response:	The door's locked!
context: Don't give me that nonsense!\We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...?\She's coming this way.\Dash it all, she IS after the plates!\Miss Ange...\The door's locked! response:	Bring a cannon!
context: We're in the middle of the sky!\Dammit! Shut off that siren!\How in the...?\She's coming this way.\Dash it all, she IS after the plates!\Miss Ange...\The door's locked!\Bring a cannon! response:	Confound it!
context: Dammit! Shut off that siren!\How in the...?\She's coming this way.\Dash it all, she IS after the plates!\Miss Ange...\The door's locked!\Bring a cannon!\Confound it! response:	What IS she?
context: How in the...?\She's coming this way.\Dash it all, she IS after the plates!\Miss Ange...\The door's locked!\Bring a cannon!\Confound it!\What IS she? response:	She's an intruder! Kill her!
context: She's coming this way.\Dash it all, she IS after the plates!\Miss Ange...\The door's locked!\Bring a cannon!\Confound it!\What IS she?\She's an intruder! Kill her! response:	S-stop shooting!
context: Dash it all, she IS after the plates!\Miss Ange...\The door's locked!\Bring a cannon!\Confound it!\What IS she?\She's an intruder! Kill her!\S-stop shooting! response:	Fire!
context: Miss Ange...\The door's locked!\Bring a cannon!\Confound it!\What IS she?\She's an intruder! Kill her!\S-stop shooting!\Fire! response:	There should be another one in here! Find them!
context: The door's locked!\Bring a cannon!\Confound it!\What IS she?\She's an intruder! Kill her!\S-stop shooting!\Fire!\There should be another one in here! Find them! response:	Oww... Miss Ange...
context: Bring a cannon!\Confound it!\What IS she?\She's an intruder! Kill her!\S-stop shooting!\Fire!\There should be another one in here! Find them!\Oww... Miss Ange... response:	Miss Ange!
context: Confound it!\What IS she?\She's an intruder! Kill her!\S-stop shooting!\Fire!\There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange! response:	Are you all right?
context: What IS she?\She's an intruder! Kill her!\S-stop shooting!\Fire!\There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange!\Are you all right? response:	The plates.
context: She's an intruder! Kill her!\S-stop shooting!\Fire!\There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange!\Are you all right?\The plates. response:	Take them... and get out of here.
context: S-stop shooting!\Fire!\There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange!\Are you all right?\The plates.\Take them... and get out of here. response:	When you reach the ground... call Dorothy.
context: Fire!\There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange!\Are you all right?\The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy. response:	I-I told you I refuse to help a spy!
context: There should be another one in here! Find them!\Oww... Miss Ange...\Miss Ange!\Are you all right?\The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy! response:	Give it to her yourself-!
context: Oww... Miss Ange...\Miss Ange!\Are you all right?\The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-! response:	Just... go!
context: Miss Ange!\Are you all right?\The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go! response:	But there are plenty of other para...
context: Are you all right?\The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go!\But there are plenty of other para... response:	No...
context: The plates.\Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go!\But there are plenty of other para...\No... response:	Major!
context: Take them... and get out of here.\When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go!\But there are plenty of other para...\No...\Major! response:	Major, are you all right?
context: When you reach the ground... call Dorothy.\I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go!\But there are plenty of other para...\No...\Major!\Major, are you all right? response:	Hurry.
context: I-I told you I refuse to help a spy!\Give it to her yourself-!\Just... go!\But there are plenty of other para...\No...\Major!\Major, are you all right?\Hurry. response:	Hurry. Oscar! Norman!
context: Give it to her yourself-!\Just... go!\But there are plenty of other para...\No...\Major!\Major, are you all right?\Hurry.\Hurry. Oscar! Norman! response:	Save yourself. Oscar! Norman!
context: Just... go!\But there are plenty of other para...\No...\Major!\Major, are you all right?\Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman! response:	Save yourself. Answer me! Dammit!
context: But there are plenty of other para...\No...\Major!\Major, are you all right?\Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit! response:	Take the plates. Answer me! Dammit!
context: No...\Major!\Major, are you all right?\Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit! response:	Honestly! What is it about you spies?!
context: Major!\Major, are you all right?\Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?! response:	Is the mission that important to you?!
context: Major, are you all right?\Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?! response:	I don't know how much they pay you,
context: Hurry.\Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you, response:	but is patriotism and principle really worth risking your life over?!
context: Hurry. Oscar! Norman!\Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?! response:	When you're dead, it's all over!
context: Save yourself. Oscar! Norman!\Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over! response:	Beatrice.
context: Save yourself. Answer me! Dammit!\Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice. response:	If I die here, I'm just a spy.
context: Take the plates. Answer me! Dammit!\Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy. response:	But if YOU get caught, they'll suspect Princess.
context: Honestly! What is it about you spies?!\Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess. response:	And I will not let that happen!
context: Is the mission that important to you?!\I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen! response:	Major! We're going to blow the door down!
context: I don't know how much they pay you,\but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down! response:	If you can hear me, please step back!
context: but is patriotism and principle really worth risking your life over?!\When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back! response:	We'll charge as soon as we fire!
context: When you're dead, it's all over!\Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire! response:	All hands, prepare for impact!
context: Beatrice.\If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact! response:	Ready and...
context: If I die here, I'm just a spy.\But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and... response:	Don't fire!
context: But if YOU get caught, they'll suspect Princess.\And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and...\Don't fire! response:	I'm fine. I dealt with the intruder!
context: And I will not let that happen!\Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and...\Don't fire!\I'm fine. I dealt with the intruder! response:	The door was warped in the fight and won't open, that's all.
context: Major! We're going to blow the door down!\If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and...\Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all. response:	I have everything under control here, so you make sure there aren't any others!
context: If you can hear me, please step back!\We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and...\Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others! response:	Yes, Sir!
context: We'll charge as soon as we fire!\All hands, prepare for impact!\Ready and...\Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir! response:	Major!
context: All hands, prepare for impact!\Ready and...\Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major! response:	Wh-what is it?
context: Ready and...\Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major!\Wh-what is it? response:	This is Sergeant Stewart.
context: Don't fire!\I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major!\Wh-what is it?\This is Sergeant Stewart. response:	How did everything go the other day?
context: I'm fine. I dealt with the intruder!\The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major!\Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day? response:	The other day?
context: The door was warped in the fight and won't open, that's all.\I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major!\Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day?\The other day? response:	The other day...
context: I have everything under control here, so you make sure there aren't any others!\Yes, Sir!\Major!\Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day?\The other day?\The other day... response:	Beatrice.
context: Yes, Sir!\Major!\Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day?\The other day?\The other day...\Beatrice. response:	Enough of your jokes. I know that voice, Corporal Henry.
context: Major!\Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day?\The other day?\The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry. response:	You're going to propose to Jennifer, aren't you?
context: Wh-what is it?\This is Sergeant Stewart.\How did everything go the other day?\The other day?\The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you? response:	Go win yourself some glory.
context: This is Sergeant Stewart.\How did everything go the other day?\The other day?\The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory. response:	Yes, Sir! Excuse me, Sir!
context: How did everything go the other day?\The other day?\The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir! response:	How did you know?
context: The other day?\The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know? response:	I heard his voice back at the switchboard.
context: The other day...\Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard. response:	It's all or nothing. If the Cavorite breaks before we land, we might both die!
context: Beatrice.\Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die! response:	I don't care!
context: Enough of your jokes. I know that voice, Corporal Henry.\You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care! response:	Here goes!
context: You're going to propose to Jennifer, aren't you?\Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes! response:	I love Her Highness!
context: Go win yourself some glory.\Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes!\I love Her Highness! response:	I love her kindness, her elegance, her intelligence... all of it!
context: Yes, Sir! Excuse me, Sir!\How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it! response:	So I'm going to protect her!
context: How did you know?\I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her! response:	I'll keep her safe from everything, and be someone worthy to stand beside her!
context: I heard his voice back at the switchboard.\It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her! response:	And I...!
context: It's all or nothing. If the Cavorite breaks before we land, we might both die!\I don't care!\Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...! response:	I hate that stupid Princess!
context: I don't care!\Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess! response:	I knew it.
context: Here goes!\I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess!\I knew it. response:	You are a liar, Miss Ange.
context: I love Her Highness!\I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange. response:	So how about we say we became friends because of our common fondness for whiskey?
context: I love her kindness, her elegance, her intelligence... all of it!\So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey? response:	Couldn't you at least make it wine?
context: So I'm going to protect her!\I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine? response:	Dorothy just wants to drink.
context: I'll keep her safe from everything, and be someone worthy to stand beside her!\And I...!\I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink. response:	What if we're all sea turtle egg-laying enthusiasts?
context: And I...!\I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts? response:	What? What does that even mean?
context: I hate that stupid Princess!\I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean? response:	Exactly what it sounds like.
context: I knew it.\You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like. response:	Etiquette dictates that at teatime, we all enjoy it together.
context: You are a liar, Miss Ange.\So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together. response:	I like salt in my tea.
context: So how about we say we became friends because of our common fondness for whiskey?\Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea. response:	Salt from the Black Lizard Planet.
context: Couldn't you at least make it wine?\Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea.\Salt from the Black Lizard Planet. response:	Please, take your time.
context: Dorothy just wants to drink.\What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea.\Salt from the Black Lizard Planet.\Please, take your time. response:	Thanks.
context: What if we're all sea turtle egg-laying enthusiasts?\What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea.\Salt from the Black Lizard Planet.\Please, take your time.\Thanks. response:	This salt is awfully sweet.
context: What? What does that even mean?\Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea.\Salt from the Black Lizard Planet.\Please, take your time.\Thanks.\This salt is awfully sweet. response:	Because it's high quality.
context: Exactly what it sounds like.\Etiquette dictates that at teatime, we all enjoy it together.\I like salt in my tea.\Salt from the Black Lizard Planet.\Please, take your time.\Thanks.\This salt is awfully sweet.\Because it's high quality. response:	You girls...
