context: Saito? response:	I wonder what happened.
context: I was living a really careless life.\I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise...\Yes.\I realized, when she was gone, response:	how much I love her.
context: I never got involved in anything, and just lived day to day.\I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise...\Yes.\I realized, when she was gone,\how much I love her. response:	Even when you have to go back to your own world?
context: I thought that's how you somehow become an adult.\I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise...\Yes.\I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world? response:	I'll cross that bridge when I come to it.
context: I thought that was good enough.\But when I came here, I finally understood what I'm here for.\Louise...\Yes.\I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it. response:	But right now I want to be with Louise.
context: But when I came here, I finally understood what I'm here for.\Louise...\Yes.\I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise. response:	I want to protect her.
context: Louise...\Yes.\I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her. response:	I mean, that's all I can do.
context: Yes.\I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do. response:	And that is how you really feel?
context: I realized, when she was gone,\how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do.\And that is how you really feel? response:	Yes.
context: how much I love her.\Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do.\And that is how you really feel?\Yes. response:	Understood.
context: Even when you have to go back to your own world?\I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do.\And that is how you really feel?\Yes.\Understood. response:	But that won't change how I feel.
context: I'll cross that bridge when I come to it.\But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do.\And that is how you really feel?\Yes.\Understood.\But that won't change how I feel. response:	Your Majesty...
context: But right now I want to be with Louise.\I want to protect her.\I mean, that's all I can do.\And that is how you really feel?\Yes.\Understood.\But that won't change how I feel.\Your Majesty... response:	Um, is it really all right...
context: I want to protect her.\I mean, that's all I can do.\And that is how you really feel?\Yes.\Understood.\But that won't change how I feel.\Your Majesty...\Um, is it really all right... response:	for me to be in here with you?
context: I mean, that's all I can do.\And that is how you really feel?\Yes.\Understood.\But that won't change how I feel.\Your Majesty...\Um, is it really all right...\for me to be in here with you? response:	Of course it is.
context: And that is how you really feel?\Yes.\Understood.\But that won't change how I feel.\Your Majesty...\Um, is it really all right...\for me to be in here with you?\Of course it is. response:	Being nude together without any
context: Yes.\Understood.\But that won't change how I feel.\Your Majesty...\Um, is it really all right...\for me to be in here with you?\Of course it is.\Being nude together without any response:	regard for standing is what hot springs are supposedly all about.
context: Understood.\But that won't change how I feel.\Your Majesty...\Um, is it really all right...\for me to be in here with you?\Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about. response:	But still, I'm really surprised.
context: But that won't change how I feel.\Your Majesty...\Um, is it really all right...\for me to be in here with you?\Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised. response:	I didn't know you had come here.
context: Your Majesty...\Um, is it really all right...\for me to be in here with you?\Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here. response:	I thought I'd also work on
context: Um, is it really all right...\for me to be in here with you?\Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on response:	my femininity by getting in the hot spring.
context: for me to be in here with you?\Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring. response:	Maybe then...
context: Of course it is.\Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then... response:	Saito will...
context: Being nude together without any\regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then...\Saito will... response:	It's actually true. My skin is so smooth now.
context: regard for standing is what hot springs are supposedly all about.\But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then...\Saito will...\It's actually true. My skin is so smooth now. response:	With this, Saito's sure to be mine!
context: But still, I'm really surprised.\I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then...\Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine! response:	No he isn't!
context: I didn't know you had come here.\I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then...\Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't! response:	You horny maid! Milk maid!
context: I thought I'd also work on\my femininity by getting in the hot spring.\Maybe then...\Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid! response:	I had decided to give up on Saito. Then why...
context: my femininity by getting in the hot spring.\Maybe then...\Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why... response:	So this is it!
context: Maybe then...\Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it! response:	That's what it means to not hide anything!
context: Saito will...\It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything! response:	Hooray for nude interaction!
context: It's actually true. My skin is so smooth now.\With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything!\Hooray for nude interaction! response:	What nude interaction?! You perverts!
context: With this, Saito's sure to be mine!\No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts! response:	Voyeur!
context: No he isn't!\You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur! response:	Pigs!
context: You horny maid! Milk maid!\I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur!\Pigs! response:	Disappear!
context: I had decided to give up on Saito. Then why...\So this is it!\That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur!\Pigs!\Disappear! response:	Jeez, they never learn.
context: So this is it!\That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur!\Pigs!\Disappear!\Jeez, they never learn. response:	Miss Westwood!
context: That's what it means to not hide anything!\Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur!\Pigs!\Disappear!\Jeez, they never learn.\Miss Westwood! response:	Tiffa, are you all right?
context: Hooray for nude interaction!\What nude interaction?! You perverts!\Voyeur!\Pigs!\Disappear!\Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right? response:	I kind of feel dizzy.
context: What nude interaction?! You perverts!\Voyeur!\Pigs!\Disappear!\Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy. response:	She was in the hot water for too long.
context: Voyeur!\Pigs!\Disappear!\Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long. response:	You should get some rest outside.
context: Pigs!\Disappear!\Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside. response:	Siesta, can you take her?
context: Disappear!\Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her? response:	I'll be fine on my own.
context: Jeez, they never learn.\Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own. response:	Is this it?
context: Miss Westwood!\Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own.\Is this it? response:	Do you think Tiffa will be all right being left back there?
context: Tiffa, are you all right?\I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there? response:	It was just the heat.
context: I kind of feel dizzy.\She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat. response:	She'll be fine once she rests for the night.
context: She was in the hot water for too long.\You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night. response:	Today was fun, huh, Louise?
context: You should get some rest outside.\Siesta, can you take her?\I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise? response:	I was surprised about the queen, but...
context: Siesta, can you take her?\I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but... response:	Oh, sorry.
context: I'll be fine on my own.\Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry. response:	What is it?
context: Is this it?\Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry.\What is it? response:	Oh, nothing. It's getting late, let's go inside.
context: Do you think Tiffa will be all right being left back there?\It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside. response:	Louise?
context: It was just the heat.\She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside.\Louise? response:	Saito, I...
context: She'll be fine once she rests for the night.\Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I... response:	H-Hey! Louise!
context: Today was fun, huh, Louise?\I was surprised about the queen, but...\Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I...\H-Hey! Louise! response:	Saito...
context: I was surprised about the queen, but...\Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I...\H-Hey! Louise!\Saito... response:	Louise...
context: Oh, sorry.\What is it?\Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I...\H-Hey! Louise!\Saito...\Louise... response:	You wanted to get in together, right?
context: What is it?\Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I...\H-Hey! Louise!\Saito...\Louise...\You wanted to get in together, right? response:	Well, I did say that, but...
context: Oh, nothing. It's getting late, let's go inside.\Louise?\Saito, I...\H-Hey! Louise!\Saito...\Louise...\You wanted to get in together, right?\Well, I did say that, but... response:	Then hurry.
context: Louise?\Saito, I...\H-Hey! Louise!\Saito...\Louise...\You wanted to get in together, right?\Well, I did say that, but...\Then hurry. response:	This is embarrassing for me, too.
context: Saito, I...\H-Hey! Louise!\Saito...\Louise...\You wanted to get in together, right?\Well, I did say that, but...\Then hurry.\This is embarrassing for me, too. response:	O-Okay...
context: H-Hey! Louise!\Saito...\Louise...\You wanted to get in together, right?\Well, I did say that, but...\Then hurry.\This is embarrassing for me, too.\O-Okay... response:	What happened all of a sudden?
context: Saito...\Louise...\You wanted to get in together, right?\Well, I did say that, but...\Then hurry.\This is embarrassing for me, too.\O-Okay...\What happened all of a sudden? response:	I don't want to have any regrets.
context: Louise...\You wanted to get in together, right?\Well, I did say that, but...\Then hurry.\This is embarrassing for me, too.\O-Okay...\What happened all of a sudden?\I don't want to have any regrets. response:	Regrets?
context: You wanted to get in together, right?\Well, I did say that, but...\Then hurry.\This is embarrassing for me, too.\O-Okay...\What happened all of a sudden?\I don't want to have any regrets.\Regrets? response:	We never know when we'll be in danger again.
context: Well, I did say that, but...\Then hurry.\This is embarrassing for me, too.\O-Okay...\What happened all of a sudden?\I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again. response:	So I want to cherish the time
context: Then hurry.\This is embarrassing for me, too.\O-Okay...\What happened all of a sudden?\I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again.\So I want to cherish the time response:	the two of us can spend together.
context: This is embarrassing for me, too.\O-Okay...\What happened all of a sudden?\I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together. response:	I feel the same, Louise.
context: O-Okay...\What happened all of a sudden?\I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together.\I feel the same, Louise. response:	And...
context: What happened all of a sudden?\I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together.\I feel the same, Louise.\And... response:	It's okay for you to look at other girls.
context: I don't want to have any regrets.\Regrets?\We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together.\I feel the same, Louise.\And...\It's okay for you to look at other girls. response:	You can even cheat on me.
context: Regrets?\We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together.\I feel the same, Louise.\And...\It's okay for you to look at other girls.\You can even cheat on me. response:	But promise me one thing. Don't die before me.
context: We never know when we'll be in danger again.\So I want to cherish the time\the two of us can spend together.\I feel the same, Louise.\And...\It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me. response:	Louise...
context: So I want to cherish the time\the two of us can spend together.\I feel the same, Louise.\And...\It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me.\Louise... response:	Because I know that that's the only thing
context: the two of us can spend together.\I feel the same, Louise.\And...\It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing response:	I wouldn't be able to bear.
context: I feel the same, Louise.\And...\It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing\I wouldn't be able to bear. response:	That's what I wanted to say.
context: And...\It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say. response:	Don't you dare die before me,
context: It's okay for you to look at other girls.\You can even cheat on me.\But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me, response:	Louise.
context: You can even cheat on me.\But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me,\Louise. response:	Then when we die, we'll die together.
context: But promise me one thing. Don't die before me.\Louise...\Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me,\Louise.\Then when we die, we'll die together. response:	Yeah.
context: Louise...\Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me,\Louise.\Then when we die, we'll die together.\Yeah. response:	Saito...
context: Because I know that that's the only thing\I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me,\Louise.\Then when we die, we'll die together.\Yeah.\Saito... response:	Louise...
context: I wouldn't be able to bear.\That's what I wanted to say.\Don't you dare die before me,\Louise.\Then when we die, we'll die together.\Yeah.\Saito...\Louise... response:	Wait...
context: That's what I wanted to say.\Don't you dare die before me,\Louise.\Then when we die, we'll die together.\Yeah.\Saito...\Louise...\Wait... response:	I changed my mind about cheating.
context: Don't you dare die before me,\Louise.\Then when we die, we'll die together.\Yeah.\Saito...\Louise...\Wait...\I changed my mind about cheating. response:	If possible, only look at me.
context: Louise.\Then when we die, we'll die together.\Yeah.\Saito...\Louise...\Wait...\I changed my mind about cheating.\If possible, only look at me. response:	I promise.
context: Then when we die, we'll die together.\Yeah.\Saito...\Louise...\Wait...\I changed my mind about cheating.\If possible, only look at me.\I promise. response:	Louise...
context: Yeah.\Saito...\Louise...\Wait...\I changed my mind about cheating.\If possible, only look at me.\I promise.\Louise... response:	Saito...
context: Saito...\Louise...\Wait...\I changed my mind about cheating.\If possible, only look at me.\I promise.\Louise...\Saito... response:	I think I was born for this moment, Louise.
context: Louise...\Wait...\I changed my mind about cheating.\If possible, only look at me.\I promise.\Louise...\Saito...\I think I was born for this moment, Louise. response:	What? Why is Tiffa here?!
context: Wait...\I changed my mind about cheating.\If possible, only look at me.\I promise.\Louise...\Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?! response:	You promised, no cheating, Saito.
context: I changed my mind about cheating.\If possible, only look at me.\I promise.\Louise...\Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito. response:	I don't know why she's here!
context: If possible, only look at me.\I promise.\Louise...\Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here! response:	You pervert!
context: I promise.\Louise...\Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here!\You pervert! response:	You should just die!
context: Louise...\Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here!\You pervert!\You should just die! response:	Help!
context: Saito...\I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here!\You pervert!\You should just die!\Help! response:	Oh no, the Elemental Siblings are gunning for us again!
context: I think I was born for this moment, Louise.\What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here!\You pervert!\You should just die!\Help!\Oh no, the Elemental Siblings are gunning for us again! response:	What? And elves are attacking, too?!
context: What? Why is Tiffa here?!\You promised, no cheating, Saito.\I don't know why she's here!\You pervert!\You should just die!\Help!\Oh no, the Elemental Siblings are gunning for us again!\What? And elves are attacking, too?! response:	Next time: Elves from the Desert.
context: You promised, no cheating, Saito.\I don't know why she's here!\You pervert!\You should just die!\Help!\Oh no, the Elemental Siblings are gunning for us again!\What? And elves are attacking, too?!\Next time: Elves from the Desert. response:	Hey, Saito!
context: I don't know why she's here!\You pervert!\You should just die!\Help!\Oh no, the Elemental Siblings are gunning for us again!\What? And elves are attacking, too?!\Next time: Elves from the Desert.\Hey, Saito! response:	Why are you and Tiffa alone at an oasis?!
context: You pervert!\You should just die!\Help!\Oh no, the Elemental Siblings are gunning for us again!\What? And elves are attacking, too?!\Next time: Elves from the Desert.\Hey, Saito!\Why are you and Tiffa alone at an oasis?! response:	Elves from the Desert
