context: It's here! response:	It's here! Here! Here! Here! Here!
context: This was a decoy?!\Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys!\Miss! response:	Her IE gyro is toast!
context: Wulgaru formation in the 10 o'clock direction.\Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys!\Miss!\Her IE gyro is toast! response:	Purple 2 is hit!
context: Several fighters are approaching!\I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys!\Miss!\Her IE gyro is toast!\Purple 2 is hit! response:	This doesn't look good.
context: I'll pick off that one first!\Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys!\Miss!\Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good. response:	I can't hit'em!
context: Red 5 and Blue 1, offer Purple 2 support!\Damn it! I can't move.\We've gotta get past these guys!\Miss!\Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good.\I can't hit'em! response:	Asagi, take care of Kei!
context: Damn it! I can't move.\We've gotta get past these guys!\Miss!\Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good.\I can't hit'em!\Asagi, take care of Kei! response:	You got it!
context: We've gotta get past these guys!\Miss!\Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good.\I can't hit'em!\Asagi, take care of Kei!\You got it! response:	I have your back!
context: Miss!\Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good.\I can't hit'em!\Asagi, take care of Kei!\You got it!\I have your back! response:	Officer Ange! Officer Ange, help Asagi defend Kei!
context: Her IE gyro is toast!\Purple 2 is hit!\This doesn't look good.\I can't hit'em!\Asagi, take care of Kei!\You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei! response:	I can't get near Kei!
context: Purple 2 is hit!\This doesn't look good.\I can't hit'em!\Asagi, take care of Kei!\You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei! response:	Hit home! Hit those freaks!
context: This doesn't look good.\I can't hit'em!\Asagi, take care of Kei!\You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks! response:	Officer Ange! Officer Ange!
context: I can't hit'em!\Asagi, take care of Kei!\You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange! response:	Hurry and help Kei!
context: Asagi, take care of Kei!\You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei! response:	Ange, can't you move?
context: You got it!\I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move? response:	Ange? Ange?!
context: I have your back!\Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move?\Ange? Ange?! response:	Black 6 has begun moving.
context: Officer Ange! Officer Ange, help Asagi defend Kei!\I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving. response:	He's ignoring the team's formation!
context: I can't get near Kei!\Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation! response:	What's this?!
context: Hit home! Hit those freaks!\Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation!\What's this?! response:	And here I was gonna save it for last!
context: Officer Ange! Officer Ange!\Hurry and help Kei!\Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last! response:	I'll hunt you down first!
context: Hurry and help Kei!\Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last!\I'll hunt you down first! response:	The enemy units are headed toward Black 6.
context: Ange, can't you move?\Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6. response:	Is he going to take them on by himself?!
context: Ange? Ange?!\Black 6 has begun moving.\He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?! response:	Black 6, pull back! Black 6!
context: Black 6 has begun moving.\He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6! response:	I'm gonna crush them all!
context: He's ignoring the team's formation!\What's this?!\And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all! response:	I'll turn them into scrap metal!
context: What's this?!\And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal! response:	I'm gonna make this my lamata!
context: And here I was gonna save it for last!\I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata! response:	I'm not done yet!
context: I'll hunt you down first!\The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet! response:	Officer Ange, don't chase after him!
context: The enemy units are headed toward Black 6.\Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him! response:	He's movin' too fast!
context: Is he going to take them on by himself?!\Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast! response:	Don't chase him too far! Pull back, Officer Ange!
context: Black 6, pull back! Black 6!\I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange! response:	Ange, above you!
context: I'm gonna crush them all!\I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you! response:	Quit naggin' at me over every damn thing!
context: I'll turn them into scrap metal!\I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing! response:	And don't tell me what to do!
context: I'm gonna make this my lamata!\I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do! response:	Shut the hell up and watch!
context: I'm not done yet!\Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch! response:	Black 6 is still pursuing the enemy.
context: Officer Ange, don't chase after him!\He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy. response:	Black 6's Harmonic Levels are increasing!
context: He's movin' too fast!\Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing! response:	Who knew one of those primitive creatures could keep up with me...
context: Don't chase him too far! Pull back, Officer Ange!\Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me... response:	I think I'll take advantage of that.
context: Ange, above you!\Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that. response:	Ange, you shouldn't pursue the enemy by yourself!
context: Quit naggin' at me over every damn thing!\And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself! response:	That's right! Keep hot on my heels!
context: And don't tell me what to do!\Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels! response:	Black 6, cease pursuit of the enemy!
context: Shut the hell up and watch!\Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy! response:	That's a-
context: Black 6 is still pursuing the enemy.\Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a- response:	Ange!
context: Black 6's Harmonic Levels are increasing!\Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a-\Ange! response:	You probably think I've fallen for some trap, but keep dreaming!
context: Who knew one of those primitive creatures could keep up with me...\I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming! response:	There's no way your shitty excuse for brains
context: I think I'll take advantage of that.\Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains response:	could devise an intelligent plan, you damn swine!
context: Ange, you shouldn't pursue the enemy by yourself!\That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine! response:	Harmonic Levels are still increasing!
context: That's right! Keep hot on my heels!\Black 6, cease pursuit of the enemy!\That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing! response:	This is the highest level we've ever seen.
context: Black 6, cease pursuit of the enemy!\That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen. response:	You're a friggin' pig with nothin' but speed!
context: That's a-\Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed! response:	Did you think you could beat me off of speed alone?!
context: Ange!\You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?! response:	You're a worthless numbskull!
context: You probably think I've fallen for some trap, but keep dreaming!\There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull! response:	Who is this person...?
context: There's no way your shitty excuse for brains\could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...? response:	That's Ange, isn't it?
context: could devise an intelligent plan, you damn swine!\Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it? response:	That verbal onslaught...
context: Harmonic Levels are still increasing!\This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it?\That verbal onslaught... response:	Just listening to him makes me dizzy.
context: This is the highest level we've ever seen.\You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy. response:	Go to hell!
context: You're a friggin' pig with nothin' but speed!\Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell! response:	FRIGGIN' DIE!
context: Did you think you could beat me off of speed alone?!\You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE! response:	My lamata-!
context: You're a worthless numbskull!\Who is this person...?\That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE!\My lamata-! response:	A swine's subordinates are swine!
context: Who is this person...?\That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine! response:	Anyone part of that freak's formation are freaks!
context: That's Ange, isn't it?\That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks! response:	Damn Wulgaru! I hope you go extinct!
context: That verbal onslaught...\Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct! response:	Don't let me see your ugly hide ever again!
context: Just listening to him makes me dizzy.\Go to hell!\FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again! response:	That one unit fought off their entire squad...
context: Go to hell!\FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again!\That one unit fought off their entire squad... response:	Is that his real personality?
context: FRIGGIN' DIE!\My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again!\That one unit fought off their entire squad...\Is that his real personality? response:	So it would seem.
context: My lamata-!\A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again!\That one unit fought off their entire squad...\Is that his real personality?\So it would seem. response:	Uh, is that how he always acted?
context: A swine's subordinates are swine!\Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again!\That one unit fought off their entire squad...\Is that his real personality?\So it would seem.\Uh, is that how he always acted? response:	I'm struck speechless, in more ways than one.
context: Anyone part of that freak's formation are freaks!\Damn Wulgaru! I hope you go extinct!\Don't let me see your ugly hide ever again!\That one unit fought off their entire squad...\Is that his real personality?\So it would seem.\Uh, is that how he always acted?\I'm struck speechless, in more ways than one. response:	AHSMB's Shadow
