context: Hey, bro! response:	Yes, sir.
context: Wave the rod down and let it sink.\Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one!\How far is he going to run?\Wait for him to stop.\Don't let your guard down.\Won't I run out of line?! response:	It's okay.
context: Make it seem like bait by letting it swim a little\before pulling it up to the surface.\Got one!\How far is he going to run?\Wait for him to stop.\Don't let your guard down.\Won't I run out of line?!\It's okay. response:	Just like that.
context: before pulling it up to the surface.\Got one!\How far is he going to run?\Wait for him to stop.\Don't let your guard down.\Won't I run out of line?!\It's okay.\Just like that. response:	Now! Reel it in!
context: Got one!\How far is he going to run?\Wait for him to stop.\Don't let your guard down.\Won't I run out of line?!\It's okay.\Just like that.\Now! Reel it in! response:	It's so... strong.
context: How far is he going to run?\Wait for him to stop.\Don't let your guard down.\Won't I run out of line?!\It's okay.\Just like that.\Now! Reel it in!\It's so... strong. response:	Close the gap, Akira!
context: Wait for him to stop.\Don't let your guard down.\Won't I run out of line?!\It's okay.\Just like that.\Now! Reel it in!\It's so... strong.\Close the gap, Akira! response:	Damn it.
context: Don't let your guard down.\Won't I run out of line?!\It's okay.\Just like that.\Now! Reel it in!\It's so... strong.\Close the gap, Akira!\Damn it. response:	So close.
context: Won't I run out of line?!\It's okay.\Just like that.\Now! Reel it in!\It's so... strong.\Close the gap, Akira!\Damn it.\So close. response:	Hey, I'm stopping the boat!
context: It's okay.\Just like that.\Now! Reel it in!\It's so... strong.\Close the gap, Akira!\Damn it.\So close.\Hey, I'm stopping the boat! response:	So, so close.
context: Just like that.\Now! Reel it in!\It's so... strong.\Close the gap, Akira!\Damn it.\So close.\Hey, I'm stopping the boat!\So, so close. response:	That sucks, Yuki.
context: Now! Reel it in!\It's so... strong.\Close the gap, Akira!\Damn it.\So close.\Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki. response:	What do you want to do, Yuki?
context: It's so... strong.\Close the gap, Akira!\Damn it.\So close.\Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki.\What do you want to do, Yuki? response:	What are you doing?
context: Close the gap, Akira!\Damn it.\So close.\Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki.\What do you want to do, Yuki?\What are you doing? response:	Yuki can't do it. Let me do it.
context: Damn it.\So close.\Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki.\What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it. response:	Wait. Give him one more chance.
context: So close.\Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki.\What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance. response:	It'll be the same, no matter how many times he does it.
context: Hey, I'm stopping the boat!\So, so close.\That sucks, Yuki.\What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it. response:	You idiot, have some faith!
context: So, so close.\That sucks, Yuki.\What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith! response:	If Yuki doesn't catch it, it's pointless!
context: That sucks, Yuki.\What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless! response:	Yuki, Grandma's waiting.
context: What do you want to do, Yuki?\What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting. response:	Good evening.
context: What are you doing?\Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening. response:	Sakura-chan.
context: Yuki can't do it. Let me do it.\Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening.\Sakura-chan. response:	Natsuki should be back soon.
context: Wait. Give him one more chance.\It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening.\Sakura-chan.\Natsuki should be back soon. response:	Boss.
context: It'll be the same, no matter how many times he does it.\You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening.\Sakura-chan.\Natsuki should be back soon.\Boss. response:	Sakura, wait here like a good girl.
context: You idiot, have some faith!\If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening.\Sakura-chan.\Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl. response:	Got one!
context: If Yuki doesn't catch it, it's pointless!\Yuki, Grandma's waiting.\Good evening.\Sakura-chan.\Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl.\Got one! response:	Try to keep your cool, Akira!
context: Yuki, Grandma's waiting.\Good evening.\Sakura-chan.\Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira! response:	Akira!
context: Good evening.\Sakura-chan.\Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira!\Akira! response:	Answer me!
context: Sakura-chan.\Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira!\Akira!\Answer me! response:	I can hear you! You calm down!
context: Natsuki should be back soon.\Boss.\Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira!\Akira!\Answer me!\I can hear you! You calm down! response:	You can do it, Yuki!
context: Boss.\Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira!\Akira!\Answer me!\I can hear you! You calm down!\You can do it, Yuki! response:	The tuna quieted down.
context: Sakura, wait here like a good girl.\Got one!\Try to keep your cool, Akira!\Akira!\Answer me!\I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down. response:	Now's my chance.
context: Got one!\Try to keep your cool, Akira!\Akira!\Answer me!\I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down.\Now's my chance. response:	Reel it in!
context: Try to keep your cool, Akira!\Akira!\Answer me!\I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down.\Now's my chance.\Reel it in! response:	That's it!
context: Akira!\Answer me!\I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down.\Now's my chance.\Reel it in!\That's it! response:	Yuki!
context: Answer me!\I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down.\Now's my chance.\Reel it in!\That's it!\Yuki! response:	You'd better get it this time.
context: I can hear you! You calm down!\You can do it, Yuki!\The tuna quieted down.\Now's my chance.\Reel it in!\That's it!\Yuki!\You'd better get it this time. response:	It's huge!
context: You can do it, Yuki!\The tuna quieted down.\Now's my chance.\Reel it in!\That's it!\Yuki!\You'd better get it this time.\It's huge! response:	Bring it closer!
context: The tuna quieted down.\Now's my chance.\Reel it in!\That's it!\Yuki!\You'd better get it this time.\It's huge!\Bring it closer! response:	Got him!
context: Now's my chance.\Reel it in!\That's it!\Yuki!\You'd better get it this time.\It's huge!\Bring it closer!\Got him! response:	You can do it!
context: Reel it in!\That's it!\Yuki!\You'd better get it this time.\It's huge!\Bring it closer!\Got him!\You can do it! response:	Hooray!
context: That's it!\Yuki!\You'd better get it this time.\It's huge!\Bring it closer!\Got him!\You can do it!\Hooray! response:	You did it, Yuki.
context: Yuki!\You'd better get it this time.\It's huge!\Bring it closer!\Got him!\You can do it!\Hooray!\You did it, Yuki. response:	Thanks.
context: You'd better get it this time.\It's huge!\Bring it closer!\Got him!\You can do it!\Hooray!\You did it, Yuki.\Thanks. response:	You caused so much trouble.
context: It's huge!\Bring it closer!\Got him!\You can do it!\Hooray!\You did it, Yuki.\Thanks.\You caused so much trouble. response:	Keito will be so happy.
context: Bring it closer!\Got him!\You can do it!\Hooray!\You did it, Yuki.\Thanks.\You caused so much trouble.\Keito will be so happy. response:	Thanks, Akira.
context: Got him!\You can do it!\Hooray!\You did it, Yuki.\Thanks.\You caused so much trouble.\Keito will be so happy.\Thanks, Akira. response:	What are you talking about?
context: You can do it!\Hooray!\You did it, Yuki.\Thanks.\You caused so much trouble.\Keito will be so happy.\Thanks, Akira.\What are you talking about? response:	You're the one who caught it.
context: Hooray!\You did it, Yuki.\Thanks.\You caused so much trouble.\Keito will be so happy.\Thanks, Akira.\What are you talking about?\You're the one who caught it. response:	No.
context: You did it, Yuki.\Thanks.\You caused so much trouble.\Keito will be so happy.\Thanks, Akira.\What are you talking about?\You're the one who caught it.\No. response:	Everyone helped.
context: Thanks.\You caused so much trouble.\Keito will be so happy.\Thanks, Akira.\What are you talking about?\You're the one who caught it.\No.\Everyone helped. response:	They disappeared!
context: You caused so much trouble.\Keito will be so happy.\Thanks, Akira.\What are you talking about?\You're the one who caught it.\No.\Everyone helped.\They disappeared! response:	Whoa, it's pitch black!
context: Keito will be so happy.\Thanks, Akira.\What are you talking about?\You're the one who caught it.\No.\Everyone helped.\They disappeared!\Whoa, it's pitch black! response:	Natsuki! Akira!
context: Thanks, Akira.\What are you talking about?\You're the one who caught it.\No.\Everyone helped.\They disappeared!\Whoa, it's pitch black!\Natsuki! Akira! response:	Hey!
context: What are you talking about?\You're the one who caught it.\No.\Everyone helped.\They disappeared!\Whoa, it's pitch black!\Natsuki! Akira!\Hey! response:	Natsuki! Akira!
context: You're the one who caught it.\No.\Everyone helped.\They disappeared!\Whoa, it's pitch black!\Natsuki! Akira!\Hey!\Natsuki! Akira! response:	He's not moving anymore.
context: No.\Everyone helped.\They disappeared!\Whoa, it's pitch black!\Natsuki! Akira!\Hey!\Natsuki! Akira!\He's not moving anymore. response:	What is this?
context: Everyone helped.\They disappeared!\Whoa, it's pitch black!\Natsuki! Akira!\Hey!\Natsuki! Akira!\He's not moving anymore.\What is this? response:	Akemi disappeared.
context: They disappeared!\Whoa, it's pitch black!\Natsuki! Akira!\Hey!\Natsuki! Akira!\He's not moving anymore.\What is this?\Akemi disappeared. response:	Akemi's gone.
context: Whoa, it's pitch black!\Natsuki! Akira!\Hey!\Natsuki! Akira!\He's not moving anymore.\What is this?\Akemi disappeared.\Akemi's gone. response:	That's odd.
context: Natsuki! Akira!\Hey!\Natsuki! Akira!\He's not moving anymore.\What is this?\Akemi disappeared.\Akemi's gone.\That's odd. response:	They must have lost track of time while fishing.
context: Hey!\Natsuki! Akira!\He's not moving anymore.\What is this?\Akemi disappeared.\Akemi's gone.\That's odd.\They must have lost track of time while fishing. response:	Heihachi-san.
context: Natsuki! Akira!\He's not moving anymore.\What is this?\Akemi disappeared.\Akemi's gone.\That's odd.\They must have lost track of time while fishing.\Heihachi-san. response:	This isn't good.
context: He's not moving anymore.\What is this?\Akemi disappeared.\Akemi's gone.\That's odd.\They must have lost track of time while fishing.\Heihachi-san.\This isn't good. response:	The sea god's in a sour mood today.
context: What is this?\Akemi disappeared.\Akemi's gone.\That's odd.\They must have lost track of time while fishing.\Heihachi-san.\This isn't good.\The sea god's in a sour mood today. response:	It's because of those unscrupulous kids who headed into Akemi to fish.
context: Akemi disappeared.\Akemi's gone.\That's odd.\They must have lost track of time while fishing.\Heihachi-san.\This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish. response:	You don't mean...
context: Akemi's gone.\That's odd.\They must have lost track of time while fishing.\Heihachi-san.\This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean... response:	Them!
context: That's odd.\They must have lost track of time while fishing.\Heihachi-san.\This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them! response:	I found Akemi.
context: They must have lost track of time while fishing.\Heihachi-san.\This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them!\I found Akemi. response:	How did it get so far away?
context: Heihachi-san.\This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them!\I found Akemi.\How did it get so far away? response:	Teleportation?
context: This isn't good.\The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them!\I found Akemi.\How did it get so far away?\Teleportation? response:	No. We have less fuel, so it must be memory loss.
context: The sea god's in a sour mood today.\It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them!\I found Akemi.\How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss. response:	Or perhaps memory manipulation.
context: It's because of those unscrupulous kids who headed into Akemi to fish.\You don't mean...\Them!\I found Akemi.\How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation. response:	Manipulation?
context: You don't mean...\Them!\I found Akemi.\How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation? response:	It's a bait ball! I've never seen one so huge!
context: Them!\I found Akemi.\How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge! response:	There's no way that's real!
context: I found Akemi.\How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real! response:	It's him!
context: How did it get so far away?\Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him! response:	This is where we meet after a hundred years!
context: Teleportation?\No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him!\This is where we meet after a hundred years! response:	Sorry, guys.
context: No. We have less fuel, so it must be memory loss.\Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him!\This is where we meet after a hundred years!\Sorry, guys. response:	Let's go up, everyone!
context: Or perhaps memory manipulation.\Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him!\This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone! response:	Haru, let's go.
context: Manipulation?\It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him!\This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone!\Haru, let's go. response:	Haru.
context: It's a bait ball! I've never seen one so huge!\There's no way that's real!\It's him!\This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone!\Haru, let's go.\Haru. response:	Fish, human, alien. Fish, human, alien. Fish, human, alien.
context: There's no way that's real!\It's him!\This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone!\Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien. response:	Fish!
context: It's him!\This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone!\Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish! response:	You've finally shown your true form.
context: This is where we meet after a hundred years!\Sorry, guys.\Let's go up, everyone!\Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form. response:	What is your goal?
context: Sorry, guys.\Let's go up, everyone!\Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form.\What is your goal? response:	Damn it.
context: Let's go up, everyone!\Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form.\What is your goal?\Damn it. response:	Humans are so interesting!
context: Haru, let's go.\Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form.\What is your goal?\Damn it.\Humans are so interesting! response:	Yeah, Ayumi?
context: Haru.\Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form.\What is your goal?\Damn it.\Humans are so interesting!\Yeah, Ayumi? response:	Yeah, they weren't at the Koshigoe Dock.
context: Fish, human, alien. Fish, human, alien. Fish, human, alien.\Fish!\You've finally shown your true form.\What is your goal?\Damn it.\Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock. response:	The guys at the yacht harbor hadn't seen them either.
context: Fish!\You've finally shown your true form.\What is your goal?\Damn it.\Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either. response:	Yeah, please do. Search near Akemi.
context: You've finally shown your true form.\What is your goal?\Damn it.\Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi. response:	Natsuki!
context: What is your goal?\Damn it.\Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki! response:	Seishunmaru here.
context: Damn it.\Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here. response:	What a scary face!
context: Humans are so interesting!\Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here.\What a scary face! response:	Open your mouth and smile.
context: Yeah, Ayumi?\Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here.\What a scary face!\Open your mouth and smile. response:	Huh?
context: Yeah, they weren't at the Koshigoe Dock.\The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here.\What a scary face!\Open your mouth and smile.\Huh? response:	Where am I?
context: The guys at the yacht harbor hadn't seen them either.\Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here.\What a scary face!\Open your mouth and smile.\Huh?\Where am I? response:	Huh? Enoshima?
context: Yeah, please do. Search near Akemi.\Natsuki!\Seishunmaru here.\What a scary face!\Open your mouth and smile.\Huh?\Where am I?\Huh? Enoshima? response:	Nii-chan, I told you it was dangerous.
context: Natsuki!\Seishunmaru here.\What a scary face!\Open your mouth and smile.\Huh?\Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous. response:	Hey, are you okay?!
context: Seishunmaru here.\What a scary face!\Open your mouth and smile.\Huh?\Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?! response:	Captain.
context: What a scary face!\Open your mouth and smile.\Huh?\Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain. response:	Captain!
context: Open your mouth and smile.\Huh?\Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain.\Captain! response:	I'm the one who said we should go.
context: Huh?\Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain.\Captain!\I'm the one who said we should go. response:	No, I said I wanted to fish for tuna.
context: Where am I?\Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain.\Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna. response:	I'm sorry.
context: Huh? Enoshima?\Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain.\Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry. response:	Idiots.
context: Nii-chan, I told you it was dangerous.\Hey, are you okay?!\Captain.\Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry.\Idiots. response:	You're idiots.
context: Hey, are you okay?!\Captain.\Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry.\Idiots.\You're idiots. response:	I'm sorry.
context: Captain.\Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry.\Idiots.\You're idiots.\I'm sorry. response:	I'm sorry!
context: Captain!\I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry.\Idiots.\You're idiots.\I'm sorry.\I'm sorry! response:	Natsuki!
context: I'm the one who said we should go.\No, I said I wanted to fish for tuna.\I'm sorry.\Idiots.\You're idiots.\I'm sorry.\I'm sorry!\Natsuki! response:	Do you know the trouble we went through?
context: No, I said I wanted to fish for tuna.\I'm sorry.\Idiots.\You're idiots.\I'm sorry.\I'm sorry!\Natsuki!\Do you know the trouble we went through? response:	Do you have any idea... how worried I was?
context: I'm sorry.\Idiots.\You're idiots.\I'm sorry.\I'm sorry!\Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was? response:	I'm so glad! I'm so glad...
context: Idiots.\You're idiots.\I'm sorry.\I'm sorry!\Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad... response:	I'm so happy, Tamocchan.
context: You're idiots.\I'm sorry.\I'm sorry!\Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan. response:	The next day...
context: I'm sorry.\I'm sorry!\Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day... response:	Grandma came home.
context: I'm sorry!\Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day...\Grandma came home. response:	Keito!
context: Natsuki!\Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day...\Grandma came home.\Keito! response:	I'm home.
context: Do you know the trouble we went through?\Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day...\Grandma came home.\Keito!\I'm home. response:	I was sad to see summer end.
context: Do you have any idea... how worried I was?\I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day...\Grandma came home.\Keito!\I'm home.\I was sad to see summer end. response:	It was the first time I felt that way.
context: I'm so glad! I'm so glad...\I'm so happy, Tamocchan.\The next day...\Grandma came home.\Keito!\I'm home.\I was sad to see summer end.\It was the first time I felt that way. response:	That outfit is cute!
context: I'm so happy, Tamocchan.\The next day...\Grandma came home.\Keito!\I'm home.\I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute! response:	Thanks a bunch.
context: The next day...\Grandma came home.\Keito!\I'm home.\I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute!\Thanks a bunch. response:	A bunch.
context: Grandma came home.\Keito!\I'm home.\I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute!\Thanks a bunch.\A bunch. response:	Huge success!
context: Keito!\I'm home.\I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute!\Thanks a bunch.\A bunch.\Huge success! response:	I didn't see Haru truly smile for a while after that day.
context: I'm home.\I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute!\Thanks a bunch.\A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day. response:	I didn't find out why until a little later.
context: I was sad to see summer end.\It was the first time I felt that way.\That outfit is cute!\Thanks a bunch.\A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later. response:	Hey, something's wrong.
context: It was the first time I felt that way.\That outfit is cute!\Thanks a bunch.\A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later.\Hey, something's wrong. response:	Is Yoshizo-san still fishing?
context: That outfit is cute!\Thanks a bunch.\A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later.\Hey, something's wrong.\Is Yoshizo-san still fishing? response:	No, they're dancing.
context: Thanks a bunch.\A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later.\Hey, something's wrong.\Is Yoshizo-san still fishing?\No, they're dancing. response:	What?
context: A bunch.\Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later.\Hey, something's wrong.\Is Yoshizo-san still fishing?\No, they're dancing.\What? response:	That's the Enoshima dance.
context: Huge success!\I didn't see Haru truly smile for a while after that day.\I didn't find out why until a little later.\Hey, something's wrong.\Is Yoshizo-san still fishing?\No, they're dancing.\What?\That's the Enoshima dance. response:	Continued in 7
