context: The water is alive. response:	Once you dive in, it will immediately bare its fangs and attack.
context: Wait!\I'll show you how different we are now.\Sure.\Go ahead.\They're going to swim here?\Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?! response:	Rin-chan too?
context: I'll show you how different we are now.\Sure.\Go ahead.\They're going to swim here?\Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too? response:	We have to stop them!
context: Sure.\Go ahead.\They're going to swim here?\Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them! response:	Do we really?
context: Go ahead.\They're going to swim here?\Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them!\Do we really? response:	Hey!
context: They're going to swim here?\Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them!\Do we really?\Hey! response:	Let's do this, Haru!
context: Wait, hold on.\Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them!\Do we really?\Hey!\Let's do this, Haru! response:	Ready,
context: Haru, that's a bad idea!\Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them!\Do we really?\Hey!\Let's do this, Haru!\Ready, response:	go
context: Wait, you've been wearing that the whole day?!\Rin-chan too?\We have to stop them!\Do we really?\Hey!\Let's do this, Haru!\Ready,\go response:	There isn't any water.
context: Rin-chan too?\We have to stop them!\Do we really?\Hey!\Let's do this, Haru!\Ready,\go\There isn't any water. response:	That's why I told you to stop.
context: We have to stop them!\Do we really?\Hey!\Let's do this, Haru!\Ready,\go\There isn't any water.\That's why I told you to stop. response:	Lame.
context: Do we really?\Hey!\Let's do this, Haru!\Ready,\go\There isn't any water.\That's why I told you to stop.\Lame. response:	Oh, yeah. Did you guys come here for this?
context: Hey!\Let's do this, Haru!\Ready,\go\There isn't any water.\That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this? response:	Oh, our trophy.
context: Let's do this, Haru!\Ready,\go\There isn't any water.\That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy. response:	I don't need this thing anymore.
context: Ready,\go\There isn't any water.\That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore. response:	Hey!
context: go\There isn't any water.\That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore.\Hey! response:	Rin-chan...
context: There isn't any water.\That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore.\Hey!\Rin-chan... response:	He's kinda changed.
context: That's why I told you to stop.\Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore.\Hey!\Rin-chan...\He's kinda changed. response:	A dream?
context: Lame.\Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore.\Hey!\Rin-chan...\He's kinda changed.\A dream? response:	No, it wasn't a dream!
context: Oh, yeah. Did you guys come here for this?\Oh, our trophy.\I don't need this thing anymore.\Hey!\Rin-chan...\He's kinda changed.\A dream?\No, it wasn't a dream! response:	I don't get it though.
context: Oh, our trophy.\I don't need this thing anymore.\Hey!\Rin-chan...\He's kinda changed.\A dream?\No, it wasn't a dream!\I don't get it though. response:	Rin-chan was really weird.
context: I don't need this thing anymore.\Hey!\Rin-chan...\He's kinda changed.\A dream?\No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird. response:	Look-alike.
context: Hey!\Rin-chan...\He's kinda changed.\A dream?\No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird.\Look-alike. response:	Why would a look-alike challenge you to a race?
context: Rin-chan...\He's kinda changed.\A dream?\No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race? response:	A ghost, then.
context: He's kinda changed.\A dream?\No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then. response:	He wasn't floating.
context: A dream?\No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating. response:	Doppelganger.
context: No, it wasn't a dream!\I don't get it though.\Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating.\Doppelganger. response:	Oh, that takes me back!
context: I don't get it though.\Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating.\Doppelganger.\Oh, that takes me back! response:	We used to do that at the swimming club! Super Fusion: Doppelga
context: Rin-chan was really weird.\Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating.\Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga response:	Keep it down, Makoto.
context: Look-alike.\Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating.\Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto. response:	What's wrong with you guys?!
context: Why would a look-alike challenge you to a race?\A ghost, then.\He wasn't floating.\Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?! response:	Sorry, I wasn't paying attention.
context: A ghost, then.\He wasn't floating.\Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention. response:	Hey!
context: He wasn't floating.\Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey! response:	Do you know those guys?
context: Doppelganger.\Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey!\Do you know those guys? response:	Uh-huh.
context: Oh, that takes me back!\We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey!\Do you know those guys?\Uh-huh. response:	Don't you remember, Haru?
context: We used to do that at the swimming club! Super Fusion: Doppelga\Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey!\Do you know those guys?\Uh-huh.\Don't you remember, Haru? response:	Nanase Haruka.
context: Keep it down, Makoto.\What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey!\Do you know those guys?\Uh-huh.\Don't you remember, Haru?\Nanase Haruka. response:	No.
context: What's wrong with you guys?!\Sorry, I wasn't paying attention.\Hey!\Do you know those guys?\Uh-huh.\Don't you remember, Haru?\Nanase Haruka.\No. response:	Tachibana Makoto.
context: Sorry, I wasn't paying attention.\Hey!\Do you know those guys?\Uh-huh.\Don't you remember, Haru?\Nanase Haruka.\No.\Tachibana Makoto. response:	What? Why not?
context: Hey!\Do you know those guys?\Uh-huh.\Don't you remember, Haru?\Nanase Haruka.\No.\Tachibana Makoto.\What? Why not? response:	Hazuki Nagisa.
context: Do you know those guys?\Uh-huh.\Don't you remember, Haru?\Nanase Haruka.\No.\Tachibana Makoto.\What? Why not?\Hazuki Nagisa. response:	What they have in common is
context: Uh-huh.\Don't you remember, Haru?\Nanase Haruka.\No.\Tachibana Makoto.\What? Why not?\Hazuki Nagisa.\What they have in common is response:	Must be a generation gap.
context: Don't you remember, Haru?\Nanase Haruka.\No.\Tachibana Makoto.\What? Why not?\Hazuki Nagisa.\What they have in common is\Must be a generation gap. response:	that they used to belong to the same swimming club.
context: Nanase Haruka.\No.\Tachibana Makoto.\What? Why not?\Hazuki Nagisa.\What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club. response:	I'm only one year older than you!
context: No.\Tachibana Makoto.\What? Why not?\Hazuki Nagisa.\What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you! response:	And Haru's the same age as me!
context: Tachibana Makoto.\What? Why not?\Hazuki Nagisa.\What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me! response:	And they're all boys with girlish names.
context: What? Why not?\Hazuki Nagisa.\What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names. response:	What's your relationship with them?
context: Hazuki Nagisa.\What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them? response:	That's a secret.
context: What they have in common is\Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them?\That's a secret. response:	That means you have something in common with them, too.
context: Must be a generation gap.\that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them?\That's a secret.\That means you have something in common with them, too. response:	Since you're a girl with a boyish name.
context: that they used to belong to the same swimming club.\I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them?\That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name. response:	Seriously. Stop calling me Gou!
context: I'm only one year older than you!\And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them?\That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou! response:	Faculty Office
context: And Haru's the same age as me!\And they're all boys with girlish names.\What's your relationship with them?\That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office response:	Come on!
context: And they're all boys with girlish names.\What's your relationship with them?\That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office\Come on! response:	The place may be abandoned,
context: What's your relationship with them?\That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office\Come on!\The place may be abandoned, response:	but it's still trespassing if you enter without permission!
context: That's a secret.\That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office\Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission! response:	Do you understand?
context: That means you have something in common with them, too.\Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office\Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand? response:	I apologize.
context: Since you're a girl with a boyish name.\Seriously. Stop calling me Gou!\Faculty Office\Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand?\I apologize. response:	We're sorry.
context: Seriously. Stop calling me Gou!\Faculty Office\Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand?\I apologize.\We're sorry. response:	Huh? Where's Nanase?
context: Faculty Office\Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand?\I apologize.\We're sorry.\Huh? Where's Nanase? response:	He left early this afternoon.
context: Come on!\The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand?\I apologize.\We're sorry.\Huh? Where's Nanase?\He left early this afternoon. response:	Again?
context: The place may be abandoned,\but it's still trespassing if you enter without permission!\Do you understand?\I apologize.\We're sorry.\Huh? Where's Nanase?\He left early this afternoon.\Again? response:	Now, now. I think that's enough.
context: but it's still trespassing if you enter without permission!\Do you understand?\I apologize.\We're sorry.\Huh? Where's Nanase?\He left early this afternoon.\Again?\Now, now. I think that's enough. response:	Think back to what Li Bai once said.
context: Do you understand?\I apologize.\We're sorry.\Huh? Where's Nanase?\He left early this afternoon.\Again?\Now, now. I think that's enough.\Think back to what Li Bai once said. response:	In human life, accomplishment must bring total joy.
context: I apologize.\We're sorry.\Huh? Where's Nanase?\He left early this afternoon.\Again?\Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy. response:	Do not allow an empty goblet to face the moon.
context: We're sorry.\Huh? Where's Nanase?\He left early this afternoon.\Again?\Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon. response:	You only have one life, so you should do what you want.
context: Huh? Where's Nanase?\He left early this afternoon.\Again?\Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want. response:	It would be foolish not to drink from the glass placed before you.
context: He left early this afternoon.\Again?\Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you. response:	Right?
context: Again?\Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right? response:	Huh?
context: Now, now. I think that's enough.\Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right?\Huh? response:	Matsuoka Rin, Matsuoka Rin...
context: Think back to what Li Bai once said.\In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right?\Huh?\Matsuoka Rin, Matsuoka Rin... response:	Does he really go to our school?
context: In human life, accomplishment must bring total joy.\Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right?\Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school? response:	If he's back from Australia,
context: Do not allow an empty goblet to face the moon.\You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right?\Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia, response:	he might have transferred into our school.
context: You only have one life, so you should do what you want.\It would be foolish not to drink from the glass placed before you.\Right?\Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia,\he might have transferred into our school. response:	But I didn't see him at the opening ceremony.
context: It would be foolish not to drink from the glass placed before you.\Right?\Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony. response:	Matsuoka
context: Right?\Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka response:	Found him!
context: Huh?\Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka\Found him! response:	Really?
context: Matsuoka Rin, Matsuoka Rin...\Does he really go to our school?\If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka\Found him!\Really? response:	No, hold on.
context: Does he really go to our school?\If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka\Found him!\Really?\No, hold on. response:	Matsuoka Gou
context: If he's back from Australia,\he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka\Found him!\Really?\No, hold on.\Matsuoka Gou response:	Matsuoka Gou?
context: he might have transferred into our school.\But I didn't see him at the opening ceremony.\Matsuoka\Found him!\Really?\No, hold on.\Matsuoka Gou\Matsuoka Gou? response:	That sounds familiar...
context: But I didn't see him at the opening ceremony.\Matsuoka\Found him!\Really?\No, hold on.\Matsuoka Gou\Matsuoka Gou?\That sounds familiar... response:	I remember now!
context: Matsuoka\Found him!\Really?\No, hold on.\Matsuoka Gou\Matsuoka Gou?\That sounds familiar...\I remember now! response:	That was Rin's sister, Matsuoka Gou!
context: Found him!\Really?\No, hold on.\Matsuoka Gou\Matsuoka Gou?\That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou! response:	So you also chose Iwatobi High School, Gou-chan.
context: Really?\No, hold on.\Matsuoka Gou\Matsuoka Gou?\That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan. response:	Don't call me Gou. Everybody calls me Kou.
context: No, hold on.\Matsuoka Gou\Matsuoka Gou?\That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou. response:	Huh? Why?
context: Matsuoka Gou\Matsuoka Gou?\That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why? response:	Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?
context: Matsuoka Gou?\That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right? response:	Yeah...
context: That sounds familiar...\I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah... response:	But the typical reading is Kou, so call me that.
context: I remember now!\That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that. response:	That would be the nice thing to do.
context: That was Rin's sister, Matsuoka Gou!\So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do. response:	Uh, putting that stuff aside...
context: So you also chose Iwatobi High School, Gou-chan.\Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside... response:	That stuff?!
context: Don't call me Gou. Everybody calls me Kou.\Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?! response:	Sorry.
context: Huh? Why?\Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?!\Sorry. response:	But what are you doing at Haru's place?
context: Your name is Gou, like the Sengoku warlord Azai Nagamasa's third daughter, right?\Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?!\Sorry.\But what are you doing at Haru's place? response:	Oh...
context: Yeah...\But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?!\Sorry.\But what are you doing at Haru's place?\Oh... response:	I wanted to ask him about my brother.
context: But the typical reading is Kou, so call me that.\That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?!\Sorry.\But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother. response:	So Rin is really back from Australia?
context: That would be the nice thing to do.\Uh, putting that stuff aside...\That stuff?!\Sorry.\But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia? response:	He returned last month and he's attending Samezuka Academy now.
context: Uh, putting that stuff aside...\That stuff?!\Sorry.\But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now. response:	It's a boarding school, so he hasn't come home.
context: That stuff?!\Sorry.\But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home. response:	Samezuka?
context: Sorry.\But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka? response:	The swimming powerhouse?
context: But what are you doing at Haru's place?\Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse? response:	No.
context: Oh...\I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse?\No. response:	Let's visit Samezuka Academy!
context: I wanted to ask him about my brother.\So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse?\No.\Let's visit Samezuka Academy! response:	Don't you want to see Rin?
context: So Rin is really back from Australia?\He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse?\No.\Let's visit Samezuka Academy!\Don't you want to see Rin? response:	We saw him yesterday.
context: He returned last month and he's attending Samezuka Academy now.\It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse?\No.\Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday. response:	Here I was thinking you'd finally get to swim if you came.
context: It's a boarding school, so he hasn't come home.\Samezuka?\The swimming powerhouse?\No.\Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came. response:	Samezuka is supposed to have an indoor pool.
context: Samezuka?\The swimming powerhouse?\No.\Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool. response:	Samezuka Academy
context: The swimming powerhouse?\No.\Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy response:	Hey! You're slowing down, Nakagawa!
context: No.\Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa! response:	Move!
context: Let's visit Samezuka Academy!\Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move! response:	Do you see Rin-chan?
context: Don't you want to see Rin?\We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan? response:	Can't find him.
context: We saw him yesterday.\Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan?\Can't find him. response:	Maybe he's out today.
context: Here I was thinking you'd finally get to swim if you came.\Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan?\Can't find him.\Maybe he's out today. response:	Hey, Haru...
context: Samezuka is supposed to have an indoor pool.\Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan?\Can't find him.\Maybe he's out today.\Hey, Haru... response:	Don't take your clothes off here!
context: Samezuka Academy\Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan?\Can't find him.\Maybe he's out today.\Hey, Haru...\Don't take your clothes off here! response:	You're the one who brought me here to swim!
context: Hey! You're slowing down, Nakagawa!\Move!\Do you see Rin-chan?\Can't find him.\Maybe he's out today.\Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim! response:	Hold on, Haru-chan.
context: Move!\Do you see Rin-chan?\Can't find him.\Maybe he's out today.\Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan. response:	Let's wait until practice is over and everyone's gone.
context: Do you see Rin-chan?\Can't find him.\Maybe he's out today.\Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone. response:	Okay?
context: Can't find him.\Maybe he's out today.\Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay? response:	We'll still be trespassing.
context: Maybe he's out today.\Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing. response:	It'll be fine.
context: Hey, Haru...\Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing.\It'll be fine. response:	That teacher earlier told us to do what we want with our li
context: Don't take your clothes off here!\You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li response:	Can't you wait?!
context: You're the one who brought me here to swim!\Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?! response:	I still think this is a bad idea.
context: Hold on, Haru-chan.\Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea. response:	Wait!
context: Let's wait until practice is over and everyone's gone.\Okay?\We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea.\Wait! response:	Come on...
context: Okay?\We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea.\Wait!\Come on... response:	Haru-chan still reminds me of a dolphin.
context: We'll still be trespassing.\It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea.\Wait!\Come on...\Haru-chan still reminds me of a dolphin. response:	Mako-chan, let's swim with him.
context: It'll be fine.\That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea.\Wait!\Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him. response:	Hell no! We'll get in trouble if they find us!
context: That teacher earlier told us to do what we want with our li\Can't you wait?!\I still think this is a bad idea.\Wait!\Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us! response:	Anyway, we need to look for Rin.
context: Can't you wait?!\I still think this is a bad idea.\Wait!\Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin. response:	We can take a little dip first.
context: I still think this is a bad idea.\Wait!\Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first. response:	Nobody will find us if we don't turn on the lights.
context: Wait!\Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights. response:	But you didn't bring a swimsuit.
context: Come on...\Haru-chan still reminds me of a dolphin.\Mako-chan, let's swim with him.\Hell no! We'll get in trouble if they find us!\Anyway, we need to look for Rin.\We can take a little dip first.\Nobody will find us if we don't turn on the lights.\But you didn't bring a swimsuit. response:	A little skinny dip, then.
