context: So, um, Yuuki... response:	Hi.
context: And to do that, I'll need Tsukasa's help.\But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her. response:	I have to protect her. And to do that...
context: But I don't want to put her in any danger. That's why I'm trying to put distance between us.\She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that... response:	If you're going to rescue her, I'll help.
context: She really isn't the least bit scared of me, is she?\No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help. response:	I know you came from ONLO.
context: No, she's never been scared of me.\She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO. response:	But that doesn't mean I can trust you.
context: She'd always look me right in the eye.\She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you. response:	Well, thanks a lot.
context: She'd never hesitate to do or say anything.\That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot. response:	But I can trust you as a devil.
context: That's what I like about her.\But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil. response:	The more I want to protect her, the less I feel like I can get near her.
context: But that's exactly why I must never, ever hurt her.\I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her. response:	If I transform, can I count on you to keep her safe from me?
context: I have to protect her. And to do that...\If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me? response:	So that I want to protect her thing is your excuse to keep avoiding her?
context: If you're going to rescue her, I'll help.\I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her? response:	I heard you were from ONLO, so I thought you'd have some kind of a backbone.
context: I know you came from ONLO.\But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone. response:	Tsukasa is never afraid to confront you.
context: But that doesn't mean I can trust you.\Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you. response:	But you refuse to communicate with her. You're all I have to stay away from her.
context: Well, thanks a lot.\But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her. response:	Am I wrong?
context: But I can trust you as a devil.\The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong? response:	I bet you haven't even explained to her why you won't get near her.
context: The more I want to protect her, the less I feel like I can get near her.\If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her. response:	Talk about immature, leaving out the important stuff like that.
context: If I transform, can I count on you to keep her safe from me?\So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that. response:	If you're gonna keep spouting that wishy-washy garbage,
context: So that I want to protect her thing is your excuse to keep avoiding her?\I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage, response:	then maybe I'll take Tsukasa off your hands.
context: I heard you were from ONLO, so I thought you'd have some kind of a backbone.\Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands. response:	Zero Five? What are Zero Two's orders?
context: Tsukasa is never afraid to confront you.\But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders? response:	Got it. Seven, Nine, and the hostage.
context: But you refuse to communicate with her. You're all I have to stay away from her.\Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage. response:	I'll take them all out together.
context: Am I wrong?\I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together. response:	That's not going to be warm enough.
context: I bet you haven't even explained to her why you won't get near her.\Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough. response:	Here. To apologize for dragging you into this.
context: Talk about immature, leaving out the important stuff like that.\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this. response:	If you have any trouble, post a message here.
context: If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here. response:	That's strange.
context: then maybe I'll take Tsukasa off your hands.\Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange. response:	They found the car ages ago, but I haven't heard any orders.
context: Zero Five? What are Zero Two's orders?\Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders. response:	They must be giving orders over private channels.
context: Got it. Seven, Nine, and the hostage.\I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels. response:	We should move, now.
context: I'll take them all out together.\That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now. response:	This is where we part ways.
context: That's not going to be warm enough.\Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now.\This is where we part ways. response:	I'll call the police, so you wait here.
context: Here. To apologize for dragging you into this.\If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now.\This is where we part ways.\I'll call the police, so you wait here. response:	There's one thing you should know.
context: If you have any trouble, post a message here.\That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now.\This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know. response:	Watch out for Naoya Ushio. He's in Division 5.
context: That's strange.\They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now.\This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5. response:	He has wavy hair and a birthmark on his face.
context: They found the car ages ago, but I haven't heard any orders.\They must be giving orders over private channels.\We should move, now.\This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face. response:	He'll probably be the first one here.
context: They must be giving orders over private channels.\We should move, now.\This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here. response:	His codename is Zero Five.
context: We should move, now.\This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five. response:	There's something in my bag.
context: This is where we part ways.\I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag. response:	We'll let her have it, just in case.
context: I'll call the police, so you wait here.\There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case. response:	Stay safe.
context: There's one thing you should know.\Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case.\Stay safe. response:	Yes, I think they're in room 902.
context: Watch out for Naoya Ushio. He's in Division 5.\He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902. response:	This is the police. Are you hurt?
context: He has wavy hair and a birthmark on his face.\He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt? response:	When did the kidnapper leave?
context: He'll probably be the first one here.\His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave? response:	A-a little while ago.
context: His codename is Zero Five.\There's something in my bag.\We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago. response:	I'll carry her out, Nanno.
context: There's something in my bag.\We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno. response:	She looks pale.
context: We'll let her have it, just in case.\Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno.\She looks pale. response:	Th-that's okay. I can walk.
context: Stay safe.\Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk. response:	What do I do? That's Zero Five.
context: Yes, I think they're in room 902.\This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five. response:	Alright.
context: This is the police. Are you hurt?\When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright. response:	Then we'll go downstairs together, nice and slow.
context: When did the kidnapper leave?\A-a little while ago.\I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow. response:	I'll go check on the guys downstairs.
context: A-a little while ago.\I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs. response:	We'll split up, just in case.
context: I'll carry her out, Nanno.\She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case. response:	That was Zero Five. Will she be okay?
context: She looks pale.\Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay? response:	I don't think he has any reason to hurt her.
context: Th-that's okay. I can walk.\What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her. response:	We lost our chance to get out. I'm guessing there are cops downstairs, too.
context: What do I do? That's Zero Five.\Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too. response:	Wh-what do we do?
context: Alright.\Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do? response:	Look at me.
context: Then we'll go downstairs together, nice and slow.\I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me. response:	What have you heard?
context: I'll go check on the guys downstairs.\We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me.\What have you heard? response:	What do you mean?
context: We'll split up, just in case.\That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me.\What have you heard?\What do you mean? response:	Your kidnappers. Did they say where they're going, what they're after...
context: That was Zero Five. Will she be okay?\I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me.\What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after... response:	Or maybe...
context: I don't think he has any reason to hurt her.\We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me.\What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe... response:	that Ushio from Division 5 is a spy?
context: We lost our chance to get out. I'm guessing there are cops downstairs, too.\Wh-what do we do?\Look at me.\What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy? response:	There, it's all over your face.
context: Wh-what do we do?\Look at me.\What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face. response:	The elevator's here! Hurry!
context: Look at me.\What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry! response:	Sorry, I'll be right there!
context: What have you heard?\What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there! response:	The doors are closing.
context: What do you mean?\Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing. response:	Are you okay?
context: Your kidnappers. Did they say where they're going, what they're after...\Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing.\Are you okay? response:	I actually used a stun gun.
context: Or maybe...\that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing.\Are you okay?\I actually used a stun gun. response:	It won't be enough to knock him out.
context: that Ushio from Division 5 is a spy?\There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing.\Are you okay?\I actually used a stun gun.\It won't be enough to knock him out. response:	So be careful.
context: There, it's all over your face.\The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing.\Are you okay?\I actually used a stun gun.\It won't be enough to knock him out.\So be careful. response:	I have to get away from him, and fast.
context: The elevator's here! Hurry!\Sorry, I'll be right there!\The doors are closing.\Are you okay?\I actually used a stun gun.\It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast. response:	But if I go downstairs, I'll run into him.
context: Sorry, I'll be right there!\The doors are closing.\Are you okay?\I actually used a stun gun.\It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him. response:	I never got Anzai's number.
context: The doors are closing.\Are you okay?\I actually used a stun gun.\It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number. response:	I don't know Sawazaki's, either.
context: Are you okay?\I actually used a stun gun.\It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either. response:	Or Jill's, or Yanagi's, or Sakaki's...
context: I actually used a stun gun.\It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's... response:	Search keyword
context: It won't be enough to knock him out.\So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword response:	Bar Sakaki
context: So be careful.\I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki response:	Sakaki?
context: I have to get away from him, and fast.\But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki\Sakaki? response:	Wait, Zero Seven, are you serious?
context: But if I go downstairs, I'll run into him.\I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious? response:	You really want to wait on the roof until the police leave?
context: I never got Anzai's number.\I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave? response:	Do you think I'm joking?
context: I don't know Sawazaki's, either.\Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking? response:	But if we're not careful, we'll be like rats in a trap.
context: Or Jill's, or Yanagi's, or Sakaki's...\Search keyword\Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap. response:	Nine, get down!
context: Search keyword\Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down! response:	Zero Seven!
context: Bar Sakaki\Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven! response:	Stop shouting. It's just a scratch.
context: Sakaki?\Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch. response:	But...
context: Wait, Zero Seven, are you serious?\You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch.\But... response:	Heh. This is so stupid.
context: You really want to wait on the roof until the police leave?\Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch.\But...\Heh. This is so stupid. response:	First, I'm stabbed in the stomach, now I'm getting shot at.
context: Do you think I'm joking?\But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch.\But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at. response:	By humans who used to be on my side.
context: But if we're not careful, we'll be like rats in a trap.\Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch.\But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side. response:	And here I thought the devils were my enemy.
context: Nine, get down!\Zero Seven!\Stop shouting. It's just a scratch.\But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy. response:	I'm a human, but I'll be on your side until the day I die!
context: Zero Seven!\Stop shouting. It's just a scratch.\But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die! response:	If you're gonna keep spouting that wishy-washy garbage,
context: Stop shouting. It's just a scratch.\But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage, response:	then maybe I'll take Tsukasa off your hands.
context: But...\Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands. response:	What the hell are you babbling...
context: Heh. This is so stupid.\First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling... response:	It's Japanese.
context: First, I'm stabbed in the stomach, now I'm getting shot at.\By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese. response:	Lay a hand on her, and I'll kill you.
context: By humans who used to be on my side.\And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you. response:	Be my guest. I'd like to see you try.
context: And here I thought the devils were my enemy.\I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try. response:	Hey!
context: I'm a human, but I'll be on your side until the day I die!\If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey! response:	Yuuki, phone!
context: If you're gonna keep spouting that wishy-washy garbage,\then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey!\Yuuki, phone! response:	It's Tsukasa, she called the bar!
context: then maybe I'll take Tsukasa off your hands.\What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey!\Yuuki, phone!\It's Tsukasa, she called the bar! response:	Anzai? I'm so glad I got through!
context: What the hell are you babbling...\It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey!\Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through! response:	Are you okay? Where are you?
context: It's Japanese.\Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey!\Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you? response:	In Tsukiji. A place called the Mino Hotel.
context: Lay a hand on her, and I'll kill you.\Be my guest. I'd like to see you try.\Hey!\Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel. response:	What about the sniper? I thought you were her hostage.
context: Be my guest. I'd like to see you try.\Hey!\Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage. response:	She let me go.
context: Hey!\Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage.\She let me go. response:	But now someone else is after me.
context: Yuuki, phone!\It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage.\She let me go.\But now someone else is after me. response:	Someone else?
context: It's Tsukasa, she called the bar!\Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage.\She let me go.\But now someone else is after me.\Someone else? response:	The sniper warned me about him.
context: Anzai? I'm so glad I got through!\Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage.\She let me go.\But now someone else is after me.\Someone else?\The sniper warned me about him. response:	Ushio in Public Security Division 5 is a spy.
context: Are you okay? Where are you?\In Tsukiji. A place called the Mino Hotel.\What about the sniper? I thought you were her hostage.\She let me go.\But now someone else is after me.\Someone else?\The sniper warned me about him.\Ushio in Public Security Division 5 is a spy. response:	I thought I'd run into him if I went downstairs, so I came up to the higher floors...
