context: Don't drop the pressure! response:	If we stop, it's all over!
context: It's not a curse.\I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm...\This time... response:	I will become someone I can be proud of!
context: I just need to make sure the virus doesn't reach my brain!\Five years...\It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm...\This time...\I will become someone I can be proud of! response:	I will remember that day
context: Five years...\It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm...\This time...\I will become someone I can be proud of!\I will remember that day response:	Losing myself
context: It's been five years!\For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm...\This time...\I will become someone I can be proud of!\I will remember that day\Losing myself response:	In steam
context: For whose sake I was working...\All the work I put in to finally be able to fight the Corpses...\I'm...\This time...\I will become someone I can be proud of!\I will remember that day\Losing myself\In steam response:	Countless mistakes are made
context: All the work I put in to finally be able to fight the Corpses...\I'm...\This time...\I will become someone I can be proud of!\I will remember that day\Losing myself\In steam\Countless mistakes are made response:	When I can't see anything ahead
context: I'm...\This time...\I will become someone I can be proud of!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead response:	You said
context: This time...\I will become someone I can be proud of!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said response:	Ask your own burning blood
context: I will become someone I can be proud of!\I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood response:	Answer my beat
context: I will remember that day\Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat response:	Corpseless of the Iron Fortress
context: Losing myself\In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress response:	Stand up
context: In steam\Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up response:	And slam everything onto the ground
context: Countless mistakes are made\When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground response:	My soul is devoted to my friend
context: When I can't see anything ahead\You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend response:	Burn your life
context: You said\Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life response:	Change the world
context: Ask your own burning blood\Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world response:	Chapter One
context: Answer my beat\Corpseless of the Iron Fortress\Stand up\And slam everything onto the ground\My soul is devoted to my friend\Burn your life\Change the world\Chapter One response:	Frightened Corpse
