context: TS response:	SCRIPT
context: You told us all to leave, and then\you suddenly message me.\You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about? response:	Probably? Believe you?
context: you suddenly message me.\You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about?\Probably? Believe you? response:	I wouldn't say anything that illogical.
context: You see...\I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical. response:	You did say it!
context: I've come from five hours in the future.\What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical.\You did say it! response:	I'm the one who made the time leap machine, to begin with.
context: What? That's the stupidest line I've ever heard.\H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with. response:	You looked really proud, too!
context: H-Hey! That isn't what you said!\You said you'd probably believe me!\What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too! response:	Are you a moron?
context: You said you'd probably believe me!\What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron? response:	Whatever...
context: What are you talking about?\Probably? Believe you?\I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron?\Whatever... response:	I really want to smack her...
context: Probably? Believe you?\I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron?\Whatever...\I really want to smack her... response:	Right now, what you want most is
context: I wouldn't say anything that illogical.\You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron?\Whatever...\I really want to smack her...\Right now, what you want most is response:	your own personal fork.
context: You did say it!\I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron?\Whatever...\I really want to smack her...\Right now, what you want most is\your own personal fork. response:	Well?
context: I'm the one who made the time leap machine, to begin with.\You looked really proud, too!\Are you a moron?\Whatever...\I really want to smack her...\Right now, what you want most is\your own personal fork.\Well? response:	I really told you that?
context: You looked really proud, too!\Are you a moron?\Whatever...\I really want to smack her...\Right now, what you want most is\your own personal fork.\Well?\I really told you that? response:	The five-hours-from-now me?
context: Are you a moron?\Whatever...\I really want to smack her...\Right now, what you want most is\your own personal fork.\Well?\I really told you that?\The five-hours-from-now me? response:	You said you already had your own spoon.
context: Whatever...\I really want to smack her...\Right now, what you want most is\your own personal fork.\Well?\I really told you that?\The five-hours-from-now me?\You said you already had your own spoon. response:	Screw you, future me...
context: I really want to smack her...\Right now, what you want most is\your own personal fork.\Well?\I really told you that?\The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me... response:	You believe me now, right?
context: Right now, what you want most is\your own personal fork.\Well?\I really told you that?\The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me...\You believe me now, right? response:	Yeah... So the machine works just as I predicted.
context: your own personal fork.\Well?\I really told you that?\The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted. response:	It's perfect.
context: Well?\I really told you that?\The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect. response:	Here's your plate.
context: I really told you that?\The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate. response:	I see.
context: The five-hours-from-now me?\You said you already had your own spoon.\Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate.\I see. response:	If all that's true, it's really bad.
context: You said you already had your own spoon.\Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate.\I see.\If all that's true, it's really bad. response:	Yeah.
context: Screw you, future me...\You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate.\I see.\If all that's true, it's really bad.\Yeah. response:	Rather than help Mayuri escape, have you tried stopping Moeka-san...
context: You believe me now, right?\Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate.\I see.\If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san... response:	A Rounder, you called her?
context: Yeah... So the machine works just as I predicted.\It's perfect.\Here's your plate.\I see.\If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her? response:	Stopping her group and her?
context: It's perfect.\Here's your plate.\I see.\If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her? response:	I did.
context: Here's your plate.\I see.\If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her?\I did. response:	But I couldn't stop Mayuri's death.
context: I see.\If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her?\I did.\But I couldn't stop Mayuri's death. response:	I see.
context: If all that's true, it's really bad.\Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her?\I did.\But I couldn't stop Mayuri's death.\I see. response:	For something to occur, it must have a cause.
context: Yeah.\Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her?\I did.\But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause. response:	Cause
context: Rather than help Mayuri escape, have you tried stopping Moeka-san...\A Rounder, you called her?\Stopping her group and her?\I did.\But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause.\Cause response:	Death
context: A Rounder, you called her?\Stopping her group and her?\I did.\But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause.\Cause\Death response:	Effect
context: Stopping her group and her?\I did.\But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause.\Cause\Death\Effect response:	Death
context: I did.\But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause.\Cause\Death\Effect\Death response:	Normally, death would be preceded
context: But I couldn't stop Mayuri's death.\I see.\For something to occur, it must have a cause.\Cause\Death\Effect\Death\Normally, death would be preceded response:	by some proximate phenomenon,
context: I see.\For something to occur, it must have a cause.\Cause\Death\Effect\Death\Normally, death would be preceded\by some proximate phenomenon, response:	like an accident or an illness.
context: For something to occur, it must have a cause.\Cause\Death\Effect\Death\Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness. response:	But we can't determine the cause for sure.
context: Cause\Death\Effect\Death\Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure. response:	The Rounders are the proximate cause of Mayuri's death,
context: Death\Effect\Death\Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death, response:	but the real cause is likely different.
context: Effect\Death\Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different. response:	So even if the Rounders never appear,
context: Death\Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear, response:	Mayuri still dies.
context: Normally, death would be preceded\by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies. response:	Cause
context: by some proximate phenomenon,\like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies.\Cause response:	Death
context: like an accident or an illness.\But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies.\Cause\Death response:	Effect
context: But we can't determine the cause for sure.\The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies.\Cause\Death\Effect response:	Then, what's the cause?
context: The Rounders are the proximate cause of Mayuri's death,\but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies.\Cause\Death\Effect\Then, what's the cause? response:	I don't know.
context: but the real cause is likely different.\So even if the Rounders never appear,\Mayuri still dies.\Cause\Death\Effect\Then, what's the cause?\I don't know. response:	It's possible that the cause of Mayuri's death
context: So even if the Rounders never appear,\Mayuri still dies.\Cause\Death\Effect\Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death response:	is Mayuri's own birth.
context: Mayuri still dies.\Cause\Death\Effect\Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth. response:	You mean her life span's run out?
context: Cause\Death\Effect\Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out? response:	That's fatalism!
context: Death\Effect\Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out?\That's fatalism! response:	Indeed.
context: Effect\Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out?\That's fatalism!\Indeed. response:	So I won't suggest it.
context: Then, what's the cause?\I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out?\That's fatalism!\Indeed.\So I won't suggest it. response:	The cause should be something
context: I don't know.\It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out?\That's fatalism!\Indeed.\So I won't suggest it.\The cause should be something response:	that initiated this series of events.
context: It's possible that the cause of Mayuri's death\is Mayuri's own birth.\You mean her life span's run out?\That's fatalism!\Indeed.\So I won't suggest it.\The cause should be something\that initiated this series of events. response:	Initiated...
context: is Mayuri's own birth.\You mean her life span's run out?\That's fatalism!\Indeed.\So I won't suggest it.\The cause should be something\that initiated this series of events.\Initiated... response:	Is it possible that if this isn't completed, Mayuri would...
context: You mean her life span's run out?\That's fatalism!\Indeed.\So I won't suggest it.\The cause should be something\that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would... response:	Wait.
context: That's fatalism!\Indeed.\So I won't suggest it.\The cause should be something\that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait. response:	It's dangerous to jump to conclusions!
context: Indeed.\So I won't suggest it.\The cause should be something\that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions! response:	But...
context: So I won't suggest it.\The cause should be something\that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions!\But... response:	Makise Kurisu is right.
context: The cause should be something\that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions!\But...\Makise Kurisu is right. response:	You're...
context: that initiated this series of events.\Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions!\But...\Makise Kurisu is right.\You're... response:	Do you know something?
context: Initiated...\Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions!\But...\Makise Kurisu is right.\You're...\Do you know something? response:	You're more or less correct.
context: Is it possible that if this isn't completed, Mayuri would...\Wait.\It's dangerous to jump to conclusions!\But...\Makise Kurisu is right.\You're...\Do you know something?\You're more or less correct. response:	Fixing everything won't be as easy
context: Wait.\It's dangerous to jump to conclusions!\But...\Makise Kurisu is right.\You're...\Do you know something?\You're more or less correct.\Fixing everything won't be as easy response:	as not completing the time leap machine.
context: It's dangerous to jump to conclusions!\But...\Makise Kurisu is right.\You're...\Do you know something?\You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine. response:	To save the world,
context: But...\Makise Kurisu is right.\You're...\Do you know something?\You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine.\To save the world, response:	you need to reach world line beta.
context: Makise Kurisu is right.\You're...\Do you know something?\You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine.\To save the world,\you need to reach world line beta. response:	You must cross the 1 divergence barrier.
context: You're...\Do you know something?\You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine.\To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier. response:	The divergence number
context: Do you know something?\You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine.\To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number response:	indicates this world line's location.
context: You're more or less correct.\Fixing everything won't be as easy\as not completing the time leap machine.\To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location. response:	And the only clue we have as to what it is,
context: Fixing everything won't be as easy\as not completing the time leap machine.\To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location.\And the only clue we have as to what it is, response:	is this divergence meter.
context: as not completing the time leap machine.\To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter. response:	Nixie Tubes?
context: To save the world,\you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes? response:	Whoever made it has good taste.
context: you need to reach world line beta.\You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes?\Whoever made it has good taste. response:	Of course they do.
context: You must cross the 1 divergence barrier.\The divergence number\indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes?\Whoever made it has good taste.\Of course they do. response:	You're the one who made it.
context: The divergence number\indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes?\Whoever made it has good taste.\Of course they do.\You're the one who made it. response:	I did?
context: indicates this world line's location.\And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes?\Whoever made it has good taste.\Of course they do.\You're the one who made it.\I did? response:	You have the power to retain
context: And the only clue we have as to what it is,\is this divergence meter.\Nixie Tubes?\Whoever made it has good taste.\Of course they do.\You're the one who made it.\I did?\You have the power to retain response:	your memories, when moving world lines.
context: is this divergence meter.\Nixie Tubes?\Whoever made it has good taste.\Of course they do.\You're the one who made it.\I did?\You have the power to retain\your memories, when moving world lines. response:	In the future, you made this meter
context: Nixie Tubes?\Whoever made it has good taste.\Of course they do.\You're the one who made it.\I did?\You have the power to retain\your memories, when moving world lines.\In the future, you made this meter response:	to numerically display
context: Whoever made it has good taste.\Of course they do.\You're the one who made it.\I did?\You have the power to retain\your memories, when moving world lines.\In the future, you made this meter\to numerically display response:	the difference between this world line and the previous one you inhabited.
context: Of course they do.\You're the one who made it.\I did?\You have the power to retain\your memories, when moving world lines.\In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited. response:	That's this world line.
context: You're the one who made it.\I did?\You have the power to retain\your memories, when moving world lines.\In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line. response:	A world line is like a woven braid or this rope.
context: I did?\You have the power to retain\your memories, when moving world lines.\In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope. response:	This rope looks like it's a single line,
context: You have the power to retain\your memories, when moving world lines.\In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line, response:	but actually, many thin threads comprise it.
context: your memories, when moving world lines.\In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it. response:	The threads are the world lines.
context: In the future, you made this meter\to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines. response:	Each never touches the others,
context: to numerically display\the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others, response:	but they all go to the same place.
context: the difference between this world line and the previous one you inhabited.\That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others,\but they all go to the same place. response:	In other words,
context: That's this world line.\A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others,\but they all go to the same place.\In other words, response:	they all tend toward a world in which Mayuri dies...
context: A world line is like a woven braid or this rope.\This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others,\but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies... response:	But if the world line drastically changes,
context: This rope looks like it's a single line,\but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others,\but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes, response:	from our alpha world line to the beta world line,
context: but actually, many thin threads comprise it.\The threads are the world lines.\Each never touches the others,\but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line, response:	over the 1 barrier,
context: The threads are the world lines.\Each never touches the others,\but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier, response:	another outcome would occur.
context: Each never touches the others,\but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur. response:	You guys use that one.
context: but they all go to the same place.\In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur.\You guys use that one. response:	Wait.
context: In other words,\they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur.\You guys use that one.\Wait. response:	I can't climb up, just using that.
context: they all tend toward a world in which Mayuri dies...\But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur.\You guys use that one.\Wait.\I can't climb up, just using that. response:	Oh, fine...
context: But if the world line drastically changes,\from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur.\You guys use that one.\Wait.\I can't climb up, just using that.\Oh, fine... response:	Just wait here.
context: from our alpha world line to the beta world line,\over the 1 barrier,\another outcome would occur.\You guys use that one.\Wait.\I can't climb up, just using that.\Oh, fine...\Just wait here. response:	Who is Amane-san, anyway?
context: over the 1 barrier,\another outcome would occur.\You guys use that one.\Wait.\I can't climb up, just using that.\Oh, fine...\Just wait here.\Who is Amane-san, anyway? response:	She's definitely a professional.
context: another outcome would occur.\You guys use that one.\Wait.\I can't climb up, just using that.\Oh, fine...\Just wait here.\Who is Amane-san, anyway?\She's definitely a professional. response:	Of some kind.
context: You guys use that one.\Wait.\I can't climb up, just using that.\Oh, fine...\Just wait here.\Who is Amane-san, anyway?\She's definitely a professional.\Of some kind. response:	Let's go.
context: Wait.\I can't climb up, just using that.\Oh, fine...\Just wait here.\Who is Amane-san, anyway?\She's definitely a professional.\Of some kind.\Let's go. response:	Hurry.
context: I can't climb up, just using that.\Oh, fine...\Just wait here.\Who is Amane-san, anyway?\She's definitely a professional.\Of some kind.\Let's go.\Hurry. response:	The alpha and beta world lines
context: Oh, fine...\Just wait here.\Who is Amane-san, anyway?\She's definitely a professional.\Of some kind.\Let's go.\Hurry.\The alpha and beta world lines response:	are world lines with completely different results.
context: Just wait here.\Who is Amane-san, anyway?\She's definitely a professional.\Of some kind.\Let's go.\Hurry.\The alpha and beta world lines\are world lines with completely different results. response:	Normally, it's impossible to move between them.
context: Who is Amane-san, anyway?\She's definitely a professional.\Of some kind.\Let's go.\Hurry.\The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them. response:	Even if you change the past,
context: She's definitely a professional.\Of some kind.\Let's go.\Hurry.\The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past, response:	using the time leap and the D-mail,
context: Of some kind.\Let's go.\Hurry.\The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail, response:	you couldn't do it.
context: Let's go.\Hurry.\The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail,\you couldn't do it. response:	But in several years, major events occur,
context: Hurry.\The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur, response:	and the choices made then split the world into multiple world lines.
context: The alpha and beta world lines\are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines. response:	Recently, it would be 1991, when the Gulf War occurred.
context: are world lines with completely different results.\Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred. response:	And 2000, with the Y2K problem.
context: Normally, it's impossible to move between them.\Even if you change the past,\using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem. response:	And 2010, when the time machine was created.
context: Even if you change the past,\using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created. response:	This is...
context: using the time leap and the D-mail,\you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is... response:	When the split occurs,
context: you couldn't do it.\But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is...\When the split occurs, response:	it's possible to move from the alpha world line to the beta.
context: But in several years, major events occur,\and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is...\When the split occurs,\it's possible to move from the alpha world line to the beta. response:	How is it done?
context: and the choices made then split the world into multiple world lines.\Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is...\When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done? response:	How
context: Recently, it would be 1991, when the Gulf War occurred.\And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is...\When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done?\How response:	Wait!
context: And 2000, with the Y2K problem.\And 2010, when the time machine was created.\This is...\When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done?\How\Wait! response:	Before that,
context: And 2010, when the time machine was created.\This is...\When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done?\How\Wait!\Before that, response:	tell us who are you.
context: This is...\When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done?\How\Wait!\Before that,\tell us who are you. response:	This is...
context: When the split occurs,\it's possible to move from the alpha world line to the beta.\How is it done?\How\Wait!\Before that,\tell us who are you.\This is... response:	A time machine.
context: it's possible to move from the alpha world line to the beta.\How is it done?\How\Wait!\Before that,\tell us who are you.\This is...\A time machine. response:	I'm from the year 2036.
context: How is it done?\How\Wait!\Before that,\tell us who are you.\This is...\A time machine.\I'm from the year 2036. response:	Suzuha...
context: How\Wait!\Before that,\tell us who are you.\This is...\A time machine.\I'm from the year 2036.\Suzuha... response:	I am the time traveler
context: Wait!\Before that,\tell us who are you.\This is...\A time machine.\I'm from the year 2036.\Suzuha...\I am the time traveler response:	John Titor.
context: Before that,\tell us who are you.\This is...\A time machine.\I'm from the year 2036.\Suzuha...\I am the time traveler\John Titor. response:	ED
context: tell us who are you.\This is...\A time machine.\I'm from the year 2036.\Suzuha...\I am the time traveler\John Titor.\ED response:	kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai
context: This is...\A time machine.\I'm from the year 2036.\Suzuha...\I am the time traveler\John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai response:	We cannot escape the 12 merciless truths and the controlled oath we took
context: A time machine.\I'm from the year 2036.\Suzuha...\I am the time traveler\John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took response:	ansoku no asu wo negattara
context: I'm from the year 2036.\Suzuha...\I am the time traveler\John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara response:	If we wish for a tomorrow full of rest
context: Suzuha...\I am the time traveler\John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest response:	te no naka no toutoi jishou no chihei he
context: I am the time traveler\John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he response:	to be given to the precious event horizon in our hands
context: John Titor.\ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands response:	toraware shi meiyaku arawareta gishou no rinkaku
context: ED\kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku response:	the promise we made in captivity turns out to be a phantom
context: kisei sareta chikai mujihi naru, juuni no shinri nogarerarenai\We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom response:	seimei no tenshi wa moumoku na jikan wo kizanda
context: We cannot escape the 12 merciless truths and the controlled oath we took\ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda response:	The angel of life recorded a time of blindness
context: ansoku no asu wo negattara\If we wish for a tomorrow full of rest\te no naka no toutoi jishou no chihei he\to be given to the precious event horizon in our hands\toraware shi meiyaku arawareta gishou no rinkaku\the promise we made in captivity turns out to be a phantom\seimei no tenshi wa moumoku na jikan wo kizanda\The angel of life recorded a time of blindness response:	seimei no tenshi wa moumoku na jikan wo kizanda
