context: Here comes another psychic. response:	What should we do with them, Dimple-san?
context: And what happens when they manipulate and use someone.\You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec.\What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji! response:	Or what's become of him.
context: You're going to empower me to achieve that goal.\It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec.\What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him. response:	Please... spare... me...
context: It appears I absorbed too many vengeful spirits at once.\It got away?\Hang on a sec.\What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me... response:	Goodbye.
context: It got away?\Hang on a sec.\What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me...\Goodbye. response:	As I figured, this is all you're worth.
context: Hang on a sec.\What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me...\Goodbye.\As I figured, this is all you're worth. response:	You're all so weak,
context: What's that got to do with anything?\That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me...\Goodbye.\As I figured, this is all you're worth.\You're all so weak, response:	I have no reason to let you live!
context: That's Mogami himself!\The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me...\Goodbye.\As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live! response:	How sad.
context: The star psychic of the 20th century, Mogami Keiji!\Or what's become of him.\Please... spare... me...\Goodbye.\As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live!\How sad. response:	Apparently, it's finally my time to shine.
context: Or what's become of him.\Please... spare... me...\Goodbye.\As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine. response:	It's a shame that I'm so bad at rock-paper-scissors.
context: Please... spare... me...\Goodbye.\As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors. response:	Are you supposed to be a famous psychic? I don't recognize you.
context: Goodbye.\As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you. response:	Please... God...
context: As I figured, this is all you're worth.\You're all so weak,\I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God... response:	Begone... foul spirit!
context: You're all so weak,\I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit! response:	Jodo-sama's getting serious!
context: I have no reason to let you live!\How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit!\Jodo-sama's getting serious! response:	This will be enlightening!
context: How sad.\Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening! response:	He's not even bothering with chants or throwing salt around, huh?
context: Apparently, it's finally my time to shine.\It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh? response:	Que?
context: It's a shame that I'm so bad at rock-paper-scissors.\Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que? response:	Hey, something's wrong.
context: Are you supposed to be a famous psychic? I don't recognize you.\Please... God...\Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong. response:	Did he get possessed?
context: Please... God...\Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong.\Did he get possessed? response:	That's it?
context: Begone... foul spirit!\Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong.\Did he get possessed?\That's it? response:	Hey, explain something to me.
context: Jodo-sama's getting serious!\This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong.\Did he get possessed?\That's it?\Hey, explain something to me. response:	What makes this guy such a big shot?
context: This will be enlightening!\He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong.\Did he get possessed?\That's it?\Hey, explain something to me.\What makes this guy such a big shot? response:	Here he comes.
context: He's not even bothering with chants or throwing salt around, huh?\Que?\Hey, something's wrong.\Did he get possessed?\That's it?\Hey, explain something to me.\What makes this guy such a big shot?\Here he comes. response:	Run, Shigeo!
context: Que?\Hey, something's wrong.\Did he get possessed?\That's it?\Hey, explain something to me.\What makes this guy such a big shot?\Here he comes.\Run, Shigeo! response:	Anti-Possession Jumping Knee Strike!
context: Hey, something's wrong.\Did he get possessed?\That's it?\Hey, explain something to me.\What makes this guy such a big shot?\Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike! response:	A jumping knee strike to knock a possessed person unconscious.
context: Did he get possessed?\That's it?\Hey, explain something to me.\What makes this guy such a big shot?\Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious. response:	Anti-Possession Jumping Knee Strike
context: That's it?\Hey, explain something to me.\What makes this guy such a big shot?\Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike response:	This is one of Reigen's special attacks.
context: Hey, explain something to me.\What makes this guy such a big shot?\Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks. response:	Jodo-sama!
context: What makes this guy such a big shot?\Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama! response:	Sorry!
context: Here he comes.\Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama!\Sorry! response:	Hey, evil spirit!
context: Run, Shigeo!\Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama!\Sorry!\Hey, evil spirit! response:	If my intuition's correct, you're actually Mogami Kei
context: Anti-Possession Jumping Knee Strike!\A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama!\Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei response:	You know who I am?
context: A jumping knee strike to knock a possessed person unconscious.\Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama!\Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am? response:	Damn, it was true?!
context: Anti-Possession Jumping Knee Strike\This is one of Reigen's special attacks.\Jodo-sama!\Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?! response:	Why the hell are you possessing that girl?
context: This is one of Reigen's special attacks.\Jodo-sama!\Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl? response:	Were you into young girls when you were alive
context: Jodo-sama!\Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive response:	T-Time out...
context: Sorry!\Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out... response:	He's not stopping!
context: Hey, evil spirit!\If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out...\He's not stopping! response:	Minori.
context: If my intuition's correct, you're actually Mogami Kei\You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out...\He's not stopping!\Minori. response:	Stop this.
context: You know who I am?\Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out...\He's not stopping!\Minori.\Stop this. response:	I'll stay by your side.
context: Damn, it was true?!\Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out...\He's not stopping!\Minori.\Stop this.\I'll stay by your side. response:	Get awa...
context: Why the hell are you possessing that girl?\Were you into young girls when you were alive\T-Time out...\He's not stopping!\Minori.\Stop this.\I'll stay by your side.\Get awa... response:	He impaled him!
context: Were you into young girls when you were alive\T-Time out...\He's not stopping!\Minori.\Stop this.\I'll stay by your side.\Get awa...\He impaled him! response:	You can't... be serious...
context: T-Time out...\He's not stopping!\Minori.\Stop this.\I'll stay by your side.\Get awa...\He impaled him!\You can't... be serious... response:	I didn't come here to see someone die!
context: He's not stopping!\Minori.\Stop this.\I'll stay by your side.\Get awa...\He impaled him!\You can't... be serious...\I didn't come here to see someone die! response:	We can't deal with that monster!
context: Minori.\Stop this.\I'll stay by your side.\Get awa...\He impaled him!\You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster! response:	Run!
context: Stop this.\I'll stay by your side.\Get awa...\He impaled him!\You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster!\Run! response:	I-It won't open?!
context: I'll stay by your side.\Get awa...\He impaled him!\You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster!\Run!\I-It won't open?! response:	No way!
context: Get awa...\He impaled him!\You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster!\Run!\I-It won't open?!\No way! response:	Let us out!
context: He impaled him!\You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster!\Run!\I-It won't open?!\No way!\Let us out! response:	Where do you think you're going?
context: You can't... be serious...\I didn't come here to see someone die!\We can't deal with that monster!\Run!\I-It won't open?!\No way!\Let us out!\Where do you think you're going? response:	Well, this has gone to shit.
context: I didn't come here to see someone die!\We can't deal with that monster!\Run!\I-It won't open?!\No way!\Let us out!\Where do you think you're going?\Well, this has gone to shit. response:	Mob, you warmed up yet?
context: We can't deal with that monster!\Run!\I-It won't open?!\No way!\Let us out!\Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet? response:	Yes.
context: Run!\I-It won't open?!\No way!\Let us out!\Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet?\Yes. response:	Well, I'm not actually warmed up at all,
context: I-It won't open?!\No way!\Let us out!\Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all, response:	but I know I have to deal with this anyway.
context: No way!\Let us out!\Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway. response:	Progress Towards Mob's Explosion
context: Let us out!\Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion response:	Mob Psycho
context: Where do you think you're going?\Well, this has gone to shit.\Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho response:	Mob Psycho
context: Well, this has gone to shit.\Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho response:	A demon...
context: Mob, you warmed up yet?\Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho\A demon... response:	Shouldn't we run away?
context: Yes.\Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho\A demon...\Shouldn't we run away? response:	I'm pretty confident in my abilities.
context: Well, I'm not actually warmed up at all,\but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho\A demon...\Shouldn't we run away?\I'm pretty confident in my abilities. response:	Spirit Hold!
context: but I know I have to deal with this anyway.\Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho\A demon...\Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold! response:	Oh?
context: Progress Towards Mob's Explosion\Mob Psycho\Mob Psycho\A demon...\Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold!\Oh? response:	I don't know who it is, but someone's got some decent telekinetic powers.
context: Mob Psycho\Mob Psycho\A demon...\Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers. response:	It's true that humans can't move their joints past a certain point.
context: Mob Psycho\A demon...\Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point. response:	But what about a doll's joints?
context: A demon...\Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints? response:	Oh, look. I can move.
context: Shouldn't we run away?\I'm pretty confident in my abilities.\Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move. response:	That girl's body...
context: I'm pretty confident in my abilities.\Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move.\That girl's body... response:	Get it now?
context: Spirit Hold!\Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move.\That girl's body...\Get it now? response:	Nothing you do to this body will affect me. It's not a solution.
context: Oh?\I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move.\That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution. response:	What are you laughing about?
context: I don't know who it is, but someone's got some decent telekinetic powers.\It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move.\That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about? response:	It's him.
context: It's true that humans can't move their joints past a certain point.\But what about a doll's joints?\Oh, look. I can move.\That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him. response:	There is a solution.
context: But what about a doll's joints?\Oh, look. I can move.\That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him.\There is a solution. response:	I'll make you disappear.
context: Oh, look. I can move.\That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him.\There is a solution.\I'll make you disappear. response:	Now we're talking!
context: That girl's body...\Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him.\There is a solution.\I'll make you disappear.\Now we're talking! response:	Such incredible spiritual power...
context: Get it now?\Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him.\There is a solution.\I'll make you disappear.\Now we're talking!\Such incredible spiritual power... response:	What the hell is that?
context: Nothing you do to this body will affect me. It's not a solution.\What are you laughing about?\It's him.\There is a solution.\I'll make you disappear.\Now we're talking!\Such incredible spiritual power...\What the hell is that? response:	I've never seen anything like it!
context: What are you laughing about?\It's him.\There is a solution.\I'll make you disappear.\Now we're talking!\Such incredible spiritual power...\What the hell is that?\I've never seen anything like it! response:	Get out of Minori-san... Now!
context: It's him.\There is a solution.\I'll make you disappear.\Now we're talking!\Such incredible spiritual power...\What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now! response:	Amazing...
context: There is a solution.\I'll make you disappear.\Now we're talking!\Such incredible spiritual power...\What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now!\Amazing... response:	I thought he was just some kid,
context: I'll make you disappear.\Now we're talking!\Such incredible spiritual power...\What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now!\Amazing...\I thought he was just some kid, response:	but he's insanely powerful!
context: Now we're talking!\Such incredible spiritual power...\What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now!\Amazing...\I thought he was just some kid,\but he's insanely powerful! response:	Forget being possessed! They're fusing into one now!
context: Such incredible spiritual power...\What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now!\Amazing...\I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now! response:	I messed up...
context: What the hell is that?\I've never seen anything like it!\Get out of Minori-san... Now!\Amazing...\I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up... response:	Master, the situation's gotten even worse.
context: I've never seen anything like it!\Get out of Minori-san... Now!\Amazing...\I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse. response:	You're telling me he's stronger than you, Mob?
context: Get out of Minori-san... Now!\Amazing...\I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob? response:	Yes.
context: Amazing...\I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes. response:	No way...
context: I thought he was just some kid,\but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes.\No way... response:	That bastard... He's even livelier now than when he was alive!
context: but he's insanely powerful!\Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes.\No way...\That bastard... He's even livelier now than when he was alive! response:	You done, kid?
context: Forget being possessed! They're fusing into one now!\I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes.\No way...\That bastard... He's even livelier now than when he was alive!\You done, kid? response:	Now's our only chance!
context: I messed up...\Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes.\No way...\That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance! response:	That bastard actually did it.
context: Master, the situation's gotten even worse.\You're telling me he's stronger than you, Mob?\Yes.\No way...\That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance!\That bastard actually did it. response:	He became the most powerful evil spirit...
context: You're telling me he's stronger than you, Mob?\Yes.\No way...\That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit... response:	Well, if you die and can't pass on, at least we'll have each other.
context: Yes.\No way...\That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other. response:	Don't even joke about that!
context: No way...\That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that! response:	I see.
context: That bastard... He's even livelier now than when he was alive!\You done, kid?\Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see. response:	I can go inside of Minori-san and expel the evil spirit from within.
context: You done, kid?\Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within. response:	Are you stupid?!
context: Now's our only chance!\That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?! response:	How's a human like you going to enter another human?!
context: That bastard actually did it.\He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?! response:	With an out of body experience.
context: He became the most powerful evil spirit...\Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience. response:	I see...
context: Well, if you die and can't pass on, at least we'll have each other.\Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience.\I see... response:	But during that time, your body will be completely defenseless.
context: Don't even joke about that!\I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience.\I see...\But during that time, your body will be completely defenseless. response:	Not to mention her body will resist you!
context: I see.\I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience.\I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you! response:	But I have no other choice.
context: I can go inside of Minori-san and expel the evil spirit from within.\Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience.\I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice. response:	Dimple, could you possess my body for a while and protect it?
context: Are you stupid?!\How's a human like you going to enter another human?!\With an out of body experience.\I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it? response:	Say what?
context: How's a human like you going to enter another human?!\With an out of body experience.\I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what? response:	No, no! Anything but that, Mob!
context: With an out of body experience.\I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob! response:	If you let him in, he'll probably never leave.
context: I see...\But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave. response:	You know what you're signing up for, right?
context: But during that time, your body will be completely defenseless.\Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right? response:	Are you seriously going to trust Dimple?
context: Not to mention her body will resist you!\But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple? response:	I'm sure it'll be fine.
context: But I have no other choice.\Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine. response:	First, I need to lose consciousness.
context: Dimple, could you possess my body for a while and protect it?\Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness. response:	Concentrate...
context: Say what?\No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate... response:	Has he changed a little?
context: No, no! Anything but that, Mob!\If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate...\Has he changed a little? response:	Or wait... Is he trying to change himself?
context: If you let him in, he'll probably never leave.\You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself? response:	Whoa!
context: You know what you're signing up for, right?\Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself?\Whoa! response:	Holy shit! Even I can see it!
context: Are you seriously going to trust Dimple?\I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it! response:	He's coming!
context: I'm sure it'll be fine.\First, I need to lose consciousness.\Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it!\He's coming! response:	Take that!
context: First, I need to lose consciousness.\Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it!\He's coming!\Take that! response:	Wait a sec!
context: Concentrate...\Has he changed a little?\Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it!\He's coming!\Take that!\Wait a sec! response:	It's no use... I can't move.
context: Has he changed a little?\Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it!\He's coming!\Take that!\Wait a sec!\It's no use... I can't move. response:	If you don't need this body anymore, why don't I take it off your hands?
context: Or wait... Is he trying to change himself?\Whoa!\Holy shit! Even I can see it!\He's coming!\Take that!\Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands? response:	You dumbass.
context: Whoa!\Holy shit! Even I can see it!\He's coming!\Take that!\Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass. response:	It belongs to me now!
context: Holy shit! Even I can see it!\He's coming!\Take that!\Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now! response:	That's what you get!
context: He's coming!\Take that!\Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now!\That's what you get! response:	Whoa there!
context: Take that!\Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now!\That's what you get!\Whoa there! response:	I'm not gonna let you break my precious body that easily!
context: Wait a sec!\It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now!\That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily! response:	Why's there another spirit? What a nuisance.
context: It's no use... I can't move.\If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now!\That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance. response:	Begone.
context: If you don't need this body anymore, why don't I take it off your hands?\You dumbass.\It belongs to me now!\That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone. response:	Now, Shigeo!
context: You dumbass.\It belongs to me now!\That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo! response:	So that's your game...
context: It belongs to me now!\That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo!\So that's your game... response:	You must be insane.
context: That's what you get!\Whoa there!\I'm not gonna let you break my precious body that easily!\Why's there another spirit? What a nuisance.\Begone.\Now, Shigeo!\So that's your game...\You must be insane. response:	Yeah, he's not a normal kid.
