context: I want to go back to that time again. response:	I want to become small again.
context: I left a bath towel in the room.\Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours.\That's why you are... response:	What?
context: Would you please get it for me?\Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours.\That's why you are...\What? response:	Nothing.
context: Ah... yeah.\My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours.\That's why you are...\What?\Nothing. response:	That's why I am... what?
context: My Little Lover Minami Kun No Koibito\You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours.\That's why you are...\What?\Nothing.\That's why I am... what? response:	Forget about it. It's nothing.
context: You had a rough day today, didn't you?\Yeah...\Nomura-san's home situation is similar to yours.\That's why you are...\What?\Nothing.\That's why I am... what?\Forget about it. It's nothing. response:	Minami-kun. Are you still up?
context: Yeah...\Nomura-san's home situation is similar to yours.\That's why you are...\What?\Nothing.\That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up? response:	Hey!
context: Nomura-san's home situation is similar to yours.\That's why you are...\What?\Nothing.\That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey! response:	What?
context: That's why you are...\What?\Nothing.\That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey!\What? response:	Were you asleep?
context: What?\Nothing.\That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey!\What?\Were you asleep? response:	No.
context: Nothing.\That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey!\What?\Were you asleep?\No. response:	I can't sleep. May I come in a bit?
context: That's why I am... what?\Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey!\What?\Were you asleep?\No.\I can't sleep. May I come in a bit? response:	Eh? What?
context: Forget about it. It's nothing.\Minami-kun. Are you still up?\Hey!\What?\Were you asleep?\No.\I can't sleep. May I come in a bit?\Eh? What? response:	Ah... Hey.
context: Minami-kun. Are you still up?\Hey!\What?\Were you asleep?\No.\I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey. response:	I heard from my dad.
context: Hey!\What?\Were you asleep?\No.\I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey.\I heard from my dad. response:	Your mom turned down my dad's offer to recommend you to the university.
context: What?\Were you asleep?\No.\I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university. response:	Yeah...
context: Were you asleep?\No.\I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah... response:	Are you okay with that?
context: No.\I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that? response:	Just because you'd get a full scholorship, you're going to a school so far away?
context: I can't sleep. May I come in a bit?\Eh? What?\Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away? response:	On top of that, there are many restrictions after you graduate from the medical school.
context: Eh? What?\Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school. response:	I'm applying to other national universities.
context: Ah... Hey.\I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities. response:	If you apply to Takasu Medical University, my dad will arrange a scholorship for you.
context: I heard from my dad.\Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you. response:	And, you don't have to leave here.
context: Your mom turned down my dad's offer to recommend you to the university.\Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here. response:	I appreciate your gesture.
context: Yeah...\Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture. response:	But, I am not cut out for that kind of thing.
context: Are you okay with that?\Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing. response:	Sorry...
context: Just because you'd get a full scholorship, you're going to a school so far away?\On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry... response:	Thank you though.
context: On top of that, there are many restrictions after you graduate from the medical school.\I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry...\Thank you though. response:	Hmm?
context: I'm applying to other national universities.\If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry...\Thank you though.\Hmm? response:	You know how I feel about you, right?
context: If you apply to Takasu Medical University, my dad will arrange a scholorship for you.\And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry...\Thank you though.\Hmm?\You know how I feel about you, right? response:	Eh?
context: And, you don't have to leave here.\I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry...\Thank you though.\Hmm?\You know how I feel about you, right?\Eh? response:	How long are we going to stay like this?
context: I appreciate your gesture.\But, I am not cut out for that kind of thing.\Sorry...\Thank you though.\Hmm?\You know how I feel about you, right?\Eh?\How long are we going to stay like this? response:	Oh no. Get away from him, Nomura-san.
context: But, I am not cut out for that kind of thing.\Sorry...\Thank you though.\Hmm?\You know how I feel about you, right?\Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san. response:	Do you not... like me?
context: Sorry...\Thank you though.\Hmm?\You know how I feel about you, right?\Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me? response:	Well...
context: Thank you though.\Hmm?\You know how I feel about you, right?\Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well... response:	Minami-kun...
context: Hmm?\You know how I feel about you, right?\Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well...\Minami-kun... response:	Do you like someone else?
context: You know how I feel about you, right?\Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well...\Minami-kun...\Do you like someone else? response:	Eh?
context: Eh?\How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well...\Minami-kun...\Do you like someone else?\Eh? response:	Could it be... Horikiri-san?
context: How long are we going to stay like this?\Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well...\Minami-kun...\Do you like someone else?\Eh?\Could it be... Horikiri-san? response:	Of course not.
context: Oh no. Get away from him, Nomura-san.\Do you not... like me?\Well...\Minami-kun...\Do you like someone else?\Eh?\Could it be... Horikiri-san?\Of course not. response:	Then... Is it okay for me to do something like this?
context: Do you not... like me?\Well...\Minami-kun...\Do you like someone else?\Eh?\Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this? response:	No! Minami-kun!
context: Well...\Minami-kun...\Do you like someone else?\Eh?\Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun! response:	So cute. I feel like eating you.
context: Minami-kun...\Do you like someone else?\Eh?\Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you. response:	Ah...
context: Do you like someone else?\Eh?\Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you.\Ah... response:	She's going to eat me.
context: Eh?\Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you.\Ah...\She's going to eat me. response:	I'm sorry.
context: Could it be... Horikiri-san?\Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you.\Ah...\She's going to eat me.\I'm sorry. response:	This kind of thing... I...
context: Of course not.\Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you.\Ah...\She's going to eat me.\I'm sorry.\This kind of thing... I... response:	What kind of thing?
context: Then... Is it okay for me to do something like this?\No! Minami-kun!\So cute. I feel like eating you.\Ah...\She's going to eat me.\I'm sorry.\This kind of thing... I...\What kind of thing? response:	I am sorry but I don't want to do this kind of thing.
context: No! Minami-kun!\So cute. I feel like eating you.\Ah...\She's going to eat me.\I'm sorry.\This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing. response:	Rather than this, there are things I need to do now.
context: So cute. I feel like eating you.\Ah...\She's going to eat me.\I'm sorry.\This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now. response:	Never mind.
context: Ah...\She's going to eat me.\I'm sorry.\This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind. response:	Eh?
context: She's going to eat me.\I'm sorry.\This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind.\Eh? response:	Minami-kun is like a virgin.
context: I'm sorry.\This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind.\Eh?\Minami-kun is like a virgin. response:	You know...
context: This kind of thing... I...\What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind.\Eh?\Minami-kun is like a virgin.\You know... response:	my feeling can get hurt.
context: What kind of thing?\I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind.\Eh?\Minami-kun is like a virgin.\You know...\my feeling can get hurt. response:	Nomura...
context: I am sorry but I don't want to do this kind of thing.\Rather than this, there are things I need to do now.\Never mind.\Eh?\Minami-kun is like a virgin.\You know...\my feeling can get hurt.\Nomura... response:	Good night.
context: Rather than this, there are things I need to do now.\Never mind.\Eh?\Minami-kun is like a virgin.\You know...\my feeling can get hurt.\Nomura...\Good night. response:	Hey.
context: Never mind.\Eh?\Minami-kun is like a virgin.\You know...\my feeling can get hurt.\Nomura...\Good night.\Hey. response:	It is okay now.
context: Eh?\Minami-kun is like a virgin.\You know...\my feeling can get hurt.\Nomura...\Good night.\Hey.\It is okay now. response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Minami-kun is like a virgin.\You know...\my feeling can get hurt.\Nomura...\Good night.\Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	Chiyomi?
context: You know...\my feeling can get hurt.\Nomura...\Good night.\Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi? response:	Why are you crying?
context: my feeling can get hurt.\Nomura...\Good night.\Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying? response:	I am okay.
context: Nomura...\Good night.\Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying?\I am okay. response:	You are not okay.
context: Good night.\Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying?\I am okay.\You are not okay. response:	I'm saying, I am okay.
context: Hey.\It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying?\I am okay.\You are not okay.\I'm saying, I am okay. response:	The reason why the big man is kind to me
context: It is okay now.\Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying?\I am okay.\You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me response:	is because I am small.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\Chiyomi?\Why are you crying?\I am okay.\You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small. response:	The one who is suitable for him is his own kind, the big woman.
context: Chiyomi?\Why are you crying?\I am okay.\You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman. response:	The big woman can embrace him and comfort him gently.
context: Why are you crying?\I am okay.\You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently. response:	All I can do is to dance on his palm.
context: I am okay.\You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm. response:	It's updated.
context: You are not okay.\I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated. response:	I am nothing but a burden for him.
context: I'm saying, I am okay.\The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him. response:	I mustn't have such an ambitious dream as to be loved by him.
context: The reason why the big man is kind to me\is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him. response:	Horikiri-shi...
context: is because I am small.\The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi... response:	I have known this from the start...
context: The one who is suitable for him is his own kind, the big woman.\The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start... response:	but I can't stop crying.
context: The big woman can embrace him and comfort him gently.\All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start...\but I can't stop crying. response:	Minami-kun...
context: All I can do is to dance on his palm.\It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start...\but I can't stop crying.\Minami-kun... response:	Eh?
context: It's updated.\I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start...\but I can't stop crying.\Minami-kun...\Eh? response:	What?
context: I am nothing but a burden for him.\I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start...\but I can't stop crying.\Minami-kun...\Eh?\What? response:	Hey, Nomura?
context: I mustn't have such an ambitious dream as to be loved by him.\Horikiri-shi...\I have known this from the start...\but I can't stop crying.\Minami-kun...\Eh?\What?\Hey, Nomura? response:	Minami-kun, you too.
context: Horikiri-shi...\I have known this from the start...\but I can't stop crying.\Minami-kun...\Eh?\What?\Hey, Nomura?\Minami-kun, you too. response:	Ah... Hey.
context: I have known this from the start...\but I can't stop crying.\Minami-kun...\Eh?\What?\Hey, Nomura?\Minami-kun, you too.\Ah... Hey. response:	Wait...Hey.
context: but I can't stop crying.\Minami-kun...\Eh?\What?\Hey, Nomura?\Minami-kun, you too.\Ah... Hey.\Wait...Hey. response:	Minami-kun!
context: Minami-kun...\Eh?\What?\Hey, Nomura?\Minami-kun, you too.\Ah... Hey.\Wait...Hey.\Minami-kun! response:	Minami-kun!
context: Eh?\What?\Hey, Nomura?\Minami-kun, you too.\Ah... Hey.\Wait...Hey.\Minami-kun!\Minami-kun! response:	Oh?
context: What?\Hey, Nomura?\Minami-kun, you too.\Ah... Hey.\Wait...Hey.\Minami-kun!\Minami-kun!\Oh? response:	Horikiri-san. You were here.
context: Hey, Nomura?\Minami-kun, you too.\Ah... Hey.\Wait...Hey.\Minami-kun!\Minami-kun!\Oh?\Horikiri-san. You were here. response:	Let me go. Let me go, Nomura-san.
context: Minami-kun, you too.\Ah... Hey.\Wait...Hey.\Minami-kun!\Minami-kun!\Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san. response:	You are so noisy.
context: Ah... Hey.\Wait...Hey.\Minami-kun!\Minami-kun!\Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy. response:	Ouch.
context: Wait...Hey.\Minami-kun!\Minami-kun!\Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch. response:	Minami-kun!
context: Minami-kun!\Minami-kun!\Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch.\Minami-kun! response:	Minami-kun. Let me out!
context: Minami-kun!\Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch.\Minami-kun!\Minami-kun. Let me out! response:	Chiyomi!
context: Oh?\Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch.\Minami-kun!\Minami-kun. Let me out!\Chiyomi! response:	Minami-kun. Don't do that.
context: Horikiri-san. You were here.\Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch.\Minami-kun!\Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that. response:	Hey, get away from him. Nooo!
context: Let me go. Let me go, Nomura-san.\You are so noisy.\Ouch.\Minami-kun!\Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo! response:	Don't worry about it. Okay?
context: You are so noisy.\Ouch.\Minami-kun!\Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay? response:	- Minami-kun! - We can't do this.
context: Ouch.\Minami-kun!\Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this. response:	Because Chiyomi is...
context: Minami-kun!\Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is... response:	Minami-kun! Minami-kun!
context: Minami-kun. Let me out!\Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun! response:	No, you can't do it. Hey!
context: Chiyomi!\Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey! response:	Nooo!!!
context: Minami-kun. Don't do that.\Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!! response:	I am going home then.
context: Hey, get away from him. Nooo!\Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!!\I am going home then. response:	Okay.
context: Don't worry about it. Okay?\- Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!!\I am going home then.\Okay. response:	Minami kun No Koibito My Little Lover
context: - Minami-kun! - We can't do this.\Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!!\I am going home then.\Okay.\Minami kun No Koibito My Little Lover response:	I'm giving back what you left.
context: Because Chiyomi is...\Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!!\I am going home then.\Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left. response:	Oh, how was it? It was great right?
context: Minami-kun! Minami-kun!\No, you can't do it. Hey!\Nooo!!!\I am going home then.\Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right? response:	Never... lend me something like this again.
context: No, you can't do it. Hey!\Nooo!!!\I am going home then.\Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again. response:	I got it.
context: Nooo!!!\I am going home then.\Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again.\I got it. response:	What you need is not something like this, right?
context: I am going home then.\Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again.\I got it.\What you need is not something like this, right? response:	Ok.
context: Okay.\Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again.\I got it.\What you need is not something like this, right?\Ok. response:	Karaoke...
context: Minami kun No Koibito My Little Lover\I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again.\I got it.\What you need is not something like this, right?\Ok.\Karaoke... response:	What am I supposed to do at a place like this? I'm not going to sing!
context: I'm giving back what you left.\Oh, how was it? It was great right?\Never... lend me something like this again.\I got it.\What you need is not something like this, right?\Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing! response:	It's a party.
context: Oh, how was it? It was great right?\Never... lend me something like this again.\I got it.\What you need is not something like this, right?\Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party. response:	A party?
context: Never... lend me something like this again.\I got it.\What you need is not something like this, right?\Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party? response:	Know what? You are popular but too uptight.
context: I got it.\What you need is not something like this, right?\Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party?\Know what? You are popular but too uptight. response:	Finally, you are getting horny like a normal person, right? You need to let it go.
context: What you need is not something like this, right?\Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go. response:	I'm leaving.
context: Ok.\Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving. response:	W, w, wait. 2 college girls...
context: Karaoke...\What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls... response:	are coming.
context: What am I supposed to do at a place like this? I'm not going to sing!\It's a party.\A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls...\are coming. response:	See?
context: It's a party.\A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls...\are coming.\See? response:	Things like this doesn't happen often. Amazing.
context: A party?\Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls...\are coming.\See?\Things like this doesn't happen often. Amazing. response:	-They are already close by. -Let me go.
context: Know what? You are popular but too uptight.\Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls...\are coming.\See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go. response:	- I'm telling you they are here. - Let me go.
context: Finally, you are getting horny like a normal person, right? You need to let it go.\I'm leaving.\W, w, wait. 2 college girls...\are coming.\See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go. response:	Hey! I'm Nanami. Thank you for waiting.
context: I'm leaving.\W, w, wait. 2 college girls...\are coming.\See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting. response:	I'm Hiroe-chan. Nice to meet you.
context: W, w, wait. 2 college girls...\are coming.\See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you. response:	You are a real high school students.
context: are coming.\See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students. response:	Are you by chance a virgin?
context: See?\Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin? response:	That one maybe, but this pretty one probably isn't.
context: Things like this doesn't happen often. Amazing.\-They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't. response:	It's other way around. I have already... but
context: -They are already close by. -Let me go.\- I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but response:	Minami... I mean he is... probably.
context: - I'm telling you they are here. - Let me go.\Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably. response:	Seriously?
context: Hey! I'm Nanami. Thank you for waiting.\I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously? response:	You don't have to be scared.
context: I'm Hiroe-chan. Nice to meet you.\You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously?\You don't have to be scared. response:	You are a virgin, right? So cute!
context: You are a real high school students.\Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously?\You don't have to be scared.\You are a virgin, right? So cute! response:	- I'll get going... - Hey!
context: Are you by chance a virgin?\That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously?\You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey! response:	Minami...
context: That one maybe, but this pretty one probably isn't.\It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously?\You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami... response:	Sorry... Yabuki.
context: It's other way around. I have already... but\Minami... I mean he is... probably.\Seriously?\You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami...\Sorry... Yabuki. response:	Chiyomi?
context: Minami... I mean he is... probably.\Seriously?\You don't have to be scared.\You are a virgin, right? So cute!\- I'll get going... - Hey!\Minami...\Sorry... Yabuki.\Chiyomi? response:	Chiyomi.
