context: I feel bad for doing that to Iroha. response:	If you're going to feel guilty, you shouldn't have rejected her.
context: It ended in success thanks to you.\We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki. response:	Huh?
context: We haven't finished your request yet.\We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh? response:	Well, that aside...
context: We said we'd accept your request, didn't we?\Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside... response:	It's still Christmas, so let's have a party!
context: Uh, yeah... And that just ended, right?\What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside...\It's still Christmas, so let's have a party! response:	No, I don't think so.
context: What is this, a riddle?\Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so. response:	Do you have plans, Yukinon?
context: Yes, maybe it is a riddle.\I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon? response:	If we're having a party, I'll keep my schedule open.
context: I figured out the answer.\Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open. response:	Really? Yay!
context: Maybe it's okay if you don't, Hikki.\Huh?\Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay! response:	You're not gonna ask if I have plans?
context: Huh?\Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans? response:	Or was that a roundabout way of saying I'm not invited?
context: Well, that aside...\It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited? response:	Well, I know you don't have any plans.
context: It's still Christmas, so let's have a party!\No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans. response:	I want to eat some of the cake you made, Yukinon!
context: No, I don't think so.\Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon! response:	I made the cake you were eating earlier.
context: Do you have plans, Yukinon?\If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier. response:	If I could be given what I wished for...
context: If we're having a party, I'll keep my schedule open.\Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for... response:	If I could have what I wanted,
context: Really? Yay!\You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted, response:	then I'd probably never want or wish for anything.
context: You're not gonna ask if I have plans?\Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything. response:	Because the things I received and the things given to me would be fakes
context: Or was that a roundabout way of saying I'm not invited?\Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes response:	that would just disappear someday.
context: Well, I know you don't have any plans.\I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday. response:	So I think I'll keep wanting.
context: I want to eat some of the cake you made, Yukinon!\I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting. response:	Hey, what should we do about shopping for Yukinon's birthday present?
context: I made the cake you were eating earlier.\If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present? response:	Oh... uh...
context: If I could be given what I wished for...\If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh... response:	Are you free tomorrow?
context: If I could have what I wanted,\then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow? response:	Y-Yeah, I am...
context: then I'd probably never want or wish for anything.\Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow?\Y-Yeah, I am... response:	Really? Okay, then tomorrow.
context: Because the things I received and the things given to me would be fakes\that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow. response:	Okay.
context: that would just disappear someday.\So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay. response:	Yumiko
context: So I think I'll keep wanting.\Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay.\Yumiko response:	Oh, it's Yumiko!
context: Hey, what should we do about shopping for Yukinon's birthday present?\Oh... uh...\Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay.\Yumiko\Oh, it's Yumiko! response:	Yahello, Yumiko!
context: Oh... uh...\Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay.\Yumiko\Oh, it's Yumiko!\Yahello, Yumiko! response:	Just a sec, okay?
context: Are you free tomorrow?\Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay.\Yumiko\Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay? response:	Um, what are you all doing after this?
context: Y-Yeah, I am...\Really? Okay, then tomorrow.\Okay.\Yumiko\Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this? response:	I'm going to head home.
context: Really? Okay, then tomorrow.\Okay.\Yumiko\Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home. response:	I don't care for crowds.
context: Okay.\Yumiko\Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds. response:	What? But...
context: Yumiko\Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds.\What? But... response:	We'll see each other at school again soon, won't we?
context: Oh, it's Yumiko!\Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we? response:	Yeah!
context: Yahello, Yumiko!\Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we?\Yeah! response:	Oh, shoot!
context: Just a sec, okay?\Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot! response:	I forgot to buy a good luck charm!
context: Um, what are you all doing after this?\I'm going to head home.\I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot!\I forgot to buy a good luck charm! response:	I also forgot to write a wish to hang up,
context: I'm going to head home.\I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up, response:	so I'm gonna run back!
context: I don't care for crowds.\What? But...\We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back! response:	Oh, maybe I'll buy a good luck charm, too...
context: What? But...\We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too... response:	What are you saying, Onii-chan?!
context: We'll see each other at school again soon, won't we?\Yeah!\Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?! response:	You stupid scum-niichan! You dimwit! You Hachiman!
context: Yeah!\Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman! response:	Hachiman isn't an insult!
context: Oh, shoot!\I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult! response:	Yukino-san, I'm gonna take off!
context: I forgot to buy a good luck charm!\I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off! response:	What's with you?
context: I also forgot to write a wish to hang up,\so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you? response:	Stupid... Dimwit... Hachiman...
context: so I'm gonna run back!\Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman... response:	It looks like Yukinoshita-san's dictionary of insults was
context: Oh, maybe I'll buy a good luck charm, too...\What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was response:	just updated for the first time in a while.
context: What are you saying, Onii-chan?!\You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while. response:	Anyway, were you okay heading in this direction?
context: You stupid scum-niichan! You dimwit! You Hachiman!\Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction? response:	Yes...
context: Hachiman isn't an insult!\Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes... response:	I mean, it's the end of the year,
context: Yukino-san, I'm gonna take off!\What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year, response:	so I thought your family might be doing something.
context: What's with you?\Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year,\so I thought your family might be doing something. response:	Oh... I'm not going home this year.
context: Stupid... Dimwit... Hachiman...\It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year. response:	I don't have any particular reason to.
context: It looks like Yukinoshita-san's dictionary of insults was\just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to. response:	And it won't make much difference whether I'm there or not.
context: just updated for the first time in a while.\Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not. response:	Why not go, then?
context: Anyway, were you okay heading in this direction?\Yes...\I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then? response:	If it won't make a difference, that's easier on you.
context: Yes...\I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you. response:	You wouldn't cause any problems for anyone.
context: I mean, it's the end of the year,\so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone. response:	There are people who ruin the atmosphere just by existing, you know.
context: so I thought your family might be doing something.\Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know. response:	Is that how you introduce yourself?
context: Oh... I'm not going home this year.\I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself? response:	Yep. That's why I've always tried to avoid contact with people.
context: I don't have any particular reason to.\And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people. response:	Well, this is my stop.
context: And it won't make much difference whether I'm there or not.\Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop. response:	Hikigaya-kun.
context: Why not go, then?\If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun. response:	I look forward to this year.
context: If it won't make a difference, that's easier on you.\You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun.\I look forward to this year. response:	Super Lightweight
context: You wouldn't cause any problems for anyone.\There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun.\I look forward to this year.\Super Lightweight response:	Kinda makes me look smart, doesn't it?
context: There are people who ruin the atmosphere just by existing, you know.\Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun.\I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it? response:	Just the idea that glasses equal intelligence makes you pretty stupid.
context: Is that how you introduce yourself?\Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun.\I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid. response:	Oh, shut up, jerk!
context: Yep. That's why I've always tried to avoid contact with people.\Well, this is my stop.\Hikigaya-kun.\I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk! response:	Reduces blue light!
context: Well, this is my stop.\Hikigaya-kun.\I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light! response:	Computing Glasses
context: Hikigaya-kun.\I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light!\Computing Glasses response:	Hey, it's Hikigaya-kun!
context: I look forward to this year.\Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun! response:	Haruno-san... and Hayato-kun!
context: Super Lightweight\Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun! response:	Hey.
context: Kinda makes me look smart, doesn't it?\Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey. response:	Oh, that's right!
context: Just the idea that glasses equal intelligence makes you pretty stupid.\Oh, shut up, jerk!\Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey.\Oh, that's right! response:	Yukino-chan's birthday is coming up. So that's why you're here.
context: Oh, shut up, jerk!\Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here. response:	Seeing you two alone together, though... Still getting along well, I see.
context: Reduces blue light!\Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see. response:	My little sister was with us at first,
context: Computing Glasses\Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first, response:	but she took off somewhere along the way.
context: Hey, it's Hikigaya-kun!\Haruno-san... and Hayato-kun!\Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way. response:	Anyway, it's unusual to see you two together, too.
context: Haruno-san... and Hayato-kun!\Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too. response:	Oh, we're here for a New Year's dinner.
context: Hey.\Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner. response:	Our parents have always been friends.
context: Oh, that's right!\Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends. response:	They just made us come along with them.
context: Yukino-chan's birthday is coming up. So that's why you're here.\Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them. response:	My parents are off saying hello to some other people.
context: Seeing you two alone together, though... Still getting along well, I see.\My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people. response:	We're waiting for them.
context: My little sister was with us at first,\but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them. response:	Ah, I see.
context: but she took off somewhere along the way.\Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see. response:	Oh, right!
context: Anyway, it's unusual to see you two together, too.\Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see.\Oh, right! response:	Hello?
context: Oh, we're here for a New Year's dinner.\Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see.\Oh, right!\Hello? response:	Hi, Yukino-chan! It's your sister!
context: Our parents have always been friends.\They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see.\Oh, right!\Hello?\Hi, Yukino-chan! It's your sister! response:	Can you come out right now?
context: They just made us come along with them.\My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see.\Oh, right!\Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now? response:	I'm hanging up.
context: My parents are off saying hello to some other people.\We're waiting for them.\Ah, I see.\Oh, right!\Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up. response:	Oh? Are you sure?
context: We're waiting for them.\Ah, I see.\Oh, right!\Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up.\Oh? Are you sure? response:	What is it?
context: Ah, I see.\Oh, right!\Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up.\Oh? Are you sure?\What is it? response:	Well, actually...
context: Oh, right!\Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up.\Oh? Are you sure?\What is it?\Well, actually... response:	Here you go!
context: Hello?\Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up.\Oh? Are you sure?\What is it?\Well, actually...\Here you go! response:	Wha Bu
context: Hi, Yukino-chan! It's your sister!\Can you come out right now?\I'm hanging up.\Oh? Are you sure?\What is it?\Well, actually...\Here you go!\Wha Bu response:	Uh, hello.
context: Can you come out right now?\I'm hanging up.\Oh? Are you sure?\What is it?\Well, actually...\Here you go!\Wha Bu\Uh, hello. response:	I can't believe this.
context: I'm hanging up.\Oh? Are you sure?\What is it?\Well, actually...\Here you go!\Wha Bu\Uh, hello.\I can't believe this. response:	What are you doing there?
context: Oh? Are you sure?\What is it?\Well, actually...\Here you go!\Wha Bu\Uh, hello.\I can't believe this.\What are you doing there? response:	Um, well, I'm... you know...
context: What is it?\Well, actually...\Here you go!\Wha Bu\Uh, hello.\I can't believe this.\What are you doing there?\Um, well, I'm... you know... response:	I'll be right there.
context: Well, actually...\Here you go!\Wha Bu\Uh, hello.\I can't believe this.\What are you doing there?\Um, well, I'm... you know...\I'll be right there. response:	Yukinon! Over here!
context: Here you go!\Wha Bu\Uh, hello.\I can't believe this.\What are you doing there?\Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here! response:	Yuigahama-san... You're here, too?
context: Wha Bu\Uh, hello.\I can't believe this.\What are you doing there?\Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too? response:	Uh, yeah, well...
context: Uh, hello.\I can't believe this.\What are you doing there?\Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well... response:	I was shopping with Hikki and we kind of got snagged.
context: I can't believe this.\What are you doing there?\Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged. response:	Took you long enough, Yukino-chan!
context: What are you doing there?\Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan! response:	You've got some nerve, after calling me out here...
context: Um, well, I'm... you know...\I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here... response:	Now, come on... It looks like Yukino-chan hurried over...
context: I'll be right there.\Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over... response:	What would you like to drink, Yukinoshita-san?
context: Yukinon! Over here!\Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san? response:	I'll have black tea.
context: Yuigahama-san... You're here, too?\Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea. response:	It's been ages since we all had tea together, huh?
context: Uh, yeah, well...\I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh? response:	Yeah.
context: I was shopping with Hikki and we kind of got snagged.\Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah. response:	Haruno?
context: Took you long enough, Yukino-chan!\You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah.\Haruno? response:	Oh, are you done talking?
context: You've got some nerve, after calling me out here...\Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah.\Haruno?\Oh, are you done talking? response:	Yes.
context: Now, come on... It looks like Yukino-chan hurried over...\What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah.\Haruno?\Oh, are you done talking?\Yes. response:	Hayato-kun, I'm sorry to make you wait.
context: What would you like to drink, Yukinoshita-san?\I'll have black tea.\It's been ages since we all had tea together, huh?\Yeah.\Haruno?\Oh, are you done talking?\Yes.\Hayato-kun, I'm sorry to make you wait. response:	It's all right. With everyone here, I wasn't bored.
