context: Lottery response:	Nice try!
context: Nonoka, thanks.\Thanks, huh?\Thanks for waiting.\You could have shopped at my place.\Gifts?\Yeah. For Dad.\And for Mom.\You're a good daughter. response:	I don't know.
context: Thanks, huh?\Thanks for waiting.\You could have shopped at my place.\Gifts?\Yeah. For Dad.\And for Mom.\You're a good daughter.\I don't know. response:	Oh, yeah. Can we come over to your place someday?
context: Thanks for waiting.\You could have shopped at my place.\Gifts?\Yeah. For Dad.\And for Mom.\You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday? response:	Sure, any time.
context: You could have shopped at my place.\Gifts?\Yeah. For Dad.\And for Mom.\You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time. response:	The hot springs were so big!
context: Gifts?\Yeah. For Dad.\And for Mom.\You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big! response:	It was pretty normal.
context: Yeah. For Dad.\And for Mom.\You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big!\It was pretty normal. response:	It was so fun!
context: And for Mom.\You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big!\It was pretty normal.\It was so fun! response:	Yeah?
context: You're a good daughter.\I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big!\It was pretty normal.\It was so fun!\Yeah? response:	Because I was with my friend.
context: I don't know.\Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big!\It was pretty normal.\It was so fun!\Yeah?\Because I was with my friend. response:	Your friend?
context: Oh, yeah. Can we come over to your place someday?\Sure, any time.\The hot springs were so big!\It was pretty normal.\It was so fun!\Yeah?\Because I was with my friend.\Your friend? response:	We're friends, right, Shione?
context: Sure, any time.\The hot springs were so big!\It was pretty normal.\It was so fun!\Yeah?\Because I was with my friend.\Your friend?\We're friends, right, Shione? response:	Don't make things up.
context: The hot springs were so big!\It was pretty normal.\It was so fun!\Yeah?\Because I was with my friend.\Your friend?\We're friends, right, Shione?\Don't make things up. response:	I don't intend to make any more friends.
context: It was pretty normal.\It was so fun!\Yeah?\Because I was with my friend.\Your friend?\We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends. response:	Oh, yeah. You like the saucer, don't you?
context: It was so fun!\Yeah?\Because I was with my friend.\Your friend?\We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you? response:	Here.
context: Yeah?\Because I was with my friend.\Your friend?\We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here. response:	I couldn't walk around with this.
context: Because I was with my friend.\Your friend?\We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this. response:	A real nuisance.
context: Your friend?\We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this.\A real nuisance. response:	Soup curry?
context: We're friends, right, Shione?\Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this.\A real nuisance.\Soup curry? response:	I tried making it.
context: Don't make things up.\I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this.\A real nuisance.\Soup curry?\I tried making it. response:	Try it.
context: I don't intend to make any more friends.\Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this.\A real nuisance.\Soup curry?\I tried making it.\Try it. response:	But we should finish the leftovers first.
context: Oh, yeah. You like the saucer, don't you?\Here.\I couldn't walk around with this.\A real nuisance.\Soup curry?\I tried making it.\Try it.\But we should finish the leftovers first. response:	Don't get so angry.
context: Here.\I couldn't walk around with this.\A real nuisance.\Soup curry?\I tried making it.\Try it.\But we should finish the leftovers first.\Don't get so angry. response:	I told you not to let it burn.
context: I couldn't walk around with this.\A real nuisance.\Soup curry?\I tried making it.\Try it.\But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn. response:	My bad.
context: A real nuisance.\Soup curry?\I tried making it.\Try it.\But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn.\My bad. response:	Mom's photo.
context: Soup curry?\I tried making it.\Try it.\But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn.\My bad.\Mom's photo. response:	Yeah.
context: I tried making it.\Try it.\But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn.\My bad.\Mom's photo.\Yeah. response:	I figured she might like it out here more than in my room.
context: Try it.\But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn.\My bad.\Mom's photo.\Yeah.\I figured she might like it out here more than in my room. response:	Hey, Dad.
context: But we should finish the leftovers first.\Don't get so angry.\I told you not to let it burn.\My bad.\Mom's photo.\Yeah.\I figured she might like it out here more than in my room.\Hey, Dad. response:	I want to ask you for a favor.
context: Don't get so angry.\I told you not to let it burn.\My bad.\Mom's photo.\Yeah.\I figured she might like it out here more than in my room.\Hey, Dad.\I want to ask you for a favor. response:	Warm.
context: I told you not to let it burn.\My bad.\Mom's photo.\Yeah.\I figured she might like it out here more than in my room.\Hey, Dad.\I want to ask you for a favor.\Warm. response:	Next episode of Celestial Method : What I Lost.
context: My bad.\Mom's photo.\Yeah.\I figured she might like it out here more than in my room.\Hey, Dad.\I want to ask you for a favor.\Warm.\Next episode of Celestial Method : What I Lost. response:	Enjoy.
context: Mom's photo.\Yeah.\I figured she might like it out here more than in my room.\Hey, Dad.\I want to ask you for a favor.\Warm.\Next episode of Celestial Method : What I Lost.\Enjoy. response:	What I Lost
