context: Cou-sama, are you awake? response:	I am... but it's not time to get up!
context: What is this?\A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport!\It's falling again! response:	If only I could open this door...
context: A Demon God Crystal.\Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport!\It's falling again!\If only I could open this door... response:	Sorry for the wait, guys!
context: Simply put, it's the Demon King's version\of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport!\It's falling again!\If only I could open this door...\Sorry for the wait, guys! response:	Hero Just in Time Sink...
context: of the Hero Crystal.\I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport!\It's falling again!\If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink... response:	Sink... Rebecca...
context: I'm sure you'll be able to use it well.\I'll do my best!\Hero Teleport!\It's falling again!\If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca... response:	Hang on, we're going to
context: I'll do my best!\Hero Teleport!\It's falling again!\If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to response:	push this thing back right now!
context: Hero Teleport!\It's falling again!\If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to\push this thing back right now! response:	What the... this thing is really heavy.
context: It's falling again!\If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy. response:	I'll do it.
context: If only I could open this door...\Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy.\I'll do it. response:	Sink, can I ask you to hold it for just a moment?
context: Sorry for the wait, guys!\Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment? response:	Got it!
context: Hero Just in Time Sink...\Sink... Rebecca...\Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it! response:	Demon God Crystal, activate!
context: Sink... Rebecca...\Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate! response:	Demon King Seal!
context: Hang on, we're going to\push this thing back right now!\What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate!\Demon King Seal! response:	Witch Cannon! Ultra Demon King Mode!
context: push this thing back right now!\What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode! response:	Everybody, get down!
context: What the... this thing is really heavy.\I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down! response:	Go!
context: I'll do it.\Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go! response:	Thanks Sink. I managed somehow.
context: Sink, can I ask you to hold it for just a moment?\Got it!\Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go!\Thanks Sink. I managed somehow. response:	Hero!
context: Got it!\Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go!\Thanks Sink. I managed somehow.\Hero! response:	Sink!
context: Demon God Crystal, activate!\Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go!\Thanks Sink. I managed somehow.\Hero!\Sink! response:	Rebecca!
context: Demon King Seal!\Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go!\Thanks Sink. I managed somehow.\Hero!\Sink!\Rebecca! response:	Cou-sama!
context: Witch Cannon! Ultra Demon King Mode!\Everybody, get down!\Go!\Thanks Sink. I managed somehow.\Hero!\Sink!\Rebecca!\Cou-sama! response:	Rebecca... I'm so happy...
context: Everybody, get down!\Go!\Thanks Sink. I managed somehow.\Hero!\Sink!\Rebecca!\Cou-sama!\Rebecca... I'm so happy... response:	Jeez. I told you that you have
context: Go!\Thanks Sink. I managed somehow.\Hero!\Sink!\Rebecca!\Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have response:	to always take me or the knights
context: Thanks Sink. I managed somehow.\Hero!\Sink!\Rebecca!\Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights response:	when you go somewhere dangerous.
context: Hero!\Sink!\Rebecca!\Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous. response:	I'm so sorry.
context: Sink!\Rebecca!\Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous.\I'm so sorry. response:	But I'm really relieved that you're safe.
context: Rebecca!\Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe. response:	I am a knight...
context: Cou-sama!\Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe.\I am a knight... response:	Noir, shhh.
context: Rebecca... I'm so happy...\Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe.\I am a knight...\Noir, shhh. response:	Now let's get out of here.
context: Jeez. I told you that you have\to always take me or the knights\when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe.\I am a knight...\Noir, shhh.\Now let's get out of here. response:	The Princess's performance is starting soon!
context: to always take me or the knights\when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe.\I am a knight...\Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon! response:	You're right!
context: when you go somewhere dangerous.\I'm so sorry.\But I'm really relieved that you're safe.\I am a knight...\Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon!\You're right! response:	We're on schedule for the show.
context: I'm so sorry.\But I'm really relieved that you're safe.\I am a knight...\Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon!\You're right!\We're on schedule for the show. response:	Five minutes!
context: But I'm really relieved that you're safe.\I am a knight...\Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon!\You're right!\We're on schedule for the show.\Five minutes! response:	Princess!
context: I am a knight...\Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon!\You're right!\We're on schedule for the show.\Five minutes!\Princess! response:	Everybody just now got to their seats!
context: Noir, shhh.\Now let's get out of here.\The Princess's performance is starting soon!\You're right!\We're on schedule for the show.\Five minutes!\Princess!\Everybody just now got to their seats! response:	That's great...
context: Now let's get out of here.\The Princess's performance is starting soon!\You're right!\We're on schedule for the show.\Five minutes!\Princess!\Everybody just now got to their seats!\That's great... response:	Oh, but are they all okay? Is anybody hurt?
context: The Princess's performance is starting soon!\You're right!\We're on schedule for the show.\Five minutes!\Princess!\Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt? response:	All is well.
context: You're right!\We're on schedule for the show.\Five minutes!\Princess!\Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt?\All is well. response:	They're all laughing and smiling.
context: We're on schedule for the show.\Five minutes!\Princess!\Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling. response:	Then I'm relieved.
context: Five minutes!\Princess!\Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling.\Then I'm relieved. response:	I'm going to my seat, as well.
context: Princess!\Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well. response:	Princess, good luck!
context: Everybody just now got to their seats!\That's great...\Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck! response:	Thank you!
context: That's great...\Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck!\Thank you! response:	Princess! Princess!
context: Oh, but are they all okay? Is anybody hurt?\All is well.\They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck!\Thank you!\Princess! Princess! response:	My dreams will come true, I'm sure of it.
context: All is well.\They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck!\Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it. response:	My wishes are overflowing.
context: They're all laughing and smiling.\Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck!\Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing. response:	I will catch them now, in the light.
context: Then I'm relieved.\I'm going to my seat, as well.\Princess, good luck!\Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light. response:	I want to show them, tell them to you, these important feelings!
context: I'm going to my seat, as well.\Princess, good luck!\Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings! response:	These feelings of love tucked away in my heart...
context: Princess, good luck!\Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart... response:	Right now, a summer-colored flower opens in the blue wind.
context: Thank you!\Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind. response:	The chance for love is right here.
context: Princess! Princess!\My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here. response:	My heart waves when I think you may not love me too.
context: My dreams will come true, I'm sure of it.\My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too. response:	But it's okay, I'll just start walking and move forward step by step.
context: My wishes are overflowing.\I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step. response:	My dreams will come true, I'm sure of it.
context: I will catch them now, in the light.\I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it. response:	My wishes are overflowing.
context: I want to show them, tell them to you, these important feelings!\These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing. response:	If you can share smiles, that's the beginning.
context: These feelings of love tucked away in my heart...\Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning. response:	I'm sure your love will blossom.
context: Right now, a summer-colored flower opens in the blue wind.\The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom. response:	I'm so excited that my heart is pounding when we touch.
context: The chance for love is right here.\My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch. response:	My heart sparkles in the light.
context: My heart waves when I think you may not love me too.\But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light. response:	Listen to the season of love,
context: But it's okay, I'll just start walking and move forward step by step.\My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light.\Listen to the season of love, response:	and don't forget to smile.
context: My dreams will come true, I'm sure of it.\My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light.\Listen to the season of love,\and don't forget to smile. response:	The costume for Pastillage's One Day Hero...
context: My wishes are overflowing.\If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light.\Listen to the season of love,\and don't forget to smile.\The costume for Pastillage's One Day Hero... response:	Wait, this is Becky's!
context: If you can share smiles, that's the beginning.\I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light.\Listen to the season of love,\and don't forget to smile.\The costume for Pastillage's One Day Hero...\Wait, this is Becky's! response:	Once again, I'm grateful to everybody.
context: I'm sure your love will blossom.\I'm so excited that my heart is pounding when we touch.\My heart sparkles in the light.\Listen to the season of love,\and don't forget to smile.\The costume for Pastillage's One Day Hero...\Wait, this is Becky's!\Once again, I'm grateful to everybody. response:	This elasticity is quite something.
