context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: you were so docile and submissive.\How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes.\- You also know her? - Yes.\Then this palace maid's real identity is... response:	Bai Feng Jiu of Qing Qiu.
context: How humiliating!\Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes.\- You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu. response:	So you are the young princess of Qing Qiu.
context: Didn't you ruin the opportunity, Lady Cheng Yu?\I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes.\- You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu. response:	Why are you dressed like this in Dijun's palace?
context: I had finally thought of a way to bring Her Highness in front of Dijun.\You know her?\Yes.\- You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace? response:	Repaying a kindness.
context: You know her?\Yes.\- You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness. response:	Repaying him.
context: Yes.\- You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him. response:	Don't say it. Let me guess.
context: - You also know her? - Yes.\Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him.\Don't say it. Let me guess. response:	Is it to repay him for saving your life?
context: Then this palace maid's real identity is...\Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life? response:	How does Your Highness know?
context: Bai Feng Jiu of Qing Qiu.\So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know? response:	From experience.
context: So you are the young princess of Qing Qiu.\Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know?\From experience. response:	Experience?
context: Why are you dressed like this in Dijun's palace?\Repaying a kindness.\Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know?\From experience.\Experience? response:	A few days ago, someone took a liking to a woman.
context: Repaying a kindness.\Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know?\From experience.\Experience?\A few days ago, someone took a liking to a woman. response:	I suggested several methods
context: Repaying him.\Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know?\From experience.\Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods response:	ranging from the hero saving the beauty to using his charms.
context: Don't say it. Let me guess.\Is it to repay him for saving your life?\How does Your Highness know?\From experience.\Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms. response:	In the end, he chose to pretend to be saved and thus repay the kindness.
context: Is it to repay him for saving your life?\How does Your Highness know?\From experience.\Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness. response:	Repaying a debt of gratitude, especially for saving a life
context: How does Your Highness know?\From experience.\Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life response:	always requires some time.
context: From experience.\Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time. response:	Over the course of time, won't affection eventually grow?
context: Experience?\A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow? response:	So it's like that.
context: A few days ago, someone took a liking to a woman.\I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that. response:	Your Highness is brilliant.
context: I suggested several methods\ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant. response:	No! I really did come to repay him. Dijun really did save my life.
context: ranging from the hero saving the beauty to using his charms.\In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life. response:	Your Highness must not be aware.
context: In the end, he chose to pretend to be saved and thus repay the kindness.\Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware. response:	In the hundreds of millennia that Dijun has lived
context: Repaying a debt of gratitude, especially for saving a life\always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived response:	the number of women who use the excuse of repaying him to get close to him
context: always requires some time.\Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him response:	have reached the thousands.
context: Over the course of time, won't affection eventually grow?\So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands. response:	But... I really am here to repay him.
context: So it's like that.\Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him. response:	Dijun really did save my life.
context: Your Highness is brilliant.\No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life. response:	Dijun also has a reputation for not meddling in others' affairs.
context: No! I really did come to repay him. Dijun really did save my life.\Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs. response:	So this debt of saving your life that Your Highness speaks of
context: Your Highness must not be aware.\In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of response:	is very difficult to believe.
context: In the hundreds of millennia that Dijun has lived\the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe. response:	Don't accuse me, Your Highness.
context: the number of women who use the excuse of repaying him to get close to him\have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness. response:	I really am here to repay him.
context: have reached the thousands.\But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him. response:	- They all know. - All right.
context: But... I really am here to repay him.\Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right. response:	- I really- - Enough.
context: Dijun really did save my life.\Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right.\- I really- - Enough. response:	All right.
context: Dijun also has a reputation for not meddling in others' affairs.\So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right.\- I really- - Enough.\All right. response:	Then let me ask you one thing.
context: So this debt of saving your life that Your Highness speaks of\is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right.\- I really- - Enough.\All right.\Then let me ask you one thing. response:	Do you feel that way about Dijun?
context: is very difficult to believe.\Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right.\- I really- - Enough.\All right.\Then let me ask you one thing.\Do you feel that way about Dijun? response:	Si Ming.
context: Don't accuse me, Your Highness.\I really am here to repay him.\- They all know. - All right.\- I really- - Enough.\All right.\Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming. response:	How did you meet the young princess? She is so interesting.
context: I really am here to repay him.\- They all know. - All right.\- I really- - Enough.\All right.\Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting. response:	It'll be difficult for Dijun to explain himself this time.
context: - They all know. - All right.\- I really- - Enough.\All right.\Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time. response:	He clearly had good intentions, but instead, he attracted
context: - I really- - Enough.\All right.\Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted response:	the romance of one who doesn't even understand her own feelings.
context: All right.\Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings. response:	The way Her Highness and I met is a long story.
context: Then let me ask you one thing.\Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story. response:	But for Her Highness to be able to enter Taichen Palace
context: Do you feel that way about Dijun?\Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace response:	was due to help from Cheng Yu.
context: Si Ming.\How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu. response:	She has nothing to do with you. Why did you meddle?
context: How did you meet the young princess? She is so interesting.\It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle? response:	Can't I stand up against injustice?
context: It'll be difficult for Dijun to explain himself this time.\He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice? response:	Is that how the phrase Standing up against injustice is used?
context: He clearly had good intentions, but instead, he attracted\the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used? response:	I just can't bear to see the young girl wholly infatuated.
context: the romance of one who doesn't even understand her own feelings.\The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated. response:	I want to help her. Am I not allowed to?
context: The way Her Highness and I met is a long story.\But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to? response:	You can. As long as you're happy.
context: But for Her Highness to be able to enter Taichen Palace\was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy. response:	Si Ming.
context: was due to help from Cheng Yu.\She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming. response:	Men can't afford to offend the women of their past.
context: She has nothing to do with you. Why did you meddle?\Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past. response:	If they've ever been in love, even if the relationship is over
context: Can't I stand up against injustice?\Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over response:	he'll still have to yield to her his whole life.
context: Is that how the phrase Standing up against injustice is used?\I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life. response:	Otherwise, she'll hold you in contempt.
context: I just can't bear to see the young girl wholly infatuated.\I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt. response:	Yes, I understand the lesson.
context: I want to help her. Am I not allowed to?\You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson. response:	This is the last of the rice.
context: You can. As long as you're happy.\Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice. response:	Ye Hua.
context: Si Ming.\Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice.\Ye Hua. response:	Go ahead.
context: Men can't afford to offend the women of their past.\If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice.\Ye Hua.\Go ahead. response:	I have something to say.
context: If they've ever been in love, even if the relationship is over\he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice.\Ye Hua.\Go ahead.\I have something to say. response:	You see, I have no problem living on this mountain by myself.
context: he'll still have to yield to her his whole life.\Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice.\Ye Hua.\Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself. response:	I can take care of some of the small animals.
context: Otherwise, she'll hold you in contempt.\Yes, I understand the lesson.\This is the last of the rice.\Ye Hua.\Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals. response:	But taking care of a man like you... is difficult.
context: Yes, I understand the lesson.\This is the last of the rice.\Ye Hua.\Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult. response:	I obtained this rice by trading two week's worth of fruit.
context: This is the last of the rice.\Ye Hua.\Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit. response:	It's only been a few days and it is all gone.
context: Ye Hua.\Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone. response:	There is no more food in the house.
context: Go ahead.\I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house. response:	Not having any provisions is an issue.
context: I have something to say.\You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue. response:	It is late autumn.
context: You see, I have no problem living on this mountain by myself.\I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue.\It is late autumn. response:	Getting through the winter will be a problem.
context: I can take care of some of the small animals.\But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem. response:	It's not the issue of passing the winter.
context: But taking care of a man like you... is difficult.\I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter. response:	Then what is it?
context: I obtained this rice by trading two week's worth of fruit.\It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it? response:	Your injuries look fairly healed.
context: It's only been a few days and it is all gone.\There is no more food in the house.\Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed. response:	Isn't it...
context: There is no more food in the house.\Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed.\Isn't it... response:	time to leave?
context: Not having any provisions is an issue.\It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed.\Isn't it...\time to leave? response:	You want me to leave?
context: It is late autumn.\Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed.\Isn't it...\time to leave?\You want me to leave? response:	It's just that although I saved you, I can't afford to take care of you.
context: Getting through the winter will be a problem.\It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed.\Isn't it...\time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you. response:	You saved me.
context: It's not the issue of passing the winter.\Then what is it?\Your injuries look fairly healed.\Isn't it...\time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me. response:	Naturally, I should stay to repay you.
context: Then what is it?\Your injuries look fairly healed.\Isn't it...\time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you. response:	You don't need to repay me.
context: Your injuries look fairly healed.\Isn't it...\time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you.\You don't need to repay me. response:	When I saved you, I wasn't thinking of how you were going to repay me.
context: Isn't it...\time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me. response:	Whether you thought it and whether I'm doing it are two different matters.
context: time to leave?\You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters. response:	I am not an ungrateful person.
context: You want me to leave?\It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person. response:	I must pay this debt of gratitude.
context: It's just that although I saved you, I can't afford to take care of you.\You saved me.\Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude. response:	But I am not lacking.
context: You saved me.\Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking. response:	You can take some time to think about it.
context: Naturally, I should stay to repay you.\You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it. response:	If you really want to repay me, why don't you devote yourself entirely to me?
context: You don't need to repay me.\When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me? response:	It's because I don't lack anything living on this mountain.
context: When I saved you, I wasn't thinking of how you were going to repay me.\Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain. response:	I just don't have anyone to keep me company. It's so lonely.
context: Whether you thought it and whether I'm doing it are two different matters.\I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely. response:	So if you really want to repay me
context: I am not an ungrateful person.\I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me response:	why don't you devote yourself to me and be my companion?
context: I must pay this debt of gratitude.\But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion? response:	Of course, if you don't agree, it would still be reasonable.
context: But I am not lacking.\You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable. response:	After all, I only took you in and didn't do much else.
context: You can take some time to think about it.\If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else. response:	It's not considered much of a favor.
context: If you really want to repay me, why don't you devote yourself entirely to me?\It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor. response:	All right.
context: It's because I don't lack anything living on this mountain.\I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right. response:	All right?
context: I just don't have anyone to keep me company. It's so lonely.\So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right.\All right? response:	I agree.
context: So if you really want to repay me\why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right.\All right?\I agree. response:	To devote myself to you.
context: why don't you devote yourself to me and be my companion?\Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right.\All right?\I agree.\To devote myself to you. response:	I thought you were going to take two or three days to think.
context: Of course, if you don't agree, it would still be reasonable.\After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right.\All right?\I agree.\To devote myself to you.\I thought you were going to take two or three days to think. response:	You agreed so quickly.
context: After all, I only took you in and didn't do much else.\It's not considered much of a favor.\All right.\All right?\I agree.\To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly. response:	Nothing... has been prepared.
context: It's not considered much of a favor.\All right.\All right?\I agree.\To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared. response:	Prepare what?
context: All right.\All right?\I agree.\To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared.\Prepare what? response:	Since you've agreed to devote yourself to me
context: All right?\I agree.\To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me response:	then shouldn't we kneel in front of the Lakes of the Far East
context: I agree.\To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East response:	bow to heaven and earth, and make a pledge
context: To devote myself to you.\I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge response:	to become husband and wife and never abandon each other?
context: I thought you were going to take two or three days to think.\You agreed so quickly.\Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other? response:	Though I don't have parents
context: You agreed so quickly.\Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents response:	if we also leave out this step, would it be improper?
context: Nothing... has been prepared.\Prepare what?\Since you've agreed to devote yourself to me\then shouldn't we kneel in front of the Lakes of the Far East\bow to heaven and earth, and make a pledge\to become husband and wife and never abandon each other?\Though I don't have parents\if we also leave out this step, would it be improper? response:	You want to marry me?
