context: You're late, even though you're the one who called us out. response:	I've received orders from above.
context: I don't want to hear that from a contractor.\Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time. response:	It's kill or be killed!
context: Do you realize what you're saying, Huang?\She's a contractor as well.\I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed! response:	Mao.
context: She's a contractor as well.\I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao. response:	What are we, the dogs of the syndicate?
context: I do have a soft spot, you know.\Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao.\What are we, the dogs of the syndicate? response:	Don't think about doing anything stupid!
context: Hurry up!\Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid! response:	He's not the same as us.
context: Hei, what are you doing? Don't tell me you're going to let him go!\You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us. response:	This isn't about contractors or humans.
context: You're out of your mind!\This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans. response:	How many times have we been saved by him?
context: This isn't the same situation as with the doll from last time.\It's kill or be killed!\Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him? response:	Huang, speak with the syndicate.
context: It's kill or be killed!\Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate. response:	There's no fear about a leak of information, now that she's been freed.
context: Mao.\What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed. response:	There's no need to kill...
context: What are we, the dogs of the syndicate?\Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill... response:	That's not it.
context: Don't think about doing anything stupid!\He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it. response:	This is a penalty.
context: He's not the same as us.\This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it.\This is a penalty. response:	What?
context: This isn't about contractors or humans.\How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it.\This is a penalty.\What? response:	We messed up the first time.
context: How many times have we been saved by him?\Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it.\This is a penalty.\What?\We messed up the first time. response:	The syndicate knew about my relationship with Shihoko.
context: Huang, speak with the syndicate.\There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it.\This is a penalty.\What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko. response:	They issued the order with that in mind.
context: There's no fear about a leak of information, now that she's been freed.\There's no need to kill...\That's not it.\This is a penalty.\What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind. response:	In that case, run away.
context: There's no need to kill...\That's not it.\This is a penalty.\What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away. response:	What?
context: That's not it.\This is a penalty.\What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away.\What? response:	Take her with you.
context: This is a penalty.\What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away.\What?\Take her with you. response:	D-Don't screw around with me!
context: What?\We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away.\What?\Take her with you.\D-Don't screw around with me! response:	There's no way I could run away!
context: We messed up the first time.\The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away.\What?\Take her with you.\D-Don't screw around with me!\There's no way I could run away! response:	The syndicate will go after you guys as well!
context: The syndicate knew about my relationship with Shihoko.\They issued the order with that in mind.\In that case, run away.\What?\Take her with you.\D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well! response:	That's none of your concern.
context: They issued the order with that in mind.\In that case, run away.\What?\Take her with you.\D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern. response:	I-I don't know anything about this. I didn't hear a thing, got it?
context: In that case, run away.\What?\Take her with you.\D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it? response:	There's no way we could escape.
context: What?\Take her with you.\D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape. response:	I'm just a contractor.
context: Take her with you.\D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor. response:	If I regain my emotions as a contractor...
context: D-Don't screw around with me!\There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor... response:	That's too bad. I've had a long history with contractors.
context: There's no way I could run away!\The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors. response:	It's hard to tell the difference between me and them at times.
context: The syndicate will go after you guys as well!\That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times. response:	Let's run away together.
context: That's none of your concern.\I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together. response:	Hei's inside there.
context: I-I don't know anything about this. I didn't hear a thing, got it?\There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there. response:	Wait for me there until the arrangements have been made.
context: There's no way we could escape.\I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made. response:	What's wrong?
context: I'm just a contractor.\If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong? response:	Nothing.
context: If I regain my emotions as a contractor...\That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong?\Nothing. response:	It's a strange feeling.
context: That's too bad. I've had a long history with contractors.\It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong?\Nothing.\It's a strange feeling. response:	I'm supposed to have the mindset of a contractor now,
context: It's hard to tell the difference between me and them at times.\Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong?\Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now, response:	but I feel so... happy.
context: Let's run away together.\Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong?\Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy. response:	Is that possible?
context: Hei's inside there.\Wait for me there until the arrangements have been made.\What's wrong?\Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible? response:	Aren't contractors human as well?
context: Wait for me there until the arrangements have been made.\What's wrong?\Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible?\Aren't contractors human as well? response:	You're right. It's possible.
context: What's wrong?\Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible?\Aren't contractors human as well?\You're right. It's possible. response:	That's all I needed to know.
context: Nothing.\It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible?\Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know. response:	A boat will arrive in thirty minutes at the far end of the pier.
context: It's a strange feeling.\I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible?\Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier. response:	Let's move.
context: I'm supposed to have the mindset of a contractor now,\but I feel so... happy.\Is that possible?\Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move. response:	Kiyopii.
context: but I feel so... happy.\Is that possible?\Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii. response:	I didn't do it! She jumped in front of the truck!
context: Is that possible?\Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck! response:	Shihoko!
context: Aren't contractors human as well?\You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko! response:	Hey, get a hold of yourself!
context: You're right. It's possible.\That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself! response:	Kiyo...
context: That's all I needed to know.\A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself!\Kiyo... response:	Shihoko...
context: A boat will arrive in thirty minutes at the far end of the pier.\Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself!\Kiyo...\Shihoko... response:	She knew that the syndicate had already taken action.
context: Let's move.\Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself!\Kiyo...\Shihoko...\She knew that the syndicate had already taken action. response:	That isn't true, is it, Hei?
context: Kiyopii.\I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself!\Kiyo...\Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei? response:	Contractors don't think about suicide, do they?
context: I didn't do it! She jumped in front of the truck!\Shihoko!\Hey, get a hold of yourself!\Kiyo...\Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they? response:	Hey, Shihoko.
context: Shihoko!\Hey, get a hold of yourself!\Kiyo...\Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko. response:	Don't betray me.
context: Hey, get a hold of yourself!\Kiyo...\Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me. response:	Kuno-san?
context: Kiyo...\Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me.\Kuno-san? response:	Kuno-san?
context: Shihoko...\She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me.\Kuno-san?\Kuno-san? response:	What's gotten into you? You were staring into space.
context: She knew that the syndicate had already taken action.\That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me.\Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space. response:	I was just dreaming.
context: That isn't true, is it, Hei?\Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me.\Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming. response:	Are you drunk?
context: Contractors don't think about suicide, do they?\Hey, Shihoko.\Don't betray me.\Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk? response:	I'd like to be, if it was possible.
context: Hey, Shihoko.\Don't betray me.\Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk?\I'd like to be, if it was possible. response:	A conspiracy dwells deep beneath.
context: Don't betray me.\Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath. response:	A black dragon yearns to wake.
context: Kuno-san?\Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake. response:	No answers are to be found in the allegations,
context: Kuno-san?\What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations, response:	and the road to the terminal lies hidden in darkness.
context: What's gotten into you? You were staring into space.\I was just dreaming.\Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations,\and the road to the terminal lies hidden in darkness. response:	The strings that cross paths are unexpectedly tangled.
context: I was just dreaming.\Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations,\and the road to the terminal lies hidden in darkness.\The strings that cross paths are unexpectedly tangled. response:	Destiny is disturbed and blood spills.
context: Are you drunk?\I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations,\and the road to the terminal lies hidden in darkness.\The strings that cross paths are unexpectedly tangled.\Destiny is disturbed and blood spills. response:	The puppet is controlled, unbeknownst to him,
context: I'd like to be, if it was possible.\A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations,\and the road to the terminal lies hidden in darkness.\The strings that cross paths are unexpectedly tangled.\Destiny is disturbed and blood spills.\The puppet is controlled, unbeknownst to him, response:	Episode Twenty-One City Under Crackdown, Moist with Tears... (Part One)
context: A conspiracy dwells deep beneath.\A black dragon yearns to wake.\No answers are to be found in the allegations,\and the road to the terminal lies hidden in darkness.\The strings that cross paths are unexpectedly tangled.\Destiny is disturbed and blood spills.\The puppet is controlled, unbeknownst to him,\Episode Twenty-One City Under Crackdown, Moist with Tears... (Part One) response:	and the man disappears.
