context: I guess I'm hungry' response:	I'll have to apologize to Kero-chan for eating without him.
context: There's no need to ask.\I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her.\Protect all of them.\That's all you want for your magic?\That's it.\It's a deal then. response:	The two of you aren't so different.
context: I'd protect her, anyway.\I'm asking anyway.\Promise you'll protect her.\Protect all of them.\That's all you want for your magic?\That's it.\It's a deal then.\The two of you aren't so different. response:	My power has returned.
context: I'm asking anyway.\Promise you'll protect her.\Protect all of them.\That's all you want for your magic?\That's it.\It's a deal then.\The two of you aren't so different.\My power has returned. response:	Thanks you for your help.
context: Promise you'll protect her.\Protect all of them.\That's all you want for your magic?\That's it.\It's a deal then.\The two of you aren't so different.\My power has returned.\Thanks you for your help. response:	You heard.
context: Protect all of them.\That's all you want for your magic?\That's it.\It's a deal then.\The two of you aren't so different.\My power has returned.\Thanks you for your help.\You heard. response:	I'm sorry.
context: That's all you want for your magic?\That's it.\It's a deal then.\The two of you aren't so different.\My power has returned.\Thanks you for your help.\You heard.\I'm sorry. response:	Because my power wasn't strong enough'
context: That's it.\It's a deal then.\The two of you aren't so different.\My power has returned.\Thanks you for your help.\You heard.\I'm sorry.\Because my power wasn't strong enough' response:	you were disappearing.
context: It's a deal then.\The two of you aren't so different.\My power has returned.\Thanks you for your help.\You heard.\I'm sorry.\Because my power wasn't strong enough'\you were disappearing. response:	And now Onii-chan will never have his power back.
context: The two of you aren't so different.\My power has returned.\Thanks you for your help.\You heard.\I'm sorry.\Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back. response:	I'm so sorry.
context: My power has returned.\Thanks you for your help.\You heard.\I'm sorry.\Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry. response:	It took almost all of Clow Reed's magic
context: Thanks you for your help.\You heard.\I'm sorry.\Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic response:	to create and maintain the cards
context: You heard.\I'm sorry.\Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards response:	To think that a child
context: I'm sorry.\Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child response:	Like you has managed to do the same'
context: Because my power wasn't strong enough'\you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child\Like you has managed to do the same' response:	But'
context: you were disappearing.\And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child\Like you has managed to do the same'\But' response:	It would hurt him, if anything happened to you.
context: And now Onii-chan will never have his power back.\I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child\Like you has managed to do the same'\But'\It would hurt him, if anything happened to you. response:	I promised him I'd protect you.
context: I'm so sorry.\It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child\Like you has managed to do the same'\But'\It would hurt him, if anything happened to you.\I promised him I'd protect you. response:	So, don't cry.
context: It took almost all of Clow Reed's magic\to create and maintain the cards\To think that a child\Like you has managed to do the same'\But'\It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry. response:	Ok.
context: to create and maintain the cards\To think that a child\Like you has managed to do the same'\But'\It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry.\Ok. response:	I'm sorry Onii-chan.
context: To think that a child\Like you has managed to do the same'\But'\It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry.\Ok.\I'm sorry Onii-chan. response:	If you need anything, I'll help you.
context: Like you has managed to do the same'\But'\It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry.\Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you. response:	I will protect you.
context: But'\It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry.\Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you. response:	Ah! This aura!
context: It would hurt him, if anything happened to you.\I promised him I'd protect you.\So, don't cry.\Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you.\Ah! This aura! response:	It's Clow!
context: I promised him I'd protect you.\So, don't cry.\Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you.\Ah! This aura!\It's Clow! response:	Nobody's here.
context: So, don't cry.\Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you.\Ah! This aura!\It's Clow!\Nobody's here. response:	The aura is has gone too.
context: Ok.\I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you.\Ah! This aura!\It's Clow!\Nobody's here.\The aura is has gone too. response:	Yue's power has returned.
context: I'm sorry Onii-chan.\If you need anything, I'll help you.\I will protect you.\Ah! This aura!\It's Clow!\Nobody's here.\The aura is has gone too.\Yue's power has returned. response:	And, now, Sakura will get even stronger.
context: If you need anything, I'll help you.\I will protect you.\Ah! This aura!\It's Clow!\Nobody's here.\The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger. response:	Things are coming to an end.
context: I will protect you.\Ah! This aura!\It's Clow!\Nobody's here.\The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end. response:	I shall have to hurry.
context: Ah! This aura!\It's Clow!\Nobody's here.\The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry. response:	So that's what happened.
context: It's Clow!\Nobody's here.\The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry.\So that's what happened. response:	And your brother'?
context: Nobody's here.\The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry.\So that's what happened.\And your brother'? response:	He's still asleep.
context: The aura is has gone too.\Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry.\So that's what happened.\And your brother'?\He's still asleep. response:	His classmates said they'd send him home, later.
context: Yue's power has returned.\And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry.\So that's what happened.\And your brother'?\He's still asleep.\His classmates said they'd send him home, later. response:	And, Yukito-san is watching over him.
context: And, now, Sakura will get even stronger.\Things are coming to an end.\I shall have to hurry.\So that's what happened.\And your brother'?\He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him. response:	He'll be okay.
context: Things are coming to an end.\I shall have to hurry.\So that's what happened.\And your brother'?\He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay. response:	Thank you for being there.
context: I shall have to hurry.\So that's what happened.\And your brother'?\He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there. response:	Until tomorrow, okay?
context: So that's what happened.\And your brother'?\He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there.\Until tomorrow, okay? response:	Tomorrow, then.
context: And your brother'?\He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there.\Until tomorrow, okay?\Tomorrow, then. response:	Bye.
context: He's still asleep.\His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there.\Until tomorrow, okay?\Tomorrow, then.\Bye. response:	Onii-chan knew'
context: His classmates said they'd send him home, later.\And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there.\Until tomorrow, okay?\Tomorrow, then.\Bye.\Onii-chan knew' response:	About you' And about Yukito and Yue.
context: And, Yukito-san is watching over him.\He'll be okay.\Thank you for being there.\Until tomorrow, okay?\Tomorrow, then.\Bye.\Onii-chan knew'\About you' And about Yukito and Yue. response:	WHAT??? I see' So, he has no magic, now.
context: He'll be okay.\Thank you for being there.\Until tomorrow, okay?\Tomorrow, then.\Bye.\Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now. response:	Kero-chan, did you know?
context: Thank you for being there.\Until tomorrow, okay?\Tomorrow, then.\Bye.\Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know? response:	Did you know he was disappearing because I wasn't strong enough?
context: Until tomorrow, okay?\Tomorrow, then.\Bye.\Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough? response:	I knew.
context: Tomorrow, then.\Bye.\Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew. response:	Why didn't you tell me?
context: Bye.\Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me? response:	Because there was nothing you could do.
context: Onii-chan knew'\About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me?\Because there was nothing you could do. response:	What'?
context: About you' And about Yukito and Yue.\WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me?\Because there was nothing you could do.\What'? response:	You wouldn't be able to support it.
context: WHAT??? I see' So, he has no magic, now.\Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me?\Because there was nothing you could do.\What'?\You wouldn't be able to support it. response:	All your magic is used in fighting.
context: Kero-chan, did you know?\Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me?\Because there was nothing you could do.\What'?\You wouldn't be able to support it.\All your magic is used in fighting. response:	Any more would completely wear you out.
context: Did you know he was disappearing because I wasn't strong enough?\I knew.\Why didn't you tell me?\Because there was nothing you could do.\What'?\You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out. response:	And, so, there was nothing you could do.
context: I knew.\Why didn't you tell me?\Because there was nothing you could do.\What'?\You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do. response:	I' guess I'm not good enough
context: Why didn't you tell me?\Because there was nothing you could do.\What'?\You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough response:	to protect you, then
context: Because there was nothing you could do.\What'?\You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then response:	That's not what I mean! You're always worrying about us,
context: What'?\You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us, response:	and you are our friend. There's no one better!
context: You wouldn't be able to support it.\All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better! response:	Thank you.
context: All your magic is used in fighting.\Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you. response:	You know, Kero-chan'
context: Any more would completely wear you out.\And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you.\You know, Kero-chan' response:	I was really worried
context: And, so, there was nothing you could do.\I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you.\You know, Kero-chan'\I was really worried response:	when I thought I might lose him.
context: I' guess I'm not good enough\to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you.\You know, Kero-chan'\I was really worried\when I thought I might lose him. response:	It would be very hard to lose
context: to protect you, then\That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you.\You know, Kero-chan'\I was really worried\when I thought I might lose him.\It would be very hard to lose response:	my most important person.
context: That's not what I mean! You're always worrying about us,\and you are our friend. There's no one better!\Thank you.\You know, Kero-chan'\I was really worried\when I thought I might lose him.\It would be very hard to lose\my most important person. response:	Sakura'
context: and you are our friend. There's no one better!\Thank you.\You know, Kero-chan'\I was really worried\when I thought I might lose him.\It would be very hard to lose\my most important person.\Sakura' response:	You know, I don't want to lose him
context: Thank you.\You know, Kero-chan'\I was really worried\when I thought I might lose him.\It would be very hard to lose\my most important person.\Sakura'\You know, I don't want to lose him response:	without letting him know I care.
context: You know, Kero-chan'\I was really worried\when I thought I might lose him.\It would be very hard to lose\my most important person.\Sakura'\You know, I don't want to lose him\without letting him know I care. response:	I'm going to tell him'
context: I was really worried\when I thought I might lose him.\It would be very hard to lose\my most important person.\Sakura'\You know, I don't want to lose him\without letting him know I care.\I'm going to tell him' response:	how I feel.
