context: Central Flognarde is well into fall. response:	There was a short panic that occurred after the Heroes return,
context: Shinku!\What's wrong?\We're leaving.\Shinku!\Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that... response:	It's a drink the forest people make.
context: What's wrong?\We're leaving.\Shinku!\Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make. response:	It's extremely healthy, but people who aren't used to it
context: We're leaving.\Shinku!\Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it response:	end up looking like they're drunk, like this.
context: Shinku!\Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this. response:	They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!
context: Shinku?\What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better! response:	Don't worry.
context: What's wrong?\He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry. response:	I see.
context: He had some of the Forest People's Nectar Water, huh?\Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see. response:	Forest people, don't worry.
context: Is that...\It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see.\Forest people, don't worry. response:	The Hero Shinku will be fine.
context: It's a drink the forest people make.\It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see.\Forest people, don't worry.\The Hero Shinku will be fine. response:	We got here earlier than expected!
context: It's extremely healthy, but people who aren't used to it\end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see.\Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected! response:	Going at top speed was a little rough.
context: end up looking like they're drunk, like this.\They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see.\Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough. response:	Don't worry.
context: They'll pass out or get nosebleeds, but when they wake up they'll feel 100 times better!\Don't worry.\I see.\Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough.\Don't worry. response:	Once we're in the hot springs, all that tiredness will go away.
context: Don't worry.\I see.\Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away. response:	Let's rush in and surprise them!
context: I see.\Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them! response:	Here we are!
context: Forest people, don't worry.\The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are! response:	Excuse us.
context: The Hero Shinku will be fine.\We got here earlier than expected!\Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are!\Excuse us. response:	Couver is here!
context: We got here earlier than expected!\Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are!\Excuse us.\Couver is here! response:	P-Princess...
context: Going at top speed was a little rough.\Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are!\Excuse us.\Couver is here!\P-Princess... response:	Princess...
context: Don't worry.\Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are!\Excuse us.\Couver is here!\P-Princess...\Princess... response:	What did you...
context: Once we're in the hot springs, all that tiredness will go away.\Let's rush in and surprise them!\Here we are!\Excuse us.\Couver is here!\P-Princess...\Princess...\What did you... response:	No.
context: Let's rush in and surprise them!\Here we are!\Excuse us.\Couver is here!\P-Princess...\Princess...\What did you...\No. response:	Eclair, this isn't what you think.
context: Here we are!\Excuse us.\Couver is here!\P-Princess...\Princess...\What did you...\No.\Eclair, this isn't what you think. response:	This looks fun!
context: Excuse us.\Couver is here!\P-Princess...\Princess...\What did you...\No.\Eclair, this isn't what you think.\This looks fun! response:	I'll join in!
context: Couver is here!\P-Princess...\Princess...\What did you...\No.\Eclair, this isn't what you think.\This looks fun!\I'll join in! response:	Rico. Yuki.
context: P-Princess...\Princess...\What did you...\No.\Eclair, this isn't what you think.\This looks fun!\I'll join in!\Rico. Yuki. response:	Explain what happened.
context: Princess...\What did you...\No.\Eclair, this isn't what you think.\This looks fun!\I'll join in!\Rico. Yuki.\Explain what happened. response:	Eclair, calm down.
context: What did you...\No.\Eclair, this isn't what you think.\This looks fun!\I'll join in!\Rico. Yuki.\Explain what happened.\Eclair, calm down. response:	Calm down.
context: No.\Eclair, this isn't what you think.\This looks fun!\I'll join in!\Rico. Yuki.\Explain what happened.\Eclair, calm down.\Calm down. response:	This isn't what you think!
context: Eclair, this isn't what you think.\This looks fun!\I'll join in!\Rico. Yuki.\Explain what happened.\Eclair, calm down.\Calm down.\This isn't what you think! response:	We're taking care of him!
context: This looks fun!\I'll join in!\Rico. Yuki.\Explain what happened.\Eclair, calm down.\Calm down.\This isn't what you think!\We're taking care of him! response:	If we're playing tricks on him, leave it to me!
context: I'll join in!\Rico. Yuki.\Explain what happened.\Eclair, calm down.\Calm down.\This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me! response:	It's not like that!
context: Rico. Yuki.\Explain what happened.\Eclair, calm down.\Calm down.\This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that! response:	Hero, what were you doing to the princess?
context: Explain what happened.\Eclair, calm down.\Calm down.\This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that!\Hero, what were you doing to the princess? response:	It's not like that! It's a misunderstanding!
context: Eclair, calm down.\Calm down.\This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that!\Hero, what were you doing to the princess?\It's not like that! It's a misunderstanding! response:	Let me play, too!
context: Calm down.\This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that!\Hero, what were you doing to the princess?\It's not like that! It's a misunderstanding!\Let me play, too! response:	See you next time!
context: This isn't what you think!\We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that!\Hero, what were you doing to the princess?\It's not like that! It's a misunderstanding!\Let me play, too!\See you next time! response:	The Lion's Arranged Marriage
context: We're taking care of him!\If we're playing tricks on him, leave it to me!\It's not like that!\Hero, what were you doing to the princess?\It's not like that! It's a misunderstanding!\Let me play, too!\See you next time!\The Lion's Arranged Marriage response:	Yup!
