context: 48 Days Until the Prefectural Tournament! response:	Gou-chan, you're still doing those?
context: What? Really?\When did that happen?\What is it, Senpai?\Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch! response:	Now practice hard!
context: When did that happen?\What is it, Senpai?\Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard! response:	Yes!
context: What is it, Senpai?\Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard!\Yes! response:	I wanna swim in a 50 meter pool.
context: Oh, I thought I smelled something.\Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard!\Yes!\I wanna swim in a 50 meter pool. response:	I guess powerhouse schools do get special treatment.
context: Smelled something?\Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard!\Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment. response:	They're clearly in a different class.
context: Smelled like mackerel.\Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard!\Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class. response:	Doesn't matter.
context: Oh, Matsuoka! You've got a sharp nose!\We're having mackerel curry for lunch!\Now practice hard!\Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter. response:	Haru's right.
context: We're having mackerel curry for lunch!\Now practice hard!\Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter.\Haru's right. response:	Our goal for this training camp is to build stamina.
context: Now practice hard!\Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina. response:	Right! We still have our deserted islands!
context: Yes!\I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands! response:	Are you comparing 50 meter pools to deserted islands?
context: I wanna swim in a 50 meter pool.\I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands? response:	Aren't they similar?
context: I guess powerhouse schools do get special treatment.\They're clearly in a different class.\Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar? response:	How are they similar?!
context: They're clearly in a different class.\Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?! response:	Okay, then.
context: Doesn't matter.\Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?!\Okay, then. response:	Let's go check in at the lodge.
context: Haru's right.\Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?!\Okay, then.\Let's go check in at the lodge. response:	Yes.
context: Our goal for this training camp is to build stamina.\Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?!\Okay, then.\Let's go check in at the lodge.\Yes. response:	Lodge?
context: Right! We still have our deserted islands!\Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?!\Okay, then.\Let's go check in at the lodge.\Yes.\Lodge? response:	What do you mean?
context: Are you comparing 50 meter pools to deserted islands?\Aren't they similar?\How are they similar?!\Okay, then.\Let's go check in at the lodge.\Yes.\Lodge?\What do you mean? response:	We booked lodging for ourselves.
context: Aren't they similar?\How are they similar?!\Okay, then.\Let's go check in at the lodge.\Yes.\Lodge?\What do you mean?\We booked lodging for ourselves. response:	Over there!
context: How are they similar?!\Okay, then.\Let's go check in at the lodge.\Yes.\Lodge?\What do you mean?\We booked lodging for ourselves.\Over there! response:	What?!
context: Okay, then.\Let's go check in at the lodge.\Yes.\Lodge?\What do you mean?\We booked lodging for ourselves.\Over there!\What?! response:	You can't expect a couple of girls to sleep outside.
context: Let's go check in at the lodge.\Yes.\Lodge?\What do you mean?\We booked lodging for ourselves.\Over there!\What?!\You can't expect a couple of girls to sleep outside. response:	Right, Gou-chan?
context: Yes.\Lodge?\What do you mean?\We booked lodging for ourselves.\Over there!\What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan? response:	Right?
context: Lodge?\What do you mean?\We booked lodging for ourselves.\Over there!\What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right? response:	Class difference again...
context: What do you mean?\We booked lodging for ourselves.\Over there!\What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right?\Class difference again... response:	We're the bottom 1?
context: We booked lodging for ourselves.\Over there!\What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right?\Class difference again...\We're the bottom 1? response:	This is a lovely place.
context: Over there!\What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right?\Class difference again...\We're the bottom 1?\This is a lovely place. response:	They offer rock bathing nearby.
context: What?!\You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right?\Class difference again...\We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby. response:	And this says they offer a seasonal facial treatment in summer.
context: You can't expect a couple of girls to sleep outside.\Right, Gou-chan?\Right?\Class difference again...\We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer. response:	Samezuka Academy
context: Right, Gou-chan?\Right?\Class difference again...\We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy response:	If we go now, we can get free coupons for extra hyaluronan!
context: Right?\Class difference again...\We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan! response:	If you look at the map, you'll see that
context: Class difference again...\We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that response:	there are a number of smaller islands in the area.
context: We're the bottom 1?\This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area. response:	Deserted islands!
context: This is a lovely place.\They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands! response:	What is it with you and deserted islands?
context: They offer rock bathing nearby.\And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands? response:	We'll be swimming between
context: And this says they offer a seasonal facial treatment in summer.\Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands?\We'll be swimming between response:	Sukishima, Oshima, and Mizushima for our training.
context: Samezuka Academy\If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training. response:	The distance between each island is about one kilometer.
context: If we go now, we can get free coupons for extra hyaluronan!\If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer. response:	Mizushima
context: If you look at the map, you'll see that\there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima response:	Oshima
context: there are a number of smaller islands in the area.\Deserted islands!\What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima\Oshima response:	Sukishima
context: Deserted islands!\What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima\Oshima\Sukishima response:	We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.
context: What is it with you and deserted islands?\We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima\Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit. response:	Our goal is to complete three circuits on the first day.
context: We'll be swimming between\Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima\Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day. response:	That sounds hard.
context: Sukishima, Oshima, and Mizushima for our training.\The distance between each island is about one kilometer.\Mizushima\Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard. response:	Can you handle that, Rei-chan?
context: The distance between each island is about one kilometer.\Mizushima\Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan? response:	Rei's a beginner, so we have a different regimen for him.
context: Mizushima\Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him. response:	No, I'll do what everyone is doing.
context: Oshima\Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing. response:	I studied up on the concepts of long distance swimming.
context: Sukishima\We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming. response:	You may know the concepts perfectly,
context: We're looking at 4 kilometers of swimming and 1 kilometer of running each circuit.\Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly, response:	but the ocean is a dangerous place.
context: Our goal is to complete three circuits on the first day.\That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place. response:	If you want to do the same regimen,
context: That sounds hard.\Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen, response:	you should use a kickboard or inflatables.
context: Can you handle that, Rei-chan?\Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables. response:	Take your pick.
context: Rei's a beginner, so we have a different regimen for him.\No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick. response:	It's not beautiful!
context: No, I'll do what everyone is doing.\I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick.\It's not beautiful! response:	Just go with a kickboard.
context: I studied up on the concepts of long distance swimming.\You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick.\It's not beautiful!\Just go with a kickboard. response:	With that...
context: You may know the concepts perfectly,\but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick.\It's not beautiful!\Just go with a kickboard.\With that... response:	Let's start training!
context: but the ocean is a dangerous place.\If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick.\It's not beautiful!\Just go with a kickboard.\With that...\Let's start training! response:	Ah, hold on!
context: If you want to do the same regimen,\you should use a kickboard or inflatables.\Take your pick.\It's not beautiful!\Just go with a kickboard.\With that...\Let's start training!\Ah, hold on! response:	We're supposed to start at the same time, Nagisa-kun!
context: you should use a kickboard or inflatables.\Take your pick.\It's not beautiful!\Just go with a kickboard.\With that...\Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun! response:	Hurry up!
context: Take your pick.\It's not beautiful!\Just go with a kickboard.\With that...\Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up! response:	Wait for me!
context: It's not beautiful!\Just go with a kickboard.\With that...\Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me! response:	Don't worry.
context: Just go with a kickboard.\With that...\Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me!\Don't worry. response:	I'll be fine.
context: With that...\Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me!\Don't worry.\I'll be fine. response:	Let's get going.
context: Let's start training!\Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me!\Don't worry.\I'll be fine.\Let's get going. response:	Yeah...
context: Ah, hold on!\We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me!\Don't worry.\I'll be fine.\Let's get going.\Yeah... response:	I didn't realize long distance swimming was so taxing.
context: We're supposed to start at the same time, Nagisa-kun!\Hurry up!\Wait for me!\Don't worry.\I'll be fine.\Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing. response:	You did well for a first-timer.
context: Hurry up!\Wait for me!\Don't worry.\I'll be fine.\Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer. response:	Good work.
context: Wait for me!\Don't worry.\I'll be fine.\Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work. response:	It really feels like we're training.
context: Don't worry.\I'll be fine.\Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work.\It really feels like we're training. response:	We'll be a lot stronger when this camp is over!
context: I'll be fine.\Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over! response:	If we win prefecturals
context: Let's get going.\Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals response:	and do well at regionals,
context: Yeah...\I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals, response:	we'll be headed to nationals!
context: I didn't realize long distance swimming was so taxing.\You did well for a first-timer.\Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals,\we'll be headed to nationals! response:	Yep.
context: You did well for a first-timer.\Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals,\we'll be headed to nationals!\Yep. response:	It all sounds like a dream,
context: Good work.\It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals,\we'll be headed to nationals!\Yep.\It all sounds like a dream, response:	but I want to see how far we can go.
context: It really feels like we're training.\We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals,\we'll be headed to nationals!\Yep.\It all sounds like a dream,\but I want to see how far we can go. response:	If we place, we'll get a bigger budget!
context: We'll be a lot stronger when this camp is over!\If we win prefecturals\and do well at regionals,\we'll be headed to nationals!\Yep.\It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget! response:	Then we'll be able to swim indoors during winter!
context: If we win prefecturals\and do well at regionals,\we'll be headed to nationals!\Yep.\It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter! response:	I hope so.
context: and do well at regionals,\we'll be headed to nationals!\Yep.\It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so. response:	You'll get to swim all the time!
context: we'll be headed to nationals!\Yep.\It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time! response:	Good work!
context: Yep.\It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time!\Good work! response:	Thanks.
context: It all sounds like a dream,\but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time!\Good work!\Thanks. response:	Was the training regimen from hell too hard after all?
context: but I want to see how far we can go.\If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time!\Good work!\Thanks.\Was the training regimen from hell too hard after all? response:	You guys only completed half of it.
context: If we place, we'll get a bigger budget!\Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time!\Good work!\Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it. response:	Well, it's only the first day.
context: Then we'll be able to swim indoors during winter!\I hope so.\You'll get to swim all the time!\Good work!\Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day. response:	I-I'll do better tomorrow!
context: I hope so.\You'll get to swim all the time!\Good work!\Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow! response:	You'll do fine, Rei-chan.
context: You'll get to swim all the time!\Good work!\Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan. response:	I'll catch up in no time!
context: Good work!\Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time! response:	That's the spirit.
context: Thanks.\Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit. response:	Hey!
context: Was the training regimen from hell too hard after all?\You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit.\Hey! response:	That's enough performance reviews for now.
context: You guys only completed half of it.\Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit.\Hey!\That's enough performance reviews for now. response:	Let's eat before it gets dark.
context: Well, it's only the first day.\I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit.\Hey!\That's enough performance reviews for now.\Let's eat before it gets dark. response:	I'm starving!
context: I-I'll do better tomorrow!\You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit.\Hey!\That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving! response:	Oh, no.
context: You'll do fine, Rei-chan.\I'll catch up in no time!\That's the spirit.\Hey!\That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving!\Oh, no. response:	I forgot to bring seasoning.
context: I'll catch up in no time!\That's the spirit.\Hey!\That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving!\Oh, no.\I forgot to bring seasoning. response:	What?!
context: That's the spirit.\Hey!\That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving!\Oh, no.\I forgot to bring seasoning.\What?! response:	I'll go borrow some from the lodge.
context: Hey!\That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving!\Oh, no.\I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge. response:	Thank you.
context: That's enough performance reviews for now.\Let's eat before it gets dark.\I'm starving!\Oh, no.\I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge.\Thank you. response:	Sorry!
context: Let's eat before it gets dark.\I'm starving!\Oh, no.\I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge.\Thank you.\Sorry! response:	You're Matsuoka-senpai's...
context: I'm starving!\Oh, no.\I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge.\Thank you.\Sorry!\You're Matsuoka-senpai's... response:	What's wrong?
context: Oh, no.\I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge.\Thank you.\Sorry!\You're Matsuoka-senpai's...\What's wrong? response:	Big brother.
context: I forgot to bring seasoning.\What?!\I'll go borrow some from the lodge.\Thank you.\Sorry!\You're Matsuoka-senpai's...\What's wrong?\Big brother. response:	Gou?
context: What?!\I'll go borrow some from the lodge.\Thank you.\Sorry!\You're Matsuoka-senpai's...\What's wrong?\Big brother.\Gou? response:	Nitori, you head back first.
context: I'll go borrow some from the lodge.\Thank you.\Sorry!\You're Matsuoka-senpai's...\What's wrong?\Big brother.\Gou?\Nitori, you head back first. response:	It's not what you're thinking.
context: Thank you.\Sorry!\You're Matsuoka-senpai's...\What's wrong?\Big brother.\Gou?\Nitori, you head back first.\It's not what you're thinking. response:	It's not?
context: Sorry!\You're Matsuoka-senpai's...\What's wrong?\Big brother.\Gou?\Nitori, you head back first.\It's not what you're thinking.\It's not? response:	Haru and the rest of them are here, right?
context: You're Matsuoka-senpai's...\What's wrong?\Big brother.\Gou?\Nitori, you head back first.\It's not what you're thinking.\It's not?\Haru and the rest of them are here, right? response:	They are.
context: What's wrong?\Big brother.\Gou?\Nitori, you head back first.\It's not what you're thinking.\It's not?\Haru and the rest of them are here, right?\They are. response:	But it's purely coincidence.
context: Big brother.\Gou?\Nitori, you head back first.\It's not what you're thinking.\It's not?\Haru and the rest of them are here, right?\They are.\But it's purely coincidence. response:	We happen to be here for a training camp.
context: Gou?\Nitori, you head back first.\It's not what you're thinking.\It's not?\Haru and the rest of them are here, right?\They are.\But it's purely coincidence.\We happen to be here for a training camp. response:	Training camp?
context: Nitori, you head back first.\It's not what you're thinking.\It's not?\Haru and the rest of them are here, right?\They are.\But it's purely coincidence.\We happen to be here for a training camp.\Training camp? response:	We're using the pool.
context: It's not what you're thinking.\It's not?\Haru and the rest of them are here, right?\They are.\But it's purely coincidence.\We happen to be here for a training camp.\Training camp?\We're using the pool. response:	Where are they swimming?
context: It's not?\Haru and the rest of them are here, right?\They are.\But it's purely coincidence.\We happen to be here for a training camp.\Training camp?\We're using the pool.\Where are they swimming? response:	The ocean.
context: Haru and the rest of them are here, right?\They are.\But it's purely coincidence.\We happen to be here for a training camp.\Training camp?\We're using the pool.\Where are they swimming?\The ocean. response:	Makoto's okay with that?
context: They are.\But it's purely coincidence.\We happen to be here for a training camp.\Training camp?\We're using the pool.\Where are they swimming?\The ocean.\Makoto's okay with that? response:	Huh?
context: But it's purely coincidence.\We happen to be here for a training camp.\Training camp?\We're using the pool.\Where are they swimming?\The ocean.\Makoto's okay with that?\Huh? response:	Forget it. Never mind.
context: We happen to be here for a training camp.\Training camp?\We're using the pool.\Where are they swimming?\The ocean.\Makoto's okay with that?\Huh?\Forget it. Never mind. response:	Are they completing their regimen?
context: Training camp?\We're using the pool.\Where are they swimming?\The ocean.\Makoto's okay with that?\Huh?\Forget it. Never mind.\Are they completing their regimen? response:	Uh-huh...
context: We're using the pool.\Where are they swimming?\The ocean.\Makoto's okay with that?\Huh?\Forget it. Never mind.\Are they completing their regimen?\Uh-huh... response:	Well, they only finished half of it today.
context: Where are they swimming?\The ocean.\Makoto's okay with that?\Huh?\Forget it. Never mind.\Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today. response:	What?
context: The ocean.\Makoto's okay with that?\Huh?\Forget it. Never mind.\Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today.\What? response:	Nothing.
context: Makoto's okay with that?\Huh?\Forget it. Never mind.\Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today.\What?\Nothing. response:	Sounds like you're still worried about them.
context: Huh?\Forget it. Never mind.\Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today.\What?\Nothing.\Sounds like you're still worried about them. response:	I'm not.
context: Forget it. Never mind.\Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today.\What?\Nothing.\Sounds like you're still worried about them.\I'm not. response:	But you promised to meet them at prefecturals?
context: Are they completing their regimen?\Uh-huh...\Well, they only finished half of it today.\What?\Nothing.\Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals? response:	I didn't do it to see them.
context: Uh-huh...\Well, they only finished half of it today.\What?\Nothing.\Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them. response:	I'm going to beat Haru.
context: Well, they only finished half of it today.\What?\Nothing.\Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru. response:	That's all I care about.
context: What?\Nothing.\Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru.\That's all I care about. response:	Gou, where are you staying?
context: Nothing.\Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru.\That's all I care about.\Gou, where are you staying? response:	Oh, the lodge over there.
context: Sounds like you're still worried about them.\I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru.\That's all I care about.\Gou, where are you staying?\Oh, the lodge over there. response:	I'll walk you back.
context: I'm not.\But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru.\That's all I care about.\Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back. response:	What's that smile for?
context: But you promised to meet them at prefecturals?\I didn't do it to see them.\I'm going to beat Haru.\That's all I care about.\Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back.\What's that smile for? response:	No reason.
context: I didn't do it to see them.\I'm going to beat Haru.\That's all I care about.\Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back.\What's that smile for?\No reason. response:	Mackerel and hokke!
context: I'm going to beat Haru.\That's all I care about.\Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back.\What's that smile for?\No reason.\Mackerel and hokke! response:	Mackerel and pineapple!
context: That's all I care about.\Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back.\What's that smile for?\No reason.\Mackerel and hokke!\Mackerel and pineapple! response:	What?
context: Gou, where are you staying?\Oh, the lodge over there.\I'll walk you back.\What's that smile for?\No reason.\Mackerel and hokke!\Mackerel and pineapple!\What? response:	Pineapple's the one topping I'll never put on pizza.
context: Oh, the lodge over there.\I'll walk you back.\What's that smile for?\No reason.\Mackerel and hokke!\Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza. response:	I hate green peas in shumai!
context: I'll walk you back.\What's that smile for?\No reason.\Mackerel and hokke!\Mackerel and pineapple!\What?\Pineapple's the one topping I'll never put on pizza.\I hate green peas in shumai! response:	What's wrong?
