context: Jeez... response:	Damn it, this pisses me off.
context: Can't your Stand heal your wounds?\My Stand can't heal my own wounds.\What if his Stand enters your body and starts tearing things up from the inside?\I'd probably die.\If it invades me, I lose.\You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow... response:	I'll wait patiently for my chance.
context: My Stand can't heal my own wounds.\What if his Stand enters your body and starts tearing things up from the inside?\I'd probably die.\If it invades me, I lose.\You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance. response:	3 Days Later
context: What if his Stand enters your body and starts tearing things up from the inside?\I'd probably die.\If it invades me, I lose.\You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later response:	He's come this close to see what's going on...
context: I'd probably die.\If it invades me, I lose.\You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on... response:	But these past three days, he hasn't made a single move.
context: If it invades me, I lose.\You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move. response:	What's he waiting for?
context: You're gonna try to trap my Stand in a bottle again?\That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for? response:	It's raining...
context: That ain't happening again, Josuke. I know your powers very well now.\Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining... response:	Rain?
context: Tomorrow, or the day after tomorrow...\I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining...\Rain? response:	What the hell?
context: I'll wait patiently for my chance.\3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining...\Rain?\What the hell? response:	I thought something seemed odd about you.
context: 3 Days Later\He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining...\Rain?\What the hell?\I thought something seemed odd about you. response:	So you're a Stand user, too?
context: He's come this close to see what's going on...\But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining...\Rain?\What the hell?\I thought something seemed odd about you.\So you're a Stand user, too? response:	Well, whatever. I've been waiting for this moment.
context: But these past three days, he hasn't made a single move.\What's he waiting for?\It's raining...\Rain?\What the hell?\I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment. response:	This house is now mine!
context: What's he waiting for?\It's raining...\Rain?\What the hell?\I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine! response:	You guys can't leave while it's raining!
context: It's raining...\Rain?\What the hell?\I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining! response:	Josuke!
context: Rain?\What the hell?\I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining!\Josuke! response:	He was just here all of a sudden, boiling the water.
context: What the hell?\I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water. response:	He's twisted the faucet, too.
context: I thought something seemed odd about you.\So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too. response:	Angelo's Stand has entered the house.
context: So you're a Stand user, too?\Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house. response:	He wasn't waiting for you to drink the water.
context: Well, whatever. I've been waiting for this moment.\This house is now mine!\You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water. response:	He was waiting for it to rain!
context: This house is now mine!\You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain! response:	His Stand can move in the rain... No.
context: You guys can't leave while it's raining!\Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No. response:	It can move freely in liquids.
context: Josuke!\He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids. response:	Josuke! Stay away from that kettle!
context: He was just here all of a sudden, boiling the water.\He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle! response:	The steam is him!
context: He's twisted the faucet, too.\Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him! response:	This is just great.
context: Angelo's Stand has entered the house.\He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him!\This is just great. response:	We can't capture him in the bottle.
context: He wasn't waiting for you to drink the water.\He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him!\This is just great.\We can't capture him in the bottle. response:	Stay away from the steam. If you inhale that, you're in trouble.
context: He was waiting for it to rain!\His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him!\This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble. response:	Get out of the kitchen.
context: His Stand can move in the rain... No.\It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him!\This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen. response:	About that... It seems like it won't even do any good to get out of here.
context: It can move freely in liquids.\Josuke! Stay away from that kettle!\The steam is him!\This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here. response:	Angelo has already made several holes in the roof.
context: Josuke! Stay away from that kettle!\The steam is him!\This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof. response:	So it's dangerous to go upstairs, obviously, or outside.
context: The steam is him!\This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside. response:	This is just great...
context: This is just great.\We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great... response:	I never would have thought a power
context: We can't capture him in the bottle.\Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power response:	that uses water could be this terrifying.
context: Stay away from the steam. If you inhale that, you're in trouble.\Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power\that uses water could be this terrifying. response:	He's pretty smart.
context: Get out of the kitchen.\About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power\that uses water could be this terrifying.\He's pretty smart. response:	What's so funny? We're trapped.
context: About that... It seems like it won't even do any good to get out of here.\Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power\that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped. response:	Hey!
context: Angelo has already made several holes in the roof.\So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power\that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped.\Hey! response:	I mean, Jotaro...
context: So it's dangerous to go upstairs, obviously, or outside.\This is just great...\I never would have thought a power\that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped.\Hey!\I mean, Jotaro... response:	The guy who killed my Gramps is this close.
context: This is just great...\I never would have thought a power\that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped.\Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close. response:	This is just great!
context: I never would have thought a power\that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped.\Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great! response:	Now, then. Let's finish this.
context: that uses water could be this terrifying.\He's pretty smart.\What's so funny? We're trapped.\Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this. response:	Now, Josuke...
context: He's pretty smart.\What's so funny? We're trapped.\Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this.\Now, Josuke... response:	How would you
context: What's so funny? We're trapped.\Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this.\Now, Josuke...\How would you response:	slip out of this situation?
context: Hey!\I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this.\Now, Josuke...\How would you\slip out of this situation? response:	Slip out?
context: I mean, Jotaro...\The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this.\Now, Josuke...\How would you\slip out of this situation?\Slip out? response:	I wouldn't quite word it like that.
context: The guy who killed my Gramps is this close.\This is just great!\Now, then. Let's finish this.\Now, Josuke...\How would you\slip out of this situation?\Slip out?\I wouldn't quite word it like that. response:	I would break out!
context: This is just great!\Now, then. Let's finish this.\Now, Josuke...\How would you\slip out of this situation?\Slip out?\I wouldn't quite word it like that.\I would break out! response:	Hurry, this way!
context: Now, then. Let's finish this.\Now, Josuke...\How would you\slip out of this situation?\Slip out?\I wouldn't quite word it like that.\I would break out!\Hurry, this way! response:	The wall's going to go back to normal.
context: Now, Josuke...\How would you\slip out of this situation?\Slip out?\I wouldn't quite word it like that.\I would break out!\Hurry, this way!\The wall's going to go back to normal. response:	Good grief.
context: How would you\slip out of this situation?\Slip out?\I wouldn't quite word it like that.\I would break out!\Hurry, this way!\The wall's going to go back to normal.\Good grief. response:	Well, we've blocked the steam...
context: slip out of this situation?\Slip out?\I wouldn't quite word it like that.\I would break out!\Hurry, this way!\The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam... response:	The humidifier!
context: Slip out?\I wouldn't quite word it like that.\I would break out!\Hurry, this way!\The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam...\The humidifier! response:	Josuke!
context: I wouldn't quite word it like that.\I would break out!\Hurry, this way!\The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam...\The humidifier!\Josuke! response:	I've won! Just as I thought, Josuke!
context: I would break out!\Hurry, this way!\The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam...\The humidifier!\Josuke!\I've won! Just as I thought, Josuke! response:	I knew you'd break through the wall and come into this room!
context: Hurry, this way!\The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam...\The humidifier!\Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room! response:	Shit!
context: The wall's going to go back to normal.\Good grief.\Well, we've blocked the steam...\The humidifier!\Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit! response:	When horse races or test answers end up exactly as I expect,
context: Good grief.\Well, we've blocked the steam...\The humidifier!\Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect, response:	I can't help but feel lucky from the bottom of my heart and laugh.
context: Well, we've blocked the steam...\The humidifier!\Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh. response:	It just bubbles out!
context: The humidifier!\Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out! response:	Josuke!
context: Josuke!\I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke! response:	What Angelo just said is wrong, Jotaro.
context: I've won! Just as I thought, Josuke!\I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro. response:	Josuke?
context: I knew you'd break through the wall and come into this room!\Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro.\Josuke? response:	Even when things end up exactly as I expect, I don't feel like laughing...
context: Shit!\When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing... response:	Not when it comes to Angelo.
context: When horse races or test answers end up exactly as I expect,\I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo. response:	That's...
context: I can't help but feel lucky from the bottom of my heart and laugh.\It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's... response:	Got it. Sorry, it's a bit gross.
context: It just bubbles out!\Josuke!\What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross. response:	I shredded up a rubber glove and swallowed it beforehand.
context: Josuke!\What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand. response:	I see. It appears the user's body is over there.
context: What Angelo just said is wrong, Jotaro.\Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there. response:	Sh-Shit!
context: Josuke?\Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit! response:	So you're...
context: Even when things end up exactly as I expect, I don't feel like laughing...\Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit!\So you're... response:	Damn it!
context: Not when it comes to Angelo.\That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit!\So you're...\Damn it! response:	Y-You guys aren't going to kill me, are you?!
context: That's...\Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit!\So you're...\Damn it!\Y-You guys aren't going to kill me, are you?! response:	Sure, I'm an escaped death row inmate.
context: Got it. Sorry, it's a bit gross.\I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit!\So you're...\Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate. response:	But just because I was found guilty by Japanese law
context: I shredded up a rubber glove and swallowed it beforehand.\I see. It appears the user's body is over there.\Sh-Shit!\So you're...\Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law response:	doesn't mean you guys have the right to judge me!
context: I see. It appears the user's body is over there.\Sh-Shit!\So you're...\Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me! response:	Josuke! I killed your grandpa, but you have no right to kill me!
context: Sh-Shit!\So you're...\Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me! response:	If you kill me, you'll end up a cursed soul, just like me!
context: So you're...\Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me! response:	Don't go telling people what they can and can't do.
context: Damn it!\Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do. response:	M-M-My right hand! My hand!
context: Y-You guys aren't going to kill me, are you?!\Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand! response:	No one's going to execute you.
context: Sure, I'm an escaped death row inmate.\But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you. response:	Not me, and not Jotaro, either.
context: But just because I was found guilty by Japanese law\doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either. response:	You're not going to be executed,
context: doesn't mean you guys have the right to judge me!\Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed, response:	and you're not going back to jail.
context: Josuke! I killed your grandpa, but you have no right to kill me!\If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail. response:	Josuke, I'll leave the rest to you.
context: If you kill me, you'll end up a cursed soul, just like me!\Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you. response:	Wh-What do you plan to do with me, you bastards?!
context: Don't go telling people what they can and can't do.\M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?! response:	Repent for eternity, Angelo!
context: M-M-My right hand! My hand!\No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo! response:	For all of those you killed, including my Gramps!
context: No one's going to execute you.\Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps! response:	You're gonna live forever in the city my Gramps protected.
context: Not me, and not Jotaro, either.\You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected. response:	The Angelo Stone.
context: You're not going to be executed,\and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone. response:	Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3
context: and you're not going back to jail.\Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3 response:	The Angelo Stone is known as a landmark,
context: Josuke, I'll leave the rest to you.\Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark, response:	and a place where lovers meet.
context: Wh-What do you plan to do with me, you bastards?!\Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet. response:	It's admired by the people of the city,
context: Repent for eternity, Angelo!\For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet.\It's admired by the people of the city, response:	despite its creepy appearance.
context: For all of those you killed, including my Gramps!\You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet.\It's admired by the people of the city,\despite its creepy appearance. response:	He really is pretty crazy.
context: You're gonna live forever in the city my Gramps protected.\The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet.\It's admired by the people of the city,\despite its creepy appearance.\He really is pretty crazy. response:	Good grief...
context: The Angelo Stone.\Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet.\It's admired by the people of the city,\despite its creepy appearance.\He really is pretty crazy.\Good grief... response:	Episode 3 The Nijimura Brothers, Part 1
context: Morioh City Landmark 1 The Angelo Stone Directions One minute's walk from Morioh City Johzenji Street Bus Stop 3\The Angelo Stone is known as a landmark,\and a place where lovers meet.\It's admired by the people of the city,\despite its creepy appearance.\He really is pretty crazy.\Good grief...\Episode 3 The Nijimura Brothers, Part 1 response:	Episode 3 The Niji mura Brothers, Part 1
