context: And you... response:	When I felt the strongest for you, you knocked me down.
context: You have heard of her before?\When I first met A-Li, he told me.\My lady left after she gave birth to the young prince.\The young prince was raised by me.\Mother!\You're here.\Nai Nai, what's wrong?\It's nothing. response:	My hand slipped. Please forgive me.
context: When I first met A-Li, he told me.\My lady left after she gave birth to the young prince.\The young prince was raised by me.\Mother!\You're here.\Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me. response:	Riceball's mother has already passed away
context: My lady left after she gave birth to the young prince.\The young prince was raised by me.\Mother!\You're here.\Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away response:	and cannot enjoy the joys of having a child.
context: The young prince was raised by me.\Mother!\You're here.\Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child. response:	Yet, I have gained that pleasure as the stepmother.
context: Mother!\You're here.\Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother. response:	This maid must find it hard to watch.
context: You're here.\Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch. response:	What a faithful and devoted maid.
context: Nai Nai, what's wrong?\It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid. response:	Mother, I want a hug.
context: It's nothing.\My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug. response:	I am not feeling too well.
context: My hand slipped. Please forgive me.\Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well. response:	Have your father hug you.
context: Riceball's mother has already passed away\and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well.\Have your father hug you. response:	I know. You're going to have another baby, aren't you?
context: and cannot enjoy the joys of having a child.\Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you? response:	That's what's written in the books.
context: Yet, I have gained that pleasure as the stepmother.\This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books. response:	It said a madam was with child
context: This maid must find it hard to watch.\What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child response:	and her family wouldn't allow her to hold a child from another family
context: What a faithful and devoted maid.\Mother, I want a hug.\I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family response:	because they were afraid she would...
context: Mother, I want a hug.\I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would... response:	Yes, disturb the fetus.
context: I am not feeling too well.\Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus. response:	You are only as tall as garlic sprouts.
context: Have your father hug you.\I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts. response:	How come you know about disturbing a fetus?
context: I know. You're going to have another baby, aren't you?\That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus? response:	A-Li.
context: That's what's written in the books.\It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li. response:	Who gave you that book?
context: It said a madam was with child\and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li.\Who gave you that book? response:	It was Cheng Yu who lent it to me.
context: and her family wouldn't allow her to hold a child from another family\because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me. response:	Cheng Yu again.
context: because they were afraid she would...\Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again. response:	This Cheng Yu sure is an interesting person.
context: Yes, disturb the fetus.\You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person. response:	Even if you were pregnant, why would you be blushing?
context: You are only as tall as garlic sprouts.\How come you know about disturbing a fetus?\A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing? response:	I'm delighted.
context: How come you know about disturbing a fetus?\A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted. response:	If Mother has a baby
context: A-Li.\Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby response:	then I won't be the youngest in Heaven anymore.
context: Who gave you that book?\It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore. response:	Qian Qian, why don't we have one as soon as we are married?
context: It was Cheng Yu who lent it to me.\Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married? response:	If you are the one to give birth to the baby
context: Cheng Yu again.\This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby response:	I would be very happy to help.
context: This Cheng Yu sure is an interesting person.\Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help. response:	Since A-Li is here, why don't we all go to the Realm of Supreme Purity?
context: Even if you were pregnant, why would you be blushing?\I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity? response:	Let's go.
context: I'm delighted.\If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go. response:	Greetings, Crown Prince.
context: If Mother has a baby\then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince. response:	Ye Hua, if I were to come here as your wife
context: then I won't be the youngest in Heaven anymore.\Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife response:	how many maids would lead the way for me?
context: Qian Qian, why don't we have one as soon as we are married?\If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me? response:	10. Why?
context: If you are the one to give birth to the baby\I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why? response:	I feel as if my rank would actually be decreasing.
context: I would be very happy to help.\Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing. response:	This isn't a good deal for me.
context: Since A-Li is here, why don't we all go to the Realm of Supreme Purity?\Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me. response:	When we accede to Heavenly Lord and Heavenly Empress
context: Let's go.\Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress response:	there will be 24 maids to lead the way for you
context: Greetings, Crown Prince.\Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you response:	as well as 4 dexterous ones to rub your back.
context: Ye Hua, if I were to come here as your wife\how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back. response:	That sounds nice.
context: how many maids would lead the way for me?\10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice. response:	Greetings, Crown Prince.
context: 10. Why?\I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince. response:	There's wine here?
context: I feel as if my rank would actually be decreasing.\This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince.\There's wine here? response:	These are fruit wines.
context: This isn't a good deal for me.\When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince.\There's wine here?\These are fruit wines. response:	If A-Li wants some, you can give him a little
context: When we accede to Heavenly Lord and Heavenly Empress\there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince.\There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little response:	but he must not drink too much.
context: there will be 24 maids to lead the way for you\as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince.\There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much. response:	You can also let him eat some seasonal fruit
context: as well as 4 dexterous ones to rub your back.\That sounds nice.\Greetings, Crown Prince.\There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit response:	but limit him to only half of each fruit.
context: That sounds nice.\Greetings, Crown Prince.\There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit. response:	It's really not easy for you to be his mother and father.
context: Greetings, Crown Prince.\There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father. response:	It's been so many years. I'm used to it now.
context: There's wine here?\These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now. response:	The peach blossoms on your fan look very nice
context: These are fruit wines.\If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice response:	but you're missing an appropriate poem.
context: If A-Li wants some, you can give him a little\but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem. response:	Why don't you take a soak and I'll add a poem for you?
context: but he must not drink too much.\You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you? response:	You can come to the study to find me.
context: You can also let him eat some seasonal fruit\but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me. response:	All right.
context: but limit him to only half of each fruit.\It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right. response:	Mother, how come Father left? Isn't he having a soak with us?
context: It's really not easy for you to be his mother and father.\It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us? response:	The Heavens have assigned an important task to your father.
context: It's been so many years. I'm used to it now.\The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father. response:	He's gone to do his duty.
context: The peach blossoms on your fan look very nice\but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty. response:	You liked peach blossoms as a mortal.
context: but you're missing an appropriate poem.\Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal. response:	Who knew that as a high goddess, you would still have the same taste?
context: Why don't you take a soak and I'll add a poem for you?\You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste? response:	Qian Qian, whether I am lying to myself
context: You can come to the study to find me.\All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself response:	or you're just an expert at concealing things
context: All right.\Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things response:	the affection between us may not be as deep as what you had with Mo Yuan...
context: Mother, how come Father left? Isn't he having a soak with us?\The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan... response:	but you are the only woman I have ever loved in my life.
context: The Heavens have assigned an important task to your father.\He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life. response:	I am willing to wait for you.
context: He's gone to do his duty.\You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you. response:	I will wait for you to forget Mo Yuan and truly fall in love with me.
context: You liked peach blossoms as a mortal.\Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me. response:	Sister, were you looking for me?
context: Who knew that as a high goddess, you would still have the same taste?\Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me? response:	His Highness finally returned to Zichen Hall today.
context: Qian Qian, whether I am lying to myself\or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today. response:	If you don't seize this chance
context: or you're just an expert at concealing things\the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance response:	you can't blame me for not helping you.
context: the affection between us may not be as deep as what you had with Mo Yuan...\but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you. response:	I don't really understand what you mean.
context: but you are the only woman I have ever loved in my life.\I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean. response:	This is a restorative tonic.
context: I am willing to wait for you.\I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic. response:	His Highness has finally returned to Xiwu Palace.
context: I will wait for you to forget Mo Yuan and truly fall in love with me.\Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace. response:	Be more accommodating and attend to His Highness's needs tonight.
context: Sister, were you looking for me?\His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight. response:	If His Highness is upset...
context: His Highness finally returned to Zichen Hall today.\If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset... response:	You don't understand this man.
context: If you don't seize this chance\you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man. response:	If he has intimate relations with you, he will bear the responsibility.
context: you can't blame me for not helping you.\I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility. response:	You also don't have to be afraid that he will be angry.
context: I don't really understand what you mean.\This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry. response:	First, you are A-Li's savior. He won't take your life.
context: This is a restorative tonic.\His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life. response:	Second, you have me. I will protect you.
context: His Highness has finally returned to Xiwu Palace.\Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you. response:	After all, I am the only one you can rely on in Xiwu Palace.
context: Be more accommodating and attend to His Highness's needs tonight.\If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace. response:	And other than you, I don't have any sisters.
context: If His Highness is upset...\You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters. response:	Thank you, Sister.
context: You don't understand this man.\If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister. response:	Please enjoy, High Goddess.
context: If he has intimate relations with you, he will bear the responsibility.\You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess. response:	The last one was plum wine. What is this one?
context: You also don't have to be afraid that he will be angry.\First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one? response:	High Goddess, this is loquat wine.
context: First, you are A-Li's savior. He won't take your life.\Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine. response:	Loquat?
context: Second, you have me. I will protect you.\After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat? response:	I loved eating loquats with A-Li in Qing Qiu.
context: After all, I am the only one you can rely on in Xiwu Palace.\And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu. response:	Yes, my mother loved to feed me loquats.
context: And other than you, I don't have any sisters.\Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats. response:	He's drunk?
context: Thank you, Sister.\Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk? response:	His body is so hot. He doesn't seem to be faking it.
context: Please enjoy, High Goddess.\The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it. response:	He has such a low tolerance.
context: The last one was plum wine. What is this one?\High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance. response:	This is the first time His Highness has drunk so much wine.
context: High Goddess, this is loquat wine.\Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine. response:	He is so drunk. I think I should take him to the Medicine King's manor for a look.
context: Loquat?\I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look. response:	There's no need. I've been drinking for dozens of millennia.
context: I loved eating loquats with A-Li in Qing Qiu.\Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia. response:	I'm almost an expert.
context: Yes, my mother loved to feed me loquats.\He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert. response:	The wine A-Li just drank was fermented from divine fruit.
context: He's drunk?\His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit. response:	It is not intoxicating, no matter how much one drinks.
context: His body is so hot. He doesn't seem to be faking it.\He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks. response:	But I'm still worried about any mishaps.
context: He has such a low tolerance.\This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps. response:	He is boy. He doesn't need to be so pampered and spoiled.
context: This is the first time His Highness has drunk so much wine.\He is so drunk. I think I should take him to the Medicine King's manor for a look.\There's no need. I've been drinking for dozens of millennia.\I'm almost an expert.\The wine A-Li just drank was fermented from divine fruit.\It is not intoxicating, no matter how much one drinks.\But I'm still worried about any mishaps.\He is boy. He doesn't need to be so pampered and spoiled. response:	Listen to me. Take him back and let him sleep.
