context: Nothing response:	in this world is strange...
context: Moreover, you're just a petty little human!\To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like, response:	The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!
context: To not understand = To fear\What is this courage?\Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be! response:	Insanity will be born anew with all kinds of reasons!
context: What is this courage?\Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons! response:	It's useless, I tell you!
context: Kishin Asura, prepare yourself!\Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you! response:	Such useless things...
context: Don't come near me!\What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things... response:	Who gives a damn?!
context: What will happen, even if you do that?!\Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things...\Who gives a damn?! response:	That didn't even hurt one bit!
context: Even if you defeat me, insanity will not disappear!\Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things...\Who gives a damn?!\That didn't even hurt one bit! response:	I'd already anticipated this much, you idiot!
context: Even if you defeat me, there'll be those like me, just with different names like,\The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things...\Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot! response:	How can it be possible for me to lose to such a weak pwunie wittle human like yo-
context: The Second, or Junior, or Number Two, or The Genuine, or The New, or whatever more there is gonna be!\Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things...\Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo- response:	What?
context: Insanity will be born anew with all kinds of reasons!\It's useless, I tell you!\Such useless things...\Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What? response:	What the hell?!
context: It's useless, I tell you!\Such useless things...\Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?! response:	Even if you wrapped your courage around your fist, it was still just an ordinary punch!
context: Such useless things...\Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch! response:	You're right.
context: Who gives a damn?!\That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right. response:	That wasn't anything special.
context: That didn't even hurt one bit!\I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special. response:	That's why,
context: I'd already anticipated this much, you idiot!\How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special.\That's why, response:	everyone has it in them.
context: How can it be possible for me to lose to such a weak pwunie wittle human like yo-\What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special.\That's why,\everyone has it in them. response:	So that's how it is...
context: What?\What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special.\That's why,\everyone has it in them.\So that's how it is... response:	It's the same as insanity then.
context: What the hell?!\Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special.\That's why,\everyone has it in them.\So that's how it is...\It's the same as insanity then. response:	The barrier is failing.
context: Even if you wrapped your courage around your fist, it was still just an ordinary punch!\You're right.\That wasn't anything special.\That's why,\everyone has it in them.\So that's how it is...\It's the same as insanity then.\The barrier is failing. response:	They finished the job?
context: You're right.\That wasn't anything special.\That's why,\everyone has it in them.\So that's how it is...\It's the same as insanity then.\The barrier is failing.\They finished the job? response:	Fool!
context: That wasn't anything special.\That's why,\everyone has it in them.\So that's how it is...\It's the same as insanity then.\The barrier is failing.\They finished the job?\Fool! response:	Can't you calm yourself?
context: That's why,\everyone has it in them.\So that's how it is...\It's the same as insanity then.\The barrier is failing.\They finished the job?\Fool!\Can't you calm yourself? response:	Maka!
context: everyone has it in them.\So that's how it is...\It's the same as insanity then.\The barrier is failing.\They finished the job?\Fool!\Can't you calm yourself?\Maka! response:	It's alright.
context: So that's how it is...\It's the same as insanity then.\The barrier is failing.\They finished the job?\Fool!\Can't you calm yourself?\Maka!\It's alright. response:	She's not that weak.
context: It's the same as insanity then.\The barrier is failing.\They finished the job?\Fool!\Can't you calm yourself?\Maka!\It's alright.\She's not that weak. response:	Somehow, it seems like it has really ended.
context: The barrier is failing.\They finished the job?\Fool!\Can't you calm yourself?\Maka!\It's alright.\She's not that weak.\Somehow, it seems like it has really ended. response:	Defeating the Kishin all by yourself...
context: They finished the job?\Fool!\Can't you calm yourself?\Maka!\It's alright.\She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself... response:	You're really amazing.
context: Fool!\Can't you calm yourself?\Maka!\It's alright.\She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing. response:	The sky is clearing up!
context: Can't you calm yourself?\Maka!\It's alright.\She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up! response:	Then it's goodbye to the damp, cold weather!
context: Maka!\It's alright.\She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather! response:	Yahoo!
context: It's alright.\She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo! response:	The sky is so blue!
context: She's not that weak.\Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue! response:	Hurray!
context: Somehow, it seems like it has really ended.\Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue!\Hurray! response:	Are you okay, Soul?
context: Defeating the Kishin all by yourself...\You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue!\Hurray!\Are you okay, Soul? response:	I guess this is the end, huh?
context: You're really amazing.\The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue!\Hurray!\Are you okay, Soul?\I guess this is the end, huh? response:	Too bad there's still a lot of problems for us to deal with.
context: The sky is clearing up!\Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue!\Hurray!\Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with. response:	The return journey of Death City and Shibusen's repairs.
context: Then it's goodbye to the damp, cold weather!\Yahoo!\The sky is so blue!\Hurray!\Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs. response:	Well, at least now that the Kishin's gone, we no longer need to worry about him.
context: Yahoo!\The sky is so blue!\Hurray!\Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him. response:	It's still too early to feel relieved.
context: The sky is so blue!\Hurray!\Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved. response:	As long as humans continue to live in this world, those negative emotions will never disappear.
context: Hurray!\Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear. response:	This time, because of Maka, we made it through somehow.
context: Are you okay, Soul?\I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow. response:	If another Kishin were to emerge...
context: I guess this is the end, huh?\Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge... response:	Don't worry.
context: Too bad there's still a lot of problems for us to deal with.\The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge...\Don't worry. response:	Huh?
context: The return journey of Death City and Shibusen's repairs.\Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge...\Don't worry.\Huh? response:	When that time comes, we'll still be here, right?
context: Well, at least now that the Kishin's gone, we no longer need to worry about him.\It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge...\Don't worry.\Huh?\When that time comes, we'll still be here, right? response:	Besides, negative emotions aren't the only thing inside a human's heart.
context: It's still too early to feel relieved.\As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge...\Don't worry.\Huh?\When that time comes, we'll still be here, right?\Besides, negative emotions aren't the only thing inside a human's heart. response:	Shaja'at.
context: As long as humans continue to live in this world, those negative emotions will never disappear.\This time, because of Maka, we made it through somehow.\If another Kishin were to emerge...\Don't worry.\Huh?\When that time comes, we'll still be here, right?\Besides, negative emotions aren't the only thing inside a human's heart.\Shaja'at. response:	Courage resides in everyone's heart!
