context: The World She Saw response:	The Battle of Trost ( 2 )
context: It's all right now.\Don't worry.\You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found... response:	There were three.
context: Don't worry.\You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three. response:	Didjya do this?
context: You're Mikasa, right?\I'm Eren,\Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three.\Didjya do this? response:	Did you do this?!
context: I'm Eren,\Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three.\Didjya do this?\Did you do this?! response:	You?!
context: Dr. Jaeger's son.\I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three.\Didjya do this?\Did you do this?!\You?! response:	I'll kill ya!
context: I think you've met my father before.\He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three.\Didjya do this?\Did you do this?!\You?!\I'll kill ya! response:	Yer fuckin' dead!
context: He was visiting your place for a checkup, so I came with him.\That's when we found...\There were three.\Didjya do this?\Did you do this?!\You?!\I'll kill ya!\Yer fuckin' dead! response:	Fight!
context: That's when we found...\There were three.\Didjya do this?\Did you do this?!\You?!\I'll kill ya!\Yer fuckin' dead!\Fight! response:	You gotta fight!
context: There were three.\Didjya do this?\Did you do this?!\You?!\I'll kill ya!\Yer fuckin' dead!\Fight!\You gotta fight! response:	Lose, and you die.
context: Didjya do this?\Did you do this?!\You?!\I'll kill ya!\Yer fuckin' dead!\Fight!\You gotta fight!\Lose, and you die. response:	Win, and you survive.
context: Did you do this?!\You?!\I'll kill ya!\Yer fuckin' dead!\Fight!\You gotta fight!\Lose, and you die.\Win, and you survive. response:	What the fuck are you thinkin', you little shit?!
context: You?!\I'll kill ya!\Yer fuckin' dead!\Fight!\You gotta fight!\Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?! response:	If you don't fight...
context: I'll kill ya!\Yer fuckin' dead!\Fight!\You gotta fight!\Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight... response:	you can't win!
context: Yer fuckin' dead!\Fight!\You gotta fight!\Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win! response:	I can't do it!
context: Fight!\You gotta fight!\Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win!\I can't do it! response:	That's when I remembered.
context: You gotta fight!\Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win!\I can't do it!\That's when I remembered. response:	I've seen this scene play out
context: Lose, and you die.\Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win!\I can't do it!\That's when I remembered.\I've seen this scene play out response:	many, many,
context: Win, and you survive.\What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win!\I can't do it!\That's when I remembered.\I've seen this scene play out\many, many, response:	many, many,
context: What the fuck are you thinkin', you little shit?!\If you don't fight...\you can't win!\I can't do it!\That's when I remembered.\I've seen this scene play out\many, many,\many, many, response:	many times before.
context: If you don't fight...\you can't win!\I can't do it!\That's when I remembered.\I've seen this scene play out\many, many,\many, many,\many times before. response:	It was always right in front of me.
context: you can't win!\I can't do it!\That's when I remembered.\I've seen this scene play out\many, many,\many, many,\many times before.\It was always right in front of me. response:	But...
context: I can't do it!\That's when I remembered.\I've seen this scene play out\many, many,\many, many,\many times before.\It was always right in front of me.\But... response:	I pretended not to see it.
context: That's when I remembered.\I've seen this scene play out\many, many,\many, many,\many times before.\It was always right in front of me.\But...\I pretended not to see it. response:	That's right.
context: I've seen this scene play out\many, many,\many, many,\many times before.\It was always right in front of me.\But...\I pretended not to see it.\That's right. response:	This world...
context: many, many,\many, many,\many times before.\It was always right in front of me.\But...\I pretended not to see it.\That's right.\This world... response:	is crammed with cruelty.
context: many, many,\many times before.\It was always right in front of me.\But...\I pretended not to see it.\That's right.\This world...\is crammed with cruelty. response:	And with that realization, my trembling ceased.
context: many times before.\It was always right in front of me.\But...\I pretended not to see it.\That's right.\This world...\is crammed with cruelty.\And with that realization, my trembling ceased. response:	I've had perfect control over myself ever since.
context: It was always right in front of me.\But...\I pretended not to see it.\That's right.\This world...\is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since. response:	I thought I could do anything.
context: But...\I pretended not to see it.\That's right.\This world...\is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything. response:	Fight.
context: I pretended not to see it.\That's right.\This world...\is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything.\Fight. response:	Fight.
context: That's right.\This world...\is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything.\Fight.\Fight. response:	Fight!
context: This world...\is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything.\Fight.\Fight.\Fight! response:	One stab wound from the back and through the heart.
context: is crammed with cruelty.\And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything.\Fight.\Fight.\Fight!\One stab wound from the back and through the heart. response:	Those kids did this?
context: And with that realization, my trembling ceased.\I've had perfect control over myself ever since.\I thought I could do anything.\Fight.\Fight.\Fight!\One stab wound from the back and through the heart.\Those kids did this? response:	Eren.
context: I've had perfect control over myself ever since.\I thought I could do anything.\Fight.\Fight.\Fight!\One stab wound from the back and through the heart.\Those kids did this?\Eren. response:	I told you to wait for me at the base of the mountain, didn't I?
context: I thought I could do anything.\Fight.\Fight.\Fight!\One stab wound from the back and through the heart.\Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I? response:	Do you have any idea what you've done?!
context: Fight.\Fight.\Fight!\One stab wound from the back and through the heart.\Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?! response:	I put down some dangerous beasts.
context: Fight.\Fight!\One stab wound from the back and through the heart.\Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts. response:	They were just animals in human clothing!
context: Fight!\One stab wound from the back and through the heart.\Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing! response:	Eren!
context: One stab wound from the back and through the heart.\Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing!\Eren! response:	Look how long the Gendarmerie took to arrive.
context: Those kids did this?\Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive. response:	They'd've gotten away ages ago!
context: Eren.\I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago! response:	You wouldn't've made it in time!
context: I told you to wait for me at the base of the mountain, didn't I?\Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time! response:	Even if that were true,
context: Do you have any idea what you've done?!\I put down some dangerous beasts.\They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true, response:	you were just lucky, Eren!
context: I put down some dangerous beasts.\They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren! response:	I'm criticizing you for not considering your own safety!
context: They were just animals in human clothing!\Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety! response:	But...
context: Eren!\Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But... response:	I wanted to save her as soon as I could.
context: Look how long the Gendarmerie took to arrive.\They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could. response:	Mikasa.
context: They'd've gotten away ages ago!\You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could.\Mikasa. response:	Do you remember me?
context: You wouldn't've made it in time!\Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could.\Mikasa.\Do you remember me? response:	I met you many times when you were a child.
context: Even if that were true,\you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could.\Mikasa.\Do you remember me?\I met you many times when you were a child. response:	Dr. Jaeger...
context: you were just lucky, Eren!\I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could.\Mikasa.\Do you remember me?\I met you many times when you were a child.\Dr. Jaeger... response:	Where do I go from here?
context: I'm criticizing you for not considering your own safety!\But...\I wanted to save her as soon as I could.\Mikasa.\Do you remember me?\I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here? response:	I'm cold...
context: But...\I wanted to save her as soon as I could.\Mikasa.\Do you remember me?\I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here?\I'm cold... response:	I don't...
context: I wanted to save her as soon as I could.\Mikasa.\Do you remember me?\I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here?\I'm cold...\I don't... response:	have a home anymore.
context: Mikasa.\Do you remember me?\I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here?\I'm cold...\I don't...\have a home anymore. response:	You can have this.
context: Do you remember me?\I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here?\I'm cold...\I don't...\have a home anymore.\You can have this. response:	It's warm, isn't it?
context: I met you many times when you were a child.\Dr. Jaeger...\Where do I go from here?\I'm cold...\I don't...\have a home anymore.\You can have this.\It's warm, isn't it? response:	It's warm.
context: Dr. Jaeger...\Where do I go from here?\I'm cold...\I don't...\have a home anymore.\You can have this.\It's warm, isn't it?\It's warm. response:	Mikasa.
context: Where do I go from here?\I'm cold...\I don't...\have a home anymore.\You can have this.\It's warm, isn't it?\It's warm.\Mikasa. response:	You can make your home with us.
context: I'm cold...\I don't...\have a home anymore.\You can have this.\It's warm, isn't it?\It's warm.\Mikasa.\You can make your home with us. response:	You've experienced too much pain.
context: I don't...\have a home anymore.\You can have this.\It's warm, isn't it?\It's warm.\Mikasa.\You can make your home with us.\You've experienced too much pain. response:	You need to rest.
context: have a home anymore.\You can have this.\It's warm, isn't it?\It's warm.\Mikasa.\You can make your home with us.\You've experienced too much pain.\You need to rest. response:	What?
context: You can have this.\It's warm, isn't it?\It's warm.\Mikasa.\You can make your home with us.\You've experienced too much pain.\You need to rest.\What? response:	Come on,
context: It's warm, isn't it?\It's warm.\Mikasa.\You can make your home with us.\You've experienced too much pain.\You need to rest.\What?\Come on, response:	let's go home.
context: It's warm.\Mikasa.\You can make your home with us.\You've experienced too much pain.\You need to rest.\What?\Come on,\let's go home. response:	To our home.
context: Mikasa.\You can make your home with us.\You've experienced too much pain.\You need to rest.\What?\Come on,\let's go home.\To our home. response:	Okay.
context: You can make your home with us.\You've experienced too much pain.\You need to rest.\What?\Come on,\let's go home.\To our home.\Okay. response:	Let's go home.
context: You've experienced too much pain.\You need to rest.\What?\Come on,\let's go home.\To our home.\Okay.\Let's go home. response:	A place where only the victor survives.
context: You need to rest.\What?\Come on,\let's go home.\To our home.\Okay.\Let's go home.\A place where only the victor survives. response:	A world of cruelty.
context: What?\Come on,\let's go home.\To our home.\Okay.\Let's go home.\A place where only the victor survives.\A world of cruelty. response:	Time to retreat, Ackerman.
context: Come on,\let's go home.\To our home.\Okay.\Let's go home.\A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman. response:	We're going over the walls.
context: let's go home.\To our home.\Okay.\Let's go home.\A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls. response:	I'll go assist the vanguard's retreat.
context: To our home.\Okay.\Let's go home.\A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat. response:	Hey, Ackerman!
context: Okay.\Let's go home.\A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman! response:	But in this world, I have found a home.
context: Let's go home.\A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home. response:	Eren, as long as you're with me,
context: A place where only the victor survives.\A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me, response:	I can do anything!
context: A world of cruelty.\Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything! response:	The dream where your heart seeks comfort
context: Time to retreat, Ackerman.\We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort response:	Is more fragile than your life
context: We're going over the walls.\I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life response:	You can abandon it, yet always find it again
context: I'll go assist the vanguard's retreat.\Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again response:	Now, sleep in peace
context: Hey, Ackerman!\But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace response:	My pulsing rage
context: But in this world, I have found a home.\Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage response:	Defiles the wishes I harbor
context: Eren, as long as you're with me,\I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor response:	Before I forget them
context: I can do anything!\The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor\Before I forget them response:	Only to remember once more
context: The dream where your heart seeks comfort\Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor\Before I forget them\Only to remember once more response:	In this beautiful and cruel world
context: Is more fragile than your life\You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor\Before I forget them\Only to remember once more\In this beautiful and cruel world response:	We keep on asking ourselves
context: You can abandon it, yet always find it again\Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor\Before I forget them\Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves response:	Why it was we who survived
context: Now, sleep in peace\My pulsing rage\Defiles the wishes I harbor\Before I forget them\Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived response:	What will we protect
context: My pulsing rage\Defiles the wishes I harbor\Before I forget them\Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived\What will we protect response:	With our strength and with our weakness
context: Defiles the wishes I harbor\Before I forget them\Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived\What will we protect\With our strength and with our weakness response:	If reason and logic no longer hold sway
context: Before I forget them\Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived\What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway response:	Preview
context: Only to remember once more\In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived\What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway\Preview response:	In this world, I have found a home.
context: In this beautiful and cruel world\We keep on asking ourselves\Why it was we who survived\What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway\Preview\In this world, I have found a home. response:	After completing her mission with the rear guard,
context: We keep on asking ourselves\Why it was we who survived\What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway\Preview\In this world, I have found a home.\After completing her mission with the rear guard, response:	Mikasa hurries to meet Eren.
context: Why it was we who survived\What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway\Preview\In this world, I have found a home.\After completing her mission with the rear guard,\Mikasa hurries to meet Eren. response:	But the only thing awaiting her is the news of Eren's death.
context: What will we protect\With our strength and with our weakness\If reason and logic no longer hold sway\Preview\In this world, I have found a home.\After completing her mission with the rear guard,\Mikasa hurries to meet Eren.\But the only thing awaiting her is the news of Eren's death. response:	A Small Blade
context: With our strength and with our weakness\If reason and logic no longer hold sway\Preview\In this world, I have found a home.\After completing her mission with the rear guard,\Mikasa hurries to meet Eren.\But the only thing awaiting her is the news of Eren's death.\A Small Blade response:	The Battle of Trost ( 3 )
