context: It's gotten worse. response:	I see...
context: So in the end, I don't think you can really talk.\Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous. response:	Your Psycho-Pass has already been affected.
context: Was that from Kougami?\Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected. response:	At worst, your Crime Coefficient could suffer as well.
context: Yeah. Kagari or someone probably told him what I was up to.\Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well. response:	The Bureau Chief ordered us not to conduct a public investigation, right?
context: Don't you have to talk to him?\There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right? response:	Yeah. Either way, this is a sensitive matter.
context: There's no need to.\I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter. response:	An expert team is investigating it.
context: I'm sure he'll just try to stop me,\even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it. response:	Until they release their results, don't tell anyone about what happened in the basement.
context: even though he's always doing reckless things himself.\I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement. response:	We can't wait for their results.
context: I'm against it too. It's too dangerous.\Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results. response:	Without investigating this publicly, it's hard to gather clues.
context: Your Psycho-Pass has already been affected.\At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues. response:	We need a photofit picture.
context: At worst, your Crime Coefficient could suffer as well.\The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture. response:	But...
context: The Bureau Chief ordered us not to conduct a public investigation, right?\Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But... response:	I don't mind if it means my Crime Coefficient will go up.
context: Yeah. Either way, this is a sensitive matter.\An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up. response:	I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.
context: An expert team is investigating it.\Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward. response:	Don't say that so lightly!
context: Until they release their results, don't tell anyone about what happened in the basement.\We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly! response:	Inspector Ginoza... I'll be fine.
context: We can't wait for their results.\Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine. response:	My resilient Psycho-Pass is the one thing I have going for me.
context: Without investigating this publicly, it's hard to gather clues.\We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me. response:	Everything's set... Akane.
context: We need a photofit picture.\But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane. response:	Okay.
context: But...\I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay. response:	I'll be monitoring your physical condition and Psycho-Pass the entire time.
context: I don't mind if it means my Crime Coefficient will go up.\I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time. response:	I trust you, Karanomori.
context: I'll corner Makishima Shougo, even if I end up as an Enforcer afterward.\Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori. response:	Okay, okay. Just leave it to me.
context: Don't say that so lightly!\Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me. response:	You'll be fine.
context: Inspector Ginoza... I'll be fine.\My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine. response:	Concentrate and try to remember the time you encountered the culprit.
context: My resilient Psycho-Pass is the one thing I have going for me.\Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit. response:	Okay.
context: Everything's set... Akane.\Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay. response:	When I catch a brain signal related to that memory, I'll amplify it.
context: Okay.\I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it. response:	It will likely cause quite a bit of emotional strain, though.
context: I'll be monitoring your physical condition and Psycho-Pass the entire time.\I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though. response:	I'm aware of that.
context: I trust you, Karanomori.\Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that. response:	Okay... Then I'll start now.
context: Okay, okay. Just leave it to me.\You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now. response:	And how do you define crime to start with?
context: You'll be fine.\Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with? response:	With the Dominator you're holding?
context: Concentrate and try to remember the time you encountered the culprit.\Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding? response:	Does the Sibyl System that governs that gun decide it?
context: Okay.\When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it? response:	Crime Coefficient is 48. Not a target for enforcement action.
context: When I catch a brain signal related to that memory, I'll amplify it.\It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action. response:	The trigger will be locked.
context: It will likely cause quite a bit of emotional strain, though.\I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked. response:	Help! Akane!
context: I'm aware of that.\Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane! response:	How very regrettable, Inspector Tsunemori Akane.
context: Okay... Then I'll start now.\And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane. response:	Akane!
context: And how do you define crime to start with?\With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane! response:	Not a target for enforcement action.
context: With the Dominator you're holding?\Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action. response:	The trigger will be locked.
context: Does the Sibyl System that governs that gun decide it?\Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action.\The trigger will be locked. response:	Stop it!
context: Crime Coefficient is 48. Not a target for enforcement action.\The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action.\The trigger will be locked.\Stop it! response:	Hey!
context: The trigger will be locked.\Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action.\The trigger will be locked.\Stop it!\Hey! response:	I know!
context: Help! Akane!\How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action.\The trigger will be locked.\Stop it!\Hey!\I know! response:	Get a hold of yourself, Inspector Tsunemori!
context: How very regrettable, Inspector Tsunemori Akane.\Akane!\Not a target for enforcement action.\The trigger will be locked.\Stop it!\Hey!\I know!\Get a hold of yourself, Inspector Tsunemori! response:	Inspector Tsunemori!
context: Akane!\Not a target for enforcement action.\The trigger will be locked.\Stop it!\Hey!\I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori! response:	Tsunemori!
context: Not a target for enforcement action.\The trigger will be locked.\Stop it!\Hey!\I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori! response:	Tsunemori Akane!
context: The trigger will be locked.\Stop it!\Hey!\I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori!\Tsunemori Akane! response:	Sorry.
context: Stop it!\Hey!\I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori!\Tsunemori Akane!\Sorry. response:	I-Inspector Ginoza...
context: Hey!\I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori!\Tsunemori Akane!\Sorry.\I-Inspector Ginoza... response:	Yeah... Are you okay?
context: I know!\Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori!\Tsunemori Akane!\Sorry.\I-Inspector Ginoza...\Yeah... Are you okay? response:	Tsunemori!
context: Get a hold of yourself, Inspector Tsunemori!\Inspector Tsunemori!\Tsunemori!\Tsunemori Akane!\Sorry.\I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori! response:	The memory scoop was successful!
context: Inspector Tsunemori!\Tsunemori!\Tsunemori Akane!\Sorry.\I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori!\The memory scoop was successful! response:	I'll start processing the image right away!
context: Tsunemori!\Tsunemori Akane!\Sorry.\I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori!\The memory scoop was successful!\I'll start processing the image right away! response:	How's her Psycho-Pass?!
context: Tsunemori Akane!\Sorry.\I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori!\The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?! response:	Yeah, it's okay.
context: Sorry.\I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori!\The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay. response:	Her Hue curve is within regulation limits.
context: I-Inspector Ginoza...\Yeah... Are you okay?\Tsunemori!\The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits. response:	Her Crime Coefficient is...
context: Yeah... Are you okay?\Tsunemori!\The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is... response:	This is incredible!
context: Tsunemori!\The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible! response:	It went up once, but it's already showing signs of recovery!
context: The memory scoop was successful!\I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery! response:	Inspector Tsunemori...
context: I'll start processing the image right away!\How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori... response:	See? I told you I'd be fine, didn't I?
context: How's her Psycho-Pass?!\Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I? response:	You'd go this far, huh?
context: Yeah, it's okay.\Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh? response:	Hm?
context: Her Hue curve is within regulation limits.\Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm? response:	Have you recovered from your injuries?
context: Her Crime Coefficient is...\This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm?\Have you recovered from your injuries? response:	I threatened my doctor.
context: This is incredible!\It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm?\Have you recovered from your injuries?\I threatened my doctor. response:	I told him that I'd set fire to the room if he kept me there any longer.
context: It went up once, but it's already showing signs of recovery!\Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm?\Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer. response:	That's the Ko we know and love.
context: Inspector Tsunemori...\See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm?\Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love. response:	I was kidding. I persuaded him.
context: See? I told you I'd be fine, didn't I?\You'd go this far, huh?\Hm?\Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him. response:	More importantly, how's Inspector Tsunemori?
context: You'd go this far, huh?\Hm?\Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori? response:	She's undergoing a mental care session at the nurse's office.
context: Hm?\Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office. response:	But according to Shion's diagnosis, she'll recover soon.
context: Have you recovered from your injuries?\I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon. response:	She might have a cute face, but that girl's got serious guts.
context: I threatened my doctor.\I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts. response:	It freaked me out, to be honest.
context: I told him that I'd set fire to the room if he kept me there any longer.\That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest. response:	After all she went through, her Psycho-Pass didn't even enter the red zone.
context: That's the Ko we know and love.\I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone. response:	What were they planning to do if something happened?!
context: I was kidding. I persuaded him.\More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?! response:	You're not the only one who was worried.
context: More importantly, how's Inspector Tsunemori?\She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried. response:	But in this case, the risk paid off.
context: She's undergoing a mental care session at the nurse's office.\But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off. response:	So this is...
context: But according to Shion's diagnosis, she'll recover soon.\She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off.\So this is... response:	Makishima Shougo.
context: She might have a cute face, but that girl's got serious guts.\It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off.\So this is...\Makishima Shougo. response:	We immediately contacted Ousou Academy... and bingo.
context: It freaked me out, to be honest.\After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off.\So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo. response:	Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.
context: After all she went through, her Psycho-Pass didn't even enter the red zone.\What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off.\So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor. response:	Makishima Shougo Shibata Yukimori
context: What were they planning to do if something happened?!\You're not the only one who was worried.\But in this case, the risk paid off.\So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori response:	This alone is enough to bring him in as a key witness in Ouryou Rikako's case.
context: You're not the only one who was worried.\But in this case, the risk paid off.\So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case. response:	Right now, we're doing a search through the records of all the cameras in town, one by one.
context: But in this case, the risk paid off.\So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one. response:	And one place we've already been able to find record of him was,
context: So this is...\Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was, response:	believe it or not, the entrance to Sugawara Shouko's apartment building.
context: Makishima Shougo.\We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building. response:	Remember her? Spooky Boogie, the victim in the Talisman incident.
context: We immediately contacted Ousou Academy... and bingo.\Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident. response:	We've already requested a priority search order with facial recognition.
context: Staff and students at the Academy have testified that this man is Shibata Yukimori, their art instructor.\Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition. response:	Next time he makes a move, we'll receive a report immediately.
context: Makishima Shougo Shibata Yukimori\This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately. response:	Tsunemori is...
context: This alone is enough to bring him in as a key witness in Ouryou Rikako's case.\Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is... response:	She's already a full-fledged detective.
context: Right now, we're doing a search through the records of all the cameras in town, one by one.\And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective. response:	To think that you want to talk to me.
context: And one place we've already been able to find record of him was,\believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me. response:	What next, is it gonna snow tomorrow?
context: believe it or not, the entrance to Sugawara Shouko's apartment building.\Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow? response:	The chance of precipitation all day tomorrow is zero.
context: Remember her? Spooky Boogie, the victim in the Talisman incident.\We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero. response:	That's an expression from the old days, all right? Geez.
context: We've already requested a priority search order with facial recognition.\Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez. response:	So, what happened?
context: Next time he makes a move, we'll receive a report immediately.\Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened? response:	I have some questions about Inspector Tsunemori.
context: Tsunemori is...\She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori. response:	What about her?
context: She's already a full-fledged detective.\To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori.\What about her? response:	Why doesn't her Hue ever get clouded?
context: To think that you want to talk to me.\What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded? response:	How does she manage her stress?
context: What next, is it gonna snow tomorrow?\The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress? response:	You're asking me about that?
context: The chance of precipitation all day tomorrow is zero.\That's an expression from the old days, all right? Geez.\So, what happened?\I have some questions about Inspector Tsunemori.\What about her?\Why doesn't her Hue ever get clouded?\How does she manage her stress?\You're asking me about that? response:	You're closer to her than I am, aren't you?
