context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: A gift.\Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is. response:	You sure you don't want any? These are really good.
context: Whoa, are you serious?\He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good. response:	Say...
context: He said he was a wealthy man who agreed with our cause.\He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say... response:	Hey Aya, this is the last one! Here... say ah.
context: He seemed a little sketchy, but turned out to be a good guy.\Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah. response:	Stop it!
context: Good guy?\It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah.\Stop it! response:	What was that for?
context: It just goes to show the high hopes people have for our justice.\Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for? response:	Hey, why did you cut it?
context: Come on, let's go!\We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for?\Hey, why did you cut it? response:	Huh? What do you mean?
context: We're gonna teach those happy school kids what a harsh world this is.\You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for?\Hey, why did you cut it?\Huh? What do you mean? response:	Why did you cut my connection that day!?
context: You sure you don't want any? These are really good.\Say...\Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for?\Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!? response:	I could've kept going.
context: Say...\Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for?\Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going. response:	I could've protected Gai!
context: Hey Aya, this is the last one! Here... say ah.\Stop it!\What was that for?\Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai! response:	That's crazy... What, so you wouldn't have minded if you'd died?
context: Stop it!\What was that for?\Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died? response:	I wish I did die!
context: What was that for?\Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die! response:	My life right now is so half-assed...
context: Hey, why did you cut it?\Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed... response:	After the accident and now too...
context: Huh? What do you mean?\Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed...\After the accident and now too... response:	Don't say things like that.
context: Why did you cut my connection that day!?\I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed...\After the accident and now too...\Don't say things like that. response:	You're gonna make me sad.
context: I could've kept going.\I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed...\After the accident and now too...\Don't say things like that.\You're gonna make me sad. response:	I'm sorry, Aya. I'll go back to the festival.
context: I could've protected Gai!\That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed...\After the accident and now too...\Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival. response:	And then the music will start, but don't come out yet okay?
context: That's crazy... What, so you wouldn't have minded if you'd died?\I wish I did die!\My life right now is so half-assed...\After the accident and now too...\Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay? response:	Come out on my signal.
context: I wish I did die!\My life right now is so half-assed...\After the accident and now too...\Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal. response:	Okay.
context: My life right now is so half-assed...\After the accident and now too...\Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay. response:	She has her songs.
context: After the accident and now too...\Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay.\She has her songs. response:	She's not like me.
context: Don't say things like that.\You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay.\She has her songs.\She's not like me. response:	I'm just some girl her lost her Endlave...
context: You're gonna make me sad.\I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay.\She has her songs.\She's not like me.\I'm just some girl her lost her Endlave... response:	Ayase.
context: I'm sorry, Aya. I'll go back to the festival.\And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay.\She has her songs.\She's not like me.\I'm just some girl her lost her Endlave...\Ayase. response:	Shu...
context: And then the music will start, but don't come out yet okay?\Come out on my signal.\Okay.\She has her songs.\She's not like me.\I'm just some girl her lost her Endlave...\Ayase.\Shu... response:	What are you doing over here?
context: Come out on my signal.\Okay.\She has her songs.\She's not like me.\I'm just some girl her lost her Endlave...\Ayase.\Shu...\What are you doing over here? response:	Don't you want to come closer?
context: Okay.\She has her songs.\She's not like me.\I'm just some girl her lost her Endlave...\Ayase.\Shu...\What are you doing over here?\Don't you want to come closer? response:	There's no point. I'm not useful for anything anyway.
context: She has her songs.\She's not like me.\I'm just some girl her lost her Endlave...\Ayase.\Shu...\What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway. response:	Nobody said that.
context: She's not like me.\I'm just some girl her lost her Endlave...\Ayase.\Shu...\What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that. response:	I'm saying you're one of us, so you should be with us more.
context: I'm just some girl her lost her Endlave...\Ayase.\Shu...\What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more. response:	Gai died, you know!
context: Ayase.\Shu...\What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know! response:	No... I couldn't protect him.
context: Shu...\What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him. response:	I let him die.
context: What are you doing over here?\Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him.\I let him die. response:	You're wrong, Ayase. I'm the one who let him die.
context: Don't you want to come closer?\There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die. response:	It was me.
context: There's no point. I'm not useful for anything anyway.\Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me. response:	An Endlave!
context: Nobody said that.\I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave! response:	Bingo!
context: I'm saying you're one of us, so you should be with us more.\Gai died, you know!\No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave!\Bingo! response:	The riots have reached us too!?
context: Gai died, you know!\No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave!\Bingo!\The riots have reached us too!? response:	No. That's a military machine.
context: No... I couldn't protect him.\I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave!\Bingo!\The riots have reached us too!?\No. That's a military machine. response:	Dammit! What the hell is this about!?
context: I let him die.\You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave!\Bingo!\The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!? response:	Where's Shu?
context: You're wrong, Ayase. I'm the one who let him die.\It was me.\An Endlave!\Bingo!\The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu? response:	Hey!
context: It was me.\An Endlave!\Bingo!\The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu?\Hey! response:	There's no need for you to fight! Let's get you somewhere safe!
context: An Endlave!\Bingo!\The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe! response:	But I don't want to run away!
context: Bingo!\The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away! response:	Don't cut my connection!
context: The riots have reached us too!?\No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection! response:	What are you doing?
context: No. That's a military machine.\Dammit! What the hell is this about!?\Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection!\What are you doing? response:	Ayase...
context: Dammit! What the hell is this about!?\Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection!\What are you doing?\Ayase... response:	Are you okay?
context: Where's Shu?\Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection!\What are you doing?\Ayase...\Are you okay? response:	You want to make me into a slacker too!?
context: Hey!\There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection!\What are you doing?\Ayase...\Are you okay?\You want to make me into a slacker too!? response:	No, I...
context: There's no need for you to fight! Let's get you somewhere safe!\But I don't want to run away!\Don't cut my connection!\What are you doing?\Ayase...\Are you okay?\You want to make me into a slacker too!?\No, I... response:	Gai gave me legs.
context: But I don't want to run away!\Don't cut my connection!\What are you doing?\Ayase...\Are you okay?\You want to make me into a slacker too!?\No, I...\Gai gave me legs. response:	Legs that could run fast anywhere, jump any height.
context: Don't cut my connection!\What are you doing?\Ayase...\Are you okay?\You want to make me into a slacker too!?\No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height. response:	But I...
context: What are you doing?\Ayase...\Are you okay?\You want to make me into a slacker too!?\No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I... response:	It's no good! I can't let it end this way!
context: Ayase...\Are you okay?\You want to make me into a slacker too!?\No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way! response:	Please, Shu. Let me stand on my own!
context: Are you okay?\You want to make me into a slacker too!?\No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own! response:	Everyone head for the old college building!
context: You want to make me into a slacker too!?\No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building! response:	Menjo!
context: No, I...\Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo! response:	This is my Void.
context: Gai gave me legs.\Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo!\This is my Void. response:	Pretty sweet, huh?
context: Legs that could run fast anywhere, jump any height.\But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo!\This is my Void.\Pretty sweet, huh? response:	Yes!
context: But I...\It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo!\This is my Void.\Pretty sweet, huh?\Yes! response:	Gai, I'm moving forward too. Even if you're not here, I'll go forward!
context: It's no good! I can't let it end this way!\Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo!\This is my Void.\Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward! response:	What the hell was that?
context: Please, Shu. Let me stand on my own!\Everyone head for the old college building!\Menjo!\This is my Void.\Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that? response:	How should I know?
context: Everyone head for the old college building!\Menjo!\This is my Void.\Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know? response:	She's
context: Menjo!\This is my Void.\Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know?\She's response:	Shit...
context: This is my Void.\Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know?\She's\Shit... response:	I'll shoot you! For real!
context: Pretty sweet, huh?\Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know?\She's\Shit...\I'll shoot you! For real! response:	You're under arrest!
context: Yes!\Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know?\She's\Shit...\I'll shoot you! For real!\You're under arrest! response:	Go, Aya!
context: Gai, I'm moving forward too. Even if you're not here, I'll go forward!\What the hell was that?\How should I know?\She's\Shit...\I'll shoot you! For real!\You're under arrest!\Go, Aya! response:	Right!
context: What the hell was that?\How should I know?\She's\Shit...\I'll shoot you! For real!\You're under arrest!\Go, Aya!\Right! response:	See, you were useful.
context: How should I know?\She's\Shit...\I'll shoot you! For real!\You're under arrest!\Go, Aya!\Right!\See, you were useful. response:	Dammit, what the hell is this!?
context: She's\Shit...\I'll shoot you! For real!\You're under arrest!\Go, Aya!\Right!\See, you were useful.\Dammit, what the hell is this!? response:	Shu!
context: Shit...\I'll shoot you! For real!\You're under arrest!\Go, Aya!\Right!\See, you were useful.\Dammit, what the hell is this!?\Shu! response:	J Blooming wildflower J
context: I'll shoot you! For real!\You're under arrest!\Go, Aya!\Right!\See, you were useful.\Dammit, what the hell is this!?\Shu!\J Blooming wildflower J response:	J I beg you, please tell me J
context: You're under arrest!\Go, Aya!\Right!\See, you were useful.\Dammit, what the hell is this!?\Shu!\J Blooming wildflower J\J I beg you, please tell me J response:	J Why do people fight and hurt each other? J
context: Go, Aya!\Right!\See, you were useful.\Dammit, what the hell is this!?\Shu!\J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J response:	It's been a long time since I ran full-tilt on my own legs like that.
context: Right!\See, you were useful.\Dammit, what the hell is this!?\Shu!\J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that. response:	It felt good.
context: See, you were useful.\Dammit, what the hell is this!?\Shu!\J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good. response:	I feel a little better too.
context: Dammit, what the hell is this!?\Shu!\J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too. response:	Maybe, I was just overthinking things before.
context: Shu!\J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too.\Maybe, I was just overthinking things before. response:	I can't accept what happened to Gai yet, but I want to think it through little by little.
context: J Blooming wildflower J\J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little. response:	I want to think about what I can do.
context: J I beg you, please tell me J\J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do. response:	Me too.
context: J Why do people fight and hurt each other? J\It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too. response:	Thanks, Shu.
context: It's been a long time since I ran full-tilt on my own legs like that.\It felt good.\I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too.\Thanks, Shu. response:	Hey everybody! The TV's back on!
context: It felt good.\I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too.\Thanks, Shu.\Hey everybody! The TV's back on! response:	Transferring the feed to the monitors...
context: I feel a little better too.\Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too.\Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors... response:	In our investigation,
context: Maybe, I was just overthinking things before.\I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too.\Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation, response:	we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.
context: I can't accept what happened to Gai yet, but I want to think it through little by little.\I want to think about what I can do.\Me too.\Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous. response:	The provisional government and GHQ have thus agreed to cease rescue operations
context: I want to think about what I can do.\Me too.\Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations response:	and completely seal off the area for the next ten years.
context: Me too.\Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years. response:	Loop 7?
context: Thanks, Shu.\Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7? response:	But we're inside Loop 7!
context: Hey everybody! The TV's back on!\Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7! response:	What?
context: Transferring the feed to the monitors...\In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7!\What? response:	We will devote our utmost efforts to eradicating the Apocalypse Virus
context: In our investigation,\we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7!\What?\We will devote our utmost efforts to eradicating the Apocalypse Virus response:	and thereby dispel the concerns of the international community.
context: we have been unable to find any survivors within the Loop 7 area who aren't highly cancerous.\The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7!\What?\We will devote our utmost efforts to eradicating the Apocalypse Virus\and thereby dispel the concerns of the international community. response:	As the newly inaugurated President of Japan's provisional government,
context: The provisional government and GHQ have thus agreed to cease rescue operations\and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7!\What?\We will devote our utmost efforts to eradicating the Apocalypse Virus\and thereby dispel the concerns of the international community.\As the newly inaugurated President of Japan's provisional government, response:	I believe it is my duty to bring about rebirth via purification.
context: and completely seal off the area for the next ten years.\Loop 7?\But we're inside Loop 7!\What?\We will devote our utmost efforts to eradicating the Apocalypse Virus\and thereby dispel the concerns of the international community.\As the newly inaugurated President of Japan's provisional government,\I believe it is my duty to bring about rebirth via purification. response:	What the hell is going on!?
