context: I see that you are awake, Slaine Troyard. response:	Where am I...?
context: Why? Why? Why?\Why... is she...\Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord...\Yes? response:	Why are you so determined to fight Earth?
context: Why... is she...\Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord...\Yes?\Why are you so determined to fight Earth? response:	It is a lord's duty to his vassals to fight to expand his territory.
context: Why... am I...\What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord...\Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory. response:	Just for that?
context: What is the matter? Not hungry?\Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord...\Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that? response:	It is that great a cause.
context: Do not worry, it is not poisoned.\Had I wished to kill you, I would have done so long ago.\Milord...\Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause. response:	These are creatures that fly through the air, I understand.
context: Had I wished to kill you, I would have done so long ago.\Milord...\Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand. response:	Yes, Milord.
context: Milord...\Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord. response:	Oh, actually, this type of bird is flightless.
context: Yes?\Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless. response:	Unimaginable luxury to the people of Vers,
context: Why are you so determined to fight Earth?\It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers, response:	who subsist on chlorella and krill.
context: It is a lord's duty to his vassals to fight to expand his territory.\Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill. response:	I feel nothing but indignation towards the Terrans who
context: Just for that?\It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who response:	so offhandedly sent them as relief supplies.
context: It is that great a cause.\These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies. response:	This is not a luxury item.
context: These are creatures that fly through the air, I understand.\Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item. response:	It is processed food tailored for space transport and preservation.
context: Yes, Milord.\Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation. response:	Culture is the sole domain of Earth,
context: Oh, actually, this type of bird is flightless.\Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth, response:	blessed with abundant water and air, overflowing with countless living creatures.
context: Unimaginable luxury to the people of Vers,\who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures. response:	On Father Vers, although technology is advanced thanks to Aldnoah,
context: who subsist on chlorella and krill.\I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah, response:	culture has not developed at all.
context: I feel nothing but indignation towards the Terrans who\so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all. response:	There is no reason that we should not seize this world and its plentiful resources.
context: so offhandedly sent them as relief supplies.\This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources. response:	But even so, surely there is no need to exploit Princess Asseylum to-
context: This is not a luxury item.\It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to- response:	It is too late. The war has already begun.
context: It is processed food tailored for space transport and preservation.\Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun. response:	Her Highness will be a human sacrifice.
context: Culture is the sole domain of Earth,\blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice. response:	She is innocent!
context: blessed with abundant water and air, overflowing with countless living creatures.\On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent! response:	She is royalty. Her very lineage is her crime.
context: On Father Vers, although technology is advanced thanks to Aldnoah,\culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime. response:	Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.
context: culture has not developed at all.\There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth. response:	For that, I will make them pay with their own flesh and blood.
context: There is no reason that we should not seize this world and its plentiful resources.\But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood. response:	Please don't kill her.
context: But even so, surely there is no need to exploit Princess Asseylum to-\It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her. response:	We are a people oppressed under a feudal system centered around Aldnoah.
context: It is too late. The war has already begun.\Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah. response:	Our impoverished, shabby country looks with scorn upon a world with a vast history.
context: Her Highness will be a human sacrifice.\She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history. response:	Such nonsense...
context: She is innocent!\She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense... response:	It is only natural that Vers, where the masses had been controlled by saying,
context: She is royalty. Her very lineage is her crime.\Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying, response:	Be envious of Earth, be jealous of Earth, despise Earth,
context: Fifteen years ago, the royal family whipped the knights into a frenzy and sent them against Earth.\For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth, response:	is so corrupt that only through invading Earth can its great cause be maintained.
context: For that, I will make them pay with their own flesh and blood.\Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained. response:	Your injuries attest to that all too well.
context: Please don't kill her.\We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well. response:	The royal family chose war. To maintain order on Vers.
context: We are a people oppressed under a feudal system centered around Aldnoah.\Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers. response:	And then... Heaven's Fall came about as a result of that war,
context: Our impoverished, shabby country looks with scorn upon a world with a vast history.\Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war, response:	and my betrothed, Orlane, lost her life!
context: Such nonsense...\It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life! response:	This war is my vengeance.
context: It is only natural that Vers, where the masses had been controlled by saying,\Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance. response:	This war is my appointed task.
context: Be envious of Earth, be jealous of Earth, despise Earth,\is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task. response:	Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.
context: is so corrupt that only through invading Earth can its great cause be maintained.\Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to. response:	I was worried that they would be more hostile towards us, but it was for nothing.
context: Your injuries attest to that all too well.\The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing. response:	Yes, I am relieved that the people of Earth are so kind.
context: The royal family chose war. To maintain order on Vers.\And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind. response:	They must understand that you are not their enemy, but rather a victim.
context: And then... Heaven's Fall came about as a result of that war,\and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim. response:	Deep down, we are all fellow human beings.
context: and my betrothed, Orlane, lost her life!\This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings. response:	Though our places of birth may differ, we are capable of mutual understanding.
context: This war is my vengeance.\This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding. response:	Some of them are rude and strange, though...
context: This war is my appointed task.\Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though... response:	Oh, my apologies! I forgot your new clothing!
context: Defy me, and I will show you no mercy. Even if you are the son of the man I owe my life to.\I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing! response:	I'll go fetch it at once!
context: I was worried that they would be more hostile towards us, but it was for nothing.\Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once! response:	Oh, that was fast, Eddelri...ttsuo?
context: Yes, I am relieved that the people of Earth are so kind.\They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo? response:	Shouldn't you be with Seylum?
context: They must understand that you are not their enemy, but rather a victim.\Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum? response:	Her name is not Seylum! It is Her Royal Highness Asseylum!
context: Deep down, we are all fellow human beings.\Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum?\Her name is not Seylum! It is Her Royal Highness Asseylum! response:	Aldnoah drive, output falling!
context: Though our places of birth may differ, we are capable of mutual understanding.\Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum?\Her name is not Seylum! It is Her Royal Highness Asseylum!\Aldnoah drive, output falling! response:	Switch to auxiliary power!
context: Some of them are rude and strange, though...\Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum?\Her name is not Seylum! It is Her Royal Highness Asseylum!\Aldnoah drive, output falling!\Switch to auxiliary power! response:	Unable to maintain altitude!
context: Oh, my apologies! I forgot your new clothing!\I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum?\Her name is not Seylum! It is Her Royal Highness Asseylum!\Aldnoah drive, output falling!\Switch to auxiliary power!\Unable to maintain altitude! response:	Rate of descent increasing! Impact in 30 seconds!
context: I'll go fetch it at once!\Oh, that was fast, Eddelri...ttsuo?\Shouldn't you be with Seylum?\Her name is not Seylum! It is Her Royal Highness Asseylum!\Aldnoah drive, output falling!\Switch to auxiliary power!\Unable to maintain altitude!\Rate of descent increasing! Impact in 30 seconds! response:	All hands, brace for impact!
