context: I'm Sunakawa Ai, response:	a college freshman.
context: I see...\I'm glad.\I'm really glad.\Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man. response:	I wouldn't want him to see me like this, anyway...
context: I'm glad.\I'm really glad.\Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway... response:	Takeo-kun, the stars are beautiful today!
context: I'm really glad.\Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today! response:	Subject: Shooting Star
context: Are you sure you're okay with all this?\Yeah.\You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star response:	I saw my first-ever shooting star!
context: Yeah.\You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star! response:	I just happened to be thinking about you,
context: You don't have to rush back, you know.\This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you, response:	so I made a wish that I could stay with you forever.
context: This was for the best.\I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever. response:	By then, the star had already gone,
context: I now know that Takeo's a happy man.\I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone, response:	but maybe I made my wish in time?
context: I wouldn't want him to see me like this, anyway...\Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time? response:	You sure did.
context: Takeo-kun, the stars are beautiful today!\Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time?\You sure did. response:	Don't worry, Yamato.
context: Subject: Shooting Star\I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time?\You sure did.\Don't worry, Yamato. response:	Suna,
context: I saw my first-ever shooting star!\I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time?\You sure did.\Don't worry, Yamato.\Suna, response:	I'm coming in.
context: I just happened to be thinking about you,\so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time?\You sure did.\Don't worry, Yamato.\Suna,\I'm coming in. response:	I have a favor to ask.
context: so I made a wish that I could stay with you forever.\By then, the star had already gone,\but maybe I made my wish in time?\You sure did.\Don't worry, Yamato.\Suna,\I'm coming in.\I have a favor to ask. response:	What's that?
context: By then, the star had already gone,\but maybe I made my wish in time?\You sure did.\Don't worry, Yamato.\Suna,\I'm coming in.\I have a favor to ask.\What's that? response:	Let me kiss you.
context: but maybe I made my wish in time?\You sure did.\Don't worry, Yamato.\Suna,\I'm coming in.\I have a favor to ask.\What's that?\Let me kiss you. response:	Huh?
context: You sure did.\Don't worry, Yamato.\Suna,\I'm coming in.\I have a favor to ask.\What's that?\Let me kiss you.\Huh? response:	I held hands with Yamato today,
context: Don't worry, Yamato.\Suna,\I'm coming in.\I have a favor to ask.\What's that?\Let me kiss you.\Huh?\I held hands with Yamato today, response:	but I kind of failed at it.
context: Suna,\I'm coming in.\I have a favor to ask.\What's that?\Let me kiss you.\Huh?\I held hands with Yamato today,\but I kind of failed at it. response:	How the hell do you fail at holding hands?
context: I'm coming in.\I have a favor to ask.\What's that?\Let me kiss you.\Huh?\I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands? response:	Don't sweat the details!
context: I have a favor to ask.\What's that?\Let me kiss you.\Huh?\I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details! response:	When we kiss, I wouldn't want my teeth to hit hers.
context: What's that?\Let me kiss you.\Huh?\I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers. response:	Let me practice...
context: Let me kiss you.\Huh?\I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice... response:	Why don't you practice with a pillow
context: Huh?\I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow response:	I already tried that!
context: I held hands with Yamato today,\but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow\I already tried that! response:	I just can't get a good sense of distance with a pillow.
context: but I kind of failed at it.\How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow. response:	I need a person!
context: How the hell do you fail at holding hands?\Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person! response:	Try someone else.
context: Don't sweat the details!\When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else. response:	That'd be an insult to Yamato!
context: When we kiss, I wouldn't want my teeth to hit hers.\Let me practice...\Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else.\That'd be an insult to Yamato! response:	You're good at keeping secrets.
context: Let me practice...\Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets. response:	I can't think of anyone else I can ask!
context: Why don't you practice with a pillow\I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask! response:	Quit it. It's gross.
context: I already tried that!\I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross. response:	It'll be fine.
context: I just can't get a good sense of distance with a pillow.\I need a person!\Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine. response:	I brought plastic wrap.
context: I need a person!\Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine.\I brought plastic wrap. response:	Stop, you're crossing a line...
context: Try someone else.\That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line... response:	If we use this between, there's no problem.
context: That'd be an insult to Yamato!\You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem. response:	Dude, it's a huge problem
context: You're good at keeping secrets.\I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem response:	I'm resolved to do this!
context: I can't think of anyone else I can ask!\Quit it. It's gross.\It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this! response:	You should be, too, if you call yourself a man!
context: Quit it. It's gross.\It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man! response:	Dude, there's something wrong with your logic for sure...
context: It'll be fine.\I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure... response:	Don't worry, Yamato.
context: I brought plastic wrap.\Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure...\Don't worry, Yamato. response:	I'll become a man you can depend on.
context: Stop, you're crossing a line...\If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure...\Don't worry, Yamato.\I'll become a man you can depend on. response:	Congratulations on Our First Hand-Holding
context: If we use this between, there's no problem.\Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure...\Don't worry, Yamato.\I'll become a man you can depend on.\Congratulations on Our First Hand-Holding response:	From now on, go to sleep with a smile on your face!
context: Dude, it's a huge problem\I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure...\Don't worry, Yamato.\I'll become a man you can depend on.\Congratulations on Our First Hand-Holding\From now on, go to sleep with a smile on your face! response:	My Strength
context: I'm resolved to do this!\You should be, too, if you call yourself a man!\Dude, there's something wrong with your logic for sure...\Don't worry, Yamato.\I'll become a man you can depend on.\Congratulations on Our First Hand-Holding\From now on, go to sleep with a smile on your face!\My Strength response:	Next time: My Strength.
