context: Touko, I saw response:	what you saw that day.
context: Ask Yukinari about tomorrow.\Okay, thanks.\Your order?\Apple tea.\Roger.\Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something. response:	Okay, Yuki-kun, see you.
context: Okay, thanks.\Your order?\Apple tea.\Roger.\Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you. response:	Yeah.
context: Your order?\Apple tea.\Roger.\Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah. response:	Touko.
context: Apple tea.\Roger.\Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah.\Touko. response:	Yes?
context: Roger.\Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah.\Touko.\Yes? response:	Can we talk?
context: Oh, and an announcement from Touko-san.\We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah.\Touko.\Yes?\Can we talk? response:	It's so hot again today.
context: We're open to dating.\Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah.\Touko.\Yes?\Can we talk?\It's so hot again today. response:	Yeah.
context: Sorry, I just remembered something.\Okay, Yuki-kun, see you.\Yeah.\Touko.\Yes?\Can we talk?\It's so hot again today.\Yeah. response:	Sorry, what were we saying?
context: Okay, Yuki-kun, see you.\Yeah.\Touko.\Yes?\Can we talk?\It's so hot again today.\Yeah.\Sorry, what were we saying? response:	Erm, well, you were with David yesterday.
context: Yeah.\Touko.\Yes?\Can we talk?\It's so hot again today.\Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday. response:	Yesterday?
context: Touko.\Yes?\Can we talk?\It's so hot again today.\Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday? response:	Oh yeah, did you get it already?
context: Yes?\Can we talk?\It's so hot again today.\Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already? response:	Get it? What?
context: Can we talk?\It's so hot again today.\Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already?\Get it? What? response:	Oh, I mean, a talk.
context: It's so hot again today.\Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk. response:	Talk? You did?
context: Yeah.\Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk.\Talk? You did? response:	Yeah,
context: Sorry, what were we saying?\Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk.\Talk? You did?\Yeah, response:	maybe you can't be nice to
context: Erm, well, you were with David yesterday.\Yesterday?\Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk.\Talk? You did?\Yeah,\maybe you can't be nice to response:	girls straight-up because you're so shy, but...
context: Yesterday?\Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk.\Talk? You did?\Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but... response:	No, I mean, you're nice,
context: Oh yeah, did you get it already?\Get it? What?\Oh, I mean, a talk.\Talk? You did?\Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice, response:	but some things you can't get across without saying.
context: Get it? What?\Oh, I mean, a talk.\Talk? You did?\Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying. response:	It hasn't gotten across, has it?
context: Oh, I mean, a talk.\Talk? You did?\Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it? response:	Why not try being honest with the people you care for?
context: Talk? You did?\Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for? response:	You're right,
context: Yeah,\maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right, response:	I have to say it out loud.
context: maybe you can't be nice to\girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right,\I have to say it out loud. response:	Yup, yup.
context: girls straight-up because you're so shy, but...\No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right,\I have to say it out loud.\Yup, yup. response:	Touko, I...
context: No, I mean, you're nice,\but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right,\I have to say it out loud.\Yup, yup.\Touko, I... response:	Wait, why are you telling me this?
context: but some things you can't get across without saying.\It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right,\I have to say it out loud.\Yup, yup.\Touko, I...\Wait, why are you telling me this? response:	Touko!
context: It hasn't gotten across, has it?\Why not try being honest with the people you care for?\You're right,\I have to say it out loud.\Yup, yup.\Touko, I...\Wait, why are you telling me this?\Touko! response:	Yes!
context: Why not try being honest with the people you care for?\You're right,\I have to say it out loud.\Yup, yup.\Touko, I...\Wait, why are you telling me this?\Touko!\Yes! response:	I like
context: You're right,\I have to say it out loud.\Yup, yup.\Touko, I...\Wait, why are you telling me this?\Touko!\Yes!\I like response:	you.
context: I have to say it out loud.\Yup, yup.\Touko, I...\Wait, why are you telling me this?\Touko!\Yes!\I like\you. response:	I like you, Touko!
context: Yup, yup.\Touko, I...\Wait, why are you telling me this?\Touko!\Yes!\I like\you.\I like you, Touko! response:	Th-Thanks.
context: Touko, I...\Wait, why are you telling me this?\Touko!\Yes!\I like\you.\I like you, Touko!\Th-Thanks. response:	U-Um...
context: Wait, why are you telling me this?\Touko!\Yes!\I like\you.\I like you, Touko!\Th-Thanks.\U-Um... response:	Thanks!
context: Touko!\Yes!\I like\you.\I like you, Touko!\Th-Thanks.\U-Um...\Thanks! response:	Yuki.
context: Yes!\I like\you.\I like you, Touko!\Th-Thanks.\U-Um...\Thanks!\Yuki. response:	What's wrong? You look all doofy.
context: I like\you.\I like you, Touko!\Th-Thanks.\U-Um...\Thanks!\Yuki.\What's wrong? You look all doofy. response:	Why are you here?
context: you.\I like you, Touko!\Th-Thanks.\U-Um...\Thanks!\Yuki.\What's wrong? You look all doofy.\Why are you here? response:	What? Seriously? I'm on my way home.
context: I like you, Touko!\Th-Thanks.\U-Um...\Thanks!\Yuki.\What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home. response:	Yeah?
context: Th-Thanks.\U-Um...\Thanks!\Yuki.\What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home.\Yeah? response:	Yeah. Sorry.
context: U-Um...\Thanks!\Yuki.\What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry. response:	You're weird. Come on, let's go.
context: Thanks!\Yuki.\What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry.\You're weird. Come on, let's go. response:	I have to do something.
context: Yuki.\What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something. response:	Oh!
context: What's wrong? You look all doofy.\Why are you here?\What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something.\Oh! response:	Okikura here.
context: Why are you here?\What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something.\Oh!\Okikura here. response:	Hey, um...
context: What? Seriously? I'm on my way home.\Yeah?\Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something.\Oh!\Okikura here.\Hey, um... response:	Hi, it's Fukami, from school.
context: Yeah?\Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something.\Oh!\Okikura here.\Hey, um...\Hi, it's Fukami, from school. response:	Oh, it's me.
context: Yeah. Sorry.\You're weird. Come on, let's go.\I have to do something.\Oh!\Okikura here.\Hey, um...\Hi, it's Fukami, from school.\Oh, it's me. response:	Oh, Okikura-kun, hey,
context: You're weird. Come on, let's go.\I have to do something.\Oh!\Okikura here.\Hey, um...\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey, response:	I want to see the future.
context: I have to do something.\Oh!\Okikura here.\Hey, um...\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future. response:	I want to see the future, too.
context: Oh!\Okikura here.\Hey, um...\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too. response:	Hey, Yana-chan...
context: Okikura here.\Hey, um...\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\Hey, Yana-chan... response:	A token of our friendship.
context: Hey, um...\Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\Hey, Yana-chan...\A token of our friendship. response:	Huh, really?
context: Hi, it's Fukami, from school.\Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\Hey, Yana-chan...\A token of our friendship.\Huh, really? response:	But they're someone I like.
context: Oh, it's me.\Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\Hey, Yana-chan...\A token of our friendship.\Huh, really?\But they're someone I like. response:	Everyone, stand back!
context: Oh, Okikura-kun, hey,\I want to see the future.\I want to see the future, too.\Hey, Yana-chan...\A token of our friendship.\Huh, really?\But they're someone I like.\Everyone, stand back! response:	Episode 3 Utility Tank
