context: Can't decide... response:	Morning.
context: Hey, Nagisa-kun!\Give them back!\You're going to hurt your eyes!\Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo. response:	Rainbow?!
context: Give them back!\You're going to hurt your eyes!\Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?! response:	A rainbow for Rei?
context: You're going to hurt your eyes!\Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei? response:	I'm accounting for the fact that each color has
context: Give them back!\I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has response:	a different psychological impact.
context: I'm going to try this on.\Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact. response:	So you don't care about how it looks?
context: Oh, Haruka-senpai is also looking to buy a swimsuit.\Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks? response:	I'm done changing.
context: Are you finished changing?\It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks?\I'm done changing. response:	What do you think?
context: It's clear that this fits me much better than a speedo.\Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks?\I'm done changing.\What do you think? response:	Wow, I can't tell how it's different from his usual swimsuit.
context: Rainbow?!\A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks?\I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit. response:	Isn't it the same?
context: A rainbow for Rei?\I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks?\I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same? response:	No.
context: I'm accounting for the fact that each color has\a different psychological impact.\So you don't care about how it looks?\I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No. response:	I like the way this one fits better.
context: a different psychological impact.\So you don't care about how it looks?\I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No.\I like the way this one fits better. response:	Mako-chan, let's try some on!
context: So you don't care about how it looks?\I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No.\I like the way this one fits better.\Mako-chan, let's try some on! response:	Changing rooms and muscles...
context: I'm done changing.\What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No.\I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles... response:	What? I have to join in?
context: What do you think?\Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No.\I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in? response:	Get moving!
context: Wow, I can't tell how it's different from his usual swimsuit.\Isn't it the same?\No.\I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in?\Get moving! response:	Now, there's a nice combo you don't see every day!
context: Isn't it the same?\No.\I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day! response:	Ta-da!
context: No.\I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day!\Ta-da! response:	That looks good.
context: I like the way this one fits better.\Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day!\Ta-da!\That looks good. response:	D-Does it look funny at all?
context: Mako-chan, let's try some on!\Changing rooms and muscles...\What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day!\Ta-da!\That looks good.\D-Does it look funny at all? response:	You're rocking it, Mako-chan!
context: Changing rooms and muscles...\What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day!\Ta-da!\That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan! response:	Butterflies have the psychological...
context: What? I have to join in?\Get moving!\Now, there's a nice combo you don't see every day!\Ta-da!\That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological... response:	Where did you find that thing?!
context: Get moving!\Now, there's a nice combo you don't see every day!\Ta-da!\That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?! response:	This is also good.
context: Now, there's a nice combo you don't see every day!\Ta-da!\That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?!\This is also good. response:	Tell us how it's different, Haru-chan!
context: Ta-da!\That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan! response:	Delicious.
context: That looks good.\D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan!\Delicious. response:	I'm exhausted.
context: D-Does it look funny at all?\You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted. response:	Now I know how guys feel when they have to go shopping with girls.
context: You're rocking it, Mako-chan!\Butterflies have the psychological...\Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls. response:	Hey.
context: Butterflies have the psychological...\Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey. response:	Fancy meeting you here.
context: Where did you find that thing?!\This is also good.\Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here. response:	Captain Mikoshiba...
context: This is also good.\Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here.\Captain Mikoshiba... response:	Are you doing some shopping, Gou-kun?
context: Tell us how it's different, Haru-chan!\Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun? response:	Please don't use Gou and -kun together.
context: Delicious.\I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together. response:	We're here to look for new swimsuits.
context: I'm exhausted.\Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits. response:	Does that mean my brother's here?
context: Now I know how guys feel when they have to go shopping with girls.\Hey.\Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here? response:	I'm so happy!
context: Hey.\Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy! response:	Nitori?
context: Fancy meeting you here.\Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy!\Nitori? response:	Haru?!
context: Captain Mikoshiba...\Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy!\Nitori?\Haru?! response:	Rin!
context: Are you doing some shopping, Gou-kun?\Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy!\Nitori?\Haru?!\Rin! response:	Ooh! This is perfect for Rei-chan!
context: Please don't use Gou and -kun together.\We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy!\Nitori?\Haru?!\Rin!\Ooh! This is perfect for Rei-chan! response:	Wait, that's another speedo!
context: We're here to look for new swimsuits.\Does that mean my brother's here?\I'm so happy!\Nitori?\Haru?!\Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo! response:	I wanted to talk to you.
context: Does that mean my brother's here?\I'm so happy!\Nitori?\Haru?!\Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you. response:	Come with me.
context: I'm so happy!\Nitori?\Haru?!\Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you.\Come with me. response:	Haru, what have you been doing the past three years?
context: Nitori?\Haru?!\Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years? response:	You're better than this.
context: Haru?!\Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years?\You're better than this. response:	I'm not better than someone who just got back from Australia.
context: Rin!\Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia. response:	Are you mocking me?
context: Ooh! This is perfect for Rei-chan!\Wait, that's another speedo!\I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me? response:	I'm not.
context: Wait, that's another speedo!\I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not. response:	You won our race.
context: I wanted to talk to you.\Come with me.\Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not.\You won our race. response:	It'd be hard not to beat you, given the shape you're in.
context: Come with me.\Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in. response:	You won.
context: Haru, what have you been doing the past three years?\You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in.\You won. response:	Isn't that good enough?
context: You're better than this.\I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough? response:	It's not!
context: I'm not better than someone who just got back from Australia.\Are you mocking me?\I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough?\It's not! response:	I want a real race!
context: Are you mocking me?\I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough?\It's not!\I want a real race! response:	Or else
context: I'm not.\You won our race.\It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough?\It's not!\I want a real race!\Or else response:	I can't move on.
context: You won our race.\It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough?\It's not!\I want a real race!\Or else\I can't move on. response:	You're a pain.
context: It'd be hard not to beat you, given the shape you're in.\You won.\Isn't that good enough?\It's not!\I want a real race!\Or else\I can't move on.\You're a pain. response:	I only swim free.
context: You won.\Isn't that good enough?\It's not!\I want a real race!\Or else\I can't move on.\You're a pain.\I only swim free. response:	I won't swim for you.
context: Isn't that good enough?\It's not!\I want a real race!\Or else\I can't move on.\You're a pain.\I only swim free.\I won't swim for you. response:	No.
context: It's not!\I want a real race!\Or else\I can't move on.\You're a pain.\I only swim free.\I won't swim for you.\No. response:	You're going to swim for me.
context: I want a real race!\Or else\I can't move on.\You're a pain.\I only swim free.\I won't swim for you.\No.\You're going to swim for me. response:	In that case,
context: Or else\I can't move on.\You're a pain.\I only swim free.\I won't swim for you.\No.\You're going to swim for me.\In that case, response:	I want you to promise me something.
context: I can't move on.\You're a pain.\I only swim free.\I won't swim for you.\No.\You're going to swim for me.\In that case,\I want you to promise me something. response:	If you lose, don't say you're going to quit.
context: You're a pain.\I only swim free.\I won't swim for you.\No.\You're going to swim for me.\In that case,\I want you to promise me something.\If you lose, don't say you're going to quit. response:	Don't embarrass yourself.
context: I only swim free.\I won't swim for you.\No.\You're going to swim for me.\In that case,\I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself. response:	Don't cry if you lose.
context: I won't swim for you.\No.\You're going to swim for me.\In that case,\I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose. response:	I'm not a little kid anymore.
context: No.\You're going to swim for me.\In that case,\I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore. response:	This time, I'll make it clear how different you and I are.
context: You're going to swim for me.\In that case,\I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are. response:	Try to build some muscle before the prefectural tournament.
context: In that case,\I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament. response:	We'll settle things there.
context: I want you to promise me something.\If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there. response:	See you at the tournament.
context: If you lose, don't say you're going to quit.\Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament. response:	Oh! There she is!
context: Don't embarrass yourself.\Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament.\Oh! There she is! response:	Is something wrong?
context: Don't cry if you lose.\I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament.\Oh! There she is!\Is something wrong? response:	It's nothing!
context: I'm not a little kid anymore.\This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament.\Oh! There she is!\Is something wrong?\It's nothing! response:	2 days left.
context: This time, I'll make it clear how different you and I are.\Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament.\Oh! There she is!\Is something wrong?\It's nothing!\2 days left. response:	Swimming cap, check.
context: Try to build some muscle before the prefectural tournament.\We'll settle things there.\See you at the tournament.\Oh! There she is!\Is something wrong?\It's nothing!\2 days left.\Swimming cap, check. response:	Prescription goggles, check.
context: We'll settle things there.\See you at the tournament.\Oh! There she is!\Is something wrong?\It's nothing!\2 days left.\Swimming cap, check.\Prescription goggles, check. response:	Not a speedo, check.
context: See you at the tournament.\Oh! There she is!\Is something wrong?\It's nothing!\2 days left.\Swimming cap, check.\Prescription goggles, check.\Not a speedo, check. response:	He looks like a world-class swimmer from here.
context: Oh! There she is!\Is something wrong?\It's nothing!\2 days left.\Swimming cap, check.\Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here. response:	Maybe he'll actually manage to swim this time.
context: Is something wrong?\It's nothing!\2 days left.\Swimming cap, check.\Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time. response:	Yep! I think this might work!
context: It's nothing!\2 days left.\Swimming cap, check.\Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work! response:	His entry angle is perfect!
context: 2 days left.\Swimming cap, check.\Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect! response:	Why?!
context: Swimming cap, check.\Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect!\Why?! response:	I'll teach you.
context: Prescription goggles, check.\Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect!\Why?!\I'll teach you. response:	You want to learn how to swim, right?
context: Not a speedo, check.\He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect!\Why?!\I'll teach you.\You want to learn how to swim, right? response:	P-Please help me!
context: He looks like a world-class swimmer from here.\Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect!\Why?!\I'll teach you.\You want to learn how to swim, right?\P-Please help me! response:	However,
context: Maybe he'll actually manage to swim this time.\Yep! I think this might work!\His entry angle is perfect!\Why?!\I'll teach you.\You want to learn how to swim, right?\P-Please help me!\However, response:	I can only teach you free.
context: Yep! I think this might work!\His entry angle is perfect!\Why?!\I'll teach you.\You want to learn how to swim, right?\P-Please help me!\However,\I can only teach you free. response:	Yes!
context: His entry angle is perfect!\Why?!\I'll teach you.\You want to learn how to swim, right?\P-Please help me!\However,\I can only teach you free.\Yes! response:	Haru's going to teach someone how to swim?
context: Why?!\I'll teach you.\You want to learn how to swim, right?\P-Please help me!\However,\I can only teach you free.\Yes!\Haru's going to teach someone how to swim? response:	Bringing in the big guns!
context: I'll teach you.\You want to learn how to swim, right?\P-Please help me!\However,\I can only teach you free.\Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns! response:	That's everything I have to teach you.
context: You want to learn how to swim, right?\P-Please help me!\However,\I can only teach you free.\Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you. response:	The rest is up to you.
context: P-Please help me!\However,\I can only teach you free.\Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you. response:	Believe in yourself.
context: However,\I can only teach you free.\Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you.\Believe in yourself. response:	Yes!
context: I can only teach you free.\Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you.\Believe in yourself.\Yes! response:	Why?!
context: Yes!\Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you.\Believe in yourself.\Yes!\Why?! response:	Genius is one percent inspiration and ninety-nine percent perspiration.
context: Haru's going to teach someone how to swim?\Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you.\Believe in yourself.\Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration. response:	Isn't that a quote from Edison?
context: Bringing in the big guns!\That's everything I have to teach you.\The rest is up to you.\Believe in yourself.\Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison? response:	So hard work will always triumph over natural talent.
context: That's everything I have to teach you.\The rest is up to you.\Believe in yourself.\Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent. response:	I guess he'll have to keep practicing.
context: The rest is up to you.\Believe in yourself.\Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing. response:	However...
context: Believe in yourself.\Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However... response:	You can interpret Edison's quote to mean
context: Yes!\Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean response:	that hard work means nothing without that flash of inspiration,
context: Why?!\Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration, response:	don't you think?
context: Genius is one percent inspiration and ninety-nine percent perspiration.\Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think? response:	A rejection of hard work?!
context: Isn't that a quote from Edison?\So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?! response:	Haruka-senpai...
context: So hard work will always triumph over natural talent.\I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?!\Haruka-senpai... response:	Do what you want.
context: I guess he'll have to keep practicing.\However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?!\Haruka-senpai...\Do what you want. response:	What do you mean?
context: However...\You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?!\Haruka-senpai...\Do what you want.\What do you mean? response:	Don't think about swimming.
context: You can interpret Edison's quote to mean\that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?!\Haruka-senpai...\Do what you want.\What do you mean?\Don't think about swimming. response:	Just dive in.
context: that hard work means nothing without that flash of inspiration,\don't you think?\A rejection of hard work?!\Haruka-senpai...\Do what you want.\What do you mean?\Don't think about swimming.\Just dive in. response:	I don't understand what you mean.
context: don't you think?\A rejection of hard work?!\Haruka-senpai...\Do what you want.\What do you mean?\Don't think about swimming.\Just dive in.\I don't understand what you mean. response:	Dive in with your heart.
context: A rejection of hard work?!\Haruka-senpai...\Do what you want.\What do you mean?\Don't think about swimming.\Just dive in.\I don't understand what you mean.\Dive in with your heart. response:	That doesn't help.
context: Haruka-senpai...\Do what you want.\What do you mean?\Don't think about swimming.\Just dive in.\I don't understand what you mean.\Dive in with your heart.\That doesn't help. response:	Go by your senses...
context: Do what you want.\What do you mean?\Don't think about swimming.\Just dive in.\I don't understand what you mean.\Dive in with your heart.\That doesn't help.\Go by your senses... response:	Can you stop using abstract expressions?
context: What do you mean?\Don't think about swimming.\Just dive in.\I don't understand what you mean.\Dive in with your heart.\That doesn't help.\Go by your senses...\Can you stop using abstract expressions? response:	How can I learn to swim
context: Don't think about swimming.\Just dive in.\I don't understand what you mean.\Dive in with your heart.\That doesn't help.\Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim response:	as freely as you do?
context: Just dive in.\I don't understand what you mean.\Dive in with your heart.\That doesn't help.\Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim\as freely as you do? response:	I'm very frustrated.
context: I don't understand what you mean.\Dive in with your heart.\That doesn't help.\Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim\as freely as you do?\I'm very frustrated. response:	Why can't I swim?
context: Dive in with your heart.\That doesn't help.\Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim\as freely as you do?\I'm very frustrated.\Why can't I swim? response:	Or else
context: That doesn't help.\Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim\as freely as you do?\I'm very frustrated.\Why can't I swim?\Or else response:	I can't move on.
context: Go by your senses...\Can you stop using abstract expressions?\How can I learn to swim\as freely as you do?\I'm very frustrated.\Why can't I swim?\Or else\I can't move on. response:	I'm not free either.
context: Can you stop using abstract expressions?\How can I learn to swim\as freely as you do?\I'm very frustrated.\Why can't I swim?\Or else\I can't move on.\I'm not free either. response:	What are Haru-chan and Rei-chan doing?
context: How can I learn to swim\as freely as you do?\I'm very frustrated.\Why can't I swim?\Or else\I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing? response:	Nagisa.
context: as freely as you do?\I'm very frustrated.\Why can't I swim?\Or else\I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa. response:	Leave them alone for now.
context: I'm very frustrated.\Why can't I swim?\Or else\I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now. response:	I have a feeling they have a lot in common.
context: Why can't I swim?\Or else\I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common. response:	You're right.
context: Or else\I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common.\You're right. response:	Today is the last day.
context: I can't move on.\I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common.\You're right.\Today is the last day. response:	Since it's come to this, let's have him use a kickboard in the tournament!
context: I'm not free either.\What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common.\You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament! response:	Do the rules allow that?
context: What are Haru-chan and Rei-chan doing?\Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common.\You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that? response:	That's an option.
context: Nagisa.\Leave them alone for now.\I have a feeling they have a lot in common.\You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option. response:	I don't think the rules prohibit it.
context: Leave them alone for now.\I have a feeling they have a lot in common.\You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option.\I don't think the rules prohibit it. response:	We'll have to look that up.
context: I have a feeling they have a lot in common.\You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option.\I don't think the rules prohibit it.\We'll have to look that up. response:	Somebody's swimming butterfly.
context: You're right.\Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option.\I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly. response:	Is that Haru-chan?
context: Today is the last day.\Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option.\I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan? response:	But Haru only does free.
context: Since it's come to this, let's have him use a kickboard in the tournament!\Do the rules allow that?\That's an option.\I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free. response:	It's not me.
context: Do the rules allow that?\That's an option.\I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free.\It's not me. response:	Haru?!
context: That's an option.\I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free.\It's not me.\Haru?! response:	That means...
context: I don't think the rules prohibit it.\We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free.\It's not me.\Haru?!\That means... response:	Rei-chan?!
context: We'll have to look that up.\Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free.\It's not me.\Haru?!\That means...\Rei-chan?! response:	Were you just swimming butterfly?!
context: Somebody's swimming butterfly.\Is that Haru-chan?\But Haru only does free.\It's not me.\Haru?!\That means...\Rei-chan?!\Were you just swimming butterfly?! response:	It was the only stroke I hadn't tried yet.
context: Is that Haru-chan?\But Haru only does free.\It's not me.\Haru?!\That means...\Rei-chan?!\Were you just swimming butterfly?!\It was the only stroke I hadn't tried yet. response:	Once I tried it, I was able to swim.
