context: We're sick and tired of you dodging the issue! response:	I am not dodging the issue!
context: Got it. Be careful, Tsugumi!\Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class? response:	Out of my way.
context: Inori...\What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way. response:	Bingo, eh?!
context: What's wrong, Shu?\There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way.\Bingo, eh?! response:	You bitch!
context: There's an awful rumor spreading. Did anyone attack you?\It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way.\Bingo, eh?!\You bitch! response:	Missile Kick!
context: It's okay, I haven't seen anyone else here.\Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way.\Bingo, eh?!\You bitch!\Missile Kick! response:	Let's go, Aya!
context: Oh... That's good, then. Let's go!\You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way.\Bingo, eh?!\You bitch!\Missile Kick!\Let's go, Aya! response:	Why, you!
context: You know, I thought something was up ever since I first saw you.\What's your year and class?\Out of my way.\Bingo, eh?!\You bitch!\Missile Kick!\Let's go, Aya!\Why, you! response:	Aya!
context: What's your year and class?\Out of my way.\Bingo, eh?!\You bitch!\Missile Kick!\Let's go, Aya!\Why, you!\Aya! response:	Why did you come back?!
context: Out of my way.\Bingo, eh?!\You bitch!\Missile Kick!\Let's go, Aya!\Why, you!\Aya!\Why did you come back?! response:	As if I could live without you!
context: Bingo, eh?!\You bitch!\Missile Kick!\Let's go, Aya!\Why, you!\Aya!\Why did you come back?!\As if I could live without you! response:	Well, aren't you cool!
context: You bitch!\Missile Kick!\Let's go, Aya!\Why, you!\Aya!\Why did you come back?!\As if I could live without you!\Well, aren't you cool! response:	We're moving up our plans. A student body meeting will be held in ten minutes.
context: Missile Kick!\Let's go, Aya!\Why, you!\Aya!\Why did you come back?!\As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes. response:	All students, please assemble in the gymnasium immediately.
context: Let's go, Aya!\Why, you!\Aya!\Why did you come back?!\As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately. response:	We mustn't be led astray by false rumors.
context: Why, you!\Aya!\Why did you come back?!\As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors. response:	Help will come if we wait for it.
context: Aya!\Why did you come back?!\As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it. response:	What we need to do now is weather the storm!
context: Why did you come back?!\As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm! response:	You always say that!
context: As if I could live without you!\Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that! response:	Don't you have anything else to say?!
context: Well, aren't you cool!\We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?! response:	That stance isn't going to fly with the other students anymore.
context: We're moving up our plans. A student body meeting will be held in ten minutes.\All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore. response:	How can you say that? Don't you feel bad for the president?!
context: All students, please assemble in the gymnasium immediately.\We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?! response:	Ayase and Tsugumi aren't here either?
context: We mustn't be led astray by false rumors.\Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either? response:	President...
context: Help will come if we wait for it.\What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President... response:	What we want to hear right now is how to avoid getting slaughtered.
context: What we need to do now is weather the storm!\You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered. response:	We only need to hand over the Undertakers and we can get out of here, right?
context: You always say that!\Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right? response:	That's a false rumor!
context: Don't you have anything else to say?!\That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor! response:	There aren't any Undertaker members here, either!
context: That stance isn't going to fly with the other students anymore.\How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either! response:	Oh, but there are!
context: How can you say that? Don't you feel bad for the president?!\Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are! response:	In fact, we discovered some ourselves!
context: Ayase and Tsugumi aren't here either?\President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves! response:	Both of them?!
context: President...\What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves!\Both of them?! response:	They're wearing our school's uniforms,
context: What we want to hear right now is how to avoid getting slaughtered.\We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms, response:	but has anyone seen them before the blockade?
context: We only need to hand over the Undertakers and we can get out of here, right?\That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade? response:	Undertaker members have tattoos on their backs, you know!
context: That's a false rumor!\There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know! response:	Really?
context: There aren't any Undertaker members here, either!\Oh, but there are!\In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really? response:	Well, maybe we should try looking for them!
context: Oh, but there are!\In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them! response:	Stop it!
context: In fact, we discovered some ourselves!\Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them!\Stop it! response:	The Undertakers are a criminal organization that has committed bioterrorism!
context: Both of them?!\They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism! response:	We can't let them go unpunished!
context: They're wearing our school's uniforms,\but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished! response:	So... We'll just have to do it!
context: but has anyone seen them before the blockade?\Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it! response:	Whoa there.
context: Undertaker members have tattoos on their backs, you know!\Really?\Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it!\Whoa there. response:	You better be a good girl.
context: Really?\Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it!\Whoa there.\You better be a good girl. response:	Do it!
context: Well, maybe we should try looking for them!\Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it!\Whoa there.\You better be a good girl.\Do it! response:	Do it!
context: Stop it!\The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it!\Whoa there.\You better be a good girl.\Do it!\Do it! response:	Do it!
context: The Undertakers are a criminal organization that has committed bioterrorism!\We can't let them go unpunished!\So... We'll just have to do it!\Whoa there.\You better be a good girl.\Do it!\Do it!\Do it! response:	Stop it
context: We can't let them go unpunished!\So... We'll just have to do it!\Whoa there.\You better be a good girl.\Do it!\Do it!\Do it!\Stop it response:	This is bad!
context: So... We'll just have to do it!\Whoa there.\You better be a good girl.\Do it!\Do it!\Do it!\Stop it\This is bad! response:	Kuhouin's totally lost control of the room!
context: Whoa there.\You better be a good girl.\Do it!\Do it!\Do it!\Stop it\This is bad!\Kuhouin's totally lost control of the room! response:	If we hand over the Undertakers, we'll all be saved!
context: You better be a good girl.\Do it!\Do it!\Do it!\Stop it\This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved! response:	And you know that's a wonderful thing!
context: Do it!\Do it!\Do it!\Stop it\This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing! response:	Wait!
context: Do it!\Do it!\Stop it\This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait! response:	Hey, this guy...
context: Do it!\Stop it\This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait!\Hey, this guy... response:	He's the one who beat an Endlave yesterday...
context: Stop it\This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday... response:	Ouma Shu!
context: This is bad!\Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu! response:	Y-You're...
context: Kuhouin's totally lost control of the room!\If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're... response:	Take your hands off Ayase.
context: If we hand over the Undertakers, we'll all be saved!\And you know that's a wonderful thing!\Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're...\Take your hands off Ayase. response:	I'm a member of the Undertakers, too.
context: And you know that's a wonderful thing!\Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too. response:	Sorry, but could you let me handle this, everyone?
context: Wait!\Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone? response:	I have an idea.
context: Hey, this guy...\He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea. response:	W-Wait a second! I brought some Undertakers members! See?
context: He's the one who beat an Endlave yesterday...\Ouma Shu!\Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See? response:	There are still lots of students taking shelter in the school.
context: Ouma Shu!\Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school. response:	We'll hand these guys over! So please, let us go!
context: Y-You're...\Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go! response:	That runt... She was with the Undertakers?
context: Take your hands off Ayase.\I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers? response:	Go on, hurry up.
context: I'm a member of the Undertakers, too.\Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up. response:	H-Hey, that's careless!
context: Sorry, but could you let me handle this, everyone?\I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless! response:	So now can I...?
context: I have an idea.\W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless!\So now can I...? response:	Y-You're kidding! But
context: W-Wait a second! I brought some Undertakers members! See?\There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless!\So now can I...?\Y-You're kidding! But response:	Why?
context: There are still lots of students taking shelter in the school.\We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless!\So now can I...?\Y-You're kidding! But\Why? response:	Handing over the Undertakers should solve everything!
context: We'll hand these guys over! So please, let us go!\That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless!\So now can I...?\Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything! response:	What the hell is going on?!
context: That runt... She was with the Undertakers?\Go on, hurry up.\H-Hey, that's careless!\So now can I...?\Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything!\What the hell is going on?! response:	You get it now, don't you?
context: Go on, hurry up.\H-Hey, that's careless!\So now can I...?\Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you? response:	Relying on the government won't work.
context: H-Hey, that's careless!\So now can I...?\Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you?\Relying on the government won't work. response:	And you understand Shu's Void power too, don't you?
context: So now can I...?\Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you? response:	This is my Void: the doll-making Hand Scanner!
context: Y-You're kidding! But\Why?\Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner! response:	The human copies I create with it
context: Why?\Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it response:	are just like the real thing, and you can control them remotely.
context: Handing over the Undertakers should solve everything!\What the hell is going on?!\You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely. response:	Too awesome, right?!
context: What the hell is going on?!\You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?! response:	To me, you all looked afraid because there was so much you didn't understand.
context: You get it now, don't you?\Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand. response:	So I made one fact perfectly clear.
context: Relying on the government won't work.\And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear. response:	Now we can move forward.
context: And you understand Shu's Void power too, don't you?\This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward. response:	I want you all to calm down.
context: This is my Void: the doll-making Hand Scanner!\The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down. response:	What the hell?
context: The human copies I create with it\are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down.\What the hell? response:	The government and your powers...
context: are just like the real thing, and you can control them remotely.\Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down.\What the hell?\The government and your powers... response:	It's all fake!
context: Too awesome, right?!\To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down.\What the hell?\The government and your powers...\It's all fake! response:	Didn't I tell you to calm down?
context: To me, you all looked afraid because there was so much you didn't understand.\So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down.\What the hell?\The government and your powers...\It's all fake!\Didn't I tell you to calm down? response:	Don't make me angry.
context: So I made one fact perfectly clear.\Now we can move forward.\I want you all to calm down.\What the hell?\The government and your powers...\It's all fake!\Didn't I tell you to calm down?\Don't make me angry. response:	Just like you saw yesterday,
context: Now we can move forward.\I want you all to calm down.\What the hell?\The government and your powers...\It's all fake!\Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday, response:	we have a way of fighting.
context: I want you all to calm down.\What the hell?\The government and your powers...\It's all fake!\Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday,\we have a way of fighting. response:	So rest easy regarding that aspect.
context: What the hell?\The government and your powers...\It's all fake!\Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect. response:	That's why I want whoever's going to be the leader to really think.
context: The government and your powers...\It's all fake!\Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think. response:	To think of a way we'll all be saved.
context: It's all fake!\Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved. response:	That's all.
context: Didn't I tell you to calm down?\Don't make me angry.\Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all. response:	Excuse me.
context: Don't make me angry.\Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all.\Excuse me. response:	Hold up, Shu.
context: Just like you saw yesterday,\we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all.\Excuse me.\Hold up, Shu. response:	This isn't over yet.
context: we have a way of fighting.\So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all.\Excuse me.\Hold up, Shu.\This isn't over yet. response:	Hey everybody! I think Shu's absolutely right!
context: So rest easy regarding that aspect.\That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all.\Excuse me.\Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right! response:	So let me ask you. Who on that stage would make the best leader?
context: That's why I want whoever's going to be the leader to really think.\To think of a way we'll all be saved.\That's all.\Excuse me.\Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader? response:	Shu!
context: To think of a way we'll all be saved.\That's all.\Excuse me.\Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu! response:	Ouma Shu!
context: That's all.\Excuse me.\Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu! response:	Shu!
context: Excuse me.\Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu!\Shu! response:	Yahiro, what are you...?
context: Hold up, Shu.\This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu!\Shu!\Yahiro, what are you...? response:	Everyone who agrees Ouma Shu should be our new president, clap your hands!
context: This isn't over yet.\Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu!\Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands! response:	Yahiro, what was that for?
context: Hey everybody! I think Shu's absolutely right!\So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu!\Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for? response:	I'll help you with the job. Give it a try.
context: So let me ask you. Who on that stage would make the best leader?\Shu!\Ouma Shu!\Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try. response:	Don't you think this is what you can do right now?
context: Shu!\Ouma Shu!\Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now? response:	What?
context: Ouma Shu!\Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What? response:	What did you just say, Yahiro?
context: Shu!\Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What?\What did you just say, Yahiro? response:	We'll rank all the students on a scale of A to F
context: Yahiro, what are you...?\Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What?\What did you just say, Yahiro?\We'll rank all the students on a scale of A to F response:	based on their genomic resonance values,
context: Everyone who agrees Ouma Shu should be our new president, clap your hands!\Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What?\What did you just say, Yahiro?\We'll rank all the students on a scale of A to F\based on their genomic resonance values, response:	and you, Shu, will reign over them.
context: Yahiro, what was that for?\I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What?\What did you just say, Yahiro?\We'll rank all the students on a scale of A to F\based on their genomic resonance values,\and you, Shu, will reign over them. response:	From now on, the value of a person lies in the value of their Void.
context: I'll help you with the job. Give it a try.\Don't you think this is what you can do right now?\What?\What did you just say, Yahiro?\We'll rank all the students on a scale of A to F\based on their genomic resonance values,\and you, Shu, will reign over them.\From now on, the value of a person lies in the value of their Void. response:	You could call it a Void ranking system.
