context: This doesn't seem to be it either, does it? response:	We still have a long way to go.
context: But the place that would give you guys the most trouble?\My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right? response:	Well, yeah, since money talks in that place as long as you pay up.
context: My guess would be Rotlicht.\Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up. response:	Hey, hey, Camilla!
context: Why do you say that?\In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla! response:	How about snapping out of that bad mood?
context: In the Redevelopment District, you could search as you wish,\but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood? response:	We might've lost instead if we hadn't used you-know-what.
context: but in Rotlicht, both legal and illegal shops are clustered together.\You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what. response:	You knew that yourself from the start, didn't you?
context: You couldn't just barge into one of those places, could you?\But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you? response:	You and I are striving for different things, Camilla.
context: But then someone would have to be in on it with Grimalkin,\since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla. response:	Your final goal is Ultimate Universality.
context: since they work solo, right?\Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality. response:	In other words, a weapon that can be wielded by anyone...
context: Well, yeah, since money talks in that place as long as you pay up.\Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone... response:	By any kind of person at all, right?
context: Hey, hey, Camilla!\How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right? response:	That's right.
context: How about snapping out of that bad mood?\We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right. response:	But no such weapon exists in this world.
context: We might've lost instead if we hadn't used you-know-what.\You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right.\But no such weapon exists in this world. response:	So we're going to create beings that can wield weapons, puppets,
context: You knew that yourself from the start, didn't you?\You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets, response:	that humans will only have to issue orders to.
context: You and I are striving for different things, Camilla.\Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to. response:	Such puppets have no need for a will of their own.
context: Your final goal is Ultimate Universality.\In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own. response:	Actually, they shouldn't have a will, right?
context: In other words, a weapon that can be wielded by anyone...\By any kind of person at all, right?\That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right? response:	Right.
context: By any kind of person at all, right?\That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right. response:	So what I want is to produce autonomous puppets that can cry, laugh and grow.
context: That's right.\But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow. response:	For them to gain the same rights as humans one day, that's my goal.
context: But no such weapon exists in this world.\So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal. response:	Do you remember the day we first met?
context: So we're going to create beings that can wield weapons, puppets,\that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met? response:	Of course. How could I ever forget anything with that degree of impact?
context: that humans will only have to issue orders to.\Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact? response:	Good point.
context: Such puppets have no need for a will of their own.\Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point. response:	When my parents' workplace was attacked by anti-government forces...
context: Actually, they shouldn't have a will, right?\Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces... response:	The guards were decimated in the blink of an eye.
context: Right.\So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye. response:	My parents tried to fight back,
context: So what I want is to produce autonomous puppets that can cry, laugh and grow.\For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back, response:	but there was no way civilians could hold their own against trained warriors.
context: For them to gain the same rights as humans one day, that's my goal.\Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors. response:	Half of my body is the body of a puppet you made for me.
context: Do you remember the day we first met?\Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me. response:	And so I swore to you that I'd give you half of my life.
context: Of course. How could I ever forget anything with that degree of impact?\Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life. response:	That it was yours.
context: Good point.\When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours. response:	Yep, you gave it to me, all right!
context: When my parents' workplace was attacked by anti-government forces...\The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right! response:	So... I have no intention of criticizing your dream.
context: The guards were decimated in the blink of an eye.\My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream. response:	I admit that we have different goals,
context: My parents tried to fight back,\but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals, response:	but that's another story!
context: but there was no way civilians could hold their own against trained warriors.\Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story! response:	Then why are you so mad?
context: Half of my body is the body of a puppet you made for me.\And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story!\Then why are you so mad? response:	This is my rage as an engineer!
context: And so I swore to you that I'd give you half of my life.\That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story!\Then why are you so mad?\This is my rage as an engineer! response:	That was too dangerous to put into practice!
context: That it was yours.\Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story!\Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice! response:	But if we'd lost then, it would've been game over for us!
context: Yep, you gave it to me, all right!\So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story!\Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us! response:	You must have enough results by now!
context: So... I have no intention of criticizing your dream.\I admit that we have different goals,\but that's another story!\Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now! response:	My only goal is to win it all!
context: I admit that we have different goals,\but that's another story!\Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all! response:	And then I'm going to have AR-D and RM-C accepted as students here!
context: but that's another story!\Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here! response:	If that happens, see, people will embrace autonomous puppets, more and more!
context: Then why are you so mad?\This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more! response:	Seriously...
context: This is my rage as an engineer!\That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously... response:	Master...
context: That was too dangerous to put into practice!\But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master... response:	I am very sorry to trouble you,
context: But if we'd lost then, it would've been game over for us!\You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master...\I am very sorry to trouble you, response:	but there's something I'd like you to do for me.
context: You must have enough results by now!\My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me. response:	Huh? What's up?
context: My only goal is to win it all!\And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up? response:	I was wondering if you could possibly leave this scar carved into my face, as it is.
context: And then I'm going to have AR-D and RM-C accepted as students here!\If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is. response:	Sure, that's not a problem...
context: If that happens, see, people will embrace autonomous puppets, more and more!\Seriously...\Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem... response:	But why would you ask for that?
context: Seriously...\Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that? response:	Needless to say, as proof that I fought this battle.
context: Master...\I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle. response:	You mean it's a badge of victory?
context: I am very sorry to trouble you,\but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory? response:	No, nothing as grand as that...
context: but there's something I'd like you to do for me.\Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that... response:	I have learned various things through this particular battle.
context: Huh? What's up?\I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle. response:	What I perceived after exposing my own imperfections...
context: I was wondering if you could possibly leave this scar carved into my face, as it is.\Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections... response:	this wasn't purely a matter of learning data,
context: Sure, that's not a problem...\But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data, response:	but what humans call...
context: But why would you ask for that?\Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call... response:	That's right... growth!
context: Needless to say, as proof that I fought this battle.\You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call...\That's right... growth! response:	I believe I achieved actual growth!
context: You mean it's a badge of victory?\No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call...\That's right... growth!\I believe I achieved actual growth! response:	And I want to leave behind proof of that.
context: No, nothing as grand as that...\I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call...\That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that. response:	Prodigious!
context: I have learned various things through this particular battle.\What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call...\That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious! response:	Don't tell me he's aware of his own growth?
context: What I perceived after exposing my own imperfections...\this wasn't purely a matter of learning data,\but what humans call...\That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth? response:	Master, I, too, have a favor to ask of you.
context: this wasn't purely a matter of learning data,\but what humans call...\That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you. response:	Hey... you, too, RM-C?
context: but what humans call...\That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C? response:	When I transfer limit control to AR-D...
context: That's right... growth!\I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D... response:	Yes, yes...
context: I believe I achieved actual growth!\And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes... response:	It would help if you could narrow the range a bit more
context: And I want to leave behind proof of that.\Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more response:	when my external armor is detached,
context: Prodigious!\Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached, response:	or adjust it somehow.
context: Don't tell me he's aware of his own growth?\Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow. response:	As it's humiliating...
context: Master, I, too, have a favor to ask of you.\Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow.\As it's humiliating... response:	The thing is, since there are technical issues, see...
context: Hey... you, too, RM-C?\When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see... response:	I don't think it can be done in time for tomorrow.
context: When I transfer limit control to AR-D...\Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow. response:	Understood, Master.
context: Yes, yes...\It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master. response:	I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?
context: It would help if you could narrow the range a bit more\when my external armor is detached,\or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh? response:	It would be great to see this again during the final, too.
context: when my external armor is detached,\or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too. response:	Who knows what's going to happen?
context: or adjust it somehow.\As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen? response:	What am I gonna do now?
context: As it's humiliating...\The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now? response:	Not a single clue after all this asking around, huh?
context: The thing is, since there are technical issues, see...\I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh? response:	I guess I'll have a look further down there.
context: I don't think it can be done in time for tomorrow.\Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there. response:	Hey, you there!
context: Understood, Master.\I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there! response:	It's you, right?
context: I guess we can thank Saya Sasamiya and Kirin Toudou for this, too, huh?\It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there!\It's you, right? response:	The bastard who's been sniffing around here for some reason?
context: It would be great to see this again during the final, too.\Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason? response:	No, no, I'm just looking for someone, that's all.
context: Who knows what's going to happen?\What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all. response:	Then how about you come with us?
context: What am I gonna do now?\Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us? response:	Sorry, but I really don't have the time.
context: Not a single clue after all this asking around, huh?\I guess I'll have a look further down there.\Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time. response:	Come back here, you!
context: I guess I'll have a look further down there.\Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you! response:	That bastard! Where the hell did he go?
context: Hey, you there!\It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: It's you, right?\The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered. response:	Guess I'll head back out for now, and
context: The bastard who's been sniffing around here for some reason?\No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and response:	What should I do?
context: No, no, I'm just looking for someone, that's all.\Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do? response:	I can't cause a commotion now and risk getting noticed by the perpetrator.
context: Then how about you come with us?\Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator. response:	Hey, you...
context: Sorry, but I really don't have the time.\Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you... response:	Is someone chasing you, by any chance?
context: Come back here, you!\That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance? response:	If you're in trouble, I can help you!
context: That bastard! Where the hell did he go?\If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\If you're in trouble, I can help you! response:	Episode 19 Battle Song
context: If I go into the alley, I'll only get cornered.\Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\If you're in trouble, I can help you!\Episode 19 Battle Song response:	What did you think of that, Ayato? My singing...
context: Guess I'll head back out for now, and\What should I do?\I can't cause a commotion now and risk getting noticed by the perpetrator.\Hey, you...\Is someone chasing you, by any chance?\If you're in trouble, I can help you!\Episode 19 Battle Song\What did you think of that, Ayato? My singing... response:	It's not half bad, wouldn't you say?
