context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: Do you not want to marry Bai Qian of Qing Qiu because you have a secret?\There is no secret.\In the past, the one I doted on the most was your second uncle.\Yet, it was also your second uncle who disappointed me the most.\Did you know this?\I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him. response:	That is why I will not allow any mistakes.
context: There is no secret.\In the past, the one I doted on the most was your second uncle.\Yet, it was also your second uncle who disappointed me the most.\Did you know this?\I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes. response:	Especially...
context: In the past, the one I doted on the most was your second uncle.\Yet, it was also your second uncle who disappointed me the most.\Did you know this?\I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially... response:	in regards to women.
context: Yet, it was also your second uncle who disappointed me the most.\Did you know this?\I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially...\in regards to women. response:	- Do you understand? - I understand.
context: Did you know this?\I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially...\in regards to women.\- Do you understand? - I understand. response:	That is good.
context: I knew.\I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially...\in regards to women.\- Do you understand? - I understand.\That is good. response:	As for the marriage with Qing Qiu, let me think about it.
context: I have spent dozens of millennia of efforts on you.\And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially...\in regards to women.\- Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it. response:	What do you think, Dijun?
context: And have been more meticulous with you than I have been with him.\That is why I will not allow any mistakes.\Especially...\in regards to women.\- Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun? response:	It is a bit of rush.
context: That is why I will not allow any mistakes.\Especially...\in regards to women.\- Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush. response:	The engagement was just decided.
context: Especially...\in regards to women.\- Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush.\The engagement was just decided. response:	If you immediately start discussing the bridal procession
context: in regards to women.\- Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession response:	I'm afraid it will scare Fox King into thinking
context: - Do you understand? - I understand.\That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking response:	Crown Prince has some unmentionable disease
context: That is good.\As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease response:	and is afraid Qing Qiu will call off the engagement.
context: As for the marriage with Qing Qiu, let me think about it.\What do you think, Dijun?\It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement. response:	Oh, yes.
context: What do you think, Dijun?\It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes. response:	I heard you had shown your dragon form in the mortal realm.
context: It is a bit of rush.\The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm. response:	Why was that?
context: The engagement was just decided.\If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that? response:	Of course, it was to subdue the Golden Lion.
context: If you immediately start discussing the bridal procession\I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion. response:	When did I tell you to speak?
context: I'm afraid it will scare Fox King into thinking\Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak? response:	I had wanted to wait until the case began to unfold before reporting to you.
context: Crown Prince has some unmentionable disease\and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you. response:	Isn't this the artifact that Mo Yuan gave to his precious disciple?
context: and is afraid Qing Qiu will call off the engagement.\Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple? response:	The Jade Purity Fan of Kunlun?
context: Oh, yes.\I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun? response:	It is the Jade Purity Fan of Kunlun.
context: I heard you had shown your dragon form in the mortal realm.\Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun. response:	I encountered Ghost Lord Li Jing in the mortal realm.
context: Why was that?\Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm. response:	This fan was in his possession.
context: Of course, it was to subdue the Golden Lion.\When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession. response:	In Li Jing's possession?
context: When did I tell you to speak?\I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession? response:	Mo Yuan's body and Si Yin have been missing for 70,000 years.
context: I had wanted to wait until the case began to unfold before reporting to you.\Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years. response:	How come the artifact would end up in the Ghost Realm?
context: Isn't this the artifact that Mo Yuan gave to his precious disciple?\The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm? response:	I found this odd as well.
context: The Jade Purity Fan of Kunlun?\It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well. response:	There were some complications in the process of retrieving this fan.
context: It is the Jade Purity Fan of Kunlun.\I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan. response:	After revealing my dragon form
context: I encountered Ghost Lord Li Jing in the mortal realm.\This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form response:	I returned to the Celestial Palace and hoped to investigate this case.
context: This fan was in his possession.\In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case. response:	Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.
context: In Li Jing's possession?\Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance. response:	Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.
context: Mo Yuan's body and Si Yin have been missing for 70,000 years.\How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain. response:	He should be buried in the Sea of Innocence.
context: How come the artifact would end up in the Ghost Realm?\I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence. response:	This matter must be thoroughly investigated.
context: I found this odd as well.\There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated. response:	However, since 70,000 years have passed, there is no need to hurry.
context: There were some complications in the process of retrieving this fan.\After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry. response:	- Yes. - And also...
context: After revealing my dragon form\I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also... response:	Su Jin is officially named consort today.
context: I returned to the Celestial Palace and hoped to investigate this case.\Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today. response:	The two of you grew up together.
context: Perhaps finding this fan will uncover the reason for Mo Yuan's disappearance.\Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together. response:	No matter what, you must have a toast with her.
context: Mo Yuan is the son of Heavenly Father and master of Kunlun Mountain.\He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her. response:	- Today? - Yes.
context: He should be buried in the Sea of Innocence.\This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes. response:	Conferring the title of consort upon her
context: This matter must be thoroughly investigated.\However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her response:	was to appease the various branch leaders.
context: However, since 70,000 years have passed, there is no need to hurry.\- Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders. response:	Now that the Mermaid Clan has intents to rebel
context: - Yes. - And also...\Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel response:	a war could happen at any time.
context: Su Jin is officially named consort today.\The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time. response:	Conferring the title of consort upon her was only a matter of time.
context: The two of you grew up together.\No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time. response:	Congratulations, Heavenly Lord.
context: No matter what, you must have a toast with her.\- Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord. response:	Ye Hua.
context: - Today? - Yes.\Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua. response:	In a little while, you will set out with the new consort
context: Conferring the title of consort upon her\was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort response:	on a trip back to her hometown to worship her ancestors.
context: was to appease the various branch leaders.\Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors. response:	Worship her ancestors?
context: Now that the Mermaid Clan has intents to rebel\a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors? response:	Worshiping her ancestors is merely a pretense.
context: a war could happen at any time.\Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense. response:	It is a show you put on for the branch leaders.
context: Conferring the title of consort upon her was only a matter of time.\Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders. response:	You are the next Heavenly Lord.
context: Congratulations, Heavenly Lord.\Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord. response:	You must forge a good relationship with the various branch leaders.
context: Ye Hua.\In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders. response:	Having Su Jin with you will facilitate the process.
context: In a little while, you will set out with the new consort\on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process. response:	After all, those leaders greatly dote on this descendant of a favored subject.
context: on a trip back to her hometown to worship her ancestors.\Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject. response:	I understand.
context: Worship her ancestors?\Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand. response:	I already had plans to meet these leaders
context: Worshiping her ancestors is merely a pretense.\It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders response:	to be fully prepared for the war against the Mermaid Clan.
context: It is a show you put on for the branch leaders.\You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan. response:	Good.
context: You are the next Heavenly Lord.\You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good. response:	My three sons...
context: You must forge a good relationship with the various branch leaders.\Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons... response:	can not compare to you, my good grandson.
context: Having Su Jin with you will facilitate the process.\After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons...\can not compare to you, my good grandson. response:	Fortunately, you brought out the Jade Purity Fan of Kunlun
context: After all, those leaders greatly dote on this descendant of a favored subject.\I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun response:	to survive this time.
context: I understand.\I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time. response:	It was also by chance that this fan came into my possession.
context: I already had plans to meet these leaders\to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession. response:	I can't believe it has even saved me.
context: to be fully prepared for the war against the Mermaid Clan.\Good.\My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me. response:	Seeing this fan, I really am reminded of that immortal.
context: Good.\My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal. response:	At Ruoshui 70,000 years ago, Si Yin and I were comrades.
context: My three sons...\can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades. response:	He and Mo Yuan...
context: can not compare to you, my good grandson.\Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan... response:	had a deep relationship as master and disciple.
context: Fortunately, you brought out the Jade Purity Fan of Kunlun\to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple. response:	Ye Hua, let me talk to you about something serious.
context: to survive this time.\It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious. response:	Please go ahead, Third Uncle.
context: It was also by chance that this fan came into my possession.\I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle. response:	How do I put this?
context: I can't believe it has even saved me.\Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this? response:	Your father will not approve of you marrying a mortal.
context: Seeing this fan, I really am reminded of that immortal.\At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal. response:	You must consider this carefully.
context: At Ruoshui 70,000 years ago, Si Yin and I were comrades.\He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully. response:	When you are with her, you two can only be elsewhere.
context: He and Mo Yuan...\had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere. response:	A day in heaven is a year in the mortal realm.
context: had a deep relationship as master and disciple.\Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm. response:	Do you intend on using two months to spend a lifetime with her?
context: Ye Hua, let me talk to you about something serious.\Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her? response:	No.
context: Please go ahead, Third Uncle.\How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No. response:	I don't merely want two months.
context: How do I put this?\Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months. response:	I knew you wouldn't be able to part with her.
context: Your father will not approve of you marrying a mortal.\You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months.\I knew you wouldn't be able to part with her. response:	You want her to be with you for a long time
context: You must consider this carefully.\When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time response:	so you have to take her away from the mortal realm.
context: When you are with her, you two can only be elsewhere.\A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm. response:	But, Ye Hua, you must know
context: A day in heaven is a year in the mortal realm.\Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know response:	that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.
context: Do you intend on using two months to spend a lifetime with her?\No.\I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu. response:	You must not bring her here to heaven.
context: No.\I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven. response:	Your second uncle's mistakes are tragically clear for you to see.
context: I don't merely want two months.\I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see. response:	I know.
context: I knew you wouldn't be able to part with her.\You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know. response:	I do feel guilty for forcing you and Bai Qian of Qing Qiu together.
context: You want her to be with you for a long time\so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together. response:	Now, it seems I dug the hole myself and buried you in it.
context: so you have to take her away from the mortal realm.\But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it. response:	Third Uncle.
context: But, Ye Hua, you must know\that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle. response:	Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.
context: that all the immortals of the world know you are to marry Bai Qian of Qing Qiu.\You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu. response:	From the day I was born, I was named the next Heavenly Lord.
context: You must not bring her here to heaven.\Your second uncle's mistakes are tragically clear for you to see.\I know.\I do feel guilty for forcing you and Bai Qian of Qing Qiu together.\Now, it seems I dug the hole myself and buried you in it.\Third Uncle.\Even without Bai Qian of Qing Qiu there would be Qing Qian of Bai Qiu.\From the day I was born, I was named the next Heavenly Lord. response:	With or without this engagement
