context: Yo! Over here. response:	Sorry for calling you out on such short notice.
context: My parents are abnormal.\My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh? response:	But I think it's hardest for them.
context: My mom usually doesn't leave the house.\I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh?\But I think it's hardest for them. response:	Because parents are, you know...
context: I think she doesn't want to see other people.\I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh?\But I think it's hardest for them.\Because parents are, you know... response:	Anyway, you don't have to tell me all this.
context: I think it's hard for her because my sister passed away.\But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh?\But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this. response:	They still have another child left.
context: But it's creepy.\Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh?\But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left. response:	I was still a little kid, so I don't really remember my sister.
context: Or how could I put it... it's embarrassing to have a mother like that.\What in the world are parents thinking.\Huh?\But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister. response:	But there are a few things I do remember.
context: What in the world are parents thinking.\Huh?\But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember. response:	I'm going!
context: Huh?\But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going! response:	Me too!
context: But I think it's hardest for them.\Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going!\Me too! response:	Huh?
context: Because parents are, you know...\Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going!\Me too!\Huh? response:	I'm going too!
context: Anyway, you don't have to tell me all this.\They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going!\Me too!\Huh?\I'm going too! response:	You can't come.
context: They still have another child left.\I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going!\Me too!\Huh?\I'm going too!\You can't come. response:	I'm going!
context: I was still a little kid, so I don't really remember my sister.\But there are a few things I do remember.\I'm going!\Me too!\Huh?\I'm going too!\You can't come.\I'm going! response:	But you know, I'm in the Super Peace Busters!
context: But there are a few things I do remember.\I'm going!\Me too!\Huh?\I'm going too!\You can't come.\I'm going!\But you know, I'm in the Super Peace Busters! response:	I'm going to protect world peace! So you stay here and protect the house.
context: I'm going!\Me too!\Huh?\I'm going too!\You can't come.\I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house. response:	Got it?
context: Me too!\Huh?\I'm going too!\You can't come.\I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it? response:	Yeah!
context: Huh?\I'm going too!\You can't come.\I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah! response:	She told me to protect the house.
context: I'm going too!\You can't come.\I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah!\She told me to protect the house. response:	But who'd want something from that stingy dump.
context: You can't come.\I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah!\She told me to protect the house.\But who'd want something from that stingy dump. response:	Hey listen.
context: I'm going!\But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah!\She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen. response:	A-Anjou.
context: But you know, I'm in the Super Peace Busters!\I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah!\She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen.\A-Anjou. response:	Oh, Jintan showed up too.
context: I'm going to protect world peace! So you stay here and protect the house.\Got it?\Yeah!\She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen.\A-Anjou.\Oh, Jintan showed up too. response:	Yadomi.
context: Got it?\Yeah!\She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen.\A-Anjou.\Oh, Jintan showed up too.\Yadomi. response:	Why is everyone...
context: Yeah!\She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen.\A-Anjou.\Oh, Jintan showed up too.\Yadomi.\Why is everyone... response:	What have you been doing today?
context: She told me to protect the house.\But who'd want something from that stingy dump.\Hey listen.\A-Anjou.\Oh, Jintan showed up too.\Yadomi.\Why is everyone...\What have you been doing today? response:	What? I've been at work.
context: But who'd want something from that stingy dump.\Hey listen.\A-Anjou.\Oh, Jintan showed up too.\Yadomi.\Why is everyone...\What have you been doing today?\What? I've been at work. response:	Have you been calling us?
context: Hey listen.\A-Anjou.\Oh, Jintan showed up too.\Yadomi.\Why is everyone...\What have you been doing today?\What? I've been at work.\Have you been calling us? response:	Calling?
context: A-Anjou.\Oh, Jintan showed up too.\Yadomi.\Why is everyone...\What have you been doing today?\What? I've been at work.\Have you been calling us?\Calling? response:	I got a silent phone call around 5 o'clock.
context: Oh, Jintan showed up too.\Yadomi.\Why is everyone...\What have you been doing today?\What? I've been at work.\Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock. response:	Silent?
context: Yadomi.\Why is everyone...\What have you been doing today?\What? I've been at work.\Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock.\Silent? response:	What about it? Are you going to say it was Menma again?
context: Why is everyone...\What have you been doing today?\What? I've been at work.\Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again? response:	Menma?
context: What have you been doing today?\What? I've been at work.\Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again?\Menma? response:	My dad and I were both out of the house then, so maybe Menma really did...
context: What? I've been at work.\Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did... response:	What's wrong with you? You keep blabbering Menma, Menma.
context: Have you been calling us?\Calling?\I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma. response:	Well?
context: Calling?\I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well? response:	Hey... Yo!
context: I got a silent phone call around 5 o'clock.\Silent?\What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo! response:	Yukiatsu.
context: Silent?\What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo!\Yukiatsu. response:	Why don't you show her to me too. Menma is there right?
context: What about it? Are you going to say it was Menma again?\Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right? response:	Show her to me if she is!
context: Menma?\My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is! response:	Stop it Yukiatsu.
context: My dad and I were both out of the house then, so maybe Menma really did...\What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu. response:	Are you alright?
context: What's wrong with you? You keep blabbering Menma, Menma.\Well?\Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu.\Are you alright? response:	Calm down.
context: Well?\Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu.\Are you alright?\Calm down. response:	She's right. Chill out.
context: Hey... Yo!\Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu.\Are you alright?\Calm down.\She's right. Chill out. response:	Menma.
context: Yukiatsu.\Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu.\Are you alright?\Calm down.\She's right. Chill out.\Menma. response:	Not that again...
context: Why don't you show her to me too. Menma is there right?\Show her to me if she is!\Stop it Yukiatsu.\Are you alright?\Calm down.\She's right. Chill out.\Menma.\Not that again... response:	Stop doing that.
context: Show her to me if she is!\Stop it Yukiatsu.\Are you alright?\Calm down.\She's right. Chill out.\Menma.\Not that again...\Stop doing that. response:	You're the worst. You're keeping this act about seeing Menma's ghost even now.
context: Stop it Yukiatsu.\Are you alright?\Calm down.\She's right. Chill out.\Menma.\Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now. response:	That's not it.
context: Are you alright?\Calm down.\She's right. Chill out.\Menma.\Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it. response:	I'm sorry, everyone.
context: Calm down.\She's right. Chill out.\Menma.\Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone. response:	Why are you apologizing?
context: She's right. Chill out.\Menma.\Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone.\Why are you apologizing? response:	Yadomi!
context: Menma.\Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone.\Why are you apologizing?\Yadomi! response:	Is Menma there Jintan?
context: Not that again...\Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone.\Why are you apologizing?\Yadomi!\Is Menma there Jintan? response:	You stop it too Poppo!
context: Stop doing that.\You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone.\Why are you apologizing?\Yadomi!\Is Menma there Jintan?\You stop it too Poppo! response:	Calm down Yukiatsu!
context: You're the worst. You're keeping this act about seeing Menma's ghost even now.\That's not it.\I'm sorry, everyone.\Why are you apologizing?\Yadomi!\Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu! response:	Jintan, time out.
context: That's not it.\I'm sorry, everyone.\Why are you apologizing?\Yadomi!\Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out. response:	Menm...
context: I'm sorry, everyone.\Why are you apologizing?\Yadomi!\Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out.\Menm... response:	I'm begging you. I'm begging.
context: Why are you apologizing?\Yadomi!\Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out.\Menm...\I'm begging you. I'm begging. response:	Please, stop it already.
context: Yadomi!\Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out.\Menm...\I'm begging you. I'm begging.\Please, stop it already. response:	The things we did to Menma won't fade for the rest of our lives.
context: Is Menma there Jintan?\You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out.\Menm...\I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives. response:	Menma apologizing to us is a lie.
context: You stop it too Poppo!\Calm down Yukiatsu!\Jintan, time out.\Menm...\I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie. response:	There's no way that Menma could forgive us.
context: Calm down Yukiatsu!\Jintan, time out.\Menm...\I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us. response:	Yukiatsu.
context: Jintan, time out.\Menm...\I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu. response:	The diary?
context: Menm...\I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu.\The diary? response:	Why? There's no wind.
context: I'm begging you. I'm begging.\Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu.\The diary?\Why? There's no wind. response:	Stop it guys.
context: Please, stop it already.\The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu.\The diary?\Why? There's no wind.\Stop it guys. response:	Really, why did it...
context: The things we did to Menma won't fade for the rest of our lives.\Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu.\The diary?\Why? There's no wind.\Stop it guys.\Really, why did it... response:	What's wrong Popo?
context: Menma apologizing to us is a lie.\There's no way that Menma could forgive us.\Yukiatsu.\The diary?\Why? There's no wind.\Stop it guys.\Really, why did it...\What's wrong Popo? response:	Today I played at the secret fort with everyone who had grown up.
context: There's no way that Menma could forgive us.\Yukiatsu.\The diary?\Why? There's no wind.\Stop it guys.\Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up. response:	You shouldn't fight.
context: Yukiatsu.\The diary?\Why? There's no wind.\Stop it guys.\Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight. response:	The Super Peace Busters should always get along.
context: The diary?\Why? There's no wind.\Stop it guys.\Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along. response:	Let me see that.
context: Why? There's no wind.\Stop it guys.\Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that. response:	This is Menma's handwriting.
context: Stop it guys.\Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting. response:	It's Menma's?
context: Really, why did it...\What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting.\It's Menma's? response:	That's right.
context: What's wrong Popo?\Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting.\It's Menma's?\That's right. response:	Menma... Why did you...
context: Today I played at the secret fort with everyone who had grown up.\You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting.\It's Menma's?\That's right.\Menma... Why did you... response:	Hey Jintan.
context: You shouldn't fight.\The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting.\It's Menma's?\That's right.\Menma... Why did you...\Hey Jintan. response:	Is it really Menma?
context: The Super Peace Busters should always get along.\Let me see that.\This is Menma's handwriting.\It's Menma's?\That's right.\Menma... Why did you...\Hey Jintan.\Is it really Menma? response:	Yeah.
context: Let me see that.\This is Menma's handwriting.\It's Menma's?\That's right.\Menma... Why did you...\Hey Jintan.\Is it really Menma?\Yeah. response:	Episode 8
context: This is Menma's handwriting.\It's Menma's?\That's right.\Menma... Why did you...\Hey Jintan.\Is it really Menma?\Yeah.\Episode 8 response:	We still don't know the name of the flower we saw that day.
context: It's Menma's?\That's right.\Menma... Why did you...\Hey Jintan.\Is it really Menma?\Yeah.\Episode 8\We still don't know the name of the flower we saw that day. response:	nanpeeji mo tsuiyashite
context: That's right.\Menma... Why did you...\Hey Jintan.\Is it really Menma?\Yeah.\Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: Menma... Why did you...\Hey Jintan.\Is it really Menma?\Yeah.\Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: Hey Jintan.\Is it really Menma?\Yeah.\Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: Is it really Menma?\Yeah.\Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
context: Yeah.\Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
context: Episode 8\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
context: tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni response:	douka mata aemasuyouni nante
context: umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante response:	douka shiteru mitai
context: kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai response:	nanpeeji mo tsuiyashite
context: migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
context: mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
context: douka mata aemasuyouni nante\douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: douka shiteru mitai\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
context: tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni response:	douka mata aemasuyouni nante
context: umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante response:	douka shiteru mitai
context: kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai response:	Upon pages and pages of entries
context: migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries response:	We've put down all our emotions
context: zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions response:	But now I've hit a writer's block
context: souyatte ima wa boku no hou e\toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block response:	I don't know how to finish this page anymore
context: toitsumeru koto mo nakute\mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore response:	Putting a bookmark in my diary
context: mada futari wa sugu soko ni irunoni\douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary response:	You and I go out to ride the bike we found in the dumpster
context: douka mata aemasuyouni nante\douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster response:	Let's go to our secret place
context: douka shiteru mitai\Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place response:	Where we piled up our bricks of memories
context: Upon pages and pages of entries\We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories response:	Run up the hill, where we can see the horizon
context: We've put down all our emotions\But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon response:	Where we can see the sky so fearfully blue
context: But now I've hit a writer's block\I don't know how to finish this page anymore\Putting a bookmark in my diary\You and I go out to ride the bike we found in the dumpster\Let's go to our secret place\Where we piled up our bricks of memories\Run up the hill, where we can see the horizon\Where we can see the sky so fearfully blue response:	With cider in my right hand
