context: A healthy soul... response:	Are you alright, Sid-kun?
context: What have you been observing at Shibusen until now?\Are you stupid or something?\Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast?\Yeah... response:	Medusa...
context: Are you stupid or something?\Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast?\Yeah...\Medusa... response:	Seeing you in your infirmary uniform made my heart beat fast...
context: Youngster...\Well, it's alright...\The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast?\Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast... response:	I thought I was the only one who was going to remove that uniform.
context: Well, it's alright...\The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast?\Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform. response:	I danced with her though...
context: The Devil Sword awaits them in the next place.\Uh?\Oi! Did something just pass by here really fast?\Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though... response:	I was watching, damn it! You got a head start!
context: Uh?\Oi! Did something just pass by here really fast?\Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start! response:	You keep fooling around in front of me...
context: Oi! Did something just pass by here really fast?\Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me... response:	It's very unpleasant.
context: Yeah...\Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant. response:	My, is that so?
context: Medusa...\Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant.\My, is that so? response:	Yes... that's better.
context: Seeing you in your infirmary uniform made my heart beat fast...\I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant.\My, is that so?\Yes... that's better. response:	With that expression of yours, I'll dance with you one more time.
context: I thought I was the only one who was going to remove that uniform.\I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant.\My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time. response:	Unfortunately that's impossible...
context: I danced with her though...\I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant.\My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible... response:	My feet, when did he...
context: I was watching, damn it! You got a head start!\You keep fooling around in front of me...\It's very unpleasant.\My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he... response:	Soul Sewing...
context: You keep fooling around in front of me...\It's very unpleasant.\My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he...\Soul Sewing... response:	When that Soul Purge hit you before, I used my soul frequency...
context: It's very unpleasant.\My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency... response:	I controlled it like a string and sewed your feet.
context: My, is that so?\Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet. response:	Being able to precisely control your soul that much...
context: Yes... that's better.\With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much... response:	The weapon's effect on the technician's soul isn't merely amplification...
context: With that expression of yours, I'll dance with you one more time.\Unfortunately that's impossible...\My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification... response:	It can improve precise control over the soul too...
context: Unfortunately that's impossible...\My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too... response:	A technique that is possible because of the best technician and weapon.
context: My feet, when did he...\Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon. response:	Medusa, I'll say this at least...
context: Soul Sewing...\When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least... response:	I'm the only Death Scythe in Shibusen...
context: When that Soul Purge hit you before, I used my soul frequency...\I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen... response:	If I allow the rebirth of the Kishin,
context: I controlled it like a string and sewed your feet.\Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin, response:	Meaning?
context: Being able to precisely control your soul that much...\The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning? response:	Meaning...
context: The weapon's effect on the technician's soul isn't merely amplification...\It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning?\Meaning... response:	We're definitely going to win is what you want to say, right, senpai?
context: It can improve precise control over the soul too...\A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai? response:	Stein! Don't steal my finishing lines!
context: A technique that is possible because of the best technician and weapon.\Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines! response:	Medusa...
context: Medusa, I'll say this at least...\I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa... response:	Soul Purge!
context: I'm the only Death Scythe in Shibusen...\If I allow the rebirth of the Kishin,\Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa...\Soul Purge! response:	Sewing!
context: If I allow the rebirth of the Kishin,\Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa...\Soul Purge!\Sewing! response:	You're finished!
context: Meaning?\Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa...\Soul Purge!\Sewing!\You're finished! response:	The way you're headed is not this way!
context: Meaning...\We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa...\Soul Purge!\Sewing!\You're finished!\The way you're headed is not this way! response:	Vector Plate!
context: We're definitely going to win is what you want to say, right, senpai?\Stein! Don't steal my finishing lines!\Medusa...\Soul Purge!\Sewing!\You're finished!\The way you're headed is not this way!\Vector Plate! response:	What happened?
context: Stein! Don't steal my finishing lines!\Medusa...\Soul Purge!\Sewing!\You're finished!\The way you're headed is not this way!\Vector Plate!\What happened? response:	Whatever stands on that plate...
context: Medusa...\Soul Purge!\Sewing!\You're finished!\The way you're headed is not this way!\Vector Plate!\What happened?\Whatever stands on that plate... response:	And, of course, it has an effect on me as well.
context: Soul Purge!\Sewing!\You're finished!\The way you're headed is not this way!\Vector Plate!\What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well. response:	Vector Plate!
context: Sewing!\You're finished!\The way you're headed is not this way!\Vector Plate!\What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate! response:	I'm afraid of close combat with you.
context: You're finished!\The way you're headed is not this way!\Vector Plate!\What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you. response:	Shit, again?
context: The way you're headed is not this way!\Vector Plate!\What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you.\Shit, again? response:	Now, make your way back!
context: Vector Plate!\What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you.\Shit, again?\Now, make your way back! response:	Sewing.
context: What happened?\Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you.\Shit, again?\Now, make your way back!\Sewing. response:	He sewed his own body down?
context: Whatever stands on that plate...\And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you.\Shit, again?\Now, make your way back!\Sewing.\He sewed his own body down? response:	But under what circumstances can you avoid this?
context: And, of course, it has an effect on me as well.\Vector Plate!\I'm afraid of close combat with you.\Shit, again?\Now, make your way back!\Sewing.\He sewed his own body down?\But under what circumstances can you avoid this? response:	Light Serpent!
context: Vector Plate!\I'm afraid of close combat with you.\Shit, again?\Now, make your way back!\Sewing.\He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent! response:	Removal!
context: I'm afraid of close combat with you.\Shit, again?\Now, make your way back!\Sewing.\He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent!\Removal! response:	Nice! Finding the right timing, and using the plate as a counter!
context: Shit, again?\Now, make your way back!\Sewing.\He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter! response:	Vector Storm!
context: Now, make your way back!\Sewing.\He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm! response:	Stein!
context: Sewing.\He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein! response:	There are a thousand snakes inside my body...
context: He sewed his own body down?\But under what circumstances can you avoid this?\Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein!\There are a thousand snakes inside my body... response:	It won't let a prey that comes close escape.
context: But under what circumstances can you avoid this?\Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape. response:	What's with the afraid of close combat stuff?
context: Light Serpent!\Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff? response:	You are, after all, a short ranged witch.
context: Removal!\Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch. response:	Infiltrating as an infirmary nurse...
context: Nice! Finding the right timing, and using the plate as a counter!\Vector Storm!\Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse... response:	You're all lies.
context: Vector Storm!\Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies. response:	Is that so?
context: Stein!\There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies.\Is that so? response:	It's not all lies.
context: There are a thousand snakes inside my body...\It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies.\Is that so?\It's not all lies. response:	Won't you come with me?
context: It won't let a prey that comes close escape.\What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies.\Is that so?\It's not all lies.\Won't you come with me? response:	What I said during the party...
context: What's with the afraid of close combat stuff?\You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies.\Is that so?\It's not all lies.\Won't you come with me?\What I said during the party... response:	Those were my true feelings.
context: You are, after all, a short ranged witch.\Infiltrating as an infirmary nurse...\You're all lies.\Is that so?\It's not all lies.\Won't you come with me?\What I said during the party...\Those were my true feelings. response:	I want you.
context: Infiltrating as an infirmary nurse...\You're all lies.\Is that so?\It's not all lies.\Won't you come with me?\What I said during the party...\Those were my true feelings.\I want you. response:	And you are interested in the world I desire too.
context: You're all lies.\Is that so?\It's not all lies.\Won't you come with me?\What I said during the party...\Those were my true feelings.\I want you.\And you are interested in the world I desire too. response:	How about it, Franken Stein?
context: Is that so?\It's not all lies.\Won't you come with me?\What I said during the party...\Those were my true feelings.\I want you.\And you are interested in the world I desire too.\How about it, Franken Stein? response:	I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.
context: It's not all lies.\Won't you come with me?\What I said during the party...\Those were my true feelings.\I want you.\And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher. response:	Oi, what's wrong Stein?
context: Won't you come with me?\What I said during the party...\Those were my true feelings.\I want you.\And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein? response:	Vector Plate.
context: What I said during the party...\Those were my true feelings.\I want you.\And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate. response:	Professor Stein.
context: Those were my true feelings.\I want you.\And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate.\Professor Stein. response:	The arrows around you aim towards me.
context: I want you.\And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate.\Professor Stein.\The arrows around you aim towards me. response:	I always obtain what I desire.
context: And you are interested in the world I desire too.\How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate.\Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire. response:	You're not getting away.
context: How about it, Franken Stein?\I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate.\Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away. response:	This is bad... I already let someone pass by easily.
context: I'm not asking you as a Shibusen teacher. I'm asking you as a researcher.\Oi, what's wrong Stein?\Vector Plate.\Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily. response:	I'll get scolded again. I don't want that.
context: Oi, what's wrong Stein?\Vector Plate.\Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that. response:	You're the Devil Sword?
context: Vector Plate.\Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword? response:	Eh?
context: Professor Stein.\The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh? response:	You look pretty weak.
context: The arrows around you aim towards me.\I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh?\You look pretty weak. response:	It doesn't seem like I'll be able to stand out with you.
context: I always obtain what I desire.\You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you. response:	You seem to be on something, are you alright?
context: You're not getting away.\This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright? response:	Well, I really don't give a damn about you...
context: This is bad... I already let someone pass by easily.\I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you... response:	What matters is how I'm going to stand out.
context: I'll get scolded again. I don't want that.\You're the Devil Sword?\Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out. response:	Be careful, Black Star.
context: You're the Devil Sword?\Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star. response:	Wait, Black Star.
context: Eh?\You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star. response:	You're here faster than I thought for a slowpoke.
context: You look pretty weak.\It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke. response:	Devil Sword.
context: It doesn't seem like I'll be able to stand out with you.\You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword. response:	Leave this to me.
context: You seem to be on something, are you alright?\Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me. response:	What?
context: Well, I really don't give a damn about you...\What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me.\What? response:	But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.
context: What matters is how I'm going to stand out.\Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword. response:	Our attacks won't have any effect on the Devil Sword!
context: Be careful, Black Star.\Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword! response:	Idiot, don't mess with my stage.
context: Wait, Black Star.\You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage. response:	Hey, missie...
context: You're here faster than I thought for a slowpoke.\Devil Sword.\Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie... response:	If you continue to get carried away, I'll kill you, damn it!
context: Devil Sword.\Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it! response:	This is my revenge.
context: Leave this to me.\What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge. response:	The honor student Maka, disobeying a teacher's order, eh?
context: What?\But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh? response:	What is it? Reached the rebellious age?
context: But Maka-chan, in Professor's plan, Black Star is to take care of the Devil Sword.\Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age? response:	Shut up.
context: Our attacks won't have any effect on the Devil Sword!\Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up. response:	Alright, I'll make this stage...
context: Idiot, don't mess with my stage.\Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage... response:	It's impossible, because there's no more material left! It's definitely impossible!
context: Hey, missie...\If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible! response:	What are you saying Yamatoya-kun?
context: If you continue to get carried away, I'll kill you, damn it!\This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun? response:	Come on,
context: This is my revenge.\The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on, response:	Yeah, just like Minami-san said.
context: The honor student Maka, disobeying a teacher's order, eh?\What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said. response:	Everyone's doing their best...
context: What is it? Reached the rebellious age?\Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said.\Everyone's doing their best... response:	Yeah, what the director said.
context: Shut up.\Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said. response:	Hey, boss, you say something too.
context: Alright, I'll make this stage...\It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too. response:	Eh?
context: It's impossible, because there's no more material left! It's definitely impossible!\What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too.\Eh? response:	Uhm, yes.
context: What are you saying Yamatoya-kun?\Come on,\Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too.\Eh?\Uhm, yes. response:	It is for the show, so stop whining and give it your best.
context: Come on,\Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too.\Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best. response:	After all, I swung around the scythe.
context: Yeah, just like Minami-san said.\Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too.\Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe. response:	Yeah, I spoke in front of 1000 people for an event.
context: Everyone's doing their best...\Yeah, what the director said.\Hey, boss, you say something too.\Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event. response:	I drew the picture in the beginning.
context: Yeah, what the director said.\Hey, boss, you say something too.\Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning. response:	Impossible! I didn't get any sleep after all.
context: Hey, boss, you say something too.\Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all. response:	And anyhow, I'll be treated as a backstabber either way!
context: Eh?\Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way! response:	Backstabbers can only work in the back. I'm already doing so!
context: Uhm, yes.\It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so! response:	The late show crew treats me like a part timer too!
context: It is for the show, so stop whining and give it your best.\After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too! response:	I'm the only one who doesn't have a choice!!
context: After all, I swung around the scythe.\Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!! response:	Oh! Don't you think this is about ready?
context: Yeah, I spoke in front of 1000 people for an event.\I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready? response:	Are you ignoring me?
context: I drew the picture in the beginning.\Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me? response:	Oh yeah, it looks good. Okay then, boss give it a shot.
context: Impossible! I didn't get any sleep after all.\And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot. response:	What, me?!
context: And anyhow, I'll be treated as a backstabber either way!\Backstabbers can only work in the back. I'm already doing so!\The late show crew treats me like a part timer too!\I'm the only one who doesn't have a choice!!\Oh! Don't you think this is about ready?\Are you ignoring me?\Oh yeah, it looks good. Okay then, boss give it a shot.\What, me?! response:	Of course it's you.
