context: My name is Furuya Hotaru. response:	Today is my first day of high school.
context: I'm sure he's popular.\Huh?\What's wrong?\I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano...\I-I like you.\Thanks. response:	You're trying to cheer me up, right?
context: Huh?\What's wrong?\I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano...\I-I like you.\Thanks.\You're trying to cheer me up, right? response:	No?
context: What's wrong?\I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano...\I-I like you.\Thanks.\You're trying to cheer me up, right?\No? response:	No, I...
context: I was about to say something.\I figured I'd finish saying it.\S-So, um, Takano...\I-I like you.\Thanks.\You're trying to cheer me up, right?\No?\No, I... response:	I am.
context: I figured I'd finish saying it.\S-So, um, Takano...\I-I like you.\Thanks.\You're trying to cheer me up, right?\No?\No, I...\I am. response:	Well, this is my stop.
context: S-So, um, Takano...\I-I like you.\Thanks.\You're trying to cheer me up, right?\No?\No, I...\I am.\Well, this is my stop. response:	Oh? Bye.
context: I-I like you.\Thanks.\You're trying to cheer me up, right?\No?\No, I...\I am.\Well, this is my stop.\Oh? Bye. response:	Sugawara-kun's really nice.
context: Thanks.\You're trying to cheer me up, right?\No?\No, I...\I am.\Well, this is my stop.\Oh? Bye.\Sugawara-kun's really nice. response:	Maybe I'll bake him cookies as thanks for the umbrella.
context: You're trying to cheer me up, right?\No?\No, I...\I am.\Well, this is my stop.\Oh? Bye.\Sugawara-kun's really nice.\Maybe I'll bake him cookies as thanks for the umbrella. response:	Next episode: Short-Distance Relationships
context: No?\No, I...\I am.\Well, this is my stop.\Oh? Bye.\Sugawara-kun's really nice.\Maybe I'll bake him cookies as thanks for the umbrella.\Next episode: Short-Distance Relationships response:	Short-Distance Relationships
