context: My Lord, Xuan Nu fled to Yingzhou yesterday. response:	She has a mortal with her.
context: Brother Li Jing...\Where has the Crown Prince gone?\He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass? response:	Since when does the Celestial Tribe have to report to the Ghost Tribe?
context: Where has the Crown Prince gone?\He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe? response:	I only wish to remind Your Highness
context: He went toward the valley.\Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness response:	that you can use this grass to save anyone but Mo Yuan.
context: Crown Prince.\I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan. response:	Crown Prince, rest assured that
context: I've given the divine fungal grass to your sister.\I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that response:	I wish not to meddle in the affairs of the Celestial Tribe.
context: I wonder what brings you here?\Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe. response:	I only gave you such an advice to repay your kindness
context: Crown Prince.\Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness response:	in saving my son by giving me the divine fungal grass.
context: Could you tell me who you're going to save with the divine fungal grass?\Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass. response:	Why can't I save High God Mo Yuan?
context: Since when does the Celestial Tribe have to report to the Ghost Tribe?\I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan? response:	70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.
context: I only wish to remind Your Highness\that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor. response:	If he is revived 70,000 years later
context: that you can use this grass to save anyone but Mo Yuan.\Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later response:	the spirit that sealed up the bell would be gone.
context: Crown Prince, rest assured that\I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone. response:	Qing Cang could then break out of the bell.
context: I wish not to meddle in the affairs of the Celestial Tribe.\I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell. response:	High God Mo Yuan created the bell himself.
context: I only gave you such an advice to repay your kindness\in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself. response:	Could he not manipulate it?
context: in saving my son by giving me the divine fungal grass.\Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it? response:	Has Crown Prince ever considered that should Qing Can become more powerful
context: Why can't I save High God Mo Yuan?\70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful response:	how long could the bell trap him?
context: 70,000 years ago, Mo Yuan used his spirit to seal up Bell of the East Emperor.\If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him? response:	By then, Mo Yuan's spirit will vanish
context: If he is revived 70,000 years later\the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish response:	and I dare say that it won't be long before Qing Cang breaks out of the bell.
context: the spirit that sealed up the bell would be gone.\Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell. response:	Since Qing Cang is trapped in the bell how could he become more powerful?
context: Qing Cang could then break out of the bell.\High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful? response:	My siblings and I are Qing Cang's power vessels.
context: High God Mo Yuan created the bell himself.\Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels. response:	With the death of each child Qing Cang grows more powerful.
context: Could he not manipulate it?\Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful. response:	Just a few days ago, my brother died.
context: Has Crown Prince ever considered that should Qing Can become more powerful\how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died. response:	Since you and A-Yin are engaged
context: how long could the bell trap him?\By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged response:	the both of you will become the next Heavenly Lord and Empress.
context: By then, Mo Yuan's spirit will vanish\and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress. response:	Why would you help A-Yin revive High God Mo Yuan?
context: and I dare say that it won't be long before Qing Cang breaks out of the bell.\Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan? response:	High God Mo Yuan is Qian Qian's mentor.
context: Since Qing Cang is trapped in the bell how could he become more powerful?\My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor. response:	It's been Qian Qian's only wish for the past 70,000 years to revive him.
context: My siblings and I are Qing Cang's power vessels.\With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him. response:	If Qing Cang really breaks through the bell
context: With the death of each child Qing Cang grows more powerful.\Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell response:	will you use your own spirit to seal up Qing Cang
context: Just a few days ago, my brother died.\Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang response:	for the sake of A-Yin and Mo Yuan?
context: Since you and A-Yin are engaged\the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan? response:	This is all I have to say.
context: the both of you will become the next Heavenly Lord and Empress.\Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say. response:	You now hold the last of the divine fungal grass.
context: Why would you help A-Yin revive High God Mo Yuan?\High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass. response:	Only Your Highness could decide what to do with it.
context: High God Mo Yuan is Qian Qian's mentor.\It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it. response:	I'm actually...
context: It's been Qian Qian's only wish for the past 70,000 years to revive him.\If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually... response:	The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.
context: If Qing Cang really breaks through the bell\will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan. response:	How did you know?
context: will you use your own spirit to seal up Qing Cang\for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know? response:	What did I let slip?
context: for the sake of A-Yin and Mo Yuan?\This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip? response:	When I was knocked out by the mythical beasts
context: This is all I have to say.\You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip?\When I was knocked out by the mythical beasts response:	I overheard you say who your mentor was.
context: You now hold the last of the divine fungal grass.\Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was. response:	That's the rule in the Celestial Realm.
context: Only Your Highness could decide what to do with it.\I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm. response:	Before we get into combat we have to say who we are.
context: I'm actually...\The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are. response:	Otherwise, if we're defeated no one would collect our bodies.
context: The 16th disciple of Kunlun Mountain's Mo Yuan, Zi Lan.\How did you know?\What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies. response:	- Yan Zhi, I... - You...
context: How did you know?\What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You... response:	I'll be honest with you.
context: What did I let slip?\When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you. response:	Back then, your second brother barged into Kunlun Mountain
context: When I was knocked out by the mythical beasts\I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain response:	and said that he saw Si Yin
context: I overheard you say who your mentor was.\That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin response:	so I thought of coming to the Mortal Realm in search of my junior.
context: That's the rule in the Celestial Realm.\Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior. response:	Who knew that I'd run into you when you were in trouble.
context: Before we get into combat we have to say who we are.\Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble. response:	I took that chance to get close to you.
context: Otherwise, if we're defeated no one would collect our bodies.\- Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you. response:	I wanted to stay by your side to see
context: - Yan Zhi, I... - You...\I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see response:	what the princess of the Ghost Tribe is really up to
context: I'll be honest with you.\Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to response:	by acting mute and running a restaurant.
context: Back then, your second brother barged into Kunlun Mountain\and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant. response:	What I am really up to?
context: and said that he saw Si Yin\so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to? response:	What have you discovered?
context: so I thought of coming to the Mortal Realm in search of my junior.\Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to?\What have you discovered? response:	Nothing.
context: Who knew that I'd run into you when you were in trouble.\I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to?\What have you discovered?\Nothing. response:	I'm very stupid so I didn't find out anything at all.
context: I took that chance to get close to you.\I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to?\What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all. response:	The fact is... I had no ulterior motive.
context: I wanted to stay by your side to see\what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to?\What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive. response:	I just didn't want to stay in Grand Ziming Palace
context: what the princess of the Ghost Tribe is really up to\by acting mute and running a restaurant.\What I am really up to?\What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace response:	to witness the power struggle and the killings.
context: by acting mute and running a restaurant.\What I am really up to?\What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings. response:	I wanted to get some peace and quiet in the Mortal Realm.
context: What I am really up to?\What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm. response:	I see.
context: What have you discovered?\Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see. response:	So... are you going to leave now that you didn't discover any schemes?
context: Nothing.\I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes? response:	Exactly.
context: I'm very stupid so I didn't find out anything at all.\The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly. response:	If I return to the Mortal Realm again would you come with me?
context: The fact is... I had no ulterior motive.\I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me? response:	No.
context: I just didn't want to stay in Grand Ziming Palace\to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me?\No. response:	I've been summoned by Kunlun Mountain.
context: to witness the power struggle and the killings.\I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain. response:	All my seniors are already there.
context: I wanted to get some peace and quiet in the Mortal Realm.\I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain.\All my seniors are already there. response:	So... I have to head back as well.
context: I see.\So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well. response:	Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.
context: So... are you going to leave now that you didn't discover any schemes?\Exactly.\If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked. response:	I just don't know when to give up.
context: Exactly.\If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up. response:	Yan Zhi, I...
context: If I return to the Mortal Realm again would you come with me?\No.\I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I... response:	I'm leaving now.
context: No.\I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I...\I'm leaving now. response:	Don't come after me.
context: I've been summoned by Kunlun Mountain.\All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I...\I'm leaving now.\Don't come after me. response:	The cranes behaved exactly like this during the battle of Ruoshui Riverbank...
context: All my seniors are already there.\So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I...\I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank... response:	What is happening?
context: So... I have to head back as well.\Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I...\I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening? response:	No one is allowed to enter besides the disciples of Kunlun Mountain!
context: Knowing that I am of the Ghost Tribe and you're a high immortal I still asked.\I just don't know when to give up.\Yan Zhi, I...\I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain! response:	Master!
context: I just don't know when to give up.\Yan Zhi, I...\I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master! response:	I'm Crown Prince, Ye Hua.
context: Yan Zhi, I...\I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua. response:	What brings Crown Prince to Kunlun Mountain late at night?
context: I'm leaving now.\Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night? response:	I'd like to borrow your elixir cauldron.
context: Don't come after me.\The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron. response:	The elixir cauldron?
context: The cranes behaved exactly like this during the battle of Ruoshui Riverbank...\What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron? response:	Sure.
context: What is happening?\No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure. response:	Crown Prince, please come with me.
context: No one is allowed to enter besides the disciples of Kunlun Mountain!\Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure.\Crown Prince, please come with me. response:	This used to be our mentor's elixir cauldron.
context: Master!\I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron. response:	I wonder if it still works.
context: I'm Crown Prince, Ye Hua.\What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works. response:	Thank you very much.
context: What brings Crown Prince to Kunlun Mountain late at night?\I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much. response:	Crown Prince, what else could I help you with?
context: I'd like to borrow your elixir cauldron.\The elixir cauldron?\Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with? response:	It's fine.
context: The elixir cauldron?\Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with?\It's fine. response:	But your injuries...
context: Sure.\Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with?\It's fine.\But your injuries... response:	It's fine. You are dismissed.
context: Crown Prince, please come with me.\This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with?\It's fine.\But your injuries...\It's fine. You are dismissed. response:	Yes.
context: This used to be our mentor's elixir cauldron.\I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with?\It's fine.\But your injuries...\It's fine. You are dismissed.\Yes. response:	Don't tell anyone that I was here.
context: I wonder if it still works.\Thank you very much.\Crown Prince, what else could I help you with?\It's fine.\But your injuries...\It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here. response:	Rest assured, Crown Prince. My lips are sealed.
context: Thank you very much.\Crown Prince, what else could I help you with?\It's fine.\But your injuries...\It's fine. You are dismissed.\Yes.\Don't tell anyone that I was here.\Rest assured, Crown Prince. My lips are sealed. response:	I'll retrieve the divine fungal grass from Yingzhou
