context: Why are you going through Reiko's belongings? response:	Looking for something?
context: Yeah, Natsume Reiko.\What do you mean by that?\His name.\He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing! response:	You useless fool!
context: What do you mean by that?\His name.\He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool! response:	Sorry!
context: His name.\He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool!\Sorry! response:	Hey, you don't have to say it like that.
context: He gave his precious name to Reiko.\That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool!\Sorry!\Hey, you don't have to say it like that. response:	He's been worrying about it the entire time because he likes you.
context: That's why I got angry.\Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool!\Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you. response:	That's why he's an idiot!
context: Don't you have any pride as an Ayakashi, you big fool?\I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool!\Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot! response:	If you're going to apologize, then get lost!
context: I didn't want to see your face again!\And then you just show up like it's nothing!\You useless fool!\Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost! response:	You're always spacing out!
context: And then you just show up like it's nothing!\You useless fool!\Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out! response:	Sorry!
context: You useless fool!\Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out!\Sorry! response:	Hey, Mikuri.
context: Sorry!\Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out!\Sorry!\Hey, Mikuri. response:	Observe, Natsume.
context: Hey, you don't have to say it like that.\He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out!\Sorry!\Hey, Mikuri.\Observe, Natsume. response:	Hey, are you listening, furball?
context: He's been worrying about it the entire time because he likes you.\That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out!\Sorry!\Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball? response:	I'm talking to you!
context: That's why he's an idiot!\If you're going to apologize, then get lost!\You're always spacing out!\Sorry!\Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you! response:	I'm sorry!
context: If you're going to apologize, then get lost!\You're always spacing out!\Sorry!\Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you!\I'm sorry! response:	They already made up a long time ago.
context: You're always spacing out!\Sorry!\Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you!\I'm sorry!\They already made up a long time ago. response:	Mikuri, let's go back to the mountains!
context: Sorry!\Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you!\I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains! response:	I'd go back even if you didn't tell me to, idiot!
context: Hey, Mikuri.\Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you!\I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot! response:	Thank you so much, Natsume!
context: Observe, Natsume.\Hey, are you listening, furball?\I'm talking to you!\I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume! response:	Fool! Don't bow your head to a human!
context: Hey, are you listening, furball?\I'm talking to you!\I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human! response:	But he returned my name.
context: I'm talking to you!\I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name. response:	Thank you!
context: I'm sorry!\They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name.\Thank you! response:	I told you not to lower your head, you idiot!
context: They already made up a long time ago.\Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name.\Thank you!\I told you not to lower your head, you idiot! response:	What? Just going through it again?
context: Mikuri, let's go back to the mountains!\I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name.\Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again? response:	Just putting it back to where it was.
context: I'd go back even if you didn't tell me to, idiot!\Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name.\Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was. response:	You said Reiko couldn't keep her promise because she had some special reason, right?
context: Thank you so much, Natsume!\Fool! Don't bow your head to a human!\But he returned my name.\Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right? response:	You're giving her too much credit.
context: Fool! Don't bow your head to a human!\But he returned my name.\Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit. response:	She just forgot.
context: But he returned my name.\Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot. response:	That's the kind of person she was.
context: Thank you!\I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot.\That's the kind of person she was. response:	That can't be true.
context: I told you not to lower your head, you idiot!\What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot.\That's the kind of person she was.\That can't be true. response:	Then what about that book?
context: What? Just going through it again?\Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot.\That's the kind of person she was.\That can't be true.\Then what about that book? response:	It's there because she forgot to return it?
context: Just putting it back to where it was.\You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot.\That's the kind of person she was.\That can't be true.\Then what about that book?\It's there because she forgot to return it? response:	These are...
context: You said Reiko couldn't keep her promise because she had some special reason, right?\You're giving her too much credit.\She just forgot.\That's the kind of person she was.\That can't be true.\Then what about that book?\It's there because she forgot to return it?\These are... response:	Ah, it looks like she forgot quite a few things.
context: You're giving her too much credit.\She just forgot.\That's the kind of person she was.\That can't be true.\Then what about that book?\It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things. response:	She must have had some really special reasons.
context: She just forgot.\That's the kind of person she was.\That can't be true.\Then what about that book?\It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons. response:	Reiko-san...
context: That's the kind of person she was.\That can't be true.\Then what about that book?\It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san... response:	Morning.
context: That can't be true.\Then what about that book?\It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san...\Morning. response:	M-Morning.
context: Then what about that book?\It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san...\Morning.\M-Morning. response:	Hey, have a look at that.
context: It's there because she forgot to return it?\These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san...\Morning.\M-Morning.\Hey, have a look at that. response:	They made up.
context: These are...\Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san...\Morning.\M-Morning.\Hey, have a look at that.\They made up. response:	What was up with yesterday, then?
context: Ah, it looks like she forgot quite a few things.\She must have had some really special reasons.\Reiko-san...\Morning.\M-Morning.\Hey, have a look at that.\They made up.\What was up with yesterday, then? response:	I just don't get it.
context: She must have had some really special reasons.\Reiko-san...\Morning.\M-Morning.\Hey, have a look at that.\They made up.\What was up with yesterday, then?\I just don't get it. response:	Yeah.
context: Reiko-san...\Morning.\M-Morning.\Hey, have a look at that.\They made up.\What was up with yesterday, then?\I just don't get it.\Yeah. response:	It must be because they're friends.
context: Morning.\M-Morning.\Hey, have a look at that.\They made up.\What was up with yesterday, then?\I just don't get it.\Yeah.\It must be because they're friends. response:	That's right!
context: M-Morning.\Hey, have a look at that.\They made up.\What was up with yesterday, then?\I just don't get it.\Yeah.\It must be because they're friends.\That's right! response:	How was it yesterday?
context: Hey, have a look at that.\They made up.\What was up with yesterday, then?\I just don't get it.\Yeah.\It must be because they're friends.\That's right!\How was it yesterday? response:	Oh, right, I remember now.
context: They made up.\What was up with yesterday, then?\I just don't get it.\Yeah.\It must be because they're friends.\That's right!\How was it yesterday?\Oh, right, I remember now. response:	Sorry, take this for a second.
context: What was up with yesterday, then?\I just don't get it.\Yeah.\It must be because they're friends.\That's right!\How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second. response:	Natsume-kun?
context: I just don't get it.\Yeah.\It must be because they're friends.\That's right!\How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun? response:	Sasada.
context: Yeah.\It must be because they're friends.\That's right!\How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun?\Sasada. response:	Do you eat the shrimp in tempura noodles first or last?
context: It must be because they're friends.\That's right!\How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last? response:	Which?
context: That's right!\How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which? response:	It doesn't matter which!
context: How was it yesterday?\Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which! response:	Friends, huh?
context: Oh, right, I remember now.\Sorry, take this for a second.\Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which!\Friends, huh? response:	Yo.
context: Sorry, take this for a second.\Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which!\Friends, huh?\Yo. response:	Thanks for yesterday.
context: Natsume-kun?\Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which!\Friends, huh?\Yo.\Thanks for yesterday. response:	You looked troubled.
context: Sasada.\Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which!\Friends, huh?\Yo.\Thanks for yesterday.\You looked troubled. response:	A village submerged by a dam shows itself.
context: Do you eat the shrimp in tempura noodles first or last?\Which?\It doesn't matter which!\Friends, huh?\Yo.\Thanks for yesterday.\You looked troubled.\A village submerged by a dam shows itself. response:	The Youkai that live there come to have their names returned.
context: Which?\It doesn't matter which!\Friends, huh?\Yo.\Thanks for yesterday.\You looked troubled.\A village submerged by a dam shows itself.\The Youkai that live there come to have their names returned. response:	Hey, all of you! Don't hang on to Natsume!
context: It doesn't matter which!\Friends, huh?\Yo.\Thanks for yesterday.\You looked troubled.\A village submerged by a dam shows itself.\The Youkai that live there come to have their names returned.\Hey, all of you! Don't hang on to Natsume! response:	There's someone I want to see.
context: Friends, huh?\Yo.\Thanks for yesterday.\You looked troubled.\A village submerged by a dam shows itself.\The Youkai that live there come to have their names returned.\Hey, all of you! Don't hang on to Natsume!\There's someone I want to see. response:	I'll be troubling you for a while.
context: Yo.\Thanks for yesterday.\You looked troubled.\A village submerged by a dam shows itself.\The Youkai that live there come to have their names returned.\Hey, all of you! Don't hang on to Natsume!\There's someone I want to see.\I'll be troubling you for a while. response:	Someone you want to see?
