context: Used Bookstore Hitotose response:	And hup... and hup...
context: Really? I'm glad.\Since you got sweaty,\I'll wipe you down.\O-Okay...\Sorry. Is it too cold?\N-No, it's fine...\There, all done.\Th-Thank you. response:	Okay, we'll be downstairs.
context: Since you got sweaty,\I'll wipe you down.\O-Okay...\Sorry. Is it too cold?\N-No, it's fine...\There, all done.\Th-Thank you.\Okay, we'll be downstairs. response:	If you need anything,
context: I'll wipe you down.\O-Okay...\Sorry. Is it too cold?\N-No, it's fine...\There, all done.\Th-Thank you.\Okay, we'll be downstairs.\If you need anything, response:	call us with your cell phone.
context: O-Okay...\Sorry. Is it too cold?\N-No, it's fine...\There, all done.\Th-Thank you.\Okay, we'll be downstairs.\If you need anything,\call us with your cell phone. response:	Okay.
context: Sorry. Is it too cold?\N-No, it's fine...\There, all done.\Th-Thank you.\Okay, we'll be downstairs.\If you need anything,\call us with your cell phone.\Okay. response:	Hina-chan, you don't have to worry anymore.
context: N-No, it's fine...\There, all done.\Th-Thank you.\Okay, we'll be downstairs.\If you need anything,\call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore. response:	I found a surefire method used all around the world to cure sickness instantly.
context: There, all done.\Th-Thank you.\Okay, we'll be downstairs.\If you need anything,\call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly. response:	There...
context: Th-Thank you.\Okay, we'll be downstairs.\If you need anything,\call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There... response:	Hiss!
context: Okay, we'll be downstairs.\If you need anything,\call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss! response:	What are you doing?
context: If you need anything,\call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss!\What are you doing? response:	A bite from the Great White Snake cures any illness
context: call us with your cell phone.\Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss!\What are you doing?\A bite from the Great White Snake cures any illness response:	If it's the real one.
context: Okay.\Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss!\What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one. response:	Gods, hear my prayer...
context: Hina-chan, you don't have to worry anymore.\I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss!\What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer... response:	I was just, um... I mean...
context: I found a surefire method used all around the world to cure sickness instantly.\There...\Hiss!\What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer...\I was just, um... I mean... response:	Don't make so much noise.
context: There...\Hiss!\What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise. response:	Okay.
context: Hiss!\What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise.\Okay. response:	Rawr!
context: What are you doing?\A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise.\Okay.\Rawr! response:	A bite from a dragon cures any illness
context: A bite from the Great White Snake cures any illness\If it's the real one.\Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise.\Okay.\Rawr!\A bite from a dragon cures any illness response:	Again, only if it's a real one.
context: If it's the real one.\Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise.\Okay.\Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one. response:	Elohim essaim... Elohim essaim... I implore you...
context: Gods, hear my prayer...\I was just, um... I mean...\Don't make so much noise.\Okay.\Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you... response:	This is just, um...
context: I was just, um... I mean...\Don't make so much noise.\Okay.\Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um... response:	What good will it do to summon a demon?
context: Don't make so much noise.\Okay.\Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon? response:	Oops, wrong chant!
context: Okay.\Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon?\Oops, wrong chant! response:	You two aren't allowed to go into Hina-chan's room anymore.
context: Rawr!\A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore. response:	B-But...
context: A bite from a dragon cures any illness\Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But... response:	I'm worried about Hinako...
context: Again, only if it's a real one.\Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako... response:	I understand,
context: Elohim essaim... Elohim essaim... I implore you...\This is just, um...\What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako...\I understand, response:	but the best thing we can do for her now is to let her rest quietly.
context: This is just, um...\What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly. response:	You're right.
context: What good will it do to summon a demon?\Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right. response:	Hey, you guys!
context: Oops, wrong chant!\You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys! response:	Could you help me with something?
context: You two aren't allowed to go into Hina-chan's room anymore.\B-But...\I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys!\Could you help me with something? response:	It's so quiet...
context: B-But...\I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys!\Could you help me with something?\It's so quiet... response:	I think this is the first time I've been sick since I came to Tokyo.
context: I'm worried about Hinako...\I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys!\Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo. response:	How many years has it been since I caught a cold, anyway?
context: I understand,\but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys!\Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway? response:	Hey, Hina-chan! Good work again.
context: but the best thing we can do for her now is to let her rest quietly.\You're right.\Hey, you guys!\Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again. response:	After I started working as a scarecrow,
context: You're right.\Hey, you guys!\Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow, response:	Thanks for helping out every day.
context: Hey, you guys!\Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day. response:	I spent all my time in the field with no breaks.
context: Could you help me with something?\It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks. response:	Here are your vegetables for today.
context: It's so quiet...\I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today. response:	Has it been since first grade?
context: I think this is the first time I've been sick since I came to Tokyo.\How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade? response:	Mom spent the whole day looking after me,
context: How many years has it been since I caught a cold, anyway?\Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me, response:	and she made rice gruel for me...
context: Hey, Hina-chan! Good work again.\After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me... response:	I wonder if Mom is at home right now...
context: After I started working as a scarecrow,\Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now... response:	Mom
context: Thanks for helping out every day.\I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom response:	I wonder if she'll answer the phone...
context: I spent all my time in the field with no breaks.\Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone... response:	I miss you, Mom...
context: Here are your vegetables for today.\Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone...\I miss you, Mom... response:	I want to eat your rice gruel...
context: Has it been since first grade?\Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel... response:	No, Hinako!
context: Mom spent the whole day looking after me,\and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel...\No, Hinako! response:	If I show her any weakness,
context: and she made rice gruel for me...\I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel...\No, Hinako!\If I show her any weakness, response:	she'll tell me to come home!
context: I wonder if Mom is at home right now...\Mom\I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel...\No, Hinako!\If I show her any weakness,\she'll tell me to come home! response:	I decided I wouldn't go home until I started acting in Tokyo
context: Mom\I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel...\No, Hinako!\If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo response:	and got over my scarecrow problem!
context: I wonder if she'll answer the phone...\I miss you, Mom...\I want to eat your rice gruel...\No, Hinako!\If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem! response:	But for today...
context: I miss you, Mom...\I want to eat your rice gruel...\No, Hinako!\If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today... response:	Just for today...
context: I want to eat your rice gruel...\No, Hinako!\If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today...\Just for today... response:	Hina-chan?
context: No, Hinako!\If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today...\Just for today...\Hina-chan? response:	How are you feeling?
context: If I show her any weakness,\she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today...\Just for today...\Hina-chan?\How are you feeling? response:	Eh? Ah...
context: she'll tell me to come home!\I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today...\Just for today...\Hina-chan?\How are you feeling?\Eh? Ah... response:	You're not sleeping! Are you okay?
context: I decided I wouldn't go home until I started acting in Tokyo\and got over my scarecrow problem!\But for today...\Just for today...\Hina-chan?\How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay? response:	U-Uh... This is just, um... I...
context: and got over my scarecrow problem!\But for today...\Just for today...\Hina-chan?\How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I... response:	Hina-chan, do you feel hungry?
context: But for today...\Just for today...\Hina-chan?\How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry? response:	Huh?
context: Just for today...\Hina-chan?\How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh? response:	We all made some rice gruel.
context: Hina-chan?\How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel. response:	Do you think you can eat?
context: How are you feeling?\Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel.\Do you think you can eat? response:	Yeah! I'll have some!
context: Eh? Ah...\You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some! response:	I was the one who cut up the pickled plum so it'd be easier to eat!
context: You're not sleeping! Are you okay?\U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat! response:	And I cut up the seaweed.
context: U-Uh... This is just, um... I...\Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed. response:	Thanks, both of you!
context: Hina-chan, do you feel hungry?\Huh?\We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you! response:	Here. Say, Ahh.
context: Huh?\We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh. response:	It's delicious!
context: We all made some rice gruel.\Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh.\It's delicious! response:	Oh, good.
context: Do you think you can eat?\Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh.\It's delicious!\Oh, good. response:	Strange...
context: Yeah! I'll have some!\I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh.\It's delicious!\Oh, good.\Strange... response:	It tastes just like my mom's.
context: I was the one who cut up the pickled plum so it'd be easier to eat!\And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh.\It's delicious!\Oh, good.\Strange...\It tastes just like my mom's. response:	Why is that?
context: And I cut up the seaweed.\Thanks, both of you!\Here. Say, Ahh.\It's delicious!\Oh, good.\Strange...\It tastes just like my mom's.\Why is that? response:	Well... I wonder...
context: Thanks, both of you!\Here. Say, Ahh.\It's delicious!\Oh, good.\Strange...\It tastes just like my mom's.\Why is that?\Well... I wonder... response:	Yeah, I wonder why.
context: Here. Say, Ahh.\It's delicious!\Oh, good.\Strange...\It tastes just like my mom's.\Why is that?\Well... I wonder...\Yeah, I wonder why. response:	Maybe it's because we made it with the same feelings your mom did?
context: It's delicious!\Oh, good.\Strange...\It tastes just like my mom's.\Why is that?\Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did? response:	The same feelings?
context: Oh, good.\Strange...\It tastes just like my mom's.\Why is that?\Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings? response:	We all made it with the wish that your cold would get better soon.
context: Strange...\It tastes just like my mom's.\Why is that?\Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon. response:	You guys...
context: It tastes just like my mom's.\Why is that?\Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon.\You guys... response:	Thank you!
context: Why is that?\Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon.\You guys...\Thank you! response:	Can you eat more?
context: Well... I wonder...\Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon.\You guys...\Thank you!\Can you eat more? response:	Yeah! I'll have more!
context: Yeah, I wonder why.\Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon.\You guys...\Thank you!\Can you eat more?\Yeah! I'll have more! response:	I'll eat all of it!
context: Maybe it's because we made it with the same feelings your mom did?\The same feelings?\We all made it with the wish that your cold would get better soon.\You guys...\Thank you!\Can you eat more?\Yeah! I'll have more!\I'll eat all of it! response:	As long as you don't get sick to your stomach.
context: The same feelings?\We all made it with the wish that your cold would get better soon.\You guys...\Thank you!\Can you eat more?\Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach. response:	Oh, I'll feed you next.
context: We all made it with the wish that your cold would get better soon.\You guys...\Thank you!\Can you eat more?\Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next. response:	Say, Ahh.
context: You guys...\Thank you!\Can you eat more?\Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh. response:	It's my turn next!
context: Thank you!\Can you eat more?\Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh.\It's my turn next! response:	S-Say, Ahh.
context: Can you eat more?\Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh.\It's my turn next!\S-Say, Ahh. response:	D-Do you like it?
context: Yeah! I'll have more!\I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh.\It's my turn next!\S-Say, Ahh.\D-Do you like it? response:	Yeah! It tastes delicious!
context: I'll eat all of it!\As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh.\It's my turn next!\S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious! response:	Okay, I'll go next.
context: As long as you don't get sick to your stomach.\Oh, I'll feed you next.\Say, Ahh.\It's my turn next!\S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next. response:	Wait! I want another turn!
context: Oh, I'll feed you next.\Say, Ahh.\It's my turn next!\S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn! response:	No fair going twice in a row.
context: Say, Ahh.\It's my turn next!\S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row. response:	Why not?!
context: It's my turn next!\S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row.\Why not?! response:	Mom...
context: S-Say, Ahh.\D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row.\Why not?!\Mom... response:	I felt a little homesick today because of my cold,
context: D-Do you like it?\Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row.\Why not?!\Mom...\I felt a little homesick today because of my cold, response:	but thanks to everyone here, I didn't feel lonely.
context: Yeah! It tastes delicious!\Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row.\Why not?!\Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely. response:	Meeting such wonderful new friends
context: Okay, I'll go next.\Wait! I want another turn!\No fair going twice in a row.\Why not?!\Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends response:	makes me glad I moved to Tokyo.
context: Wait! I want another turn!\No fair going twice in a row.\Why not?!\Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo. response:	Okay!
context: No fair going twice in a row.\Why not?!\Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay! response:	Good morning, everyone!
context: Why not?!\Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay!\Good morning, everyone! response:	Thanks to you guys, I'm all bet huh?
context: Mom...\I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh? response:	Th-This is awful!
context: I felt a little homesick today because of my cold,\but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful! response:	What should I do?
context: but thanks to everyone here, I didn't feel lonely.\Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do? response:	No! This time, I'm the one who needs to work hard!
context: Meeting such wonderful new friends\makes me glad I moved to Tokyo.\Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard! response:	Towel, towel, towel...
context: makes me glad I moved to Tokyo.\Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel... response:	Fresh clothes, fresh clothes, fresh clothes...
context: Okay!\Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes... response:	And water... Water...
context: Good morning, everyone!\Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water... response:	Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.
context: Thanks to you guys, I'm all bet huh?\Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days. response:	I wonder if Hinako feels better...
context: Th-This is awful!\What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.\I wonder if Hinako feels better... response:	We'll Have a Training Camp
context: What should I do?\No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.\I wonder if Hinako feels better...\We'll Have a Training Camp response:	Hina-chan's mom is going to come visit soon!
context: No! This time, I'm the one who needs to work hard!\Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.\I wonder if Hinako feels better...\We'll Have a Training Camp\Hina-chan's mom is going to come visit soon! response:	And the Hitotose Troupe will finally hold its first performance!
context: Towel, towel, towel...\Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.\I wonder if Hinako feels better...\We'll Have a Training Camp\Hina-chan's mom is going to come visit soon!\And the Hitotose Troupe will finally hold its first performance! response:	All we can do to make it successful is practice, practice, practice!
context: Fresh clothes, fresh clothes, fresh clothes...\And water... Water...\Oral Medicine Nakajima Yua Directions Take 3 per day for 7 days.\I wonder if Hinako feels better...\We'll Have a Training Camp\Hina-chan's mom is going to come visit soon!\And the Hitotose Troupe will finally hold its first performance!\All we can do to make it successful is practice, practice, practice! response:	Next time, We'll Have a Training Camp.
