context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: Atrocious!\You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace. response:	She's unaware of regulations here.
context: You're saying that a deity is out to frame a mortal?\I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here. response:	This is also her first time in such a grave situation
context: I don't mean to say so but you also heard her...\That's enough!\Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation response:	so she's too scared to admit her mistake.
context: That's enough!\Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake. response:	Father, you don't have to be so angry about a maid's words.
context: Su Su has offended you. Please forgive her.\Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words. response:	Nai Nai might be of a lowly status but she's very honest.
context: Father.\The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest. response:	Why would she deny her own mistake and frame someone else?
context: The celestial maid from the Hall of Beautiful Youth\has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else? response:	Heavenly Lord...
context: has only been recently promoted to serve in the Celestial Palace.\She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord... response:	Shut up!
context: She's unaware of regulations here.\This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up! response:	Heavenly Lord.
context: This is also her first time in such a grave situation\so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up!\Heavenly Lord. response:	Please allow me to speak.
context: so she's too scared to admit her mistake.\Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up!\Heavenly Lord.\Please allow me to speak. response:	What do you want to say?
context: Father, you don't have to be so angry about a maid's words.\Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up!\Heavenly Lord.\Please allow me to speak.\What do you want to say? response:	I'm to be blamed for taking Su Su to the Realm of Supreme Purity.
context: Nai Nai might be of a lowly status but she's very honest.\Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up!\Heavenly Lord.\Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity. response:	If you blame her
context: Why would she deny her own mistake and frame someone else?\Heavenly Lord...\Shut up!\Heavenly Lord.\Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her response:	I'm willing to be punished in her stead.
context: Heavenly Lord...\Shut up!\Heavenly Lord.\Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead. response:	You're asking to be punished?
context: Shut up!\Heavenly Lord.\Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead.\You're asking to be punished? response:	Yes, I'm willing to be punished in her stead.
context: Heavenly Lord.\Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead. response:	Matters of Xiwu Palace need not trouble any outsiders.
context: Please allow me to speak.\What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders. response:	If Su Su is to be punished, she will take her own punishment.
context: What do you want to say?\I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment. response:	It has nothing to do with the consort.
context: I'm to be blamed for taking Su Su to the Realm of Supreme Purity.\If you blame her\I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort. response:	Heavenly Lord!
context: If you blame her\I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord! response:	Heavenly Lord, I just learned that the beast got into trouble
context: I'm willing to be punished in her stead.\You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble response:	and I made my way here as fast as I could.
context: You're asking to be punished?\Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could. response:	I thank everyone for taming the beast.
context: Yes, I'm willing to be punished in her stead.\Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast. response:	However, I don't know why it suddenly lost control today.
context: Matters of Xiwu Palace need not trouble any outsiders.\If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today. response:	A maid dropped this fan.
context: If Su Su is to be punished, she will take her own punishment.\It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan. response:	She startled the phoenix.
context: It has nothing to do with the consort.\Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix. response:	I am reprimanding them for it now.
context: Heavenly Lord!\Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now. response:	The Jade Purity Fan of Kunlun?
context: Heavenly Lord, I just learned that the beast got into trouble\and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun? response:	Does the Heavenly Lord know who this fan belonged to?
context: and I made my way here as fast as I could.\I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to? response:	I do.
context: I thank everyone for taming the beast.\However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do. response:	However, you couldn't have known that that beast almost hurt
context: However, I don't know why it suddenly lost control today.\A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt response:	High Immortal Si Yin 70,000 years ago.
context: A maid dropped this fan.\She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago. response:	It hurt High Immortal Si Yin?
context: She startled the phoenix.\I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin? response:	Exactly.
context: I am reprimanding them for it now.\The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly. response:	If I remember correctly, the Ghost Lord was present as well.
context: The Jade Purity Fan of Kunlun?\Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well. response:	He was injured by the phoenix.
context: Does the Heavenly Lord know who this fan belonged to?\I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix. response:	I wonder if the Ghost Lord still remembers that?
context: I do.\However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that? response:	You're right.
context: However, you couldn't have known that that beast almost hurt\High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right. response:	A-Yin and I once had a fight with that phoenix.
context: High Immortal Si Yin 70,000 years ago.\It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix. response:	Then he subdued it with the Jade Purity Fan of Kunlun.
context: It hurt High Immortal Si Yin?\Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun. response:	I didn't know that the Ghost Lord and Si Yin were such friends.
context: Exactly.\If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends. response:	It was just a coincidence.
context: If I remember correctly, the Ghost Lord was present as well.\He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence. response:	We weren't... friends.
context: He was injured by the phoenix.\I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends. response:	Since the Heavenly Lord has family matters to handle
context: I wonder if the Ghost Lord still remembers that?\You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle response:	I shouldn't be present.
context: You're right.\A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present. response:	I'll take my leave now.
context: A-Yin and I once had a fight with that phoenix.\Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now. response:	Do feel free to leave, Ghost Lord.
context: Then he subdued it with the Jade Purity Fan of Kunlun.\I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord. response:	Everyone.
context: I didn't know that the Ghost Lord and Si Yin were such friends.\It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone. response:	I take my leave now.
context: It was just a coincidence.\We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now. response:	It's perhaps because Si Yin once took on the phoenix with this fan
context: We weren't... friends.\Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan response:	that it agitated the beast and caused it to attack.
context: Since the Heavenly Lord has family matters to handle\I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack. response:	Whatever the reason, it's Xiwu Palace who wrecked the assembly.
context: I shouldn't be present.\I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly. response:	Do forgive me, sir.
context: I'll take my leave now.\Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir. response:	It was just a beast that died.
context: Do feel free to leave, Ghost Lord.\Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died. response:	Why would the Heavenly Lord get so angry?
context: Everyone.\I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry? response:	Not only is your phoenix dead
context: I take my leave now.\It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead response:	but it also injured the Little Princess of Qing Qiu.
context: It's perhaps because Si Yin once took on the phoenix with this fan\that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu. response:	All in all, it's actually my fault.
context: that it agitated the beast and caused it to attack.\Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault. response:	That phoenix has yet to be totally tamed
context: Whatever the reason, it's Xiwu Palace who wrecked the assembly.\Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed response:	but I brought it with me to the Nine Heavens.
context: Do forgive me, sir.\It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens. response:	Hence, such a disaster happened.
context: It was just a beast that died.\Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened. response:	If anyone is to be punished, I should be the first one.
context: Why would the Heavenly Lord get so angry?\Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one. response:	You've overstated, Your Lordship.
context: Not only is your phoenix dead\but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship. response:	Since the Lord of Numinous Treasures has taken the blame for you
context: but it also injured the Little Princess of Qing Qiu.\All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you response:	you must bear his kindness in mind.
context: All in all, it's actually my fault.\That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind. response:	Su Jin, get up.
context: That phoenix has yet to be totally tamed\but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up. response:	Yes.
context: but I brought it with me to the Nine Heavens.\Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up.\Yes. response:	The two of you are to step down.
context: Hence, such a disaster happened.\If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up.\Yes.\The two of you are to step down. response:	Hold on.
context: If anyone is to be punished, I should be the first one.\You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up.\Yes.\The two of you are to step down.\Hold on. response:	Although His Lordship pleaded on your behalf
context: You've overstated, Your Lordship.\Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up.\Yes.\The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf response:	I still can't let you off so easily.
context: Since the Lord of Numinous Treasures has taken the blame for you\you must bear his kindness in mind.\Su Jin, get up.\Yes.\The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily. response:	From today onward, all personnel in the Hall of Beautiful Youth are grounded.
context: you must bear his kindness in mind.\Su Jin, get up.\Yes.\The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded. response:	None of you are to leave Xiwu Palace without my permission.
context: Su Jin, get up.\Yes.\The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission. response:	Yes, Your Highness.
context: Yes.\The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness. response:	Our mentor has arrived as well.
context: The two of you are to step down.\Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well. response:	Why don't we go and greet him?
context: Hold on.\Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him? response:	Ye Hua.
context: Although His Lordship pleaded on your behalf\I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua. response:	Since your mentor is here you should greet him right away.
context: I still can't let you off so easily.\From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away. response:	Yes.
context: From today onward, all personnel in the Hall of Beautiful Youth are grounded.\None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away.\Yes. response:	Escort them back.
context: None of you are to leave Xiwu Palace without my permission.\Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away.\Yes.\Escort them back. response:	- Yes. - Yes.
context: Yes, Your Highness.\Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away.\Yes.\Escort them back.\- Yes. - Yes. response:	Thank you for your assistance.
context: Our mentor has arrived as well.\Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away.\Yes.\Escort them back.\- Yes. - Yes.\Thank you for your assistance. response:	Fortunately, Ghost Lord Li Jing came looking for me.
context: Why don't we go and greet him?\Ye Hua.\Since your mentor is here you should greet him right away.\Yes.\Escort them back.\- Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me. response:	Otherwise, judging by the Heavenly Lord's temper
context: Ye Hua.\Since your mentor is here you should greet him right away.\Yes.\Escort them back.\- Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper response:	he might have taken that young lady's life.
context: Since your mentor is here you should greet him right away.\Yes.\Escort them back.\- Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life. response:	Ghost Lord Li Jing?
context: Yes.\Escort them back.\- Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing? response:	It was his mount that set Zhaohua Palace on fire accidentally a few days ago.
context: Escort them back.\- Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago. response:	It also almost injured Miss Su Su.
context: - Yes. - Yes.\Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su. response:	That's why he decided to help her today and why he meddled in this matter.
context: Thank you for your assistance.\Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter. response:	Ye Hua.
context: Fortunately, Ghost Lord Li Jing came looking for me.\Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua. response:	Thinking back, your second uncle was such a favorite then.
context: Otherwise, judging by the Heavenly Lord's temper\he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then. response:	Yet now he's been demoted to North Sea just because of a woman.
context: he might have taken that young lady's life.\Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman. response:	You witnessed all that.
context: Ghost Lord Li Jing?\It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that. response:	A mortal is after all just a mortal.
context: It was his mount that set Zhaohua Palace on fire accidentally a few days ago.\It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal. response:	This isn't the right place for her.
context: It also almost injured Miss Su Su.\That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her. response:	You can still keep her alive if you send her away soon.
context: That's why he decided to help her today and why he meddled in this matter.\Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon. response:	Step out now.
context: Ye Hua.\Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now. response:	- Yes. - Yes.
context: Thinking back, your second uncle was such a favorite then.\Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes. response:	Kneel.
context: Yet now he's been demoted to North Sea just because of a woman.\You witnessed all that.\A mortal is after all just a mortal.\This isn't the right place for her.\You can still keep her alive if you send her away soon.\Step out now.\- Yes. - Yes.\Kneel. response:	Why would you plead for that mortal?
