context: The girl was sent to an orphanage before she was one year old response:	because of her superhuman intelligence.
context: Dola-chan, you tripped over nothing.\I don't think you need to keep up that character anymore.\Tripped? Me?\An Othello stone?\That says 3 in elf language.\Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there. response:	But even if we know that, there's still only two sets of three stones.
context: I don't think you need to keep up that character anymore.\Tripped? Me?\An Othello stone?\That says 3 in elf language.\Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones. response:	We don't even know if we're white or black.
context: Tripped? Me?\An Othello stone?\That says 3 in elf language.\Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black. response:	It's simple.
context: An Othello stone?\That says 3 in elf language.\Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple. response:	Brother told me that the two of us are one.
context: That says 3 in elf language.\Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one. response:	I'm participating in this game.
context: Why are there only stones?\Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one.\I'm participating in this game. response:	I'll propose an important rule.
context: Because they haven't been used.\Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule. response:	Each of our partners will play in the game.
context: Even if we can't sense them, they're there.\But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game. response:	If one of us can't continue,
context: But even if we know that, there's still only two sets of three stones.\We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue, response:	our partner can play for us.
context: We don't even know if we're white or black.\It's simple.\Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us. response:	That's why I still had my memories.
context: It's simple.\Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us.\That's why I still had my memories. response:	You can see the board?
context: Brother told me that the two of us are one.\I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us.\That's why I still had my memories.\You can see the board? response:	I can't.
context: I'm participating in this game.\I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us.\That's why I still had my memories.\You can see the board?\I can't. response:	But I can see...
context: I'll propose an important rule.\Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us.\That's why I still had my memories.\You can see the board?\I can't.\But I can see... response:	what Brother would do.
context: Each of our partners will play in the game.\If one of us can't continue,\our partner can play for us.\That's why I still had my memories.\You can see the board?\I can't.\But I can see...\what Brother would do. response:	You're trying to lose deliberately, aren't you?
context: If one of us can't continue,\our partner can play for us.\That's why I still had my memories.\You can see the board?\I can't.\But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you? response:	Nope.
context: our partner can play for us.\That's why I still had my memories.\You can see the board?\I can't.\But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you?\Nope. response:	I've set it up so I can win like this.
context: That's why I still had my memories.\You can see the board?\I can't.\But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this. response:	How he would lead his opponent on...
context: You can see the board?\I can't.\But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this.\How he would lead his opponent on... response:	What is this?
context: I can't.\But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this.\How he would lead his opponent on...\What is this? response:	Your memories?
context: But I can see...\what Brother would do.\You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this.\How he would lead his opponent on...\What is this?\Your memories? response:	Are you making me steal your memories
context: what Brother would do.\You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this.\How he would lead his opponent on...\What is this?\Your memories?\Are you making me steal your memories response:	to prove that there's no other race working with you?
context: You're trying to lose deliberately, aren't you?\Nope.\I've set it up so I can win like this.\How he would lead his opponent on...\What is this?\Your memories?\Are you making me steal your memories\to prove that there's no other race working with you? response:	Not a bad answer.
context: Nope.\I've set it up so I can win like this.\How he would lead his opponent on...\What is this?\Your memories?\Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer. response:	How he would tell me what he wants...
context: I've set it up so I can win like this.\How he would lead his opponent on...\What is this?\Your memories?\Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants... response:	Now you can't continue the game.
context: How he would lead his opponent on...\What is this?\Your memories?\Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game. response:	I win.
context: What is this?\Your memories?\Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game.\I win. response:	But the game is still...
context: Your memories?\Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game.\I win.\But the game is still... response:	What's going on?
context: Are you making me steal your memories\to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game.\I win.\But the game is still...\What's going on? response:	Why isn't the game ending?
context: to prove that there's no other race working with you?\Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game.\I win.\But the game is still...\What's going on?\Why isn't the game ending? response:	What part of Sora do those three stones contain?
context: Not a bad answer.\How he would tell me what he wants...\Now you can't continue the game.\I win.\But the game is still...\What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain? response:	How he would deceive his opponent...
context: How he would tell me what he wants...\Now you can't continue the game.\I win.\But the game is still...\What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent... response:	And
context: Now you can't continue the game.\I win.\But the game is still...\What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent...\And response:	how he would win.
context: I win.\But the game is still...\What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent...\And\how he would win. response:	Brother, you're amazing!
context: But the game is still...\What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent...\And\how he would win.\Brother, you're amazing! response:	Nobody would figure this out...
context: What's going on?\Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent...\And\how he would win.\Brother, you're amazing!\Nobody would figure this out... response:	Except for you and me.
context: Why isn't the game ending?\What part of Sora do those three stones contain?\How he would deceive his opponent...\And\how he would win.\Brother, you're amazing!\Nobody would figure this out...\Except for you and me. response:	The parts of you that are contained in these last three stones...
context: What part of Sora do those three stones contain?\How he would deceive his opponent...\And\how he would win.\Brother, you're amazing!\Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones... response:	Three: the way to win the game.
context: How he would deceive his opponent...\And\how he would win.\Brother, you're amazing!\Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game. response:	Two: your absolute trust in me.
context: And\how he would win.\Brother, you're amazing!\Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me. response:	everything I am.
context: how he would win.\Brother, you're amazing!\Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me.\everything I am. response:	Okay, Brother...
context: Brother, you're amazing!\Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me.\everything I am.\Okay, Brother... response:	Come back to me!
context: Nobody would figure this out...\Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me.\everything I am.\Okay, Brother...\Come back to me! response:	Brother...
context: Except for you and me.\The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me.\everything I am.\Okay, Brother...\Come back to me!\Brother... response:	Shiro...
context: The parts of you that are contained in these last three stones...\Three: the way to win the game.\Two: your absolute trust in me.\everything I am.\Okay, Brother...\Come back to me!\Brother...\Shiro... response:	Okay!
context: Three: the way to win the game.\Two: your absolute trust in me.\everything I am.\Okay, Brother...\Come back to me!\Brother...\Shiro...\Okay! response:	You can punch me if you want!
context: Two: your absolute trust in me.\everything I am.\Okay, Brother...\Come back to me!\Brother...\Shiro...\Okay!\You can punch me if you want! response:	I'm ready
context: everything I am.\Okay, Brother...\Come back to me!\Brother...\Shiro...\Okay!\You can punch me if you want!\I'm ready response:	I'm sorry...
context: Okay, Brother...\Come back to me!\Brother...\Shiro...\Okay!\You can punch me if you want!\I'm ready\I'm sorry... response:	I'm sorry! I'm sorry!
context: Come back to me!\Brother...\Shiro...\Okay!\You can punch me if you want!\I'm ready\I'm sorry...\I'm sorry! I'm sorry! response:	I'm sorry!
context: Brother...\Shiro...\Okay!\You can punch me if you want!\I'm ready\I'm sorry...\I'm sorry! I'm sorry!\I'm sorry! response:	I should've come sooner...
context: Shiro...\Okay!\You can punch me if you want!\I'm ready\I'm sorry...\I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner... response:	I can't believe I forgot my master.
context: Okay!\You can punch me if you want!\I'm ready\I'm sorry...\I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner...\I can't believe I forgot my master. response:	Why?
context: You can punch me if you want!\I'm ready\I'm sorry...\I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner...\I can't believe I forgot my master.\Why? response:	Kurami! Wake up! Kurami!
context: I'm ready\I'm sorry...\I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner...\I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami! response:	Kurami! Kurami!
context: I'm sorry...\I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner...\I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami!\Kurami! Kurami! response:	Now then,
context: I'm sorry! I'm sorry!\I'm sorry!\I should've come sooner...\I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then, response:	as planned, I'll make my demands.
context: I'm sorry!\I should've come sooner...\I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then,\as planned, I'll make my demands. response:	Y-You can do whatever you want with me!
context: I should've come sooner...\I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me! response:	But Kurami...
context: I can't believe I forgot my master.\Why?\Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami... response:	Nope! Demand 1...
context: Why?\Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1... response:	Don't!
context: Kurami! Wake up! Kurami!\Kurami! Kurami!\Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1...\Don't! response:	We keep a copy of the memories we stole from each other,
context: Kurami! Kurami!\Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other, response:	and return the originals.
context: Now then,\as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other,\and return the originals. response:	Kurami!
context: as planned, I'll make my demands.\Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other,\and return the originals.\Kurami! response:	What's going on?
context: Y-You can do whatever you want with me!\But Kurami...\Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other,\and return the originals.\Kurami!\What's going on? response:	They each keep the memories they took from the other,
context: But Kurami...\Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other,\and return the originals.\Kurami!\What's going on?\They each keep the memories they took from the other, response:	but they get their own memories back.
context: Nope! Demand 1...\Don't!\We keep a copy of the memories we stole from each other,\and return the originals.\Kurami!\What's going on?\They each keep the memories they took from the other,\but they get their own memories back. response:	Now Kurami and Master know everything about each other,
context: Don't!\We keep a copy of the memories we stole from each other,\and return the originals.\Kurami!\What's going on?\They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other, response:	and can trust each other.
context: We keep a copy of the memories we stole from each other,\and return the originals.\Kurami!\What's going on?\They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other. response:	This is the last piece that our master wanted.
context: and return the originals.\Kurami!\What's going on?\They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted. response:	And...
context: Kurami!\What's going on?\They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted.\And... response:	You, elf.
context: What's going on?\They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted.\And...\You, elf. response:	Fil, I'm taking the right to alter your memories.
context: They each keep the memories they took from the other,\but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted.\And...\You, elf.\Fil, I'm taking the right to alter your memories. response:	Wha
context: but they get their own memories back.\Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted.\And...\You, elf.\Fil, I'm taking the right to alter your memories.\Wha response:	Don't worry.
context: Now Kurami and Master know everything about each other,\and can trust each other.\This is the last piece that our master wanted.\And...\You, elf.\Fil, I'm taking the right to alter your memories.\Wha\Don't worry. response:	It's fine, Fi.
context: and can trust each other.\This is the last piece that our master wanted.\And...\You, elf.\Fil, I'm taking the right to alter your memories.\Wha\Don't worry.\It's fine, Fi. response:	He only wants one thing.
context: This is the last piece that our master wanted.\And...\You, elf.\Fil, I'm taking the right to alter your memories.\Wha\Don't worry.\It's fine, Fi.\He only wants one thing. response:	You want us to spy for you, right?
context: And...\You, elf.\Fil, I'm taking the right to alter your memories.\Wha\Don't worry.\It's fine, Fi.\He only wants one thing.\You want us to spy for you, right? response:	Yeah, you've been inside my head, all right.
context: You, elf.\Fil, I'm taking the right to alter your memories.\Wha\Don't worry.\It's fine, Fi.\He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right. response:	Spy? What does he mean?
context: Fil, I'm taking the right to alter your memories.\Wha\Don't worry.\It's fine, Fi.\He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean? response:	I'll tell you later.
context: Wha\Don't worry.\It's fine, Fi.\He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later. response:	After seeing what was in your head, I changed my mind.
context: Don't worry.\It's fine, Fi.\He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind. response:	I'm in.
context: It's fine, Fi.\He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in. response:	You're amazing, Brother!
context: He only wants one thing.\You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother! response:	Right? Tell me how proud you are of your big brother.
context: You want us to spy for you, right?\Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother. response:	I'm proud of you, Brother.
context: Yeah, you've been inside my head, all right.\Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother. response:	That makes me blush when you actually say it.
context: Spy? What does he mean?\I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it. response:	Master!
context: I'll tell you later.\After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it.\Master! response:	Shiro... It's okay now, right?
context: After seeing what was in your head, I changed my mind.\I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right? response:	Yeah.
context: I'm in.\You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right?\Yeah. response:	Standing by, anytime.
context: You're amazing, Brother!\Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right?\Yeah.\Standing by, anytime. response:	Fi,
context: Right? Tell me how proud you are of your big brother.\I'm proud of you, Brother.\That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right?\Yeah.\Standing by, anytime.\Fi, response:	Kurami...
context: I'm proud of you, Brother.\That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right?\Yeah.\Standing by, anytime.\Fi,\Kurami... response:	I was so scared! I'm never doing that again!
context: That makes me blush when you actually say it.\Master!\Shiro... It's okay now, right?\Yeah.\Standing by, anytime.\Fi,\Kurami...\I was so scared! I'm never doing that again! response:	I was so scared!
context: Master!\Shiro... It's okay now, right?\Yeah.\Standing by, anytime.\Fi,\Kurami...\I was so scared! I'm never doing that again!\I was so scared! response:	What's going on?
context: Shiro... It's okay now, right?\Yeah.\Standing by, anytime.\Fi,\Kurami...\I was so scared! I'm never doing that again!\I was so scared!\What's going on? response:	This may be who
context: Yeah.\Standing by, anytime.\Fi,\Kurami...\I was so scared! I'm never doing that again!\I was so scared!\What's going on?\This may be who response:	our master really is...
context: Standing by, anytime.\Fi,\Kurami...\I was so scared! I'm never doing that again!\I was so scared!\What's going on?\This may be who\our master really is... response:	I was so scared!
context: Fi,\Kurami...\I was so scared! I'm never doing that again!\I was so scared!\What's going on?\This may be who\our master really is...\I was so scared! response:	Blue Rose
context: Kurami...\I was so scared! I'm never doing that again!\I was so scared!\What's going on?\This may be who\our master really is...\I was so scared!\Blue Rose response:	It's way faster than Salamander!
context: I was so scared! I'm never doing that again!\I was so scared!\What's going on?\This may be who\our master really is...\I was so scared!\Blue Rose\It's way faster than Salamander! response:	Please wait a moment.
context: I was so scared!\What's going on?\This may be who\our master really is...\I was so scared!\Blue Rose\It's way faster than Salamander!\Please wait a moment. response:	Shut up!
context: What's going on?\This may be who\our master really is...\I was so scared!\Blue Rose\It's way faster than Salamander!\Please wait a moment.\Shut up! response:	It's a sad thing, growing up.
