context: He's overworked. response:	He had an anemia attack, but he didn't faint.
context: It's truly a fortunate error.\I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read!\Ow...\Go, Prince!\Final spurt!\Prince! response:	Prince!
context: I wish I could go back to my room and read!\Now you!\I wish I could go back to my room and read!\Ow...\Go, Prince!\Final spurt!\Prince!\Prince! response:	Whoa!
context: Now you!\I wish I could go back to my room and read!\Ow...\Go, Prince!\Final spurt!\Prince!\Prince!\Whoa! response:	This is amazing. Is Kakeru going to break 14:30?
context: I wish I could go back to my room and read!\Ow...\Go, Prince!\Final spurt!\Prince!\Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30? response:	Prince!
context: Ow...\Go, Prince!\Final spurt!\Prince!\Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince! response:	Forward!
context: Go, Prince!\Final spurt!\Prince!\Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward! response:	Face forward.
context: Final spurt!\Prince!\Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward!\Face forward. response:	Forward!
context: Prince!\Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward!\Face forward.\Forward! response:	Hey! Why's he slowing down?
context: Prince!\Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward!\Face forward.\Forward!\Hey! Why's he slowing down? response:	He was going to get a good time, too!
context: Whoa!\This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward!\Face forward.\Forward!\Hey! Why's he slowing down?\He was going to get a good time, too! response:	Kakeru...
context: This is amazing. Is Kakeru going to break 14:30?\Prince!\Forward!\Face forward.\Forward!\Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru... response:	Prince!
context: Prince!\Forward!\Face forward.\Forward!\Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru...\Prince! response:	I am... facing forward...
context: Forward!\Face forward.\Forward!\Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru...\Prince!\I am... facing forward... response:	You never... shut up!
context: Face forward.\Forward!\Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru...\Prince!\I am... facing forward...\You never... shut up! response:	I'm fine.
context: Forward!\Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru...\Prince!\I am... facing forward...\You never... shut up!\I'm fine. response:	Go!
context: Hey! Why's he slowing down?\He was going to get a good time, too!\Kakeru...\Prince!\I am... facing forward...\You never... shut up!\I'm fine.\Go! response:	Prince!
context: He was going to get a good time, too!\Kakeru...\Prince!\I am... facing forward...\You never... shut up!\I'm fine.\Go!\Prince! response:	Prince!
context: Kakeru...\Prince!\I am... facing forward...\You never... shut up!\I'm fine.\Go!\Prince!\Prince! response:	Hey, he might make it.
context: Prince!\I am... facing forward...\You never... shut up!\I'm fine.\Go!\Prince!\Prince!\Hey, he might make it. response:	Yeah, he just might.
context: I am... facing forward...\You never... shut up!\I'm fine.\Go!\Prince!\Prince!\Hey, he might make it.\Yeah, he just might. response:	You can do it, Prince!
context: You never... shut up!\I'm fine.\Go!\Prince!\Prince!\Hey, he might make it.\Yeah, he just might.\You can do it, Prince! response:	Prince!
context: I'm fine.\Go!\Prince!\Prince!\Hey, he might make it.\Yeah, he just might.\You can do it, Prince!\Prince! response:	Final spurt!
context: Go!\Prince!\Prince!\Hey, he might make it.\Yeah, he just might.\You can do it, Prince!\Prince!\Final spurt! response:	Yeah!
context: Prince!\Prince!\Hey, he might make it.\Yeah, he just might.\You can do it, Prince!\Prince!\Final spurt!\Yeah! response:	Prince!
context: Prince!\Hey, he might make it.\Yeah, he just might.\You can do it, Prince!\Prince!\Final spurt!\Yeah!\Prince! response:	You did it. You made it.
context: Hey, he might make it.\Yeah, he just might.\You can do it, Prince!\Prince!\Final spurt!\Yeah!\Prince!\You did it. You made it. response:	Don't make such a fuss.
context: Yeah, he just might.\You can do it, Prince!\Prince!\Final spurt!\Yeah!\Prince!\You did it. You made it.\Don't make such a fuss. response:	I still have a long way to go.
context: You can do it, Prince!\Prince!\Final spurt!\Yeah!\Prince!\You did it. You made it.\Don't make such a fuss.\I still have a long way to go. response:	Yes, you do. You can go much faster.
context: Prince!\Final spurt!\Yeah!\Prince!\You did it. You made it.\Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster. response:	Shut up!
context: Final spurt!\Yeah!\Prince!\You did it. You made it.\Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster.\Shut up! response:	What's so great about that?
context: Yeah!\Prince!\You did it. You made it.\Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster.\Shut up!\What's so great about that? response:	Who knows?
context: Prince!\You did it. You made it.\Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster.\Shut up!\What's so great about that?\Who knows? response:	Yeah! To celebrating breaking 30 minutes...
context: You did it. You made it.\Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster.\Shut up!\What's so great about that?\Who knows?\Yeah! To celebrating breaking 30 minutes... response:	Ready, and...!
context: Don't make such a fuss.\I still have a long way to go.\Yes, you do. You can go much faster.\Shut up!\What's so great about that?\Who knows?\Yeah! To celebrating breaking 30 minutes...\Ready, and...! response:	Next time: Overflowing Drops.
context: I still have a long way to go.\Yes, you do. You can go much faster.\Shut up!\What's so great about that?\Who knows?\Yeah! To celebrating breaking 30 minutes...\Ready, and...!\Next time: Overflowing Drops. response:	Next time: Overflowing Drops
