context: Water collects into stagnant pools. response:	I've always loved watching it spill out all at once.
context: Excuse me, that's my bike.\Oh, is it?\The Antarctic Express?\Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me! response:	K-Kobuchizawa-san, the teacher's calling you.
context: Oh, is it?\The Antarctic Express?\Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you. response:	They gotta ask some questions about the money.
context: The Antarctic Express?\Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money. response:	Really?
context: Where's our payment?\We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really? response:	Way to spoil the fun...
context: We were making sure no one stole it.\We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really?\Way to spoil the fun... response:	You were lying?
context: We hear you've got some money on you.\Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really?\Way to spoil the fun...\You were lying? response:	Don't scare me like that...
context: Could you lend us a little? Just a little...\E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really?\Way to spoil the fun...\You were lying?\Don't scare me like that... response:	I thought the teacher really found out about it!
context: E-Excuse me!\K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really?\Way to spoil the fun...\You were lying?\Don't scare me like that...\I thought the teacher really found out about it! response:	But I gave you a knowing look!
context: K-Kobuchizawa-san, the teacher's calling you.\They gotta ask some questions about the money.\Really?\Way to spoil the fun...\You were lying?\Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look! response:	How was I supposed to know?
context: They gotta ask some questions about the money.\Really?\Way to spoil the fun...\You were lying?\Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know? response:	But why were you there? Just happened to be passing by?
context: Really?\Way to spoil the fun...\You were lying?\Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by? response:	Actually, I happened to see you, and I wanted to talk to you.
context: Way to spoil the fun...\You were lying?\Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you. response:	About what?
context: You were lying?\Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what? response:	I want to encourage you!
context: Don't scare me like that...\I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you! response:	I wanted to do something when I got into high school.
context: I thought the teacher really found out about it!\But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you!\I wanted to do something when I got into high school. response:	Something I'd never done. Something amazing!
context: But I gave you a knowing look!\How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing! response:	But I never did anything,
context: How was I supposed to know?\But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything, response:	and whenever I try, I end up getting scared and quit.
context: But why were you there? Just happened to be passing by?\Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit. response:	So... I think it's really amazing to work hard at something,
context: Actually, I happened to see you, and I wanted to talk to you.\About what?\I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something, response:	even when everyone discourages you and makes fun of you!
context: About what?\I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you! response:	Just let people say what they want.
context: I want to encourage you!\I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want. response:	Wanting to show them up just fires me up even more.
context: I wanted to do something when I got into high school.\Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more. response:	I think it's for the best.
context: Something I'd never done. Something amazing!\But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best. response:	Isn't there any way I can help you?
context: But I never did anything,\and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you? response:	Just say the word!
context: and whenever I try, I end up getting scared and quit.\So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you?\Just say the word! response:	Will you go with me, then?
context: So... I think it's really amazing to work hard at something,\even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you?\Just say the word!\Will you go with me, then? response:	People have said that to me in the past.
context: even when everyone discourages you and makes fun of you!\Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you?\Just say the word!\Will you go with me, then?\People have said that to me in the past. response:	But they all go away before long.
context: Just let people say what they want.\Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you?\Just say the word!\Will you go with me, then?\People have said that to me in the past.\But they all go away before long. response:	They decide it's impossible,
context: Wanting to show them up just fires me up even more.\I think it's for the best.\Isn't there any way I can help you?\Just say the word!\Will you go with me, then?\People have said that to me in the past.\But they all go away before long.\They decide it's impossible, response:	their friends get them to stop...
context: I think it's for the best.\Isn't there any way I can help you?\Just say the word!\Will you go with me, then?\People have said that to me in the past.\But they all go away before long.\They decide it's impossible,\their friends get them to stop... response:	Or they get scared.
context: Isn't there any way I can help you?\Just say the word!\Will you go with me, then?\People have said that to me in the past.\But they all go away before long.\They decide it's impossible,\their friends get them to stop...\Or they get scared. response:	I think that's normal.
context: Just say the word!\Will you go with me, then?\People have said that to me in the past.\But they all go away before long.\They decide it's impossible,\their friends get them to stop...\Or they get scared.\I think that's normal. response:	We're in high school, after all.
context: Will you go with me, then?\People have said that to me in the past.\But they all go away before long.\They decide it's impossible,\their friends get them to stop...\Or they get scared.\I think that's normal.\We're in high school, after all. response:	They have classes to get to, and friends.
context: People have said that to me in the past.\But they all go away before long.\They decide it's impossible,\their friends get them to stop...\Or they get scared.\I think that's normal.\We're in high school, after all.\They have classes to get to, and friends. response:	I'm not like them! My feelings about this aren't that frivolous...
context: But they all go away before long.\They decide it's impossible,\their friends get them to stop...\Or they get scared.\I think that's normal.\We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous... response:	I'm checking out boats.
context: They decide it's impossible,\their friends get them to stop...\Or they get scared.\I think that's normal.\We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats. response:	Come here this Saturday.
context: their friends get them to stop...\Or they get scared.\I think that's normal.\We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday. response:	If you do, I'll believe you're serious.
context: Or they get scared.\I think that's normal.\We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious. response:	Antarctic survey ship coming to Kure Port!
context: I think that's normal.\We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port! response:	Icebreaker Shirase Public Exhibition
context: We're in high school, after all.\They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition response:	Icebreaker Shirase, public exhibition...
context: They have classes to get to, and friends.\I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition... response:	Kawaraishi Station
context: I'm not like them! My feelings about this aren't that frivolous...\I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station response:	Please use public transportation to arrive!
context: I'm checking out boats.\Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive! response:	Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port
context: Come here this Saturday.\If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port response:	Hiroshima Prefecture
context: If you do, I'll believe you're serious.\Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture response:	Hiroshima...
context: Antarctic survey ship coming to Kure Port!\Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima... response:	Or they get scared.
context: Icebreaker Shirase Public Exhibition\Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima...\Or they get scared. response:	I think that's normal.
context: Icebreaker Shirase, public exhibition...\Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima...\Or they get scared.\I think that's normal. response:	There's no way she's going, though.
context: Kawaraishi Station\Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima...\Or they get scared.\I think that's normal.\There's no way she's going, though. response:	Will you go with me, then?
context: Please use public transportation to arrive!\Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima...\Or they get scared.\I think that's normal.\There's no way she's going, though.\Will you go with me, then? response:	Icebreaker Shirase Public Exhibition
context: Venue: Tsukijicho, Kure, Hiroshima Prefecture Kawaraishi South Pier, Kure Port\Hiroshima Prefecture\Hiroshima...\Or they get scared.\I think that's normal.\There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition response:	A Place Further Than the Universe
context: Hiroshima Prefecture\Hiroshima...\Or they get scared.\I think that's normal.\There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe response:	Sis!
context: Hiroshima...\Or they get scared.\I think that's normal.\There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis! response:	I know it's Saturday, but you can't sleep in forev
context: Or they get scared.\I think that's normal.\There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev response:	I'm going on a journey.
context: I think that's normal.\There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey. response:	This time, I am going on a journey.
context: There's no way she's going, though.\Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey. response:	I'll get on the train that goes opposite the usual way,
context: Will you go with me, then?\Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way, response:	so that I can see things I've never seen before...
context: Icebreaker Shirase Public Exhibition\A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before... response:	I'm scared; it's true...
context: A Place Further Than the Universe\Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true... response:	I want to call it off...
context: Sis!\I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off... response:	It might all turn out to be pointless...
context: I know it's Saturday, but you can't sleep in forev\I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless... response:	But...
context: I'm going on a journey.\This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless...\But... response:	I'm finally going on a journey!
context: This time, I am going on a journey.\I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless...\But...\I'm finally going on a journey! response:	I got a picture of Mt. Fuji!
context: I'll get on the train that goes opposite the usual way,\so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless...\But...\I'm finally going on a journey!\I got a picture of Mt. Fuji! response:	Wow, it's so big!
context: so that I can see things I've never seen before...\I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless...\But...\I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big! response:	Shirase
context: I'm scared; it's true...\I want to call it off...\It might all turn out to be pointless...\But...\I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase response:	Crossing the equator,
context: I want to call it off...\It might all turn out to be pointless...\But...\I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase\Crossing the equator, response:	weathering storms,
context: It might all turn out to be pointless...\But...\I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase\Crossing the equator,\weathering storms, response:	breaking through ice...
context: But...\I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase\Crossing the equator,\weathering storms,\breaking through ice... response:	14,000 kilometers from Japan.
context: I'm finally going on a journey!\I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase\Crossing the equator,\weathering storms,\breaking through ice...\14,000 kilometers from Japan. response:	To that place further than the reaches of the universe,
context: I got a picture of Mt. Fuji!\Wow, it's so big!\Shirase\Crossing the equator,\weathering storms,\breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe, response:	Passed 55 Degrees South!
context: Wow, it's so big!\Shirase\Crossing the equator,\weathering storms,\breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South! response:	12 December 2015, 1258
context: Shirase\Crossing the equator,\weathering storms,\breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258 response:	that unapproachable place...
context: Crossing the equator,\weathering storms,\breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place... response:	How do you plan to get there?
context: weathering storms,\breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place...\How do you plan to get there? response:	You want to know?
context: breaking through ice...\14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place...\How do you plan to get there?\You want to know? response:	The corners of her mouth curled up in a smile.
context: 14,000 kilometers from Japan.\To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place...\How do you plan to get there?\You want to know?\The corners of her mouth curled up in a smile. response:	Get the most out of youth.
context: To that place further than the reaches of the universe,\Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place...\How do you plan to get there?\You want to know?\The corners of her mouth curled up in a smile.\Get the most out of youth. response:	My youth sprang into action!
context: Passed 55 Degrees South!\12 December 2015, 1258\that unapproachable place...\How do you plan to get there?\You want to know?\The corners of her mouth curled up in a smile.\Get the most out of youth.\My youth sprang into action! response:	The Place Further Than the Universe
context: 12 December 2015, 1258\that unapproachable place...\How do you plan to get there?\You want to know?\The corners of her mouth curled up in a smile.\Get the most out of youth.\My youth sprang into action!\The Place Further Than the Universe response:	Miyake-san, come over here!
context: that unapproachable place...\How do you plan to get there?\You want to know?\The corners of her mouth curled up in a smile.\Get the most out of youth.\My youth sprang into action!\The Place Further Than the Universe\Miyake-san, come over here! response:	Okay!
