context: May 7th response:	After spending the rest of Golden Week studying with Oga Kazuomi and Onoya An (Support Division), Kaizaki Arata passed his fourth round of make-up tests.
context: Stressful?\It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right? response:	You're gung-ho about this.
context: It was just a part-time job.\But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this. response:	I-I'd better be!
context: But the boss was nice. Helped me out a lot.\I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be! response:	I even quit my job.
context: I feel guilty quitting.\Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be!\I even quit my job. response:	I don't have any other options.
context: Thanks for going along with this.\Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be!\I even quit my job.\I don't have any other options. response:	I'm just gonna hunker down and let the year go by.
context: Now I can go back to school without any regrets.\You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be!\I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by. response:	That's all.
context: You're just gonna take it here?\Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be!\I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all. response:	Not exactly gung-ho.
context: Takes a while for it to kick in, right?\You're gung-ho about this.\I-I'd better be!\I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho. response:	Got it.
context: You're gung-ho about this.\I-I'd better be!\I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho.\Got it. response:	It's in the documents I gave you,
context: I-I'd better be!\I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho.\Got it.\It's in the documents I gave you, response:	but you'll get really sleepy shortly after taking that, so be careful.
context: I even quit my job.\I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho.\Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful. response:	I'd advise you not to drive anywhere.
context: I don't have any other options.\I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho.\Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere. response:	I don't have a car!
context: I'm just gonna hunker down and let the year go by.\That's all.\Not exactly gung-ho.\Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car! response:	But, uh...
context: That's all.\Not exactly gung-ho.\Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car!\But, uh... response:	I have plans after this...
context: Not exactly gung-ho.\Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car!\But, uh...\I have plans after this... response:	You're so thoughtless.
context: Got it.\It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car!\But, uh...\I have plans after this...\You're so thoughtless. response:	Isn't it your fault for not explaining it to me properly?!
context: It's in the documents I gave you,\but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car!\But, uh...\I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?! response:	Fair enough!
context: but you'll get really sleepy shortly after taking that, so be careful.\I'd advise you not to drive anywhere.\I don't have a car!\But, uh...\I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough! response:	Fair enough?!
context: I'd advise you not to drive anywhere.\I don't have a car!\But, uh...\I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?! response:	You should really read the documents.
context: I don't have a car!\But, uh...\I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?!\You should really read the documents. response:	But each time Kaizaki Arata demonstrates remorse,
context: But, uh...\I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse, response:	and attempts to improve...
context: I have plans after this...\You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve... response:	He's starting to change things around him.
context: You're so thoughtless.\Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him. response:	What effect will that have on Kaizaki Arata's ReLIFE?
context: Isn't it your fault for not explaining it to me properly?!\Fair enough!\Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE? response:	It makes me want to keep watching
context: Fair enough!\Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching response:	and living a student's life with them.
context: Fair enough?!\You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them. response:	NEXT EPISODE
context: You should really read the documents.\But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE response:	Yoake-san, what do you usually do?
context: But each time Kaizaki Arata demonstrates remorse,\and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do? response:	What do you mean?
context: and attempts to improve...\He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean? response:	I mean, what do you do when you're not supporting me?
context: He's starting to change things around him.\What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean?\I mean, what do you do when you're not supporting me? response:	I keep thinking about you, of course!
context: What effect will that have on Kaizaki Arata's ReLIFE?\It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean?\I mean, what do you do when you're not supporting me?\I keep thinking about you, of course! response:	Rift
context: It makes me want to keep watching\and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean?\I mean, what do you do when you're not supporting me?\I keep thinking about you, of course!\Rift response:	Huh?
context: and living a student's life with them.\NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean?\I mean, what do you do when you're not supporting me?\I keep thinking about you, of course!\Rift\Huh? response:	Is that what you want me to say?
context: NEXT EPISODE\Yoake-san, what do you usually do?\What do you mean?\I mean, what do you do when you're not supporting me?\I keep thinking about you, of course!\Rift\Huh?\Is that what you want me to say? response:	Hell, no!
