context: TS response:	Where did those monsters come from?
context: You wouldn't understand even if I explained.\Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world.\Elena?\I'll be frank. response:	I'm not a human from this world.
context: Nope, I understand.\Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world.\Elena?\I'll be frank.\I'm not a human from this world. response:	You and your manga references.
context: Elena?\If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world.\Elena?\I'll be frank.\I'm not a human from this world.\You and your manga references. response:	It's the opposite, Fleur.
context: If you fire that cannon, both Secrets and the Scub Coral will disappear.\The world will change.\That's my world.\Elena?\I'll be frank.\I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur. response:	I'm not really that into manga.
context: The world will change.\That's my world.\Elena?\I'll be frank.\I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga. response:	It's just that what I've lived through seems like a manga.
context: That's my world.\Elena?\I'll be frank.\I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga. response:	I can only believe what's impossible.
context: Elena?\I'll be frank.\I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible. response:	What do you mean?
context: I'll be frank.\I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean? response:	I'm from another world.
context: I'm not a human from this world.\You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean?\I'm from another world. response:	I want to return there.
context: You and your manga references.\It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean?\I'm from another world.\I want to return there. response:	Ao, you're going to take me with you, right?
context: It's the opposite, Fleur.\I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean?\I'm from another world.\I want to return there.\Ao, you're going to take me with you, right? response:	Why me?
context: I'm not really that into manga.\It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean?\I'm from another world.\I want to return there.\Ao, you're going to take me with you, right?\Why me? response:	Because Eureka brought me here.
context: It's just that what I've lived through seems like a manga.\I can only believe what's impossible.\What do you mean?\I'm from another world.\I want to return there.\Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here. response:	Hey, you kids
context: I can only believe what's impossible.\What do you mean?\I'm from another world.\I want to return there.\Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here.\Hey, you kids response:	Sorry.
context: What do you mean?\I'm from another world.\I want to return there.\Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here.\Hey, you kids\Sorry. response:	The IFOs won't be launching.
context: I'm from another world.\I want to return there.\Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here.\Hey, you kids\Sorry.\The IFOs won't be launching. response:	The Poseidon is all right then?
context: I want to return there.\Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here.\Hey, you kids\Sorry.\The IFOs won't be launching.\The Poseidon is all right then? response:	No, Georg has been erased from the IFOs.
context: Ao, you're going to take me with you, right?\Why me?\Because Eureka brought me here.\Hey, you kids\Sorry.\The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs. response:	We're reinstalling an old version now,
context: Why me?\Because Eureka brought me here.\Hey, you kids\Sorry.\The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now, response:	but it'll take about an hour to set up all the user data.
context: Because Eureka brought me here.\Hey, you kids\Sorry.\The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data. response:	But... what if they launch an attack on us?
context: Hey, you kids\Sorry.\The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us? response:	Sorry for barging in on you.
context: Sorry.\The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you. response:	It's nothing.
context: The IFOs won't be launching.\The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing. response:	But hey, you're okay with Ao being there?
context: The Poseidon is all right then?\No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there? response:	I'm not!
context: No, Georg has been erased from the IFOs.\We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there?\I'm not! response:	Papa?
context: We're reinstalling an old version now,\but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there?\I'm not!\Papa? response:	Papa, what are you doing here?
context: but it'll take about an hour to set up all the user data.\But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there?\I'm not!\Papa?\Papa, what are you doing here? response:	Keep this a secret from everyone.
context: But... what if they launch an attack on us?\Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there?\I'm not!\Papa?\Papa, what are you doing here?\Keep this a secret from everyone. response:	Fleur, get ready to escape with me.
context: Sorry for barging in on you.\It's nothing.\But hey, you're okay with Ao being there?\I'm not!\Papa?\Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me. response:	Generation Bleu is done for, but the two of us can still run away.
context: It's nothing.\But hey, you're okay with Ao being there?\I'm not!\Papa?\Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away. response:	Wait for me.
context: But hey, you're okay with Ao being there?\I'm not!\Papa?\Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me. response:	How should I say this... there's no doubt he's your dad.
context: I'm not!\Papa?\Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad. response:	He plans to abandon the company just to protect you.
context: Papa?\Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you. response:	It's amazing.
context: Papa, what are you doing here?\Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing. response:	Launching all IFOs!
context: Keep this a secret from everyone.\Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs! response:	Activate defenses.
context: Fleur, get ready to escape with me.\Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs!\Activate defenses. response:	Where's Cristophe?!
context: Generation Bleu is done for, but the two of us can still run away.\Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs!\Activate defenses.\Where's Cristophe?! response:	Fleur, let's get inside the Triton.
context: Wait for me.\How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs!\Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton. response:	It'll be safer inside even if it can't fly.
context: How should I say this... there's no doubt he's your dad.\He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs!\Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly. response:	Ao, come with me!
context: He plans to abandon the company just to protect you.\It's amazing.\Launching all IFOs!\Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me! response:	There's still power here.
context: It's amazing.\Launching all IFOs!\Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here. response:	Fleur?
context: Launching all IFOs!\Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here.\Fleur? response:	Where's Papa? I mean, the President?
context: Activate defenses.\Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here.\Fleur?\Where's Papa? I mean, the President? response:	He said he's going to move the Quartz Gun. He's inside.
context: Where's Cristophe?!\Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here.\Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside. response:	Move the cannon?
context: Fleur, let's get inside the Triton.\It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here.\Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon? response:	President!
context: It'll be safer inside even if it can't fly.\Ao, come with me!\There's still power here.\Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President! response:	Fleur...
context: Ao, come with me!\There's still power here.\Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President!\Fleur... response:	Too bad.
context: There's still power here.\Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President!\Fleur...\Too bad. response:	My Papa is stupid, but he knows me more than anyone else does.
context: Fleur?\Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President!\Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does. response:	He knows very well that I'd rather die
context: Where's Papa? I mean, the President?\He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President!\Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die response:	than leave Ao, Elena, and Alleluia to run away with him.
context: He said he's going to move the Quartz Gun. He's inside.\Move the cannon?\President!\Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him. response:	Truth!
context: Move the cannon?\President!\Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth! response:	Fukai Ao, what are you doing here?
context: President!\Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here? response:	Truth...
context: Fleur...\Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here?\Truth... response:	You can't have the cannon!
context: Too bad.\My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here?\Truth...\You can't have the cannon! response:	That's the only connection I have between Mom and I!
context: My Papa is stupid, but he knows me more than anyone else does.\He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here?\Truth...\You can't have the cannon!\That's the only connection I have between Mom and I! response:	It's not a weapon! I won't let you make it a weapon!
context: He knows very well that I'd rather die\than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here?\Truth...\You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon! response:	Shut up!
context: than leave Ao, Elena, and Alleluia to run away with him.\Truth!\Fukai Ao, what are you doing here?\Truth...\You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up! response:	With this pile of Quartz, I'll change the
context: Truth!\Fukai Ao, what are you doing here?\Truth...\You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the response:	Are you two all right?
context: Fukai Ao, what are you doing here?\Truth...\You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the\Are you two all right? response:	Papa?
context: Truth...\You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the\Are you two all right?\Papa? response:	Ao, take care of Fleur!
context: You can't have the cannon!\That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the\Are you two all right?\Papa?\Ao, take care of Fleur! response:	President?
context: That's the only connection I have between Mom and I!\It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the\Are you two all right?\Papa?\Ao, take care of Fleur!\President? response:	Generation Bleu will be no more today.
context: It's not a weapon! I won't let you make it a weapon!\Shut up!\With this pile of Quartz, I'll change the\Are you two all right?\Papa?\Ao, take care of Fleur!\President?\Generation Bleu will be no more today. response:	But you still have something you must do.
context: Shut up!\With this pile of Quartz, I'll change the\Are you two all right?\Papa?\Ao, take care of Fleur!\President?\Generation Bleu will be no more today.\But you still have something you must do. response:	You must correct our mistake.
context: With this pile of Quartz, I'll change the\Are you two all right?\Papa?\Ao, take care of Fleur!\President?\Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake. response:	Mistake? What mistake?
context: Are you two all right?\Papa?\Ao, take care of Fleur!\President?\Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake.\Mistake? What mistake? response:	The Secrets may not be our enemy.
context: Papa?\Ao, take care of Fleur!\President?\Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy. response:	The Scub Coral may actually be the invader of this world.
context: Ao, take care of Fleur!\President?\Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world. response:	There are people infected by the Scub Coral all around the world...
context: President?\Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world... response:	Like Naru...
context: Generation Bleu will be no more today.\But you still have something you must do.\You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru... response:	It's not so easy for adults to correct their mistakes.
context: But you still have something you must do.\You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes. response:	We called the Secrets evil, so we can't go back on that.
context: You must correct our mistake.\Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that. response:	But you...
context: Mistake? What mistake?\The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you... response:	You can find out what's right!
context: The Secrets may not be our enemy.\The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right! response:	So...
context: The Scub Coral may actually be the invader of this world.\There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right!\So... response:	Papa?
context: There are people infected by the Scub Coral all around the world...\Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right!\So...\Papa? response:	Papa!
context: Like Naru...\It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right!\So...\Papa?\Papa! response:	Nirvash should be able to fly without Georg.
context: It's not so easy for adults to correct their mistakes.\We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right!\So...\Papa?\Papa!\Nirvash should be able to fly without Georg. response:	Fly, Ao, Fleur!
context: We called the Secrets evil, so we can't go back on that.\But you...\You can find out what's right!\So...\Papa?\Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur! response:	The sky is wide open!
context: But you...\You can find out what's right!\So...\Papa?\Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open! response:	What are you thinking?
context: You can find out what's right!\So...\Papa?\Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open!\What are you thinking? response:	Do you want to fight me alone?
context: So...\Papa?\Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open!\What are you thinking?\Do you want to fight me alone? response:	Truth, I've read Johansson's book too.
context: Papa?\Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open!\What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too. response:	I have a theory.
context: Papa!\Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open!\What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory. response:	Aren't you a Secret who lost his memories?
context: Nirvash should be able to fly without Georg.\Fly, Ao, Fleur!\The sky is wide open!\What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories? response:	You're going on about that as well?!
context: Fly, Ao, Fleur!\The sky is wide open!\What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?! response:	Secrets cause a huge explosion when they come into contact with Quartz.
context: The sky is wide open!\What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz. response:	You're no exception either.
context: What are you thinking?\Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either. response:	What?
context: Do you want to fight me alone?\Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What? response:	Most of the Quartz have been absorbed into the Quartz Gun.
context: Truth, I've read Johansson's book too.\I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun. response:	But those we collected in the past few days are kept here.
context: I have a theory.\Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here. response:	No way...
context: Aren't you a Secret who lost his memories?\You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way... response:	Wait!
context: You're going on about that as well?!\Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way...\Wait! response:	Confluence explosion.
context: Secrets cause a huge explosion when they come into contact with Quartz.\You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way...\Wait!\Confluence explosion. response:	Papa!
context: You're no exception either.\What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way...\Wait!\Confluence explosion.\Papa! response:	Maybe Tomorrow
context: What?\Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way...\Wait!\Confluence explosion.\Papa!\Maybe Tomorrow response:	Preview
context: Most of the Quartz have been absorbed into the Quartz Gun.\But those we collected in the past few days are kept here.\No way...\Wait!\Confluence explosion.\Papa!\Maybe Tomorrow\Preview response:	Better Days Ahead
context: But those we collected in the past few days are kept here.\No way...\Wait!\Confluence explosion.\Papa!\Maybe Tomorrow\Preview\Better Days Ahead response:	hikaru suiheisen
context: No way...\Wait!\Confluence explosion.\Papa!\Maybe Tomorrow\Preview\Better Days Ahead\hikaru suiheisen response:	Just over the bright horizon,
context: Wait!\Confluence explosion.\Papa!\Maybe Tomorrow\Preview\Better Days Ahead\hikaru suiheisen\Just over the bright horizon, response:	hajimari to owari no
context: Confluence explosion.\Papa!\Maybe Tomorrow\Preview\Better Days Ahead\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no response:	where the beginning and the end
context: Papa!\Maybe Tomorrow\Preview\Better Days Ahead\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end response:	tokeau soko wa
context: Maybe Tomorrow\Preview\Better Days Ahead\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa response:	melt into one,
context: Preview\Better Days Ahead\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one, response:	namida no furusato na no
context: Better Days Ahead\hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no response:	lies the homeland of tears
context: hikaru suiheisen\Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears response:	furueteru te de
context: Just over the bright horizon,\hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de response:	I've already pocketed
context: hajimari to owari no\where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed response:	shinjirareru mono
context: where the beginning and the end\tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono response:	my trembling hand
context: tokeau soko wa\melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand response:	poketto ni tsumekonda
context: melt into one,\namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda response:	which holds my beliefs
context: namida no furusato na no\lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs response:	kanata de yurameiteru shinkirou
context: lies the homeland of tears\furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou response:	A mirage shimmers in the distance
context: furueteru te de\I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance response:	sora miagereba
context: I've already pocketed\shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba response:	I look to the sky
context: shinjirareru mono\my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky response:	michibiitekureru you na
context: my trembling hand\poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na response:	hoping it will show me the way
context: poketto ni tsumekonda\which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way response:	natsukashikute atsui hikari wo kureru
context: which holds my beliefs\kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru response:	And it gives off a familiar, warm light
context: kanata de yurameiteru shinkirou\A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light response:	anata wa chiisaku te wo furu yo
context: A mirage shimmers in the distance\sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo response:	You wave at me faintly
context: sora miagereba\I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly response:	ikanakucha
context: I look to the sky\michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha response:	I must go
context: michibiitekureru you na\hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go response:	mou nakanai yo shangurira
context: hoping it will show me the way\natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira response:	Don't cry anymore because Shangri-La,
context: natsukashikute atsui hikari wo kureru\And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La, response:	aratana sekai he to daibu shiyou
context: And it gives off a familiar, warm light\anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou response:	a new world, is waiting for us
context: anata wa chiisaku te wo furu yo\You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us response:	aoiro ni dakareta boku wa
context: You wave at me faintly\ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa response:	As I'm embraced by its blue...
context: ikanakucha\I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue... response:	kono mune no takanari to tomo ni
context: I must go\mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni response:	My heart beats loudly
context: mou nakanai yo shangurira\Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly response:	futashikana*
context: Don't cry anymore because Shangri-La,\aratana sekai he to daibu shiyou\a new world, is waiting for us\aoiro ni dakareta boku wa\As I'm embraced by its blue...\kono mune no takanari to tomo ni\My heart beats loudly\futashikana* response:	*T/L Note: I'm so uncertain
