context: I say yes response:	Stay with me
context: Looks like the Queen has been kidnapped by someone.\What?!\What was that for?!\It's part of the mission!\What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily. response:	So I seriously ran as hard as I could.
context: What?!\What was that for?!\It's part of the mission!\What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could. response:	As hard as you could? But what if something were to happen to you?
context: What was that for?!\It's part of the mission!\What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you? response:	That's why I asked you to be my bodyguard.
context: It's part of the mission!\What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard. response:	I wanted you to protect me...
context: What mission?\Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me... response:	So I was fooled by you as well?
context: Princess... what are we doing this for?\In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well? response:	I'm sorry.
context: In order to lure out the traitor, we issued a false emergency stating that I went missing.\However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well?\I'm sorry. response:	Isn't there a saying about deceiving the ally before you deceive the enemy?
context: However, they're unlikely to fall for misinformation so easily.\So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy? response:	I get it now.
context: So I seriously ran as hard as I could.\As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now. response:	It's time. Let us go again.
context: As hard as you could? But what if something were to happen to you?\That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again. response:	Huh, where?
context: That's why I asked you to be my bodyguard.\I wanted you to protect me...\So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again.\Huh, where? response:	To the theatre.
context: I wanted you to protect me...\So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again.\Huh, where?\To the theatre. response:	Saito's with Her Highness?
context: So I was fooled by you as well?\I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again.\Huh, where?\To the theatre.\Saito's with Her Highness? response:	Yes. We needed Saito to be Her Highness' bodyguard.
context: I'm sorry.\Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again.\Huh, where?\To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard. response:	What? Was I just an extra, then?
context: Isn't there a saying about deceiving the ally before you deceive the enemy?\I get it now.\It's time. Let us go again.\Huh, where?\To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then? response:	Well, that's...
context: I get it now.\It's time. Let us go again.\Huh, where?\To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's... response:	Anyway, until everything is done, be on standby at that shop.
context: It's time. Let us go again.\Huh, where?\To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop. response:	Wait, where are you going?
context: Huh, where?\To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going? response:	The theatre.
context: To the theatre.\Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre. response:	Bye.
context: Saito's with Her Highness?\Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre.\Bye. response:	Hey!
context: Yes. We needed Saito to be Her Highness' bodyguard.\What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre.\Bye.\Hey! response:	Agnes...
context: What? Was I just an extra, then?\Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre.\Bye.\Hey!\Agnes... response:	Hey, Louise-chan.
context: Well, that's...\Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre.\Bye.\Hey!\Agnes...\Hey, Louise-chan. response:	What are you doing? The show's going to start.
context: Anyway, until everything is done, be on standby at that shop.\Wait, where are you going?\The theatre.\Bye.\Hey!\Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start. response:	Ladies and gentlemen.
context: Wait, where are you going?\The theatre.\Bye.\Hey!\Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen. response:	This is a tear-jerking play performed by the Scarron family.
context: The theatre.\Bye.\Hey!\Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family. response:	Make a move, everyone!
context: Bye.\Hey!\Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone! response:	Saito!
context: Hey!\Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito! response:	Louise!
context: Agnes...\Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito!\Louise! response:	Weren't you with Her Highness?
context: Hey, Louise-chan.\What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito!\Louise!\Weren't you with Her Highness? response:	Yeah, until a while ago.
context: What are you doing? The show's going to start.\Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito!\Louise!\Weren't you with Her Highness?\Yeah, until a while ago. response:	She's with Agnes right now.
context: Ladies and gentlemen.\This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito!\Louise!\Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now. response:	Agnes?
context: This is a tear-jerking play performed by the Scarron family.\Make a move, everyone!\Saito!\Louise!\Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now.\Agnes? response:	God, what are you two doing?!
context: Make a move, everyone!\Saito!\Louise!\Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now.\Agnes?\God, what are you two doing?! response:	All right,
context: Saito!\Louise!\Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now.\Agnes?\God, what are you two doing?!\All right, response:	it's show time!
context: Louise!\Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now.\Agnes?\God, what are you two doing?!\All right,\it's show time! response:	Hey, what is this?
context: Weren't you with Her Highness?\Yeah, until a while ago.\She's with Agnes right now.\Agnes?\God, what are you two doing?!\All right,\it's show time!\Hey, what is this? response:	This is called the Liar's Mouth.
context: Yeah, until a while ago.\She's with Agnes right now.\Agnes?\God, what are you two doing?!\All right,\it's show time!\Hey, what is this?\This is called the Liar's Mouth. response:	When a liar puts their hand inside, they won't be able to remove it.
context: She's with Agnes right now.\Agnes?\God, what are you two doing?!\All right,\it's show time!\Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it. response:	Oh, no! What should I do?
context: Agnes?\God, what are you two doing?!\All right,\it's show time!\Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do? response:	Why don't you try and put your hand inside?
context: God, what are you two doing?!\All right,\it's show time!\Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside? response:	No! No! It's too scary!
context: All right,\it's show time!\Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary! response:	I'm a dog even in the play...
context: it's show time!\Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play... response:	So Her Highness has yet to be found?
context: Hey, what is this?\This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found? response:	Yes, she's still missing.
context: This is called the Liar's Mouth.\When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing. response:	So, now's our chance.
context: When a liar puts their hand inside, they won't be able to remove it.\Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance. response:	Who knows where she is right now?
context: Oh, no! What should I do?\Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance.\Who knows where she is right now? response:	I am right here.
context: Why don't you try and put your hand inside?\No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance.\Who knows where she is right now?\I am right here. response:	I overheard everything.
context: No! No! It's too scary!\I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance.\Who knows where she is right now?\I am right here.\I overheard everything. response:	Lishman-dono!
context: I'm a dog even in the play...\So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance.\Who knows where she is right now?\I am right here.\I overheard everything.\Lishman-dono! response:	Your Highness!
context: So Her Highness has yet to be found?\Yes, she's still missing.\So, now's our chance.\Who knows where she is right now?\I am right here.\I overheard everything.\Lishman-dono!\Your Highness! response:	I figured that you'd hurry and make contact with the spy if I went missing.
context: Yes, she's still missing.\So, now's our chance.\Who knows where she is right now?\I am right here.\I overheard everything.\Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing. response:	The more you rush, the less careful you become.
context: So, now's our chance.\Who knows where she is right now?\I am right here.\I overheard everything.\Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become. response:	Even a cautious rat will show its tail.
context: Who knows where she is right now?\I am right here.\I overheard everything.\Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail. response:	I see. So your going missing was a trick to lure me out.
context: I am right here.\I overheard everything.\Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out. response:	Exactly.
context: I overheard everything.\Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly. response:	Lishman, Chair President of Legal Affairs,
context: Lishman-dono!\Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs, response:	You are under arrest for treason.
context: Your Highness!\I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason. response:	Your Highness!
context: I figured that you'd hurry and make contact with the spy if I went missing.\The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness! response:	The curtain has dropped, Lishman-dono.
context: The more you rush, the less careful you become.\Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono. response:	Are you sure about that?
context: Even a cautious rat will show its tail.\I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that? response:	You're still naive, Henrietta.
context: I see. So your going missing was a trick to lure me out.\Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta. response:	Protect Her Highness!
context: Exactly.\Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness! response:	Yes, Sir!
context: Lishman, Chair President of Legal Affairs,\You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir! response:	Kill Henrietta!
context: You are under arrest for treason.\Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir!\Kill Henrietta! response:	Yes, Sir!
context: Your Highness!\The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir!\Kill Henrietta!\Yes, Sir! response:	You must be from Albion.
context: The curtain has dropped, Lishman-dono.\Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir!\Kill Henrietta!\Yes, Sir!\You must be from Albion. response:	You're under arrest for spying.
context: Are you sure about that?\You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir!\Kill Henrietta!\Yes, Sir!\You must be from Albion.\You're under arrest for spying. response:	Your Highness!
context: You're still naive, Henrietta.\Protect Her Highness!\Yes, Sir!\Kill Henrietta!\Yes, Sir!\You must be from Albion.\You're under arrest for spying.\Your Highness! response:	Prepare to die!
context: Protect Her Highness!\Yes, Sir!\Kill Henrietta!\Yes, Sir!\You must be from Albion.\You're under arrest for spying.\Your Highness!\Prepare to die! response:	Are you safe?
context: Yes, Sir!\Kill Henrietta!\Yes, Sir!\You must be from Albion.\You're under arrest for spying.\Your Highness!\Prepare to die!\Are you safe? response:	Saito-san!
context: Kill Henrietta!\Yes, Sir!\You must be from Albion.\You're under arrest for spying.\Your Highness!\Prepare to die!\Are you safe?\Saito-san! response:	Your Highness!
context: Yes, Sir!\You must be from Albion.\You're under arrest for spying.\Your Highness!\Prepare to die!\Are you safe?\Saito-san!\Your Highness! response:	Out of the way!
context: You must be from Albion.\You're under arrest for spying.\Your Highness!\Prepare to die!\Are you safe?\Saito-san!\Your Highness!\Out of the way! response:	Louise!
context: You're under arrest for spying.\Your Highness!\Prepare to die!\Are you safe?\Saito-san!\Your Highness!\Out of the way!\Louise! response:	Stop, Lishman!
context: Your Highness!\Prepare to die!\Are you safe?\Saito-san!\Your Highness!\Out of the way!\Louise!\Stop, Lishman! response:	Farewell, Henrietta.
context: Prepare to die!\Are you safe?\Saito-san!\Your Highness!\Out of the way!\Louise!\Stop, Lishman!\Farewell, Henrietta. response:	The theatre is under my jurisdiction.
context: Are you safe?\Saito-san!\Your Highness!\Out of the way!\Louise!\Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction. response:	I have my ways around.
context: Saito-san!\Your Highness!\Out of the way!\Louise!\Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around. response:	Halt.
context: Your Highness!\Out of the way!\Louise!\Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around.\Halt. response:	Where do you think you're going, Lishman?
context: Out of the way!\Louise!\Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around.\Halt.\Where do you think you're going, Lishman? response:	Ah, it's you.
context: Louise!\Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around.\Halt.\Where do you think you're going, Lishman?\Ah, it's you. response:	I won't be caught by an ex-plebeian.
context: Stop, Lishman!\Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around.\Halt.\Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian. response:	I have no intention of catching you.
context: Farewell, Henrietta.\The theatre is under my jurisdiction.\I have my ways around.\Halt.\Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you. response:	I'll be killing you.
context: The theatre is under my jurisdiction.\I have my ways around.\Halt.\Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you. response:	What?
context: I have my ways around.\Halt.\Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you.\What? response:	Dungletale...
context: Halt.\Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you.\What?\Dungletale... response:	My home vanished without being guilty of any crime.
context: Where do you think you're going, Lishman?\Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you.\What?\Dungletale...\My home vanished without being guilty of any crime. response:	I see. So you're a survivor from that village.
context: Ah, it's you.\I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you.\What?\Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village. response:	Now is the time I take my revenge.
context: I won't be caught by an ex-plebeian.\I have no intention of catching you.\I'll be killing you.\What?\Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge. response:	I can kill you in an instant.
context: I have no intention of catching you.\I'll be killing you.\What?\Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant. response:	Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.
context: I'll be killing you.\What?\Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy. response:	Got you!
context: What?\Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you! response:	That was easy.
context: Dungletale...\My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy. response:	What?
context: My home vanished without being guilty of any crime.\I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy.\What? response:	I-Impossible.
context: I see. So you're a survivor from that village.\Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy.\What?\I-Impossible. response:	Taste the fang we plebeians sharpened to use against you aristocrats.
context: Now is the time I take my revenge.\I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy.\What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats. response:	Die from the bite of the fang.
context: I can kill you in an instant.\Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy.\What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang. response:	Lishman!
context: Listen. The record from Dungletale you're looking for is kept underneath the Magic Academy.\Got you!\That was easy.\What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman! response:	Hurry!
context: Got you!\That was easy.\What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman!\Hurry! response:	So, what were you doing with Her Highness?
context: That was easy.\What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman!\Hurry!\So, what were you doing with Her Highness? response:	Hey, what are you doing?
context: What?\I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman!\Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing? response:	I smell Her Highness' perfume.
context: I-Impossible.\Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman!\Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume. response:	You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.
context: Taste the fang we plebeians sharpened to use against you aristocrats.\Die from the bite of the fang.\Lishman!\Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you. response:	You didn't do something to Her Highness by any chance, did you?
context: Die from the bite of the fang.\Lishman!\Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you? response:	I-I wouldn't do anything...
context: Lishman!\Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything... response:	Speaking of that, what were you doing?
context: Hurry!\So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing? response:	N-Nothing.
context: So, what were you doing with Her Highness?\Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing. response:	What? Did something happen?
context: Hey, what are you doing?\I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing.\What? Did something happen? response:	Nothing, of course!
context: I smell Her Highness' perfume.\You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing.\What? Did something happen?\Nothing, of course! response:	Y-You dare doubt your master, dog?
context: You can't be her bodyguard unless you're so close to her that her perfume sticks onto you.\You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing.\What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog? response:	Unforgivable!
context: You didn't do something to Her Highness by any chance, did you?\I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing.\What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable! response:	Hey! Wait! That's not fair!
context: I-I wouldn't do anything...\Speaking of that, what were you doing?\N-Nothing.\What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair! response:	You dog!
context: Speaking of that, what were you doing?\N-Nothing.\What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair!\You dog! response:	You better tell the truth!
context: N-Nothing.\What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair!\You dog!\You better tell the truth! response:	You pervert dog!
context: What? Did something happen?\Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair!\You dog!\You better tell the truth!\You pervert dog! response:	Stupid dog!
context: Nothing, of course!\Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair!\You dog!\You better tell the truth!\You pervert dog!\Stupid dog! response:	I'm sorry!
context: Y-You dare doubt your master, dog?\Unforgivable!\Hey! Wait! That's not fair!\You dog!\You better tell the truth!\You pervert dog!\Stupid dog!\I'm sorry! response:	You dog!
context: Unforgivable!\Hey! Wait! That's not fair!\You dog!\You better tell the truth!\You pervert dog!\Stupid dog!\I'm sorry!\You dog! response:	What are you doing with the maid in the school's basement?
context: Hey! Wait! That's not fair!\You dog!\You better tell the truth!\You pervert dog!\Stupid dog!\I'm sorry!\You dog!\What are you doing with the maid in the school's basement? response:	What? Sailor uniform?
context: You dog!\You better tell the truth!\You pervert dog!\Stupid dog!\I'm sorry!\You dog!\What are you doing with the maid in the school's basement?\What? Sailor uniform? response:	Zero no Tsukaima. Futatsuki no Kishi.
context: You better tell the truth!\You pervert dog!\Stupid dog!\I'm sorry!\You dog!\What are you doing with the maid in the school's basement?\What? Sailor uniform?\Zero no Tsukaima. Futatsuki no Kishi. response:	The Underground Secret Document.
context: You pervert dog!\Stupid dog!\I'm sorry!\You dog!\What are you doing with the maid in the school's basement?\What? Sailor uniform?\Zero no Tsukaima. Futatsuki no Kishi.\The Underground Secret Document. response:	If you want to meet me again next week, then sit tightly and wait!
