context: Matsuoka Rin response:	Hello, everyone.
context: You're supposed to smile for pictures.\Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award\1st Place\Haru-chan won then too, didn't he?\Huh?\Is that my brother? response:	We didn't know Rin yet.
context: Haru-chan is always smiling on the inside.\This is from the summer tournament when we were in fifth grade.\Award\1st Place\Haru-chan won then too, didn't he?\Huh?\Is that my brother?\We didn't know Rin yet. response:	Wow! We met before we got to know each other!
context: This is from the summer tournament when we were in fifth grade.\Award\1st Place\Haru-chan won then too, didn't he?\Huh?\Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other! response:	Connected by the red string of fate.
context: Award\1st Place\Haru-chan won then too, didn't he?\Huh?\Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate. response:	Do you call it that when it's between boys?
context: 1st Place\Haru-chan won then too, didn't he?\Huh?\Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys? response:	Oh, this is where Rin starts showing up.
context: Haru-chan won then too, didn't he?\Huh?\Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up. response:	This was around when he transferred.
context: Huh?\Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred. response:	It snowed hard that day and we all made snowmen.
context: Is that my brother?\We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen. response:	This was when you were training for the tournament.
context: We didn't know Rin yet.\Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament. response:	Rin was really fired up.
context: Wow! We met before we got to know each other!\Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up. response:	That's so my brother.
context: Connected by the red string of fate.\Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up.\That's so my brother. response:	That was fun!
context: Do you call it that when it's between boys?\Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up.\That's so my brother.\That was fun! response:	We should drop by again!
context: Oh, this is where Rin starts showing up.\This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up.\That's so my brother.\That was fun!\We should drop by again! response:	The hot pot was too hot.
context: This was around when he transferred.\It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up.\That's so my brother.\That was fun!\We should drop by again!\The hot pot was too hot. response:	But it tasted good.
context: It snowed hard that day and we all made snowmen.\This was when you were training for the tournament.\Rin was really fired up.\That's so my brother.\That was fun!\We should drop by again!\The hot pot was too hot.\But it tasted good. response:	Hey, Rei...
context: This was when you were training for the tournament.\Rin was really fired up.\That's so my brother.\That was fun!\We should drop by again!\The hot pot was too hot.\But it tasted good.\Hey, Rei... response:	What's wrong, Rei?
context: Rin was really fired up.\That's so my brother.\That was fun!\We should drop by again!\The hot pot was too hot.\But it tasted good.\Hey, Rei...\What's wrong, Rei? response:	Just what
context: That's so my brother.\That was fun!\We should drop by again!\The hot pot was too hot.\But it tasted good.\Hey, Rei...\What's wrong, Rei?\Just what response:	happened between
context: That was fun!\We should drop by again!\The hot pot was too hot.\But it tasted good.\Hey, Rei...\What's wrong, Rei?\Just what\happened between response:	the four of you?
context: We should drop by again!\The hot pot was too hot.\But it tasted good.\Hey, Rei...\What's wrong, Rei?\Just what\happened between\the four of you? response:	The four of us?
context: The hot pot was too hot.\But it tasted good.\Hey, Rei...\What's wrong, Rei?\Just what\happened between\the four of you?\The four of us? response:	Are you talking about Rin-chan?
context: But it tasted good.\Hey, Rei...\What's wrong, Rei?\Just what\happened between\the four of you?\The four of us?\Are you talking about Rin-chan? response:	You were all so close in those pictures.
context: Hey, Rei...\What's wrong, Rei?\Just what\happened between\the four of you?\The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures. response:	You all looked so happy.
context: What's wrong, Rei?\Just what\happened between\the four of you?\The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy. response:	Well...
context: Just what\happened between\the four of you?\The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy.\Well... response:	Rei.
context: happened between\the four of you?\The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy.\Well...\Rei. response:	I don't know if there's any point in talking about this now.
context: the four of you?\The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy.\Well...\Rei.\I don't know if there's any point in talking about this now. response:	But if you're interested, I can tell you what happened.
context: The four of us?\Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy.\Well...\Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened. response:	Please tell me.
context: Are you talking about Rin-chan?\You were all so close in those pictures.\You all looked so happy.\Well...\Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me. response:	I'm tired of being the only one on the outside!
context: You were all so close in those pictures.\You all looked so happy.\Well...\Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside! response:	Rei...
context: You all looked so happy.\Well...\Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside!\Rei... response:	I'm part of the team, too!
context: Well...\Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too! response:	Rei-chan...
context: Rei.\I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too!\Rei-chan... response:	Okay.
context: I don't know if there's any point in talking about this now.\But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too!\Rei-chan...\Okay. response:	Rin was obsessed with relays from the moment he joined our club.
context: But if you're interested, I can tell you what happened.\Please tell me.\I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too!\Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club. response:	He didn't tell us why until right before the final.
context: Please tell me.\I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too!\Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final. response:	It's finally time for the final.
context: I'm tired of being the only one on the outside!\Rei...\I'm part of the team, too!\Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final. response:	Thanks for doing this for me, guys.
context: Rei...\I'm part of the team, too!\Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys. response:	We're not doing it for you.
context: I'm part of the team, too!\Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you. response:	We're here because we want to be here.
context: Rei-chan...\Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here. response:	Right...
context: Okay.\Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here.\Right... response:	Of course.
context: Rin was obsessed with relays from the moment he joined our club.\He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here.\Right...\Of course. response:	I wasn't sure if I should tell you guys,
context: He didn't tell us why until right before the final.\It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here.\Right...\Of course.\I wasn't sure if I should tell you guys, response:	but win or lose, the next race will be our last.
context: It's finally time for the final.\Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here.\Right...\Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last. response:	So I'll talk.
context: Thanks for doing this for me, guys.\We're not doing it for you.\We're here because we want to be here.\Right...\Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk. response:	My dad was one of the first members of the Iwatobi swimming club.
context: We're not doing it for you.\We're here because we want to be here.\Right...\Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club. response:	When he was in sixth grade, he was part of a winning medley relay.
context: We're here because we want to be here.\Right...\Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay. response:	His dream was to become an Olympic swimmer.
context: Right...\Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer. response:	But he ended up becoming a fisherman and died in an accident.
context: Of course.\I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident. response:	I've decided to go to Australia.
context: I wasn't sure if I should tell you guys,\but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia. response:	But I thought, if I could join my dad's swimming club first
context: but win or lose, the next race will be our last.\So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first response:	and win the medley relay,
context: So I'll talk.\My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay, response:	I might be able to share his dream.
context: My dad was one of the first members of the Iwatobi swimming club.\When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream. response:	I don't know who was on his team,
context: When he was in sixth grade, he was part of a winning medley relay.\His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream.\I don't know who was on his team, response:	but I'm sure they were the best team around.
context: His dream was to become an Olympic swimmer.\But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around. response:	I hope that we can also become the best!
context: But he ended up becoming a fisherman and died in an accident.\I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best! response:	I know I'm being selfish,
context: I've decided to go to Australia.\But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish, response:	but I want us to be the best team around!
context: But I thought, if I could join my dad's swimming club first\and win the medley relay,\I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around! response:	We won the medley relay,
context: and win the medley relay,\I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay, response:	and Rin went to Australia.
context: I might be able to share his dream.\I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia. response:	Rin said that he would show me a sight I'd never seen before.
context: I don't know who was on his team,\but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before. response:	And after we won the relay, it felt like I really did see it.
context: but I'm sure they were the best team around.\I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it. response:	I also felt like I saw something completely new.
context: I hope that we can also become the best!\I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new. response:	Yep, same here.
context: I know I'm being selfish,\but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here. response:	So if you swam together in the relay and won,
context: but I want us to be the best team around!\We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won, response:	why is your relationship so different now?
context: We won the medley relay,\and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now? response:	During the winter break of my first year in middle school,
context: and Rin went to Australia.\Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school, response:	I ran into Rin while he was visiting.
context: Rin said that he would show me a sight I'd never seen before.\And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting. response:	Haru...
context: And after we won the relay, it felt like I really did see it.\I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru... response:	You're back?
context: I also felt like I saw something completely new.\Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru...\You're back? response:	Yeah.
context: Yep, same here.\So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru...\You're back?\Yeah. response:	You could have called.
context: So if you swam together in the relay and won,\why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru...\You're back?\Yeah.\You could have called. response:	Well, it'd be a little embarrassing...
context: why is your relationship so different now?\During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru...\You're back?\Yeah.\You could have called.\Well, it'd be a little embarrassing... response:	How are you doing?
context: During the winter break of my first year in middle school,\I ran into Rin while he was visiting.\Haru...\You're back?\Yeah.\You could have called.\Well, it'd be a little embarrassing...\How are you doing? response:	Still swimming?
context: I ran into Rin while he was visiting.\Haru...\You're back?\Yeah.\You could have called.\Well, it'd be a little embarrassing...\How are you doing?\Still swimming? response:	Yeah, I joined the swim club at our middle school.
context: Haru...\You're back?\Yeah.\You could have called.\Well, it'd be a little embarrassing...\How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school. response:	Makoto also joined.
context: You're back?\Yeah.\You could have called.\Well, it'd be a little embarrassing...\How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined. response:	The school has a pretty big pool.
context: Yeah.\You could have called.\Well, it'd be a little embarrassing...\How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool. response:	Hey, Haru.
context: You could have called.\Well, it'd be a little embarrassing...\How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool.\Hey, Haru. response:	Let's swim together again...
context: Well, it'd be a little embarrassing...\How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool.\Hey, Haru.\Let's swim together again... response:	Oh, it's Rin!
context: How are you doing?\Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool.\Hey, Haru.\Let's swim together again...\Oh, it's Rin! response:	You're back?
context: Still swimming?\Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool.\Hey, Haru.\Let's swim together again...\Oh, it's Rin!\You're back? response:	Yeah.
context: Yeah, I joined the swim club at our middle school.\Makoto also joined.\The school has a pretty big pool.\Hey, Haru.\Let's swim together again...\Oh, it's Rin!\You're back?\Yeah. response:	Hey, we want to do some swimming.
context: Makoto also joined.\The school has a pretty big pool.\Hey, Haru.\Let's swim together again...\Oh, it's Rin!\You're back?\Yeah.\Hey, we want to do some swimming. response:	Sure, it's reserved for us right now anyway.
context: The school has a pretty big pool.\Hey, Haru.\Let's swim together again...\Oh, it's Rin!\You're back?\Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway. response:	Set.
context: Hey, Haru.\Let's swim together again...\Oh, it's Rin!\You're back?\Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set. response:	Wait, Rin!
context: Let's swim together again...\Oh, it's Rin!\You're back?\Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set.\Wait, Rin! response:	What's wrong?
context: Oh, it's Rin!\You're back?\Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set.\Wait, Rin!\What's wrong? response:	You've been acting strange today.
context: You're back?\Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set.\Wait, Rin!\What's wrong?\You've been acting strange today. response:	I quit.
context: Yeah.\Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set.\Wait, Rin!\What's wrong?\You've been acting strange today.\I quit. response:	Huh?
context: Hey, we want to do some swimming.\Sure, it's reserved for us right now anyway.\Set.\Wait, Rin!\What's wrong?\You've been acting strange today.\I quit.\Huh? response:	I'm done swimming.
context: Sure, it's reserved for us right now anyway.\Set.\Wait, Rin!\What's wrong?\You've been acting strange today.\I quit.\Huh?\I'm done swimming. response:	I never knew that happened.
context: Set.\Wait, Rin!\What's wrong?\You've been acting strange today.\I quit.\Huh?\I'm done swimming.\I never knew that happened. response:	I couldn't tell anyone back then.
context: Wait, Rin!\What's wrong?\You've been acting strange today.\I quit.\Huh?\I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then. response:	So that's why you quit the swim club in middle school.
context: What's wrong?\You've been acting strange today.\I quit.\Huh?\I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school. response:	Haru stopped swimming competitively because he felt guilty about
context: You've been acting strange today.\I quit.\Huh?\I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about response:	what happened with Rin.
context: I quit.\Huh?\I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin. response:	But didn't your race the other day put an end to all that?
context: Huh?\I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that? response:	You're free now.
context: I'm done swimming.\I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now. response:	You can swim the way you want.
context: I never knew that happened.\I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want. response:	So why are you upset about losing?
context: I couldn't tell anyone back then.\So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want.\So why are you upset about losing? response:	And why is he entering the relay?
context: So that's why you quit the swim club in middle school.\Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay? response:	I don't understand!
context: Haru stopped swimming competitively because he felt guilty about\what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay?\I don't understand! response:	Rei-chan...
context: what happened with Rin.\But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay?\I don't understand!\Rei-chan... response:	Haru?
context: But didn't your race the other day put an end to all that?\You're free now.\You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay?\I don't understand!\Rei-chan...\Haru? response:	I don't understand either.
context: You're free now.\You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay?\I don't understand!\Rei-chan...\Haru?\I don't understand either. response:	But...
context: You can swim the way you want.\So why are you upset about losing?\And why is he entering the relay?\I don't understand!\Rei-chan...\Haru?\I don't understand either.\But... response:	For some reason,
context: So why are you upset about losing?\And why is he entering the relay?\I don't understand!\Rei-chan...\Haru?\I don't understand either.\But...\For some reason, response:	I'm looking forward to racing Rin again.
context: And why is he entering the relay?\I don't understand!\Rei-chan...\Haru?\I don't understand either.\But...\For some reason,\I'm looking forward to racing Rin again. response:	Want some ice cream?
context: I don't understand!\Rei-chan...\Haru?\I don't understand either.\But...\For some reason,\I'm looking forward to racing Rin again.\Want some ice cream? response:	No, thanks.
context: Rei-chan...\Haru?\I don't understand either.\But...\For some reason,\I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks. response:	Well, there's no point in thinking about it.
context: Haru?\I don't understand either.\But...\For some reason,\I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks.\Well, there's no point in thinking about it. response:	It's all in the past.
context: I don't understand either.\But...\For some reason,\I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks.\Well, there's no point in thinking about it.\It's all in the past. response:	And we don't plan on getting you involved, so don't worry.
context: But...\For some reason,\I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks.\Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry. response:	How can you say that when I'm already involved?!
context: For some reason,\I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks.\Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?! response:	Damn!
context: I'm looking forward to racing Rin again.\Want some ice cream?\No, thanks.\Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn! response:	Matsuoka-senpai, you're doing great!
context: Want some ice cream?\No, thanks.\Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great! response:	We'll easily beat Nanase-san and his team...
context: No, thanks.\Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team... response:	Senpai...
context: Well, there's no point in thinking about it.\It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai... response:	What?!
context: It's all in the past.\And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai...\What?! response:	Rei's not practicing?!
context: And we don't plan on getting you involved, so don't worry.\How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai...\What?!\Rei's not practicing?! response:	That's unusual.
context: How can you say that when I'm already involved?!\Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai...\What?!\Rei's not practicing?!\That's unusual. response:	Oh!
context: Damn!\Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai...\What?!\Rei's not practicing?!\That's unusual.\Oh! response:	Maybe the strawberry milk ice cream I gave him yesterday was spoiled.
context: Matsuoka-senpai, you're doing great!\We'll easily beat Nanase-san and his team...\Senpai...\What?!\Rei's not practicing?!\That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled. response:	Then why did you give it to him?!
context: We'll easily beat Nanase-san and his team...\Senpai...\What?!\Rei's not practicing?!\That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?! response:	Uh, I don't think ice cream can spoil.
context: Senpai...\What?!\Rei's not practicing?!\That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil. response:	But if he ate something spoiled...
context: What?!\Rei's not practicing?!\That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled... response:	Mackerel?
context: Rei's not practicing?!\That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel? response:	I didn't give him anything.
context: That's unusual.\Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel?\I didn't give him anything. response:	Anyway, there isn't much time left before regionals!
context: Oh!\Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals! response:	You need to practice hard!
context: Maybe the strawberry milk ice cream I gave him yesterday was spoiled.\Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard! response:	Rei-chan couldn't have...
context: Then why did you give it to him?!\Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have... response:	Matsuoka...
context: Uh, I don't think ice cream can spoil.\But if he ate something spoiled...\Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have...\Matsuoka... response:	Someone named Ryugazaki is here.
context: But if he ate something spoiled...\Mackerel?\I didn't give him anything.\Anyway, there isn't much time left before regionals!\You need to practice hard!\Rei-chan couldn't have...\Matsuoka...\Someone named Ryugazaki is here. response:	Rin-chan-san, yes?
