context: Happily, painfully... You're shining. response:	Glittering, shimmering...
context: Hei, I've traveled very far,\even across the plane of time.\I wanted to see you ever since that day.\Always, always...\I've always wanted to see you.\See you later.\Let's go.\There's a limit on your remuneration, so use it wisely! response:	Wasn't that the right time to use it?
context: even across the plane of time.\I wanted to see you ever since that day.\Always, always...\I've always wanted to see you.\See you later.\Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it? response:	Star-sama, do not fear.
context: I wanted to see you ever since that day.\Always, always...\I've always wanted to see you.\See you later.\Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear. response:	It is not yet time to radiate. Your time will come.
context: Always, always...\I've always wanted to see you.\See you later.\Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come. response:	How did everything go?
context: I've always wanted to see you.\See you later.\Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go? response:	I was able to split the enemy lines, at least.
context: See you later.\Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least. response:	All we need to do is wait.
context: Let's go.\There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait. response:	Are you sure we need that man?
context: There's a limit on your remuneration, so use it wisely!\Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man? response:	Yes, if we want the Evening Primrose to reach full bloom.
context: Wasn't that the right time to use it?\Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom. response:	Maki should have arrived before I did.
context: Star-sama, do not fear.\It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did. response:	No, he won't be coming.
context: It is not yet time to radiate. Your time will come.\How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming. response:	I don't like that word because it makes me feel lonely,
context: How did everything go?\I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely, response:	but I have to say good-bye properly.
context: I was able to split the enemy lines, at least.\All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly. response:	Amber...
context: All we need to do is wait.\Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber... response:	What's this? Revenge on my behalf?
context: Are you sure we need that man?\Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf? response:	That's not funny.
context: Yes, if we want the Evening Primrose to reach full bloom.\Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf?\That's not funny. response:	Neither was your joke.
context: Maki should have arrived before I did.\No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf?\That's not funny.\Neither was your joke. response:	Huang, are you alive?
context: No, he won't be coming.\I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf?\That's not funny.\Neither was your joke.\Huang, are you alive? response:	Yeah. It looks like I'm the one with nine lives.
context: I don't like that word because it makes me feel lonely,\but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf?\That's not funny.\Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives. response:	Did he hold back?
context: but I have to say good-bye properly.\Amber...\What's this? Revenge on my behalf?\That's not funny.\Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back? response:	A contractor like him, fucking around with me...
context: Amber...\What's this? Revenge on my behalf?\That's not funny.\Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me... response:	Suddenly, you realize that what was thought to be unattainable
context: What's this? Revenge on my behalf?\That's not funny.\Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable response:	is close at hand.
context: That's not funny.\Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand. response:	But it is a happiness not destined for you.
context: Neither was your joke.\Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you. response:	Serenity and trivial conversation.
context: Huang, are you alive?\Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you.\Serenity and trivial conversation. response:	Being both happy and sad over petty things,
context: Yeah. It looks like I'm the one with nine lives.\Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you.\Serenity and trivial conversation.\Being both happy and sad over petty things, response:	crying over concerns not worth bothering with.
context: Did he hold back?\A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you.\Serenity and trivial conversation.\Being both happy and sad over petty things,\crying over concerns not worth bothering with. response:	Too sullied to live in such a manner.
context: A contractor like him, fucking around with me...\Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you.\Serenity and trivial conversation.\Being both happy and sad over petty things,\crying over concerns not worth bothering with.\Too sullied to live in such a manner. response:	And then, you understand that those days will not go on.
context: Suddenly, you realize that what was thought to be unattainable\is close at hand.\But it is a happiness not destined for you.\Serenity and trivial conversation.\Being both happy and sad over petty things,\crying over concerns not worth bothering with.\Too sullied to live in such a manner.\And then, you understand that those days will not go on. response:	Episode Seventeen A Love Song Sung from a Trash Heap... (Part One)
