context: The first semester was about to end. response:	Finals and intramurals have ended.
context: I'm from South Shirakawa Jr. High!\Horikawa West Jr. High.\How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me? response:	Because she clung to me and wouldn't let go...
context: Horikawa West Jr. High.\How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go... response:	My school life was ruined.
context: How'd you all meet?\To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined. response:	But I'm popular, so I still collect them.
context: To start with,\Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them. response:	Tsubaki just loves beautiful young girls.
context: Tsubasa and I haven't been able to get rid of each other since kindergarten.\And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls. response:	Is it just the translation for this HK DVD......because that was also fairly homoerotic.
context: And Rika's house is next to mine, so we've been friends since childhood.\Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic. response:	She reminds me of someone.
context: Tsubasa was really shy, even back then.\You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone. response:	But, I'm honored to have met someone as cute as you in high school, Yukino.
context: You're really cute. You wanna play with some clay with me?\Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino. response:	I hope we can be friends from now on.
context: Because she clung to me and wouldn't let go...\My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on. response:	Oh, you over there. At least you have a pretty face,
context: My school life was ruined.\But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face, response:	so I'll guess I'll let you be one of us too.
context: But I'm popular, so I still collect them.\Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too. response:	That's it!
context: Tsubaki just loves beautiful young girls.\Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it! response:	She's exactly like HIM!
context: Is it just the translation for this HK DVD......because that was also fairly homoerotic.\She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM! response:	Just like a certain guy I know all too well.
context: She reminds me of someone.\But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM!\Just like a certain guy I know all too well. response:	Come, my precious Mary's...
context: But, I'm honored to have met someone as cute as you in high school, Yukino.\I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's... response:	No doubt about it.
context: I hope we can be friends from now on.\Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it. response:	As far as we go...
context: Oh, you over there. At least you have a pretty face,\so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it.\As far as we go... response:	Being together is just natural.
context: so I'll guess I'll let you be one of us too.\That's it!\She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it.\As far as we go...\Being together is just natural. response:	That's so wonderful!
context: That's it!\She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it.\As far as we go...\Being together is just natural.\That's so wonderful! response:	When I tried to cut kindergarten,
context: She's exactly like HIM!\Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it.\As far as we go...\Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten, response:	Rika came with me.
context: Just like a certain guy I know all too well.\Come, my precious Mary's...\No doubt about it.\As far as we go...\Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten,\Rika came with me. response:	And she was the only one
context: Come, my precious Mary's...\No doubt about it.\As far as we go...\Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten,\Rika came with me.\And she was the only one response:	who got caught and scolded.
context: No doubt about it.\As far as we go...\Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten,\Rika came with me.\And she was the only one\who got caught and scolded. response:	When my room was a mess and
context: As far as we go...\Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten,\Rika came with me.\And she was the only one\who got caught and scolded.\When my room was a mess and response:	I wouldn't clean it even when I got yelled at...
context: Being together is just natural.\That's so wonderful!\When I tried to cut kindergarten,\Rika came with me.\And she was the only one\who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at... response:	Rika couldn't stand to watch and cleaned it up for me.
context: That's so wonderful!\When I tried to cut kindergarten,\Rika came with me.\And she was the only one\who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me. response:	And I still bitched at her that this isn't the order the books go in.
context: When I tried to cut kindergarten,\Rika came with me.\And she was the only one\who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in. response:	I didn't want to go to the movies by myself,
context: Rika came with me.\And she was the only one\who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself, response:	so I made her come along.
context: And she was the only one\who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along. response:	But when she'd invite me... *Hey, want to go see this?*
context: who got caught and scolded.\When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?* response:	I'd say Sorry, I don't like that kind of movie...
context: When my room was a mess and\I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie... response:	So we have a relationship where I pretty much take advantage of Rika and parasite off her.
context: I wouldn't clean it even when I got yelled at...\Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her. response:	She just laughs...She's ok with that?
context: Rika couldn't stand to watch and cleaned it up for me.\And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that? response:	But sometimes I get to thinking.
context: And I still bitched at her that this isn't the order the books go in.\I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking. response:	Even though I'm that kind of person, I have a talent for writing for some reason...
context: I didn't want to go to the movies by myself,\so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason... response:	And then...
context: so I made her come along.\But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then... response:	Aya, you're amazing!
context: But when she'd invite me... *Hey, want to go see this?*\I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing! response:	It's great that you get all these awards!
context: I'd say Sorry, I don't like that kind of movie...\So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing!\It's great that you get all these awards! response:	I'm so proud I'm your friend!
context: So we have a relationship where I pretty much take advantage of Rika and parasite off her.\She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend! response:	She's congratulating me from her heart!
context: She just laughs...She's ok with that?\But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart! response:	How can she congratulate me from her heart after all that abuse I put her through?!
context: But sometimes I get to thinking.\Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?! response:	Is she Mother Theresa or something?
context: Even though I'm that kind of person, I have a talent for writing for some reason...\And then...\Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something? response:	If our positions were reversed,
context: And then...\Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed, response:	I could never congratulate her!
context: Aya, you're amazing!\It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her! response:	I'd burn with jealousy!
context: It's great that you get all these awards!\I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy! response:	That's right! That's what I am!
context: I'm so proud I'm your friend!\She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am! response:	That's the kind of person I am!
context: She's congratulating me from her heart!\How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am! response:	What's wrong?
context: How can she congratulate me from her heart after all that abuse I put her through?!\Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am!\What's wrong? response:	What? Why?
context: Is she Mother Theresa or something?\If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am!\What's wrong?\What? Why? response:	I don't deserve to be congratulated by you!
context: If our positions were reversed,\I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am!\What's wrong?\What? Why?\I don't deserve to be congratulated by you! response:	Huh? Every time you praise me
context: I could never congratulate her!\I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am!\What's wrong?\What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me response:	my vulgarity stands out!
context: I'd burn with jealousy!\That's right! That's what I am!\That's the kind of person I am!\What's wrong?\What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out! response:	You make me see what a horrible bitch I am!
context: That's right! That's what I am!\That's the kind of person I am!\What's wrong?\What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am! response:	I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*
context: That's the kind of person I am!\What's wrong?\What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence* response:	So in middle school we kind of connected through our mischief and we got together.
context: What's wrong?\What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together. response:	I see.
context: What? Why?\I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see. response:	But
context: I don't deserve to be congratulated by you!\Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see.\But response:	Aya's really talented at writing.
context: Huh? Every time you praise me\my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see.\But\Aya's really talented at writing. response:	She won the New Junior Novelist award
context: my vulgarity stands out!\You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see.\But\Aya's really talented at writing.\She won the New Junior Novelist award response:	and is writing a serial.
context: You make me see what a horrible bitch I am!\I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see.\But\Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial. response:	WHAT?! A novel, as in a book?!
context: I see. Aya is Goku to Rika's Monk Tripitaka. *NOT a Dragonball refrence*\So in middle school we kind of connected through our mischief and we got together.\I see.\But\Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?! response:	The books they sell at the bookstore?!
context: So in middle school we kind of connected through our mischief and we got together.\I see.\But\Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?! response:	Yeah!
context: I see.\But\Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah! response:	A pro... a real author.
context: But\Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah!\A pro... a real author. response:	I never thought a real one was so close to me.
context: Aya's really talented at writing.\She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah!\A pro... a real author.\I never thought a real one was so close to me. response:	Not really.
context: She won the New Junior Novelist award\and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah!\A pro... a real author.\I never thought a real one was so close to me.\Not really. response:	I get a short story published every so often.
context: and is writing a serial.\WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah!\A pro... a real author.\I never thought a real one was so close to me.\Not really.\I get a short story published every so often. response:	I'm a pro in name only.
context: WHAT?! A novel, as in a book?!\The books they sell at the bookstore?!\Yeah!\A pro... a real author.\I never thought a real one was so close to me.\Not really.\I get a short story published every so often.\I'm a pro in name only. response:	There are all sorts of people who manage that much.
context: The books they sell at the bookstore?!\Yeah!\A pro... a real author.\I never thought a real one was so close to me.\Not really.\I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much. response:	But still, that's a major
context: Yeah!\A pro... a real author.\I never thought a real one was so close to me.\Not really.\I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major response:	deal for a high schooler.
context: A pro... a real author.\I never thought a real one was so close to me.\Not really.\I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler. response:	Yeah! Aya, you have a gift for it!
context: I never thought a real one was so close to me.\Not really.\I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it! response:	I'm sure you'll succeed!
context: Not really.\I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed! response:	You're my pride and joy!
context: I get a short story published every so often.\I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy! response:	I told you to stop encouraging me from your heart like that!
context: I'm a pro in name only.\There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that! response:	You're going to write a lot now that it's summer, right?
context: There are all sorts of people who manage that much.\But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right? response:	Yeah. I'm going to try writing something long.
context: But still, that's a major\deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long. response:	Besides, it's not like I'm the only one doing something special.
context: deal for a high schooler.\Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special. response:	Tsubaki's a star volleyball player who got to be a starter upon joining the team...
context: Yeah! Aya, you have a gift for it!\I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team... response:	Who knows in five or ten years.
context: I'm sure you'll succeed!\You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years. response:	Everyone has something she's good at.
context: You're my pride and joy!\I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at. response:	That sounds so nice.
context: I told you to stop encouraging me from your heart like that!\You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice. response:	You all have things you want to do.
context: You're going to write a lot now that it's summer, right?\Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice.\You all have things you want to do. response:	I've never even thought about it at all.
context: Yeah. I'm going to try writing something long.\Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice.\You all have things you want to do.\I've never even thought about it at all. response:	That's so awesome.
context: Besides, it's not like I'm the only one doing something special.\Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice.\You all have things you want to do.\I've never even thought about it at all.\That's so awesome. response:	I can't do anything besides get good grades.
context: Tsubaki's a star volleyball player who got to be a starter upon joining the team...\Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice.\You all have things you want to do.\I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades. response:	What's wrong with getting nothing but good grades?
context: Who knows in five or ten years.\Everyone has something she's good at.\That sounds so nice.\You all have things you want to do.\I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades? response:	Well, shall we split up here?
context: Everyone has something she's good at.\That sounds so nice.\You all have things you want to do.\I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here? response:	Oh, what is it, Tsubasa? Don't want to go home yet?
context: That sounds so nice.\You all have things you want to do.\I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet? response:	What is it? You want to play a bit more?
context: You all have things you want to do.\I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more? response:	You're too easy on her, Yukino!
context: I've never even thought about it at all.\That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino! response:	Tsubasa's really taken a liking to you.
context: That's so awesome.\I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you. response:	But when she latches onto you like that, she won't let go until the bitter end.
context: I can't do anything besides get good grades.\What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end. response:	I'll tell you now that you're really in for it.
context: What's wrong with getting nothing but good grades?\Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it. response:	We don't want to go along with her whims, so we're outta here.
context: Well, shall we split up here?\Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here. response:	Anyways, don't get carried away!
context: Oh, what is it, Tsubasa? Don't want to go home yet?\What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away! response:	We'll call later. See ya!
context: What is it? You want to play a bit more?\You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya! response:	I know. I have to go with you, right?
context: You're too easy on her, Yukino!\Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right? response:	Tsubasa's really gotten attached to Yukino, hasn't she?
context: Tsubasa's really taken a liking to you.\But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she? response:	She usually doesn't warm up to someone like that.
context: But when she latches onto you like that, she won't let go until the bitter end.\I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that. response:	Well, she's having a pretty hard time these days.
context: I'll tell you now that you're really in for it.\We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days. response:	I hope being friends with Yukino
context: We don't want to go along with her whims, so we're outta here.\Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino response:	helps her get over things...
context: Anyways, don't get carried away!\We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things... response:	I heard her father might get remarried?
context: We'll call later. See ya!\I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried? response:	Yeah. She has a father complex going,
context: I know. I have to go with you, right?\Tsubasa's really gotten attached to Yukino, hasn't she?\She usually doesn't warm up to someone like that.\Well, she's having a pretty hard time these days.\I hope being friends with Yukino\helps her get over things...\I heard her father might get remarried?\Yeah. She has a father complex going, response:	so she doesn't know what to think.
