context: 8:50 PM May 7 (Sunday) response:	Sorry! I overslept!
context: I shoved her away without thinking about it.\Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line. response:	Yuri, you're not weak.
context: Wow, why?\I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak. response:	No one else thinks that, either.
context: I didn't want her to think I was feeling unsettled.\I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either. response:	What do you want me to be to you?
context: I felt like she was intruding on my feelings or something, and I hated it.\But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you? response:	A father figure?
context: But then I realized that Minako-sensei, Nishigori, Yuko-chan, and my family\never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you?\A father figure? response:	No.
context: never treated me like a weakling.\They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you?\A father figure?\No. response:	A brother, then? A friend?
context: They all had faith that I'd keep growing as a person,\and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you?\A father figure?\No.\A brother, then? A friend? response:	Then, your boyfriend, I guess.
context: and they never stepped over the line.\Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you?\A father figure?\No.\A brother, then? A friend?\Then, your boyfriend, I guess. response:	I can try my best.
context: Yuri, you're not weak.\No one else thinks that, either.\What do you want me to be to you?\A father figure?\No.\A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best. response:	No, no, no, no, no!
context: No one else thinks that, either.\What do you want me to be to you?\A father figure?\No.\A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no! response:	I want you to stay who you are, Victor!
context: What do you want me to be to you?\A father figure?\No.\A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor! response:	I've always looked up to you.
context: A father figure?\No.\A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you. response:	I ignored you because I didn't want you to see my shortcomings.
context: No.\A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings. response:	I'll make it up to you with my skating!
context: A brother, then? A friend?\Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating! response:	Okay, I won't let you off easy, then.
context: Then, your boyfriend, I guess.\I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then. response:	That's my way of showing my love.
context: I can try my best.\No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love. response:	When I open up, he meets me where I am.
context: No, no, no, no, no!\I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am. response:	I shouldn't be afraid to open up more!
context: I want you to stay who you are, Victor!\I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more! response:	She's going to redo the music.
context: I've always looked up to you.\I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music. response:	Okay, I look forward to it.
context: I ignored you because I didn't want you to see my shortcomings.\I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it. response:	Until she's done, um...
context: I'll make it up to you with my skating!\Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it.\Until she's done, um... response:	Please teach me all the jumps that you can do!
context: Okay, I won't let you off easy, then.\That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do! response:	It's no good at all.
context: That's my way of showing my love.\When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all. response:	Even the king crab we ate yesterday had a better free leg than you.
context: When I open up, he meets me where I am.\I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you. response:	Do it again, starting from the same place.
context: I shouldn't be afraid to open up more!\She's going to redo the music.\Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place. response:	Your response?
context: She's going to redo the music.\Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response? response:	Yes, ma'am!
context: Okay, I look forward to it.\Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response?\Yes, ma'am! response:	It might have been good that he left Victor's side early.
context: Until she's done, um...\Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response?\Yes, ma'am!\It might have been good that he left Victor's side early. response:	He's trying to rebuild his strengths.
context: Please teach me all the jumps that you can do!\It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response?\Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths. response:	Victor, please let me do that one more time!
context: It's no good at all.\Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response?\Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time! response:	Wow... Hasn't it been tens of thousands of times?
context: Even the king crab we ate yesterday had a better free leg than you.\Do it again, starting from the same place.\Your response?\Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times? response:	Just thirteen.
context: Do it again, starting from the same place.\Your response?\Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen. response:	I've thought this for a while, but you have pretty good stamina.
context: Your response?\Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina. response:	Well, I have that, at least.
context: Yes, ma'am!\It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least. response:	You said you get hungry when you're nervous in competition, too.
context: It might have been good that he left Victor's side early.\He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too. response:	You haven't suffered any major injuries, and you're younger than I am.
context: He's trying to rebuild his strengths.\Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am. response:	S-Sorry!
context: Victor, please let me do that one more time!\Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry! response:	I couldn't help it!
context: Wow... Hasn't it been tens of thousands of times?\Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it! response:	Is it getting that thin?
context: Just thirteen.\I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it!\Is it getting that thin? response:	No, no, no! Everything's okay!
context: I've thought this for a while, but you have pretty good stamina.\Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay! response:	I'm hurt... I can't recover from this.
context: Well, I have that, at least.\You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this. response:	Sorry!
context: You said you get hungry when you're nervous in competition, too.\You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry! response:	Please get up!
context: You haven't suffered any major injuries, and you're younger than I am.\S-Sorry!\I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry!\Please get up! response:	Well, those two seem to get along fine.
context: S-Sorry!\I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry!\Please get up!\Well, those two seem to get along fine. response:	It's here!
context: I couldn't help it!\Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry!\Please get up!\Well, those two seem to get along fine.\It's here! response:	Victor, listen!
context: Is it getting that thin?\No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry!\Please get up!\Well, those two seem to get along fine.\It's here!\Victor, listen! response:	Oops, sorry!
context: No, no, no! Everything's okay!\I'm hurt... I can't recover from this.\Sorry!\Please get up!\Well, those two seem to get along fine.\It's here!\Victor, listen!\Oops, sorry! response:	The music for the free program's done.
context: I'm hurt... I can't recover from this.\Sorry!\Please get up!\Well, those two seem to get along fine.\It's here!\Victor, listen!\Oops, sorry!\The music for the free program's done. response:	If you want more impact,
context: Sorry!\Please get up!\Well, those two seem to get along fine.\It's here!\Victor, listen!\Oops, sorry!\The music for the free program's done.\If you want more impact, response:	maybe the last jump can be a quadruple toe loop?
context: Please get up!\Well, those two seem to get along fine.\It's here!\Victor, listen!\Oops, sorry!\The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop? response:	Huh? For the last one?
context: Well, those two seem to get along fine.\It's here!\Victor, listen!\Oops, sorry!\The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one? response:	With your stamina, I think you can pull it off.
context: It's here!\Victor, listen!\Oops, sorry!\The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off. response:	You'd rather not?
context: Victor, listen!\Oops, sorry!\The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not? response:	I'll do it!
context: Oops, sorry!\The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not?\I'll do it! response:	Okay.
context: The music for the free program's done.\If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not?\I'll do it!\Okay. response:	Oh, right.
context: If you want more impact,\maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not?\I'll do it!\Okay.\Oh, right. response:	Yuri, did you change the musical theme?
context: maybe the last jump can be a quadruple toe loop?\Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not?\I'll do it!\Okay.\Oh, right.\Yuri, did you change the musical theme? response:	Oh, um...
context: Huh? For the last one?\With your stamina, I think you can pull it off.\You'd rather not?\I'll do it!\Okay.\Oh, right.\Yuri, did you change the musical theme?\Oh, um... response:	What is it?
context: With your stamina, I think you can pull it off.\You'd rather not?\I'll do it!\Okay.\Oh, right.\Yuri, did you change the musical theme?\Oh, um...\What is it? response:	The theme is on my love.
context: You'd rather not?\I'll do it!\Okay.\Oh, right.\Yuri, did you change the musical theme?\Oh, um...\What is it?\The theme is on my love. response:	That's the best theme.
context: I'll do it!\Okay.\Oh, right.\Yuri, did you change the musical theme?\Oh, um...\What is it?\The theme is on my love.\That's the best theme. response:	Perfect.
context: Okay.\Oh, right.\Yuri, did you change the musical theme?\Oh, um...\What is it?\The theme is on my love.\That's the best theme.\Perfect. response:	Okay, let's finish this!
context: Oh, right.\Yuri, did you change the musical theme?\Oh, um...\What is it?\The theme is on my love.\That's the best theme.\Perfect.\Okay, let's finish this! response:	Yeah!
context: Yuri, did you change the musical theme?\Oh, um...\What is it?\The theme is on my love.\That's the best theme.\Perfect.\Okay, let's finish this!\Yeah! response:	Kachu Snack Bar
context: Oh, um...\What is it?\The theme is on my love.\That's the best theme.\Perfect.\Okay, let's finish this!\Yeah!\Kachu Snack Bar response:	What?
context: What is it?\The theme is on my love.\That's the best theme.\Perfect.\Okay, let's finish this!\Yeah!\Kachu Snack Bar\What? response:	The Grand Prix assignments were announced?!
context: The theme is on my love.\That's the best theme.\Perfect.\Okay, let's finish this!\Yeah!\Kachu Snack Bar\What?\The Grand Prix assignments were announced?! response:	Crap, crap, crap!
context: That's the best theme.\Perfect.\Okay, let's finish this!\Yeah!\Kachu Snack Bar\What?\The Grand Prix assignments were announced?!\Crap, crap, crap! response:	Do you three realize what time it is?!
context: Perfect.\Okay, let's finish this!\Yeah!\Kachu Snack Bar\What?\The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?! response:	Mom! The assignments!
context: Okay, let's finish this!\Yeah!\Kachu Snack Bar\What?\The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments! response:	Crap, crap!
context: Yeah!\Kachu Snack Bar\What?\The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments!\Crap, crap! response:	Yuri!
context: Kachu Snack Bar\What?\The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments!\Crap, crap!\Yuri! response:	The assignments are in.
context: What?\The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments!\Crap, crap!\Yuri!\The assignments are in. response:	Where?
context: The Grand Prix assignments were announced?!\Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments!\Crap, crap!\Yuri!\The assignments are in.\Where? response:	Where'd the little Japanese piggy get assigned?
context: Crap, crap, crap!\Do you three realize what time it is?!\Mom! The assignments!\Crap, crap!\Yuri!\The assignments are in.\Where?\Where'd the little Japanese piggy get assigned? response:	Congrats!
context: Do you three realize what time it is?!\Mom! The assignments!\Crap, crap!\Yuri!\The assignments are in.\Where?\Where'd the little Japanese piggy get assigned?\Congrats! response:	Congrats on Your Assignment in the GP Series, Yuri!
context: Mom! The assignments!\Crap, crap!\Yuri!\The assignments are in.\Where?\Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri! response:	Thanks.
context: Crap, crap!\Yuri!\The assignments are in.\Where?\Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks. response:	Okay, I'll explain which events you'll be competing in.
context: Yuri!\The assignments are in.\Where?\Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in. response:	But first!
context: The assignments are in.\Where?\Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in.\But first! response:	Since the Katsuki family still doesn't know much about figure skating,
context: Where?\Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating, response:	we'll give a simple explanation!
context: Where'd the little Japanese piggy get assigned?\Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation! response:	Oh, that'd be very helpful.
context: Congrats!\Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful. response:	Figure Skating Grand Prix Series
context: Congrats on Your Assignment in the GP Series, Yuri!\Thanks.\Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series response:	What is the Figure Skating Grand Prix series?
context: Thanks.\Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series? response:	Skaters with high scores in the previous year
context: Okay, I'll explain which events you'll be competing in.\But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year response:	Czech Republic Russia China South Korea
context: But first!\Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea response:	Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA
context: Since the Katsuki family still doesn't know much about figure skating,\we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA response:	Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada
context: we'll give a simple explanation!\Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada response:	First Event: Skate America
context: Oh, that'd be very helpful.\Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America response:	participate in a maximum of two competitions out of six worldwide.
context: Figure Skating Grand Prix Series\What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide. response:	Second Event: Skate Canada
context: What is the Figure Skating Grand Prix series?\Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada response:	Third Event: Cup of China
context: Skaters with high scores in the previous year\Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China response:	Fourth Event: NHK Trophy (Japan)
context: Czech Republic Russia China South Korea\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan) response:	Only the top six skaters advance to the Grand Prix Final,
context: Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA\Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final, response:	Fifth Event: Trophee de France
context: Czech Republic Russia China South Korea Switzerland Italy Russia Thailand USA Kazakhstan Canada\First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France response:	Sixth Event: Rostelecom Cup (Russia)
context: First Event: Skate America\participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia) response:	which decides who's number one!
context: participate in a maximum of two competitions out of six worldwide.\Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one! response:	Top 6 Male Figure Skaters
context: Second Event: Skate Canada\Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters response:	And this season, Yuri's been assigned to
context: Third Event: Cup of China\Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to response:	Third Event: Cup of China!!
context: Fourth Event: NHK Trophy (Japan)\Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!! response:	the third event, the Cup of China!
context: Only the top six skaters advance to the Grand Prix Final,\Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China! response:	Phichit Chulanont
context: Fifth Event: Trophee de France\Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont response:	Yuri's former rink mate, Phichit from Thailand, will be there, too!
context: Sixth Event: Rostelecom Cup (Russia)\which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too! response:	Oh, Phichit-kun!
context: which decides who's number one!\Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun! response:	And his second event will be...
context: Top 6 Male Figure Skaters\And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be... response:	Sixth Event: Rostelecom Cup (Russia)
context: And this season, Yuri's been assigned to\Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia) response:	The sixth event, Russia's Rostelecom Cup!
context: Third Event: Cup of China!!\the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup! response:	He'll be up against his fated rival, Yuri Plisetsky!
context: the third event, the Cup of China!\Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky! response:	I'll kill you! Yuri Plisetsky
context: Phichit Chulanont\Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky response:	Yurio
context: Yuri's former rink mate, Phichit from Thailand, will be there, too!\Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio response:	Wow, Yurio! Davai, davai!
context: Oh, Phichit-kun!\And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai! response:	So I'm already facing Yurio in the Rostelecom Cup...
context: And his second event will be...\Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup... response:	You'll be minding the house during the season, Maccachin.
context: Sixth Event: Rostelecom Cup (Russia)\The sixth event, Russia's Rostelecom Cup!\He'll be up against his fated rival, Yuri Plisetsky!\I'll kill you! Yuri Plisetsky\Yurio\Wow, Yurio! Davai, davai!\So I'm already facing Yurio in the Rostelecom Cup...\You'll be minding the house during the season, Maccachin. response:	That's right...
