context: People live to save themselves response:	Good night, Kosuke.
context: We became ghosts wandering a wasteland in search of enemies to fight.\Are you sure you couldn't change your way of life?\I swore to my men that I would die a soldier.\I cannot become anything else.\No... perhaps I could have.\I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing. response:	I have one regret.
context: Are you sure you couldn't change your way of life?\I swore to my men that I would die a soldier.\I cannot become anything else.\No... perhaps I could have.\I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret. response:	I did not say farewell to my friend.
context: I swore to my men that I would die a soldier.\I cannot become anything else.\No... perhaps I could have.\I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend. response:	To the man who was my only friend in this world I live in.
context: I cannot become anything else.\No... perhaps I could have.\I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in. response:	He seemed to have tired of the world
context: No... perhaps I could have.\I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world response:	and was waiting for death.
context: I may have been able to reshape my way of life\and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death. response:	Was he in search of death like me?
context: and become someone who wasn't a soldier.\Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me? response:	No.
context: Just like how you stopped killing.\I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me?\No. response:	I think it's different.
context: I have one regret.\I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me?\No.\I think it's different. response:	Sakunosuke.
context: I did not say farewell to my friend.\To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me?\No.\I think it's different.\Sakunosuke. response:	Even your last shot was perfect.
context: To the man who was my only friend in this world I live in.\He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me?\No.\I think it's different.\Sakunosuke.\Even your last shot was perfect. response:	Odasaku!
context: He seemed to have tired of the world\and was waiting for death.\Was he in search of death like me?\No.\I think it's different.\Sakunosuke.\Even your last shot was perfect.\Odasaku! response:	You're an idiot, Odasaku.
context: and was waiting for death.\Was he in search of death like me?\No.\I think it's different.\Sakunosuke.\Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku. response:	You're a complete idiot...
context: Was he in search of death like me?\No.\I think it's different.\Sakunosuke.\Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku.\You're a complete idiot... response:	Yeah...
context: No.\I think it's different.\Sakunosuke.\Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku.\You're a complete idiot...\Yeah... response:	Why did you go along with what he wanted?
context: I think it's different.\Sakunosuke.\Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku.\You're a complete idiot...\Yeah...\Why did you go along with what he wanted? response:	Dazai...
context: Sakunosuke.\Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku.\You're a complete idiot...\Yeah...\Why did you go along with what he wanted?\Dazai... response:	There's something I want to say to you.
context: Even your last shot was perfect.\Odasaku!\You're an idiot, Odasaku.\You're a complete idiot...\Yeah...\Why did you go along with what he wanted?\Dazai...\There's something I want to say to you. response:	No!
context: Odasaku!\You're an idiot, Odasaku.\You're a complete idiot...\Yeah...\Why did you go along with what he wanted?\Dazai...\There's something I want to say to you.\No! response:	Don't!
context: You're an idiot, Odasaku.\You're a complete idiot...\Yeah...\Why did you go along with what he wanted?\Dazai...\There's something I want to say to you.\No!\Don't! response:	You might still make it!
context: You're a complete idiot...\Yeah...\Why did you go along with what he wanted?\Dazai...\There's something I want to say to you.\No!\Don't!\You might still make it! response:	No, you will make it!
context: Yeah...\Why did you go along with what he wanted?\Dazai...\There's something I want to say to you.\No!\Don't!\You might still make it!\No, you will make it! response:	So don't talk like
context: Why did you go along with what he wanted?\Dazai...\There's something I want to say to you.\No!\Don't!\You might still make it!\No, you will make it!\So don't talk like response:	Listen.
context: Dazai...\There's something I want to say to you.\No!\Don't!\You might still make it!\No, you will make it!\So don't talk like\Listen. response:	You told me that you might find a reason to live
context: There's something I want to say to you.\No!\Don't!\You might still make it!\No, you will make it!\So don't talk like\Listen.\You told me that you might find a reason to live response:	if you lived in a world of violence and bloodshed.
context: No!\Don't!\You might still make it!\No, you will make it!\So don't talk like\Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed. response:	Yeah, I did.
context: Don't!\You might still make it!\No, you will make it!\So don't talk like\Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did. response:	But who cares what I said now?
context: You might still make it!\No, you will make it!\So don't talk like\Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now? response:	You won't find it.
context: No, you will make it!\So don't talk like\Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now?\You won't find it. response:	You must know that already.
context: So don't talk like\Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now?\You won't find it.\You must know that already. response:	Whether you're on the side who kills people
context: Listen.\You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now?\You won't find it.\You must know that already.\Whether you're on the side who kills people response:	or the side who saves people,
context: You told me that you might find a reason to live\if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now?\You won't find it.\You must know that already.\Whether you're on the side who kills people\or the side who saves people, response:	nothing beyond what you would expect will appear.
context: if you lived in a world of violence and bloodshed.\Yeah, I did.\But who cares what I said now?\You won't find it.\You must know that already.\Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear. response:	Nothing in this world can fill that lonely hole you have.
context: Yeah, I did.\But who cares what I said now?\You won't find it.\You must know that already.\Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have. response:	You will wander the darkness for eternity.
context: But who cares what I said now?\You won't find it.\You must know that already.\Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity. response:	Odasaku...
context: You won't find it.\You must know that already.\Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku... response:	What should I do?
context: You must know that already.\Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku...\What should I do? response:	Be on the side that saves people.
context: Whether you're on the side who kills people\or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku...\What should I do?\Be on the side that saves people. response:	If both sides are the same,
context: or the side who saves people,\nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku...\What should I do?\Be on the side that saves people.\If both sides are the same, response:	become a good man.
context: nothing beyond what you would expect will appear.\Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku...\What should I do?\Be on the side that saves people.\If both sides are the same,\become a good man. response:	Save the weak, and protect the orphans.
context: Nothing in this world can fill that lonely hole you have.\You will wander the darkness for eternity.\Odasaku...\What should I do?\Be on the side that saves people.\If both sides are the same,\become a good man.\Save the weak, and protect the orphans. response:	Neither good nor evil means much to you, I know...
context: You will wander the darkness for eternity.\Odasaku...\What should I do?\Be on the side that saves people.\If both sides are the same,\become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know... response:	but that'd make you at least a little bit better.
context: Odasaku...\What should I do?\Be on the side that saves people.\If both sides are the same,\become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better. response:	How do you know that for sure?
context: What should I do?\Be on the side that saves people.\If both sides are the same,\become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure? response:	Of course I know.
context: Be on the side that saves people.\If both sides are the same,\become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know. response:	I know better than anyone.
context: If both sides are the same,\become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know.\I know better than anyone. response:	Because... I am your friend.
context: become a good man.\Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know.\I know better than anyone.\Because... I am your friend. response:	I see.
context: Save the weak, and protect the orphans.\Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know.\I know better than anyone.\Because... I am your friend.\I see. response:	I'll do that.
context: Neither good nor evil means much to you, I know...\but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know.\I know better than anyone.\Because... I am your friend.\I see.\I'll do that. response:	People exist to save themselves, huh...
context: but that'd make you at least a little bit better.\How do you know that for sure?\Of course I know.\I know better than anyone.\Because... I am your friend.\I see.\I'll do that.\People exist to save themselves, huh... response:	How true...
context: How do you know that for sure?\Of course I know.\I know better than anyone.\Because... I am your friend.\I see.\I'll do that.\People exist to save themselves, huh...\How true... response:	Two Weeks Later
context: Of course I know.\I know better than anyone.\Because... I am your friend.\I see.\I'll do that.\People exist to save themselves, huh...\How true...\Two Weeks Later response:	I didn't think a heavyweight in the Ministry of Internal Affairs
context: I know better than anyone.\Because... I am your friend.\I see.\I'll do that.\People exist to save themselves, huh...\How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs response:	would be drinking alone in a cheap bar like this.
context: Because... I am your friend.\I see.\I'll do that.\People exist to save themselves, huh...\How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this. response:	How lonesome, Chief Taneda.
context: I see.\I'll do that.\People exist to save themselves, huh...\How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda. response:	You are...
context: I'll do that.\People exist to save themselves, huh...\How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are... response:	Now, now, now...
context: People exist to save themselves, huh...\How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are...\Now, now, now... response:	I heard rumors that you had gone underground for a while.
context: How true...\Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are...\Now, now, now...\I heard rumors that you had gone underground for a while. response:	I'm looking for a new job.
context: Two Weeks Later\I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are...\Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job. response:	Do you know of any good positions?
context: I didn't think a heavyweight in the Ministry of Internal Affairs\would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are...\Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions? response:	Do you wish to join the Gifted Special Operations Division? If so...
context: would be drinking alone in a cheap bar like this.\How lonesome, Chief Taneda.\You are...\Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so... response:	I regretfully decline the offer.
context: How lonesome, Chief Taneda.\You are...\Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer. response:	I don't do too well in a workplace that has a lot of regulations.
context: You are...\Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations. response:	Then what are you looking for?
context: Now, now, now...\I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for? response:	Somewhere I can help people.
context: I heard rumors that you had gone underground for a while.\I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people. response:	I have a lot of questions for you, but...
context: I'm looking for a new job.\Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but... response:	Your history is too sordid.
context: Do you know of any good positions?\Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid. response:	You'll have to go underground for at least two years to get a blank slate.
context: Do you wish to join the Gifted Special Operations Division? If so...\I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate. response:	But I suppose I may have a lead...
context: I regretfully decline the offer.\I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead... response:	Let's hear it.
context: I don't do too well in a workplace that has a lot of regulations.\Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it. response:	There is an armed organization of gifted individuals.
context: Then what are you looking for?\Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals. response:	They take on cases that are in a legal gray zone and are untouchable by civil workers.
context: Somewhere I can help people.\I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers. response:	The company president is a man of integrity.
context: I have a lot of questions for you, but...\Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers.\The company president is a man of integrity. response:	You may find him in alignment with what you wish.
context: Your history is too sordid.\You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers.\The company president is a man of integrity.\You may find him in alignment with what you wish. response:	Can I do work that saves people?
context: You'll have to go underground for at least two years to get a blank slate.\But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers.\The company president is a man of integrity.\You may find him in alignment with what you wish.\Can I do work that saves people? response:	Episode 16 Bungo Stray Dogs
context: But I suppose I may have a lead...\Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers.\The company president is a man of integrity.\You may find him in alignment with what you wish.\Can I do work that saves people?\Episode 16 Bungo Stray Dogs response:	And the story resumes, four years later
context: Let's hear it.\There is an armed organization of gifted individuals.\They take on cases that are in a legal gray zone and are untouchable by civil workers.\The company president is a man of integrity.\You may find him in alignment with what you wish.\Can I do work that saves people?\Episode 16 Bungo Stray Dogs\And the story resumes, four years later response:	Next Time: Episode 17 Three Companies Con flict
