context: This is Omi Jingu... response:	The mecca of karuta!
context: Please wait!\Ayase forfeits.\Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me!\Taichi!\Excuse me! response:	Taichi! What's wrong with Chihaya?!
context: Ayase forfeits.\Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me!\Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?! response:	Arata, take care of her.
context: Huh?!\Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me!\Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her. response:	The four of us can still win this match.
context: Excuse me! Please clear a path!\Excuse me, please let me through!\Excuse me!\Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match. response:	Ayase-san!
context: Excuse me, please let me through!\Excuse me!\Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match.\Ayase-san! response:	Are you a friend of Ayase-san?
context: Excuse me!\Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san? response:	I-I'm...
context: Taichi!\Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san?\I-I'm... response:	Take her to the waiting room! Quick!
context: Excuse me!\Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick! response:	I can't lose.
context: Taichi! What's wrong with Chihaya?!\Arata, take care of her.\The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick!\I can't lose. response:	I can't lose.
context: Arata, take care of her.\The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick!\I can't lose.\I can't lose. response:	Attack.
context: The four of us can still win this match.\Ayase-san!\Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick!\I can't lose.\I can't lose.\Attack. response:	Attack.
context: Ayase-san!\Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick!\I can't lose.\I can't lose.\Attack.\Attack. response:	It's not over yet!
context: Are you a friend of Ayase-san?\I-I'm...\Take her to the waiting room! Quick!\I can't lose.\I can't lose.\Attack.\Attack.\It's not over yet! response:	I-I'm in the middle of a match.
context: I-I'm...\Take her to the waiting room! Quick!\I can't lose.\I can't lose.\Attack.\Attack.\It's not over yet!\I-I'm in the middle of a match. response:	I need to go!
context: Take her to the waiting room! Quick!\I can't lose.\I can't lose.\Attack.\Attack.\It's not over yet!\I-I'm in the middle of a match.\I need to go! response:	Chihaya! You need to lie down!
context: I can't lose.\I can't lose.\Attack.\Attack.\It's not over yet!\I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down! response:	You forfeited the match.
context: I can't lose.\Attack.\Attack.\It's not over yet!\I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down!\You forfeited the match. response:	Forfeited?
context: Attack.\Attack.\It's not over yet!\I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down!\You forfeited the match.\Forfeited? response:	Chihaya, stop!
context: Attack.\It's not over yet!\I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down!\You forfeited the match.\Forfeited?\Chihaya, stop! response:	Stay still!
context: It's not over yet!\I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down!\You forfeited the match.\Forfeited?\Chihaya, stop!\Stay still! response:	No! Let me go!
context: I-I'm in the middle of a match.\I need to go!\Chihaya! You need to lie down!\You forfeited the match.\Forfeited?\Chihaya, stop!\Stay still!\No! Let me go! response:	There's no point in going back! They won't let you play!
context: I need to go!\Chihaya! You need to lie down!\You forfeited the match.\Forfeited?\Chihaya, stop!\Stay still!\No! Let me go!\There's no point in going back! They won't let you play! response:	No! No!
context: Chihaya! You need to lie down!\You forfeited the match.\Forfeited?\Chihaya, stop!\Stay still!\No! Let me go!\There's no point in going back! They won't let you play!\No! No! response:	We worked so hard.
context: You forfeited the match.\Forfeited?\Chihaya, stop!\Stay still!\No! Let me go!\There's no point in going back! They won't let you play!\No! No!\We worked so hard. response:	We promised to win together.
context: Forfeited?\Chihaya, stop!\Stay still!\No! Let me go!\There's no point in going back! They won't let you play!\No! No!\We worked so hard.\We promised to win together. response:	Chihaya, you're just as determined as you used to be.
context: Chihaya, stop!\Stay still!\No! Let me go!\There's no point in going back! They won't let you play!\No! No!\We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be. response:	I've been doing a lot of thinking.
context: Stay still!\No! Let me go!\There's no point in going back! They won't let you play!\No! No!\We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking. response:	About karuta...
context: No! Let me go!\There's no point in going back! They won't let you play!\No! No!\We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta... response:	About karuta and Grandpa...
context: There's no point in going back! They won't let you play!\No! No!\We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa... response:	About myself...
context: No! No!\We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa...\About myself... response:	We'll take her to the emergency room.
context: We worked so hard.\We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa...\About myself...\We'll take her to the emergency room. response:	I'll let Mashima-kun and the other members know.
context: We promised to win together.\Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa...\About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know. response:	She seemed unwell the entire match.
context: Chihaya, you're just as determined as you used to be.\I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa...\About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match. response:	I hope she's okay.
context: I've been doing a lot of thinking.\About karuta...\About karuta and Grandpa...\About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay. response:	Huh?
context: About karuta...\About karuta and Grandpa...\About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay.\Huh? response:	Aren't you Wataya-kun?
context: About karuta and Grandpa...\About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay.\Huh?\Aren't you Wataya-kun? response:	Oh, Mr. Yoshioka from the Karuta Federation.
context: About myself...\We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay.\Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation. response:	Oh, you actually remember me!
context: We'll take her to the emergency room.\I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay.\Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me! response:	I've been so worried about you!
context: I'll let Mashima-kun and the other members know.\She seemed unwell the entire match.\I hope she's okay.\Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you! response:	You haven't been in any tournaments since last year!
context: She seemed unwell the entire match.\I hope she's okay.\Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year! response:	But you're participating in this one.
context: I hope she's okay.\Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one. response:	No, I'm...
context: Huh?\Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm... response:	I can't wait to watch you.
context: Aren't you Wataya-kun?\Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm...\I can't wait to watch you. response:	I'll be able to see Master Wataya again.
context: Oh, Mr. Yoshioka from the Karuta Federation.\Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again. response:	Because your karuta is just like Master Wataya's.
context: Oh, you actually remember me!\I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's. response:	Oh, the match is almost over.
context: I've been so worried about you!\You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over. response:	I'll catch you later.
context: You haven't been in any tournaments since last year!\But you're participating in this one.\No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later. response:	Grandpa...
context: But you're participating in this one.\No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later.\Grandpa... response:	Grandpa, I...
context: No, I'm...\I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later.\Grandpa...\Grandpa, I... response:	still love karuta.
context: I can't wait to watch you.\I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later.\Grandpa...\Grandpa, I...\still love karuta. response:	I don't believe it.
context: I'll be able to see Master Wataya again.\Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later.\Grandpa...\Grandpa, I...\still love karuta.\I don't believe it. response:	I can't believe it.
context: Because your karuta is just like Master Wataya's.\Oh, the match is almost over.\I'll catch you later.\Grandpa...\Grandpa, I...\still love karuta.\I don't believe it.\I can't believe it. response:	How could this have happened?!
context: Oh, the match is almost over.\I'll catch you later.\Grandpa...\Grandpa, I...\still love karuta.\I don't believe it.\I can't believe it.\How could this have happened?! response:	No! Why is a Hokuo person here?!
context: I'll catch you later.\Grandpa...\Grandpa, I...\still love karuta.\I don't believe it.\I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?! response:	I'm participating in the individual tournament tomorrow!
context: Grandpa...\Grandpa, I...\still love karuta.\I don't believe it.\I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow! response:	Anyway, you forfeited because you weren't feeling well?!
context: Grandpa, I...\still love karuta.\I don't believe it.\I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?! response:	You were supposed to be representing Tokyo!
context: still love karuta.\I don't believe it.\I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo! response:	Don't give me that.
context: I don't believe it.\I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that. response:	You think a few tears are going to get you off the hook?
context: I can't believe it.\How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook? response:	What if the other players look down on Tokyo!
context: How could this have happened?!\No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo! response:	What are you doing?
context: No! Why is a Hokuo person here?!\I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing? response:	Chihaya-chan, shouldn't you be lying down?
context: I'm participating in the individual tournament tomorrow!\Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down? response:	I-I'm sorry, everyone.
context: Anyway, you forfeited because you weren't feeling well?!\You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone. response:	I'm sorry.
context: You were supposed to be representing Tokyo!\Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry. response:	What are you doing, Chihaya-chan?!
context: Don't give me that.\You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?! response:	You don't need to apologize.
context: You think a few tears are going to get you off the hook?\What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize. response:	Ayase! I got my first win today!
context: What if the other players look down on Tokyo!\What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today! response:	Huh?
context: What are you doing?\Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today!\Huh? response:	That's right!
context: Chihaya-chan, shouldn't you be lying down?\I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today!\Huh?\That's right! response:	He actually won two games in a row!
context: I-I'm sorry, everyone.\I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today!\Huh?\That's right!\He actually won two games in a row! response:	I can still remember when the score was 7-7, I guessed right
context: I'm sorry.\What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today!\Huh?\That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right response:	and took the Since the card!
context: What are you doing, Chihaya-chan?!\You don't need to apologize.\Ayase! I got my first win today!\Huh?\That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card! response:	That card won me the match!
context: You don't need to apologize.\Ayase! I got my first win today!\Huh?\That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match! response:	But we lost to Fujisaki in the playoffs.
context: Ayase! I got my first win today!\Huh?\That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs. response:	I wanted to play more!
context: Huh?\That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more! response:	Me too!
context: That's right!\He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too! response:	You need time to recover, right?
context: He actually won two games in a row!\I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too!\You need time to recover, right? response:	Maybe you should take the bullet train home tomorrow morning?
context: I can still remember when the score was 7-7, I guessed right\and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning? response:	I'm still shaking with excitement!
context: and took the Since the card!\That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement! response:	I'm going to recover!
context: That card won me the match!\But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover! response:	I'll be in perfect health for the individual tournament tomorrow!
context: But we lost to Fujisaki in the playoffs.\I wanted to play more!\Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow! response:	How are you feeling?
context: I wanted to play more!\Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling? response:	I'm okay.
context: Me too!\You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay. response:	I'm feeling better.
context: You need time to recover, right?\Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay.\I'm feeling better. response:	Think you can play tomorrow?
context: Maybe you should take the bullet train home tomorrow morning?\I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay.\I'm feeling better.\Think you can play tomorrow? response:	I can!
context: I'm still shaking with excitement!\I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay.\I'm feeling better.\Think you can play tomorrow?\I can! response:	Since I didn't do anything today...
context: I'm going to recover!\I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay.\I'm feeling better.\Think you can play tomorrow?\I can!\Since I didn't do anything today... response:	Do you think Arata was disappointed?
context: I'll be in perfect health for the individual tournament tomorrow!\How are you feeling?\I'm okay.\I'm feeling better.\Think you can play tomorrow?\I can!\Since I didn't do anything today...\Do you think Arata was disappointed? response:	He came to watch us.
context: How are you feeling?\I'm okay.\I'm feeling better.\Think you can play tomorrow?\I can!\Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us. response:	I wanted to show him how much better I've gotten.
context: I'm okay.\I'm feeling better.\Think you can play tomorrow?\I can!\Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten. response:	Well, you were pretty heavy.
context: I'm feeling better.\Think you can play tomorrow?\I can!\Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy. response:	What? No way!
context: Think you can play tomorrow?\I can!\Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way! response:	I thought you'd be pretty light, but you were really heavy.
context: I can!\Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy. response:	Oh, that's right.
context: Since I didn't do anything today...\Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right. response:	Arata left this with Mr. Yoshioka,
context: Do you think Arata was disappointed?\He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka, response:	one of the tournament staff members, for us.
context: He came to watch us.\I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us. response:	I think it's from Fukui.
context: I wanted to show him how much better I've gotten.\Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us.\I think it's from Fukui. response:	Next time, we'll meet in a match. -Arata
context: Well, you were pretty heavy.\What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us.\I think it's from Fukui.\Next time, we'll meet in a match. -Arata response:	He heard us.
context: What? No way!\I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us.\I think it's from Fukui.\Next time, we'll meet in a match. -Arata\He heard us. response:	Next time, we'll meet in a match. -Arata
context: I thought you'd be pretty light, but you were really heavy.\Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us.\I think it's from Fukui.\Next time, we'll meet in a match. -Arata\He heard us.\Next time, we'll meet in a match. -Arata response:	Our feelings...
context: Oh, that's right.\Arata left this with Mr. Yoshioka,\one of the tournament staff members, for us.\I think it's from Fukui.\Next time, we'll meet in a match. -Arata\He heard us.\Next time, we'll meet in a match. -Arata\Our feelings... response:	reached Arata.
