context: Would you go with him, response:	and see what's happening in the conductor's compartment for me?
context: in fanning the conflict between the Gandors and the Runoratas.\Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way. response:	Mr. President, are you saying I should leave it alone?
context: Nicholas- kun, you have considered that, haven't you?\Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone? response:	Top-secret facts notwithstanding,
context: Yes. I'm taking every precaution to see that it doesn't happen.\See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding, response:	there is a lot about Dallas Genoard that is unclear.
context: See that you do. Now, go on.\Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear. response:	Has he really become immortal, or hasn't he?
context: Mr. President, I'm sure from his face that he's plotting something!\I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he? response:	If something is cleared up because of this, it's just what we want.
context: I know. Nicholas- kun is probably...\and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want. response:	Besides, there is the threat of conflict between the Gandors
context: and hoping to uncover some dirt.\He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors response:	and the Runoratas without us doing anything at all.
context: He probably wants to find out some top-secret facts, in his own way.\Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all. response:	How do you mean?
context: Mr. President, are you saying I should leave it alone?\Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean? response:	The legendary assassin, Vino, a.k.a. Claire Stanfield,
context: Top-secret facts notwithstanding,\there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield, response:	is headed toward New York.
context: there is a lot about Dallas Genoard that is unclear.\Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York. response:	Word is, at the behest of Luck Gandor.
context: Has he really become immortal, or hasn't he?\If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor. response:	Vino...
context: If something is cleared up because of this, it's just what we want.\Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino... response:	Aboard the transcontinental express out of Chicago,
context: Besides, there is the threat of conflict between the Gandors\and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago, response:	the Flying Pussyfoot.
context: and the Runoratas without us doing anything at all.\How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot. response:	Doesn't look like I'd get much knowledge out of him
context: How do you mean?\The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him response:	if I did devour him,
context: The legendary assassin, Vino, a.k.a. Claire Stanfield,\is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him, response:	but I've brought it on myself.
context: is headed toward New York.\Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself. response:	Ennis...
context: Word is, at the behest of Luck Gandor.\Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself.\Ennis... response:	Yes, sir.
context: Vino...\Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself.\Ennis...\Yes, sir. response:	Looking up at the starry sky that goes on forever, we sing
context: Aboard the transcontinental express out of Chicago,\the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself.\Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: the Flying Pussyfoot.\Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself.\Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: Doesn't look like I'd get much knowledge out of him\if I did devour him,\but I've brought it on myself.\Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: if I did devour him,\but I've brought it on myself.\Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: but I've brought it on myself.\Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: Ennis...\Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: Yes, sir.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	Miria, everything is going to start!
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start! response:	The beginning, huh?
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start!\The beginning, huh? response:	Uh, Ad-wee-na...
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start!\The beginning, huh?\Uh, Ad-wee-na... response:	It's Ad-weh-na.
context: Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start!\The beginning, huh?\Uh, Ad-wee-na...\It's Ad-weh-na. response:	Oh, right.Ad-wee-na... A-wehss
context: our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start!\The beginning, huh?\Uh, Ad-wee-na...\It's Ad-weh-na.\Oh, right.Ad-wee-na... A-wehss response:	You've reversed it, Isaac.
context: We can go on spinning our love\though it may still be such a tiny light now\Miria, everything is going to start!\The beginning, huh?\Uh, Ad-wee-na...\It's Ad-weh-na.\Oh, right.Ad-wee-na... A-wehss\You've reversed it, Isaac. response:	A-weh-nass... Ad-na...
