context: Let's go, everyone! response:	Yeah!
context: virtual world to save you, is no exception.\I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan. response:	We're not sure what caused the
context: I have no intention of asking you to forgive me, but...\Farewell, Prince.\Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan.\We're not sure what caused the response:	global network disruptions the other day.
context: Farewell, Prince.\Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan.\We're not sure what caused the\global network disruptions the other day. response:	However, we're starting to see all
context: Souta!\Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan.\We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all response:	vital infrastructure returning to normal.
context: Nanami?!\I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan.\We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal. response:	Huh?
context: I'm your older sister and you didn't call me oneesan? Why?!\I'm sorry,\Neesan.\We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal.\Huh? response:	A-Akane?
context: I'm sorry,\Neesan.\We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal.\Huh?\A-Akane? response:	Um, have we met before?
context: Neesan.\We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal.\Huh?\A-Akane?\Um, have we met before? response:	No, sorry. My mistake.
context: We're not sure what caused the\global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal.\Huh?\A-Akane?\Um, have we met before?\No, sorry. My mistake. response:	I'm not anyone weird.
context: global network disruptions the other day.\However, we're starting to see all\vital infrastructure returning to normal.\Huh?\A-Akane?\Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird. response:	I'll be moving into this dorm.
context: However, we're starting to see all\vital infrastructure returning to normal.\Huh?\A-Akane?\Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm. response:	Really?!
context: vital infrastructure returning to normal.\Huh?\A-Akane?\Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm.\Really?! response:	Me, too!
context: Huh?\A-Akane?\Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm.\Really?!\Me, too! response:	I'm Mahougasawa Akane.
context: A-Akane?\Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm.\Really?!\Me, too!\I'm Mahougasawa Akane. response:	Nice to meet you.
context: Um, have we met before?\No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm.\Really?!\Me, too!\I'm Mahougasawa Akane.\Nice to meet you. response:	Yeah, nice to meet you.
context: No, sorry. My mistake.\I'm not anyone weird.\I'll be moving into this dorm.\Really?!\Me, too!\I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you. response:	My name's Hatate Souta.
context: I'm not anyone weird.\I'll be moving into this dorm.\Really?!\Me, too!\I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta. response:	Well, let's go exploring Quest Dorm!
context: I'll be moving into this dorm.\Really?!\Me, too!\I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm! response:	Yeah.
context: Really?!\Me, too!\I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah. response:	I wonder which room I should pick.
context: Me, too!\I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick. response:	They're all the same inside.
context: I'm Mahougasawa Akane.\Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick.\They're all the same inside. response:	How do you know?
context: Nice to meet you.\Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick.\They're all the same inside.\How do you know? response:	Well, I think the corner room might be taken already.
context: Yeah, nice to meet you.\My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick.\They're all the same inside.\How do you know?\Well, I think the corner room might be taken already. response:	Really?
context: My name's Hatate Souta.\Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick.\They're all the same inside.\How do you know?\Well, I think the corner room might be taken already.\Really? response:	I guess I'll go take a look at the room over there, then!
context: Well, let's go exploring Quest Dorm!\Yeah.\I wonder which room I should pick.\They're all the same inside.\How do you know?\Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then! response:	Akane!
context: Yeah.\I wonder which room I should pick.\They're all the same inside.\How do you know?\Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then!\Akane! response:	Um, Hatate-kun?
context: I wonder which room I should pick.\They're all the same inside.\How do you know?\Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun? response:	Thank goodness...
context: They're all the same inside.\How do you know?\Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun?\Thank goodness... response:	Huh?
context: How do you know?\Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun?\Thank goodness...\Huh? response:	I'm so glad you're safe.
context: Well, I think the corner room might be taken already.\Really?\I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun?\Thank goodness...\Huh?\I'm so glad you're safe. response:	You saved me again, Souta-kun.
context: Really?\I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun?\Thank goodness...\Huh?\I'm so glad you're safe.\You saved me again, Souta-kun. response:	You were able
context: I guess I'll go take a look at the room over there, then!\Akane!\Um, Hatate-kun?\Thank goodness...\Huh?\I'm so glad you're safe.\You saved me again, Souta-kun.\You were able response:	to keep your promise again.
context: Akane!\Um, Hatate-kun?\Thank goodness...\Huh?\I'm so glad you're safe.\You saved me again, Souta-kun.\You were able\to keep your promise again. response:	Yes.
context: Um, Hatate-kun?\Thank goodness...\Huh?\I'm so glad you're safe.\You saved me again, Souta-kun.\You were able\to keep your promise again.\Yes. response:	Humans are strange.
context: Thank goodness...\Huh?\I'm so glad you're safe.\You saved me again, Souta-kun.\You were able\to keep your promise again.\Yes.\Humans are strange. response:	Humans easily exceed our expectations.
context: Huh?\I'm so glad you're safe.\You saved me again, Souta-kun.\You were able\to keep your promise again.\Yes.\Humans are strange.\Humans easily exceed our expectations. response:	I'm sure that's why they're so precious.
context: I'm so glad you're safe.\You saved me again, Souta-kun.\You were able\to keep your promise again.\Yes.\Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious. response:	Yes, they taught us that.
context: You saved me again, Souta-kun.\You were able\to keep your promise again.\Yes.\Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that. response:	This world is
context: You were able\to keep your promise again.\Yes.\Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that.\This world is response:	so beautiful.
context: to keep your promise again.\Yes.\Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that.\This world is\so beautiful. response:	If Her Flag Breaks
context: Yes.\Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that.\This world is\so beautiful.\If Her Flag Breaks response:	I'm thinking of proposing to her once
context: Humans are strange.\Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that.\This world is\so beautiful.\If Her Flag Breaks\I'm thinking of proposing to her once response:	this business deal goes through.
context: Humans easily exceed our expectations.\I'm sure that's why they're so precious.\Yes, they taught us that.\This world is\so beautiful.\If Her Flag Breaks\I'm thinking of proposing to her once\this business deal goes through. response:	Well, that's a reason to celebrate.
context: I'm sure that's why they're so precious.\Yes, they taught us that.\This world is\so beautiful.\If Her Flag Breaks\I'm thinking of proposing to her once\this business deal goes through.\Well, that's a reason to celebrate. response:	If Her Flag Breaks
context: Yes, they taught us that.\This world is\so beautiful.\If Her Flag Breaks\I'm thinking of proposing to her once\this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks response:	Thanks for your support!
context: This world is\so beautiful.\If Her Flag Breaks\I'm thinking of proposing to her once\this business deal goes through.\Well, that's a reason to celebrate.\If Her Flag Breaks\Thanks for your support! response:	Illustration: CUTEG
