context: What is this? response:	The grave... It's shining.
context: Just one magic?\I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can! response:	It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.
context: I feel like I've heard that somewhere before...\Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight. response:	There's no way someone like you could use it!
context: Those who get close enough to the depths of magic are able to use every type of magic.\Cana!\Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it! response:	Don't worry. I'll take good care of that magic for you.
context: Cana!\Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you. response:	Natsu-san.
context: Move!\Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san. response:	He's so stupidly powerful... But in this gravity even he...
context: Let me ask you, instead...\Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he... response:	Wait, that's not it!
context: Can a little girl like you actually use Fairy Glitter?\Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it! response:	Roar of the...
context: Of course I can!\It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the... response:	He did it?
context: It's an extremely difficult spell that gathers and concentrates sunlight and moonlight.\There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the...\He did it? response:	Outta my way, trash!
context: There's no way someone like you could use it!\Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the...\He did it?\Outta my way, trash! response:	Nice, Natsu!
context: Don't worry. I'll take good care of that magic for you.\Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the...\He did it?\Outta my way, trash!\Nice, Natsu! response:	Go!
context: Natsu-san.\He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the...\He did it?\Outta my way, trash!\Nice, Natsu!\Go! response:	I can use this magic...
context: He's so stupidly powerful... But in this gravity even he...\Wait, that's not it!\Roar of the...\He did it?\Outta my way, trash!\Nice, Natsu!\Go!\I can use this magic... response:	Gather to me, O River of Light led by the Fairies...
context: Wait, that's not it!\Roar of the...\He did it?\Outta my way, trash!\Nice, Natsu!\Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies... response:	Impossible! That's...
context: Roar of the...\He did it?\Outta my way, trash!\Nice, Natsu!\Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's... response:	The sky is shining...
context: He did it?\Outta my way, trash!\Nice, Natsu!\Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining... response:	No, it's from the other side...
context: Outta my way, trash!\Nice, Natsu!\Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining...\No, it's from the other side... response:	The stars themselves are shining!
context: Nice, Natsu!\Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining...\No, it's from the other side...\The stars themselves are shining! response:	Shine down! To wipe out the fangs of evil!
context: Go!\I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining...\No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil! response:	Fairy Glitter!
context: I can use this magic...\Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining...\No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter! response:	What incredible light!
context: Gather to me, O River of Light led by the Fairies...\Impossible! That's...\The sky is shining...\No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light! response:	That's one of the guild's 3 Grand Spells!
context: Impossible! That's...\The sky is shining...\No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells! response:	Disappear!
context: The sky is shining...\No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear! response:	Fall!
context: No, it's from the other side...\The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear!\Fall! response:	You call that Fairy Glitter?
context: The stars themselves are shining!\Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear!\Fall!\You call that Fairy Glitter? response:	Don't make me laugh.
context: Shine down! To wipe out the fangs of evil!\Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear!\Fall!\You call that Fairy Glitter?\Don't make me laugh. response:	It doesn't matter how powerful the magic. If the user is worthless, this is the result.
context: Fairy Glitter!\What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear!\Fall!\You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result. response:	No...
context: What incredible light!\That's one of the guild's 3 Grand Spells!\Disappear!\Fall!\You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No... response:	Did you know?
context: That's one of the guild's 3 Grand Spells!\Disappear!\Fall!\You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know? response:	I can still take that magic even after I kill you.
context: Disappear!\Fall!\You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know?\I can still take that magic even after I kill you. response:	I didn't have enough power...
context: Fall!\You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know?\I can still take that magic even after I kill you.\I didn't have enough power... response:	Cana!
context: You call that Fairy Glitter?\Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know?\I can still take that magic even after I kill you.\I didn't have enough power...\Cana! response:	Don't!
context: Don't make me laugh.\It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know?\I can still take that magic even after I kill you.\I didn't have enough power...\Cana!\Don't! response:	Please!
context: It doesn't matter how powerful the magic. If the user is worthless, this is the result.\No...\Did you know?\I can still take that magic even after I kill you.\I didn't have enough power...\Cana!\Don't!\Please! response:	I wasn't able to fly today, again.
context: No...\Did you know?\I can still take that magic even after I kill you.\I didn't have enough power...\Cana!\Don't!\Please!\I wasn't able to fly today, again. response:	You will fall down to hell.
context: Did you know?\I can still take that magic even after I kill you.\I didn't have enough power...\Cana!\Don't!\Please!\I wasn't able to fly today, again.\You will fall down to hell. response:	Gildarts!
context: I can still take that magic even after I kill you.\I didn't have enough power...\Cana!\Don't!\Please!\I wasn't able to fly today, again.\You will fall down to hell.\Gildarts! response:	No way...
context: I didn't have enough power...\Cana!\Don't!\Please!\I wasn't able to fly today, again.\You will fall down to hell.\Gildarts!\No way... response:	It's Gildarts!
context: Cana!\Don't!\Please!\I wasn't able to fly today, again.\You will fall down to hell.\Gildarts!\No way...\It's Gildarts! response:	F-Father...
context: Don't!\Please!\I wasn't able to fly today, again.\You will fall down to hell.\Gildarts!\No way...\It's Gildarts!\F-Father... response:	The big tree on this island is called the Tenrou tree, I hear!
context: Please!\I wasn't able to fly today, again.\You will fall down to hell.\Gildarts!\No way...\It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear! response:	It's the island where Fairy Tail's founding master rests, right?
context: I wasn't able to fly today, again.\You will fall down to hell.\Gildarts!\No way...\It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right? response:	Is it some kind of fairy tree, I wonder?
context: You will fall down to hell.\Gildarts!\No way...\It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder? response:	Maybe a fairy of the founding master will show up or something?
context: Gildarts!\No way...\It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something? response:	Ooh, I wanna fight it!
context: No way...\It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it! response:	Natsu, do you have anything in your head other than eat, sleep, and fight?
context: It's Gildarts!\F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight? response:	Next time: The Tenrou Tree.
context: F-Father...\The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight?\Next time: The Tenrou Tree. response:	Sure I do!
context: The big tree on this island is called the Tenrou tree, I hear!\It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight?\Next time: The Tenrou Tree.\Sure I do! response:	Sneak into Lucy's house.
context: It's the island where Fairy Tail's founding master rests, right?\Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight?\Next time: The Tenrou Tree.\Sure I do!\Sneak into Lucy's house. response:	Play pranks on Lucy.
context: Is it some kind of fairy tree, I wonder?\Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight?\Next time: The Tenrou Tree.\Sure I do!\Sneak into Lucy's house.\Play pranks on Lucy. response:	Lucy...
context: Maybe a fairy of the founding master will show up or something?\Ooh, I wanna fight it!\Natsu, do you have anything in your head other than eat, sleep, and fight?\Next time: The Tenrou Tree.\Sure I do!\Sneak into Lucy's house.\Play pranks on Lucy.\Lucy... response:	Sounds like this might go on a while... Can you write it down?
