context: As we journeyed in search of Naraku's whereabouts, response:	three young monkey sprites appeared before us.
context: You plan on taking the test when you're sick?\Of course!\Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science. response:	So you should memorize yourformulas and equations...
context: Of course!\Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations... response:	Are you all right, Kagome?
context: Higurashi, are you all right?\Hojo! Please!\I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome? response:	Don't overdo it.
context: Hojo! Please!\I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it. response:	No. Please continue, Hojo.
context: I knew it! There is something troubling you!\Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo. response:	See you, Kagome.
context: Please help me study!\Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo.\See you, Kagome. response:	Uh-huh. Thank you for coming.
context: Is it okay for herto stay up?\There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming. response:	I'll be seeing you, Higurashi.
context: There's an emphasis on math and science.\So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi. response:	Yes. Thank you so much.
context: So you should memorize yourformulas and equations...\Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much. response:	What is it?
context: Are you all right, Kagome?\Don't overdo it.\No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it? response:	No, nothing.
context: Don't overdo it.\No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it?\No, nothing. response:	See you. Bye-bye!
context: No. Please continue, Hojo.\See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it?\No, nothing.\See you. Bye-bye! response:	Bye-bye!
context: See you, Kagome.\Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it?\No, nothing.\See you. Bye-bye!\Bye-bye! response:	Now then!
context: Uh-huh. Thank you for coming.\I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it?\No, nothing.\See you. Bye-bye!\Bye-bye!\Now then! response:	Say...
context: I'll be seeing you, Higurashi.\Yes. Thank you so much.\What is it?\No, nothing.\See you. Bye-bye!\Bye-bye!\Now then!\Say... response:	Yes?
context: Yes. Thank you so much.\What is it?\No, nothing.\See you. Bye-bye!\Bye-bye!\Now then!\Say...\Yes? response:	This test thing... Is it that important?
context: What is it?\No, nothing.\See you. Bye-bye!\Bye-bye!\Now then!\Say...\Yes?\This test thing... Is it that important? response:	Yes.
context: No, nothing.\See you. Bye-bye!\Bye-bye!\Now then!\Say...\Yes?\This test thing... Is it that important?\Yes. response:	What's the sense in taking a test if you don'tget overyour cold?
context: See you. Bye-bye!\Bye-bye!\Now then!\Say...\Yes?\This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold? response:	But once I'm better, I'll have to go to school.
context: Bye-bye!\Now then!\Say...\Yes?\This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school. response:	So I have to study.
context: Now then!\Say...\Yes?\This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study. response:	Getting better is more important.
context: Say...\Yes?\This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important. response:	Both are important.
context: Yes?\This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important.\Both are important. response:	Just stay in bed!
context: This test thing... Is it that important?\Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important.\Both are important.\Just stay in bed! response:	No!
context: Yes.\What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important.\Both are important.\Just stay in bed!\No! response:	Kagome!
context: What's the sense in taking a test if you don'tget overyour cold?\But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important.\Both are important.\Just stay in bed!\No!\Kagome! response:	I WANTto go to school!
context: But once I'm better, I'll have to go to school.\So I have to study.\Getting better is more important.\Both are important.\Just stay in bed!\No!\Kagome!\I WANTto go to school! response:	Go away! Don'tget in the way of my studies!
context: So I have to study.\Getting better is more important.\Both are important.\Just stay in bed!\No!\Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies! response:	What?!
context: Getting better is more important.\Both are important.\Just stay in bed!\No!\Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?! response:	Awright! I get it!
context: Both are important.\Just stay in bed!\No!\Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?!\Awright! I get it! response:	I'm such a fool...
context: Just stay in bed!\No!\Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?!\Awright! I get it!\I'm such a fool... response:	Kagome, how do you feel?
context: No!\Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?!\Awright! I get it!\I'm such a fool...\Kagome, how do you feel? response:	I'll make some rice gruel, so eat, okay?
context: Kagome!\I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?!\Awright! I get it!\I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay? response:	Uh-huh.
context: I WANTto go to school!\Go away! Don'tget in the way of my studies!\What?!\Awright! I get it!\I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh. response:	They all look so good!
context: Go away! Don'tget in the way of my studies!\What?!\Awright! I get it!\I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good! response:	We can sell it and make good money.
context: What?!\Awright! I get it!\I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good!\We can sell it and make good money. response:	I don't think we should touch it.
context: Awright! I get it!\I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good!\We can sell it and make good money.\I don't think we should touch it. response:	Kirara!
context: I'm such a fool...\Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good!\We can sell it and make good money.\I don't think we should touch it.\Kirara! response:	I haven't done a thing!
context: Kagome, how do you feel?\I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good!\We can sell it and make good money.\I don't think we should touch it.\Kirara!\I haven't done a thing! response:	I didn't touch a thing!
context: I'll make some rice gruel, so eat, okay?\Uh-huh.\They all look so good!\We can sell it and make good money.\I don't think we should touch it.\Kirara!\I haven't done a thing!\I didn't touch a thing! response:	Same here!
context: Uh-huh.\They all look so good!\We can sell it and make good money.\I don't think we should touch it.\Kirara!\I haven't done a thing!\I didn't touch a thing!\Same here! response:	Inuyasha?
context: They all look so good!\We can sell it and make good money.\I don't think we should touch it.\Kirara!\I haven't done a thing!\I didn't touch a thing!\Same here!\Inuyasha? response:	Oh... my head hurts.
context: We can sell it and make good money.\I don't think we should touch it.\Kirara!\I haven't done a thing!\I didn't touch a thing!\Same here!\Inuyasha?\Oh... my head hurts. response:	Yo!
context: I don't think we should touch it.\Kirara!\I haven't done a thing!\I didn't touch a thing!\Same here!\Inuyasha?\Oh... my head hurts.\Yo! response:	Hey, Inuyasha! You didn't go back?
context: Kirara!\I haven't done a thing!\I didn't touch a thing!\Same here!\Inuyasha?\Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back? response:	I need a cooking fire.
context: I haven't done a thing!\I didn't touch a thing!\Same here!\Inuyasha?\Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire. response:	Cooking fire?
context: I didn't touch a thing!\Same here!\Inuyasha?\Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire? response:	Will a gas range do?
context: Same here!\Inuyasha?\Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire?\Will a gas range do? response:	What's that?
context: Inuyasha?\Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire?\Will a gas range do?\What's that? response:	Fornourishment, there's nothing like liver!
context: Oh... my head hurts.\Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire?\Will a gas range do?\What's that?\Fornourishment, there's nothing like liver! response:	Boarliver, carp liver, chicken liver...
context: Yo!\Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire?\Will a gas range do?\What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver... response:	And medicinal roots and herbs.
context: Hey, Inuyasha! You didn't go back?\I need a cooking fire.\Cooking fire?\Will a gas range do?\What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs. response:	Inuyasha, you're gonna eat all that?
context: I need a cooking fire.\Cooking fire?\Will a gas range do?\What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that? response:	Not me.
context: Cooking fire?\Will a gas range do?\What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me. response:	T-Then...
context: Will a gas range do?\What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me.\T-Then... response:	All right!
context: What's that?\Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me.\T-Then...\All right! response:	Inuyasha...
context: Fornourishment, there's nothing like liver!\Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me.\T-Then...\All right!\Inuyasha... response:	Here. Medicine. Drink.
context: Boarliver, carp liver, chicken liver...\And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me.\T-Then...\All right!\Inuyasha...\Here. Medicine. Drink. response:	Medicine?
context: And medicinal roots and herbs.\Inuyasha, you're gonna eat all that?\Not me.\T-Then...\All right!\Inuyasha...\Here. Medicine. Drink.\Medicine? response:	It smells!
context: Inuyasha, you're gonna eat all that?\Not me.\T-Then...\All right!\Inuyasha...\Here. Medicine. Drink.\Medicine?\It smells! response:	If you drink it, you'll get better.
context: Not me.\T-Then...\All right!\Inuyasha...\Here. Medicine. Drink.\Medicine?\It smells!\If you drink it, you'll get better. response:	It'll cure any cold in an instant!
context: T-Then...\All right!\Inuyasha...\Here. Medicine. Drink.\Medicine?\It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant! response:	It's awful!
context: All right!\Inuyasha...\Here. Medicine. Drink.\Medicine?\It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful! response:	Bearit!
context: Inuyasha...\Here. Medicine. Drink.\Medicine?\It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful!\Bearit! response:	It may taste bad, but it'll work without fail.
context: Here. Medicine. Drink.\Medicine?\It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful!\Bearit!\It may taste bad, but it'll work without fail. response:	You made it?
context: Medicine?\It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful!\Bearit!\It may taste bad, but it'll work without fail.\You made it? response:	Well, yeah...
context: It smells!\If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful!\Bearit!\It may taste bad, but it'll work without fail.\You made it?\Well, yeah... response:	If it'll work, I'll put up with the taste.
context: If you drink it, you'll get better.\It'll cure any cold in an instant!\It's awful!\Bearit!\It may taste bad, but it'll work without fail.\You made it?\Well, yeah...\If it'll work, I'll put up with the taste. response:	You sure it'll work?
context: It'll cure any cold in an instant!\It's awful!\Bearit!\It may taste bad, but it'll work without fail.\You made it?\Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work? response:	Trust me!
context: It's awful!\Bearit!\It may taste bad, but it'll work without fail.\You made it?\Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me! response:	She's drinking it!
context: Bearit!\It may taste bad, but it'll work without fail.\You made it?\Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me!\She's drinking it! response:	Sis is drinking liverpotion!
context: It may taste bad, but it'll work without fail.\You made it?\Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me!\She's drinking it!\Sis is drinking liverpotion! response:	Liverpotion...
context: You made it?\Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me!\She's drinking it!\Sis is drinking liverpotion!\Liverpotion... response:	You're right. I think it's working.
context: Well, yeah...\If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me!\She's drinking it!\Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working. response:	See?
context: If it'll work, I'll put up with the taste.\You sure it'll work?\Trust me!\She's drinking it!\Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working.\See? response:	Thank you.
context: You sure it'll work?\Trust me!\She's drinking it!\Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working.\See?\Thank you. response:	Nothing doing.
context: Trust me!\She's drinking it!\Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working.\See?\Thank you.\Nothing doing. response:	But how did you know about making such medicine?
context: She's drinking it!\Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working.\See?\Thank you.\Nothing doing.\But how did you know about making such medicine? response:	Err... my motherused to...
context: Sis is drinking liverpotion!\Liverpotion...\You're right. I think it's working.\See?\Thank you.\Nothing doing.\But how did you know about making such medicine?\Err... my motherused to... response:	Yourmother?
context: Liverpotion...\You're right. I think it's working.\See?\Thank you.\Nothing doing.\But how did you know about making such medicine?\Err... my motherused to...\Yourmother? response:	She made it foryou?
context: You're right. I think it's working.\See?\Thank you.\Nothing doing.\But how did you know about making such medicine?\Err... my motherused to...\Yourmother?\She made it foryou? response:	Well, the ingredients are a little different.
context: See?\Thank you.\Nothing doing.\But how did you know about making such medicine?\Err... my motherused to...\Yourmother?\She made it foryou?\Well, the ingredients are a little different. response:	She used dried ingredients.
context: Thank you.\Nothing doing.\But how did you know about making such medicine?\Err... my motherused to...\Yourmother?\She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients. response:	I used fresh ones.
context: Nothing doing.\But how did you know about making such medicine?\Err... my motherused to...\Yourmother?\She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones. response:	Fresh?
context: But how did you know about making such medicine?\Err... my motherused to...\Yourmother?\She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones.\Fresh? response:	Fresh what?
context: Err... my motherused to...\Yourmother?\She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones.\Fresh?\Fresh what? response:	Fresh...
context: Yourmother?\She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones.\Fresh?\Fresh what?\Fresh... response:	Anyway, it'll work.
context: She made it foryou?\Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones.\Fresh?\Fresh what?\Fresh...\Anyway, it'll work. response:	Uh-huh. Thank you.
context: Well, the ingredients are a little different.\She used dried ingredients.\I used fresh ones.\Fresh?\Fresh what?\Fresh...\Anyway, it'll work.\Uh-huh. Thank you. response:	I said it's nothing!
context: She used dried ingredients.\I used fresh ones.\Fresh?\Fresh what?\Fresh...\Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing! response:	Sorry aboutearlier.
context: I used fresh ones.\Fresh?\Fresh what?\Fresh...\Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier. response:	Forget it! Justgo to sleep.
context: Fresh?\Fresh what?\Fresh...\Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep. response:	Is that some kind of magic spell?
context: Fresh what?\Fresh...\Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell? response:	Err... yeah...
context: Fresh...\Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah... response:	My motherused to do it long ago.
context: Anyway, it'll work.\Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago. response:	I see...
context: Uh-huh. Thank you.\I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago.\I see... response:	I'm off!
context: I said it's nothing!\Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago.\I see...\I'm off! response:	Yo!
context: Sorry aboutearlier.\Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago.\I see...\I'm off!\Yo! response:	Good morning.
context: Forget it! Justgo to sleep.\Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago.\I see...\I'm off!\Yo!\Good morning. response:	How do you feel?
context: Is that some kind of magic spell?\Err... yeah...\My motherused to do it long ago.\I see...\I'm off!\Yo!\Good morning.\How do you feel? response:	Much, much better.
context: Err... yeah...\My motherused to do it long ago.\I see...\I'm off!\Yo!\Good morning.\How do you feel?\Much, much better. response:	Yourmedicine worked.
context: My motherused to do it long ago.\I see...\I'm off!\Yo!\Good morning.\How do you feel?\Much, much better.\Yourmedicine worked. response:	Didn't I tell you?
context: I see...\I'm off!\Yo!\Good morning.\How do you feel?\Much, much better.\Yourmedicine worked.\Didn't I tell you? response:	I can go to school. I'll even pass the test!
context: I'm off!\Yo!\Good morning.\How do you feel?\Much, much better.\Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test! response:	Oh no! It's no good! I'll be late even if I leave now!
context: Yo!\Good morning.\How do you feel?\Much, much better.\Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now! response:	I won't make it in time forthe test!
context: Good morning.\How do you feel?\Much, much better.\Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test! response:	You'll make it if you hurry?
context: How do you feel?\Much, much better.\Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry? response:	Buteven if I hurry...
context: Much, much better.\Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry... response:	Hurry and change!
context: Yourmedicine worked.\Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry...\Hurry and change! response:	W-Wait, Inuyasha!
context: Didn't I tell you?\I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha! response:	Just be quiet!
context: I can go to school. I'll even pass the test!\Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha!\Just be quiet! response:	Will you make it?
context: Oh no! It's no good! I'll be late even if I leave now!\I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha!\Just be quiet!\Will you make it? response:	Uh-huh.
context: I won't make it in time forthe test!\You'll make it if you hurry?\Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha!\Just be quiet!\Will you make it?\Uh-huh. response:	'Morning.
context: You'll make it if you hurry?\Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha!\Just be quiet!\Will you make it?\Uh-huh.\'Morning. response:	Kagome!
context: Buteven if I hurry...\Hurry and change!\W-Wait, Inuyasha!\Just be quiet!\Will you make it?\Uh-huh.\'Morning.\Kagome! response:	How's your cold?
context: Hurry and change!\W-Wait, Inuyasha!\Just be quiet!\Will you make it?\Uh-huh.\'Morning.\Kagome!\How's your cold? response:	I slept through the night, and I feel better.
context: W-Wait, Inuyasha!\Just be quiet!\Will you make it?\Uh-huh.\'Morning.\Kagome!\How's your cold?\I slept through the night, and I feel better. response:	What about the test?
context: Just be quiet!\Will you make it?\Uh-huh.\'Morning.\Kagome!\How's your cold?\I slept through the night, and I feel better.\What about the test? response:	I'll go forit.
context: Will you make it?\Uh-huh.\'Morning.\Kagome!\How's your cold?\I slept through the night, and I feel better.\What about the test?\I'll go forit. response:	Atta girl!
context: Uh-huh.\'Morning.\Kagome!\How's your cold?\I slept through the night, and I feel better.\What about the test?\I'll go forit.\Atta girl! response:	All stand!
context: 'Morning.\Kagome!\How's your cold?\I slept through the night, and I feel better.\What about the test?\I'll go forit.\Atta girl!\All stand! response:	Say, Inuyasha... I have to talk to you man-to-man.
context: Kagome!\How's your cold?\I slept through the night, and I feel better.\What about the test?\I'll go forit.\Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man. response:	Talk?
context: How's your cold?\I slept through the night, and I feel better.\What about the test?\I'll go forit.\Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk? response:	What is love?
context: I slept through the night, and I feel better.\What about the test?\I'll go forit.\Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love? response:	Is love eternal?
context: What about the test?\I'll go forit.\Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love?\Is love eternal? response:	What're you talking about?
context: I'll go forit.\Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love?\Is love eternal?\What're you talking about? response:	Kagome, you do something!
context: Atta girl!\All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love?\Is love eternal?\What're you talking about?\Kagome, you do something! response:	Leave it to me!
context: All stand!\Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love?\Is love eternal?\What're you talking about?\Kagome, you do something!\Leave it to me! response:	I'll do anything for my darling little brother!
context: Say, Inuyasha... I have to talk to you man-to-man.\Talk?\What is love?\Is love eternal?\What're you talking about?\Kagome, you do something!\Leave it to me!\I'll do anything for my darling little brother! response:	Next on Inuyasha: Sota's Brave Confession of Love
context: Talk?\What is love?\Is love eternal?\What're you talking about?\Kagome, you do something!\Leave it to me!\I'll do anything for my darling little brother!\Next on Inuyasha: Sota's Brave Confession of Love response:	This is way harderthan slaying demons!
