context: And now an update on the vicious assault that occurred yesterday response:	in front of Toyosu station.
context: Watch where you're going!\He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from response:	a massive tsunami and collapsed buildings.
context: He's a total asshole.\Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings. response:	The power of CROWDS is needed.
context: Rui-san, want me to get him?\Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed. response:	Stop it!
context: Shut up! Be quiet!\Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it! response:	The power of CROWDS is needed.
context: Okay, here's a comment from General X.\Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed. response:	Stop!
context: Rui, a magnitude 8.5 earthquake\has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed.\Stop! response:	The power of CROWDS is needed.
context: has just occurred in the Kantou region.\Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed.\Stop!\The power of CROWDS is needed. response:	Stop!
context: Tens of thousands of casualties are expected from\a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed.\Stop!\The power of CROWDS is needed.\Stop! response:	Oh, it's not shaking?
context: a massive tsunami and collapsed buildings.\The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed.\Stop!\The power of CROWDS is needed.\Stop!\Oh, it's not shaking? response:	It's got to be shaking.
context: The power of CROWDS is needed.\Stop it!\The power of CROWDS is needed.\Stop!\The power of CROWDS is needed.\Stop!\Oh, it's not shaking?\It's got to be shaking. response:	The world's shaking up a storm.
context: Stop it!\The power of CROWDS is needed.\Stop!\The power of CROWDS is needed.\Stop!\Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm. response:	Shaking!
context: The power of CROWDS is needed.\Stop!\The power of CROWDS is needed.\Stop!\Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm.\Shaking! response:	GALAX Collage Offline Meeting in Fukushima
context: Stop!\The power of CROWDS is needed.\Stop!\Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima response:	How about this ribbon?
context: The power of CROWDS is needed.\Stop!\Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon? response:	How's that?
context: Stop!\Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that? response:	Huh?
context: Oh, it's not shaking?\It's got to be shaking.\The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that?\Huh? response:	There's no communications network?
context: It's got to be shaking.\The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that?\Huh?\There's no communications network? response:	Now that you mention it, no.
context: The world's shaking up a storm.\Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that?\Huh?\There's no communications network?\Now that you mention it, no. response:	But the police and the self-defense force are right across from each other, right?
context: Shaking!\GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that?\Huh?\There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right? response:	The fire station and the city hall are nearby, too.
context: GALAX Collage Offline Meeting in Fukushima\How about this ribbon?\How's that?\Huh?\There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too. response:	What would you do if anything happened to Tachikawa?
context: How about this ribbon?\How's that?\Huh?\There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa? response:	I can't believe what she's talking about with people like them.
context: How's that?\Huh?\There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them. response:	The broken child will reveal itself. What's that supposed to mean?
context: Huh?\There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean? response:	What else?
context: There's no communications network?\Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else? response:	It's talking about the crazy Gatchaman.
context: Now that you mention it, no.\But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman. response:	Wow! Jou-san, you're so good!
context: But the police and the self-defense force are right across from each other, right?\The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good! response:	You've got good taste! You're a cool customer, too.
context: The fire station and the city hall are nearby, too.\What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too. response:	Isn't he?
context: What would you do if anything happened to Tachikawa?\I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he? response:	He's great!
context: I can't believe what she's talking about with people like them.\The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he?\He's great! response:	Jou-san, we didn't come here to have fun.
context: The broken child will reveal itself. What's that supposed to mean?\What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he?\He's great!\Jou-san, we didn't come here to have fun. response:	I know.
context: What else?\It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he?\He's great!\Jou-san, we didn't come here to have fun.\I know. response:	The white bird shall bear witness.
context: It's talking about the crazy Gatchaman.\Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he?\He's great!\Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness. response:	Don't take your eyes off that girl.
context: Wow! Jou-san, you're so good!\You've got good taste! You're a cool customer, too.\Isn't he?\He's great!\Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness.\Don't take your eyes off that girl. response:	What's this stick?
context: You've got good taste! You're a cool customer, too.\Isn't he?\He's great!\Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick? response:	I-It's nothing!
context: Isn't he?\He's great!\Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick?\I-It's nothing! response:	Wait! A sword, maybe?
context: He's great!\Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick?\I-It's nothing!\Wait! A sword, maybe? response:	You've got no taste!
context: Jou-san, we didn't come here to have fun.\I know.\The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick?\I-It's nothing!\Wait! A sword, maybe?\You've got no taste! response:	Wait! Please stop!
context: I know.\The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick?\I-It's nothing!\Wait! A sword, maybe?\You've got no taste!\Wait! Please stop! response:	Jou-san!
context: The white bird shall bear witness.\Don't take your eyes off that girl.\What's this stick?\I-It's nothing!\Wait! A sword, maybe?\You've got no taste!\Wait! Please stop!\Jou-san! response:	That's totally weird.
context: Don't take your eyes off that girl.\What's this stick?\I-It's nothing!\Wait! A sword, maybe?\You've got no taste!\Wait! Please stop!\Jou-san!\That's totally weird. response:	Everyone's connected on GALAX,
context: What's this stick?\I-It's nothing!\Wait! A sword, maybe?\You've got no taste!\Wait! Please stop!\Jou-san!\That's totally weird.\Everyone's connected on GALAX, response:	but not in the real world?
context: I-It's nothing!\Wait! A sword, maybe?\You've got no taste!\Wait! Please stop!\Jou-san!\That's totally weird.\Everyone's connected on GALAX,\but not in the real world? response:	That's true.
context: Wait! A sword, maybe?\You've got no taste!\Wait! Please stop!\Jou-san!\That's totally weird.\Everyone's connected on GALAX,\but not in the real world?\That's true. response:	Well, we've gone out a couple of times for drinks.
context: You've got no taste!\Wait! Please stop!\Jou-san!\That's totally weird.\Everyone's connected on GALAX,\but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks. response:	Well, why don't we exchange numbers while we're at it?
context: Wait! Please stop!\Jou-san!\That's totally weird.\Everyone's connected on GALAX,\but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it? response:	Isn't this great? It's the F-15.
context: Jou-san!\That's totally weird.\Everyone's connected on GALAX,\but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15. response:	This tail wing part was super hard to get right.
context: That's totally weird.\Everyone's connected on GALAX,\but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right. response:	It's not about whether it's hard to do.
context: Everyone's connected on GALAX,\but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do. response:	We're going to teach children,
context: but not in the real world?\That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children, response:	so we should choose something more positive
context: That's true.\Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive response:	You're acting all feminine,
context: Well, we've gone out a couple of times for drinks.\Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive\You're acting all feminine, response:	but you totally shoot guns when you have to, right?
context: Well, why don't we exchange numbers while we're at it?\Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right? response:	Must be nice being a cop to do as you please.
context: Isn't this great? It's the F-15.\This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please. response:	There you go again, bringing up work at the drop of a hat.
context: This tail wing part was super hard to get right.\It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat. response:	I feel sorry for your husband!
context: It's not about whether it's hard to do.\We're going to teach children,\so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband! response:	What's my husband got to do with it?
context: We're going to teach children,\so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it? response:	I mean, it's better than being single.
context: so we should choose something more positive\You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single. response:	What'd you say?!
context: You're acting all feminine,\but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?! response:	What?
context: but you totally shoot guns when you have to, right?\Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?!\What? response:	Now, now. It'll be fine.
context: Must be nice being a cop to do as you please.\There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?!\What?\Now, now. It'll be fine. response:	When it counts, we come together.
context: There you go again, bringing up work at the drop of a hat.\I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?!\What?\Now, now. It'll be fine.\When it counts, we come together. response:	Okay, Tachikawa team! Be nice to each other!
context: I feel sorry for your husband!\What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?!\What?\Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other! response:	Let's all go out for drinks again!
context: What's my husband got to do with it?\I mean, it's better than being single.\What'd you say?!\What?\Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again! response:	That sounds like a great idea.
context: I mean, it's better than being single.\What'd you say?!\What?\Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea. response:	Oh, here it comes!
context: What'd you say?!\What?\Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes! response:	Into the tunnel we go!
context: What?\Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go! response:	When a large box...
context: Now, now. It'll be fine.\When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go!\When a large box... response:	Has vanished into darkness!
context: When it counts, we come together.\Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go!\When a large box...\Has vanished into darkness! response:	Good god!
context: Okay, Tachikawa team! Be nice to each other!\Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go!\When a large box...\Has vanished into darkness!\Good god! response:	Hey, the tunnel's collapsed!
context: Let's all go out for drinks again!\That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go!\When a large box...\Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed! response:	Are you okay!?
context: That sounds like a great idea.\Oh, here it comes!\Into the tunnel we go!\When a large box...\Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed!\Are you okay!? response:	Hey!
context: Oh, here it comes!\Into the tunnel we go!\When a large box...\Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed!\Are you okay!?\Hey! response:	Requesting immediate assistance!
context: Into the tunnel we go!\When a large box...\Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed!\Are you okay!?\Hey!\Requesting immediate assistance! response:	The location is, um...
context: When a large box...\Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed!\Are you okay!?\Hey!\Requesting immediate assistance!\The location is, um... response:	Joufuku Expressway, before Kamishiro Pass.
context: Has vanished into darkness!\Good god!\Hey, the tunnel's collapsed!\Are you okay!?\Hey!\Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass. response:	One of the tunnel's ceiling panels has collapsed.
context: Good god!\Hey, the tunnel's collapsed!\Are you okay!?\Hey!\Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed. response:	More than twenty vehicles and
context: Hey, the tunnel's collapsed!\Are you okay!?\Hey!\Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and response:	approximately sixty people are trapped in the debris.
context: Are you okay!?\Hey!\Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris. response:	Their rescue is a priority,
context: Hey!\Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority, response:	but there is a risk of fire.
context: Requesting immediate assistance!\The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire. response:	Please move with caution.
context: The location is, um...\Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire.\Please move with caution. response:	Please evacuate children and the elderly from the accident site first.
context: Joufuku Expressway, before Kamishiro Pass.\One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first. response:	Please take advantage of your skills as a nurse.
context: One of the tunnel's ceiling panels has collapsed.\More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse. response:	Your skills are needed right now.
context: More than twenty vehicles and\approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now. response:	All right!
context: approximately sixty people are trapped in the debris.\Their rescue is a priority,\but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right! response:	Okay!
context: Their rescue is a priority,\but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right!\Okay! response:	Are you all right?
context: but there is a risk of fire.\Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right!\Okay!\Are you all right? response:	Can you walk?
context: Please move with caution.\Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right!\Okay!\Are you all right?\Can you walk? response:	Excuse me! Please carry him to safety.
context: Please evacuate children and the elderly from the accident site first.\Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right!\Okay!\Are you all right?\Can you walk?\Excuse me! Please carry him to safety. response:	There are not enough people on-site.
context: Please take advantage of your skills as a nurse.\Your skills are needed right now.\All right!\Okay!\Are you all right?\Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site. response:	CROWDS is needed.
context: Your skills are needed right now.\All right!\Okay!\Are you all right?\Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed. response:	What is the matter, Rui?
context: All right!\Okay!\Are you all right?\Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui? response:	We're not using CROWDS anymore.
context: Okay!\Are you all right?\Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore. response:	That's what I decided, right?
context: Are you all right?\Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right? response:	However, if we do not hurry, many lives will be lost.
context: Can you walk?\Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost. response:	Without intervention, dozens of casualties are projected.
context: Excuse me! Please carry him to safety.\There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected. response:	I know!
context: There are not enough people on-site.\CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know! response:	I know that...
context: CROWDS is needed.\What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know!\I know that... response:	CROWDS is not that alien's power.
context: What is the matter, Rui?\We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know!\I know that...\CROWDS is not that alien's power. response:	I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.
context: We're not using CROWDS anymore.\That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know!\I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster. response:	CROWDS is your power, Rui.
context: That's what I decided, right?\However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know!\I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui. response:	Save as many people as possible! Is there a reason? I can't go! Please help.
context: However, if we do not hurry, many lives will be lost.\Without intervention, dozens of casualties are projected.\I know!\I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help. response:	Someone, help!
context: Without intervention, dozens of casualties are projected.\I know!\I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help! response:	Please, I need guys here to help!
context: I know!\I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help! response:	Please!
context: I know that...\CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help!\Please! response:	Thank you.
context: CROWDS is not that alien's power.\I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help!\Please!\Thank you. response:	Utsutsu-chan!
context: I can't stand it anymore. We can't let young'uns die. At this rate, there will be a secondary disaster.\CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help!\Please!\Thank you.\Utsutsu-chan! response:	Okay, go!
context: CROWDS is your power, Rui.\Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help!\Please!\Thank you.\Utsutsu-chan!\Okay, go! response:	Where are the firefighters?
context: Save as many people as possible! Is there a reason? I can't go! Please help.\Someone, help!\Please, I need guys here to help!\Please!\Thank you.\Utsutsu-chan!\Okay, go!\Where are the firefighters? response:	They'll be here in twenty minutes.
context: Someone, help!\Please, I need guys here to help!\Please!\Thank you.\Utsutsu-chan!\Okay, go!\Where are the firefighters?\They'll be here in twenty minutes. response:	A self-defense force helicopter is on its way.
context: Please, I need guys here to help!\Please!\Thank you.\Utsutsu-chan!\Okay, go!\Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way. response:	Let's hurry!
context: Please!\Thank you.\Utsutsu-chan!\Okay, go!\Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry! response:	If the remaining ceiling panels collapse, we're done for!
context: Thank you.\Utsutsu-chan!\Okay, go!\Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for! response:	If a fire starts...
context: Utsutsu-chan!\Okay, go!\Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts... response:	Then we'll just have to run.
context: Okay, go!\Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run. response:	We're going to abandon them?!
context: Where are the firefighters?\They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run.\We're going to abandon them?! response:	We're hurrying, so we don't have to do that.
context: They'll be here in twenty minutes.\A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that. response:	Calm down, both of you.
context: A self-defense force helicopter is on its way.\Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you. response:	How many cars are left?
context: Let's hurry!\If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left? response:	There are five more trapped upwards from where you are.
context: If the remaining ceiling panels collapse, we're done for!\If a fire starts...\Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are. response:	Still so many...
context: If a fire starts...\Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are.\Still so many... response:	Will you help us?
context: Then we'll just have to run.\We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are.\Still so many...\Will you help us? response:	Of course. I'm a cop.
context: We're going to abandon them?!\We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are.\Still so many...\Will you help us?\Of course. I'm a cop. response:	Okay, let's go!
context: We're hurrying, so we don't have to do that.\Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are.\Still so many...\Will you help us?\Of course. I'm a cop.\Okay, let's go! response:	Look out!
context: Calm down, both of you.\How many cars are left?\There are five more trapped upwards from where you are.\Still so many...\Will you help us?\Of course. I'm a cop.\Okay, let's go!\Look out! response:	What?
