context: Here at Talisman Saloon, we only discuss the affairs of others. response:	All right, Lemonade Candy?
context: I've heard rumors, but you really don't realize how famous you are, do you, Lemonade Candy?\Or should I call you Miss Tsunemori Akane?\Could you possibly be...\Well, if you wanna know who I am,\why don't you look through your graduation album or something?\If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out. response:	Well...
context: Or should I call you Miss Tsunemori Akane?\Could you possibly be...\Well, if you wanna know who I am,\why don't you look through your graduation album or something?\If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well... response:	Are you friends with Talisman?
context: Could you possibly be...\Well, if you wanna know who I am,\why don't you look through your graduation album or something?\If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman? response:	Well, yeah, since we're rivals on the access ranking.
context: Well, if you wanna know who I am,\why don't you look through your graduation album or something?\If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking. response:	Have you noticed anything different lately about his Field or avatar?
context: why don't you look through your graduation album or something?\If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar? response:	Like, during the past two months?
context: If you figure it out, I'll treat you at our class reunion.\So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months? response:	Let's see...
context: So, what business does an Inspector at the CID have with my CommuField?\Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see... response:	Nothing much lately.
context: Somehow I doubt you came just to hang out.\Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see...\Nothing much lately. response:	But don't you think he was acting strange before then?
context: Well...\Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see...\Nothing much lately.\But don't you think he was acting strange before then? response:	What? He was?
context: Are you friends with Talisman?\Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see...\Nothing much lately.\But don't you think he was acting strange before then?\What? He was? response:	Around that time, Talisman was speaking erratically.
context: Well, yeah, since we're rivals on the access ranking.\Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see...\Nothing much lately.\But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically. response:	He was also holding events that were clearly intended to get affiliate money.
context: Have you noticed anything different lately about his Field or avatar?\Like, during the past two months?\Let's see...\Nothing much lately.\But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money. response:	So the number of people who were anti-Talisman was growing, right?
context: Like, during the past two months?\Let's see...\Nothing much lately.\But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right? response:	We were saying how it looked like that popular old-timer was on his way out.
context: Let's see...\Nothing much lately.\But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out. response:	But he isn't like that now, right?
context: Nothing much lately.\But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right? response:	Yeah. Talisman is his usual cool, gentle self today.
context: But don't you think he was acting strange before then?\What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today. response:	Although he said he turned over a new leaf,
context: What? He was?\Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf, response:	it's quite hard for an avatar who went into decline to make a comeback.
context: Around that time, Talisman was speaking erratically.\He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback. response:	So is this some sort of an investigation?
context: He was also holding events that were clearly intended to get affiliate money.\So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation? response:	Did Talisman do something?
context: So the number of people who were anti-Talisman was growing, right?\We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something? response:	We still can't say anything,
context: We were saying how it looked like that popular old-timer was on his way out.\But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything, response:	but we have to somehow find the actual person using the Talisman avatar.
context: But he isn't like that now, right?\Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar. response:	I see... That sounds kinda interesting.
context: Yeah. Talisman is his usual cool, gentle self today.\Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting. response:	Shall I give you a bit of assistance?
context: Although he said he turned over a new leaf,\it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance? response:	What?
context: it's quite hard for an avatar who went into decline to make a comeback.\So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What? response:	It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?
context: So is this some sort of an investigation?\Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right? response:	Spooky Boogie, the famous anarchist, offering us help?
context: Did Talisman do something?\We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help? response:	I didn't expect to hear that.
context: We still can't say anything,\but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that. response:	That's my public face and this is my private face.
context: but we have to somehow find the actual person using the Talisman avatar.\I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face. response:	We were in the same class, after all.
context: I see... That sounds kinda interesting.\Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all. response:	Well, leave it to me.
context: Shall I give you a bit of assistance?\What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me. response:	I, Spooky Boogie, will hold a modest party to show my appreciation.
context: What?\It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation. response:	It'll be a meet-up in Roppongi on the 4th,
context: It wouldn't be a bad idea to get one of the Public Safety Bureau's rising stars in my debt, right?\Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th, response:	where I'll challenge my friend Talisman to a duel for the White Crown I hold.
context: Spooky Boogie, the famous anarchist, offering us help?\I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold. response:	A meet-up?
context: I didn't expect to hear that.\That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up? response:	Yes. The users who usually gather in a CommuField on the net
context: That's my public face and this is my private face.\We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net response:	hold a party wearing Holo-Cosplay that matches their avatars on the social networks.
context: We were in the same class, after all.\Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks. response:	They sure do come up with strange things these days.
context: Well, leave it to me.\I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days. response:	So are we certain Talisman will participate in the event?
context: I, Spooky Boogie, will hold a modest party to show my appreciation.\It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event? response:	With things the way they are, his popularity will plummet if he doesn't show.
context: It'll be a meet-up in Roppongi on the 4th,\where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show. response:	No matter who's pretending to be Hayama Kimihiko,
context: where I'll challenge my friend Talisman to a duel for the White Crown I hold.\A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko, response:	he's been enthusiastic enough about operating the CommuField
context: A meet-up?\Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField response:	that I'm sure he'll show up there as Talisman.
context: Yes. The users who usually gather in a CommuField on the net\hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman. response:	No matter what Holo-Cosplay he's wearing,
context: hold a party wearing Holo-Cosplay that matches their avatars on the social networks.\They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing, response:	if his Crime Coefficient indicates he's a target for enforcement, the game is ours.
context: They sure do come up with strange things these days.\So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours. response:	So where will it be held?
context: So are we certain Talisman will participate in the event?\With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held? response:	It'll be at Exoset, a club in Roppongi.
context: With things the way they are, his popularity will plummet if he doesn't show.\No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi. response:	Ginoza and the others are watching the front, and Drones are at the back.
context: No matter who's pretending to be Hayama Kimihiko,\he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back. response:	All we have to do now is wait for him to show up.
context: he's been enthusiastic enough about operating the CommuField\that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up. response:	So is this like a modern-day masquerade?
context: that I'm sure he'll show up there as Talisman.\No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade? response:	Don't these guys feel uneasy, cooped up in such a small place
context: No matter what Holo-Cosplay he's wearing,\if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place response:	without knowing who the others really are?
context: if his Crime Coefficient indicates he's a target for enforcement, the game is ours.\So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are? response:	You can't participate in social networks if you're afraid of anonymity.
context: So where will it be held?\It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity. response:	This isn't virtual.
context: It'll be at Exoset, a club in Roppongi.\Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual. response:	If someone gets hit, they'll bleed.
context: Ginoza and the others are watching the front, and Drones are at the back.\All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed. response:	A single knife can take a life away. This is the real world.
context: All we have to do now is wait for him to show up.\So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world. response:	And yet, they don't even know who's right next to them.
context: So is this like a modern-day masquerade?\Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them. response:	They must be out of their minds.
context: Don't these guys feel uneasy, cooped up in such a small place\without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds. response:	That kind of thinking is why your Psycho-Pass is so cloudy.
context: without knowing who the others really are?\You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy. response:	U-Um, I'm sorry. I didn't mean to...
context: You can't participate in social networks if you're afraid of anonymity.\This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to... response:	Well, it's hard to argue with that.
context: This isn't virtual.\If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that. response:	Hey, it's him.
context: If someone gets hit, they'll bleed.\A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him. response:	We can't aim at him from here.
context: A single knife can take a life away. This is the real world.\And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here. response:	The other partygoers are in the way.
context: And yet, they don't even know who's right next to them.\They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way. response:	I'll try getting closer to him.
context: They must be out of their minds.\That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him. response:	Suppression System, online.
context: That kind of thinking is why your Psycho-Pass is so cloudy.\U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online. response:	No way.
context: U-Um, I'm sorry. I didn't mean to...\Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online.\No way. response:	It's true.
context: Well, it's hard to argue with that.\Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online.\No way.\It's true. response:	Oh, my. I knew it.
context: Hey, it's him.\We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online.\No way.\It's true.\Oh, my. I knew it. response:	Mido? You were right.
context: We can't aim at him from here.\The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online.\No way.\It's true.\Oh, my. I knew it.\Mido? You were right. response:	A Dominator has been detected on the floor.
context: The other partygoers are in the way.\I'll try getting closer to him.\Suppression System, online.\No way.\It's true.\Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor. response:	There's a detective in there somewhere.
context: I'll try getting closer to him.\Suppression System, online.\No way.\It's true.\Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere. response:	So it really was a trap.
context: Suppression System, online.\No way.\It's true.\Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap. response:	That damn Spooky Boogie...
context: No way.\It's true.\Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie... response:	I trust you'll be making your escape?
context: It's true.\Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape? response:	We can't afford for you to be captured.
context: Oh, my. I knew it.\Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured. response:	I have unfinished business too.
context: Mido? You were right.\A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too. response:	Allow me to assist.
context: A Dominator has been detected on the floor.\There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist. response:	What the hell is this?!
context: There's a detective in there somewhere.\So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist.\What the hell is this?! response:	All the Holo-Cosplays were hacked simultaneously!
context: So it really was a trap.\That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously! response:	The real suspect will escape!
context: That damn Spooky Boogie...\I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape! response:	Dammit! Let's use our Dominators!
context: I trust you'll be making your escape?\We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators! response:	Find the suspect by checking their Crime Coefficients!
context: We can't afford for you to be captured.\I have unfinished business too.\Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients! response:	Ah! The cops are here!
context: I have unfinished business too.\Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here! response:	Wait!
context: Allow me to assist.\What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait! response:	Crime Coefficient is over by 110.
context: What the hell is this?!\All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait!\Crime Coefficient is over by 110. response:	Over by 140. He's a target for enforcement action.
context: All the Holo-Cosplays were hacked simultaneously!\The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action. response:	How many of them are there?
context: The real suspect will escape!\Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there? response:	So we ended up conducting a raid, huh?!
context: Dammit! Let's use our Dominators!\Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?! response:	Oh, boy...
context: Find the suspect by checking their Crime Coefficients!\Ah! The cops are here!\Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy... response:	Damn. They got us.
context: Ah! The cops are here!\Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us. response:	S-Sorry!
context: Wait!\Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us.\S-Sorry! response:	What was up with today's meet-up?!
context: Crime Coefficient is over by 110.\Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us.\S-Sorry!\What was up with today's meet-up?! response:	My boyfriend got captured by the Bureau!
context: Over by 140. He's a target for enforcement action.\How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us.\S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau! response:	What're you gonna do about it!
context: How many of them are there?\So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us.\S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it! response:	E-Everyone, calm down!
context: So we ended up conducting a raid, huh?!\Oh, boy...\Damn. They got us.\S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down! response:	That was a raid by the Bureau!
context: Oh, boy...\Damn. They got us.\S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau! response:	I had nothing to do with it!
context: Damn. They got us.\S-Sorry!\What was up with today's meet-up?!\My boyfriend got captured by the Bureau!\What're you gonna do about it!\E-Everyone, calm down!\That was a raid by the Bureau!\I had nothing to do with it! response:	You must not lie, Spooky Boogie.
